CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN_PRS,PRI,PRI_PVEM,PRD_PT_MC,PVEM,NVA_ALIANZA,MORENA,PH,ES,BS,FACA,JLCM,JRM,ISRM,MARM,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,158,2,151,82,,24,21,10,24,10,41,13,,,,,,5,11,1,0,2,395,20,415,795
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,159,1,126,69,,7,12,1,38,11,6,,,,,,,3,1,0,0,4,278,5,283,502
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,160,1,137,76,,7,8,9,33,11,15,,,,,,,3,2,0,0,2,303,10,313,488
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,161,1,184,93,,7,9,4,43,40,16,,,,,,,12,3,0,0,1,412,19,431,667
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,162,2,222,151,,24,10,3,49,29,25,,,,,,,12,8,2,0,5,540,19,559,854
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,163,1,201,100,,17,9,8,34,25,18,,,,,,,4,3,0,0,0,419,15,434,662
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,164,2,212,162,,16,17,5,38,23,15,,,,,,,9,4,0,0,2,503,28,531,864
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,165,2,239,143,,36,6,10,52,37,23,,,,,,,10,4,1,0,2,563,22,585,899
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,166,1,191,138,,15,11,2,42,22,14,,,,,,,4,2,0,0,0,441,30,471,686
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,167,2,284,182,,21,12,8,47,33,24,,,,,,,6,7,0,0,3,627,29,656,1073
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,168,2,309,123,,28,12,7,47,19,18,,,,,,,7,5,1,0,3,579,18,597,991
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,169,2,157,67,,23,6,3,19,18,12,,,,,,,3,2,1,0,0,311,16,327,763
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,170,1,158,73,,20,2,5,16,20,7,,,,,,,1,5,0,0,0,307,10,317,528
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,171,1,187,68,,21,5,6,32,14,13,,,,,,,3,3,0,0,1,353,12,365,598
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,172,1,188,97,,24,7,11,25,15,13,,,,,,,5,7,0,0,0,392,24,416,694
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,173,2,253,146,,32,7,5,59,32,27,,,,,,,1,3,2,0,2,569,26,595,1009
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,174,2,278,113,,35,14,8,34,24,31,,,,,,,4,5,1,0,3,550,21,571,982
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,175,2,285,170,,45,11,12,54,33,49,,,,,,,7,9,1,0,0,676,26,702,1304
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,176,1,167,57,,21,11,5,28,7,13,,,,,,,2,3,0,0,1,315,19,334,552
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,177,1,197,51,,17,2,5,15,13,6,,,,,,,4,3,0,0,0,313,10,323,532
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,178,1,122,48,,39,7,5,14,19,14,,,,,,,4,5,1,0,2,280,9,289,505
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,179,2,232,95,,23,15,4,44,13,17,,,,,,,5,4,0,1,1,454,17,471,860
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,180,2,240,90,,22,18,6,29,21,24,,,,,,,4,5,0,0,1,460,14,474,910
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,181,2,307,133,,60,14,3,48,27,16,,,,,,,5,8,0,0,1,622,24,646,1191
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,182,2,239,114,,39,3,5,14,14,11,,,,,,,5,5,0,0,0,449,23,472,831
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,183,1,196,81,,22,9,4,28,20,14,,,,,,,5,3,0,0,0,382,7,389,663
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,184,1,102,48,,10,3,3,12,4,6,,2,13,,,,3,1,0,0,0,207,6,213,327
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,185,1,129,65,,22,4,8,23,6,10,,8,88,,,,4,6,0,1,3,377,8,385,681
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,186,2,183,156,,32,10,9,46,8,34,,34,27,,,,5,4,0,0,0,548,14,562,870
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,187,2,211,138,,37,8,5,30,18,24,,25,26,,,,6,10,0,0,1,539,15,554,824
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,188,2,183,140,,29,9,5,33,14,46,,11,12,,,,5,3,1,0,0,491,21,512,756
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,189,2,226,162,,48,10,4,42,21,44,,21,12,,,,5,5,0,0,1,601,24,625,973
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,190,2,278,149,,47,6,11,60,15,48,,36,10,,,,6,1,0,0,0,667,23,690,1134
