ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NA,PCPP,PSI,MORENA,ES,PAN_PRD_MC_PCPP_PSI,PAN_PRD_MC_PCPP,PAN_PRD_MC_PSI,PAN_PRD_PCPP_PSI,PAN_MC_PCPP_PSI,PRD_MC_PCPP_PSI,PAN_PRD_MC,PAN_PRD_PCPP,PAN_PRD_PSI,PAN_MC_PCPP,PAN_MC_PSI,PAN_PCPP_PSI,PRD_MC_PCPP,PRD_MC_PSI,PRD_PCPP_PSI,MC_PCPP_PSI,PAN_PRD,PAN_MC,PAN_PCPP,PAN_PSI,PRD_MC,PRD_PCPP,PRD_PSI,MC_PCPP,MC_PSI,PCPP_PSI,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,C_COMUN_PAN_PRD_MC_NA_PCPP_PSI,PAN_PRD_MC_NA_PCPP,PAN_PRD_MC_NA_PSI,PAN_PRD_MC_PCPP_PSI,PAN_PRD_NA_PCPP_PSI,PAN_MC_NA_PCPP_PSI,PRD_MC_NA_PCPP_PSI,PAN_PRD_MC_NA,PAN_PRD_MC_PCPP,PAN_PRD_MC_PSI,PAN_PRD_NA_PCPP,PAN_PRD_NA_PSI,PAN_PRD_PCPP_PSI,PAN_MC_NA_PCPP,PAN_MC_NA_PSI,PAN_MC_PCPP_PSI,PAN_NA_PCPP_PSI,PRD_MC_NA_PCPP,PRD_MC_NA_PSI,PRD_MC_PCPP_PSI,PRD_NA_PCPP_PSI,MC_NA_PCPP_PSI,PAN_PRD_MC,PAN_PRD_NA,PAN_PRD_PCPP,PAN_PRD_PSI,PAN_MC_NA,PAN_MC_PCPP,PAN_MC_PSI,PAN_NA_PCPP,PAN_NA_PSI,PAN_PCPP_PSI,PRD_MC_NA,PRD_MC_PCPP,PRD_MC_PSI,PRD_NA_PCPP,PRD_NA_PSI,PRD_PCPP_PSI,MC_NA_PCPP,MC_NA_PSI,MC_PCPP_PSI,NA_PCPP_PSI,PAN_PRD,PAN_MC,PAN_NA,PAN_PCPP,PAN_PSI,PRD_MC,PRD_NA,PRD_PCPP,PRD_PSI,MC_NA,MC_PCPP,MC_PSI,NA_PCPP,NA_PSI,PCPP_PSI,C_COMUN_PAN_PRD_MC_PSI,PAN_PRD_MC,PAN_PRD_PSI,PAN_MC_PSI,PRD_MC_PSI,PAN_PRD,PAN_MC,PAN_PSI,PRD_MC,PRD_PSI,MC_PSI,C_COMUN_PAN_PRD_PCPP_PSI,PAN_PRD_PCPP,PAN_PRD_PSI,PAN_PCPP_PSI,PRD_PCPP_PSI,PAN_PRD,PAN_PCPP,PAN_PSI,PRD_PCPP,PRD_PSI,PCPP_PSI,C_COMUN_PAN_PRD_MC_PCPP,PAN_PRD_MC,PAN_PRD_PCPP,PAN_MC_PCPP,PRD_MC_PCPP,PAN_PRD,PAN_MC,PAN_PCPP,PRD_MC,PRD_PCPP,MC_PCPP,C_COMUN_PAN_MC_PCPP_PSI,PAN_MC_PCPP,PAN_MC_PSI,PAN_PCPP_PSI,MC_PCPP_PSI,PAN_MC,PAN_PCPP,PAN_PSI,MC_PCPP,MC_PSI,PCPP_PSI,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
21,PUEBLA,16,HEROICA PUEBLA DE ZARAGOZA,125,328,30167,13870,1769,3570,3990,2627,1212,1568,888,54137,1983,352,59,41,25,26,18,108,23,20,15,12,9,4,4,1,9,124,65,81,16,16,2,2,8,3,12,1274,425,60,382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118977,108,5054,124139,198393,
21,PUEBLA,17,HEROICA PUEBLA DE ZARAGOZA,223,411,44616,15546,1713,3106,5908,1998,3978,1268,1380,52304,2246,366,68,40,28,20,12,212,23,19,13,10,17,3,3,4,6,160,63,39,17,12,4,0,5,11,12,1248,302,42,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137123,182,6302,143607,215383,
21,PUEBLA,18,CHOLULA DE RIVADAVIA,84,302,35095,10268,1822,3431,4259,2442,4041,1927,3164,51325,2545,343,71,38,25,26,39,162,23,21,14,14,13,6,5,3,10,104,72,55,23,35,6,3,12,14,8,1276,309,58,377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123484,109,5186,128779,194178,https://www.ieepuebla.org.mx/2018/computos/dip/distritales/dmr/18_CHOLULA_ACTA_FINAL_DE_ESCRUTINIO_DISTRITAL_DIPUTACIONES_RECUENTO_M_R_13.jpg
21,PUEBLA,19,HEROICA PUEBLA DE ZARAGOZA,116,312,27081,13183,2025,3773,4828,2314,1499,1585,835,53856,1814,374,57,35,15,24,7,153,21,23,11,11,12,1,3,1,11,111,56,38,9,16,5,2,11,21,17,1478,421,74,374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116185,87,4515,120787,194255,
21,PUEBLA,20,HEROICA PUEBLA DE ZARAGOZA,69,270,13117,12447,1059,4128,2436,1710,2400,874,422,34970,1391,129,34,22,15,12,12,78,14,11,9,8,9,2,4,1,0,82,82,26,15,4,2,0,6,3,30,1681,436,105,434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78220,482,3420,82122,176541,
21,PUEBLA,21,ATLIXCO,119,298,28842,19593,2884,2613,9098,2148,2076,815,1536,36217,1402,240,21,32,12,8,3,157,14,32,17,16,10,2,1,4,5,227,99,50,22,27,7,7,11,12,21,900,262,64,278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109785,117,5403,115305,176367,
21,PUEBLA,22,IZUCAR DE MATAMOROS,141,335,21187,26451,4051,3777,3824,5419,5334,6298,3981,32722,2017,,,,,,,,,,,,,,,,,,,,,,,,,,26,1185,313,54,324,679,32,36,31,39,21,6,16,20,37,14,36,7,6,8,6,7,7,5,1,1,5,76,49,17,18,17,18,19,20,16,18,3,4,9,3,3,4,14,6,8,8,281,102,79,214,92,158,34,31,14,26,58,127,59,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119610,21,6391,126022,182235,
21,PUEBLA,23,ACATLAN DE OSORIO,150,328,20679,33209,5867,4702,3654,4338,2244,1184,2477,32557,940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,29,28,26,8,64,45,46,13,24,7,112337,54,7688,120079,171360,https://www.ieepuebla.org.mx/2018/computos/dip/distritales/dmr/23_ACATLAN_ACTA_FINAL_DE_ESCRUTINIO_DISTRITAL_DIPUTACIONES_RECUENTO_M_R_13.jpg
21,PUEBLA,24,TEHUACAN,80,263,16623,14689,1700,4093,7318,2302,4185,2546,3227,44443,1041,87,21,19,11,13,4,50,11,6,5,17,8,2,9,4,10,75,38,41,43,27,13,8,14,23,25,912,383,49,287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104382,56,6586,111024,162957,
21,PUEBLA,25,TEHUACAN,81,268,16773,11981,1359,3529,12521,1474,1795,1231,1240,48219,1324,248,23,24,16,7,8,52,20,12,11,10,7,5,0,2,4,84,28,20,30,11,7,8,15,8,9,917,352,78,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103742,91,5058,108891,168488,
21,PUEBLA,26,AJALPAN,106,284,24545,31845,6591,3974,3641,5173,2869,3080,1471,32601,2443,235,25,5,6,4,3,69,11,18,6,9,2,7,5,5,13,191,64,35,17,42,11,8,13,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119046,59,7767,126872,161048,
