MUNICIPIO,SECCION,Lista Nominal,CASILLA,PAN,PRI,APM,PT,PVEM,PCM,PARM,PDS,PAS,NO REGISTRADOS,NULOS
ATLATLAHUCAN,22,250,BASICA,117,21,23,0,10,0,0,0,0,0,8
ATLATLAHUCAN,23,193,BASICA,90,27,10,0,8,0,1,0,0,0,2
AXOCHIAPAN,24,528,BASICA,37,130,81,2,0,0,0,5,0,0,5
AXOCHIAPAN,24,529,CONTIGUA1,40,150,88,0,0,0,0,0,0,0,7
AXOCHIAPAN,25,494,BASICA,79,105,87,2,0,0,0,0,0,0,10
AXOCHIAPAN,25,495,CONTIGUA1,78,117,81,1,0,0,0,1,1,0,5
AXOCHIAPAN,26,587,BASICA,64,128,121,0,0,0,0,0,0,0,3
AXOCHIAPAN,26,587,CONTIGUA1,66,129,94,1,0,0,0,1,0,0,16
AXOCHIAPAN,26,588,CONTIGUA2,59,121,123,5,1,1,0,0,0,0,4
AXOCHIAPAN,27,549,BASICA,92,118,93,8,0,0,0,0,0,0,0
AXOCHIAPAN,27,550,CONTIGUA1,108,122,79,4,0,0,0,1,0,0,4
AXOCHIAPAN,28,516,BASICA,73,117,89,1,0,0,0,0,0,0,0
AXOCHIAPAN,28,517,CONTIGUA1,84,116,76,2,0,0,0,2,2,0,18
AXOCHIAPAN,29,670,BASICA,53,217,67,5,1,0,1,1,0,0,14
AXOCHIAPAN,29,670,CONTIGUA1,62,240,72,1,0,0,0,0,0,0,2
AXOCHIAPAN,30,639,BASICA,75,172,82,1,0,0,0,1,0,1,12
AXOCHIAPAN,30,639,CONTIGUA1,95,186,90,2,0,0,0,1,0,0,10
AXOCHIAPAN,31,737,BASICA,89,160,127,0,0,1,1,0,0,0,13
AXOCHIAPAN,31,738,CONTIGUA1,103,206,92,1,1,0,1,1,1,0,15
AXOCHIAPAN,32,394,BASICA,52,71,76,0,0,0,0,0,0,3,4
AXOCHIAPAN,32,395,CONTIGUA1,59,88,42,3,0,0,0,0,0,0,4
AXOCHIAPAN,33,640,BASICA,49,241,27,4,1,1,2,6,1,1,8
AXOCHIAPAN,33,641,CONTIGUA1,42,239,48,6,0,1,2,7,0,0,8
AXOCHIAPAN,34,203,BASICA,18,88,12,0,0,0,0,0,0,0,0
AXOCHIAPAN,35,392,BASICA,91,54,96,0,0,0,0,0,0,0,0
AXOCHIAPAN,35,392,CONTIGUA1,68,64,70,2,1,0,1,0,0,0,11
AXOCHIAPAN,36,734,BASICA,164,146,88,7,2,0,0,0,0,0,28
AXOCHIAPAN,37,611,BASICA,72,104,159,2,0,1,1,0,0,0,18
AXOCHIAPAN,38,556,BASICA,45,101,112,33,0,0,0,0,0,0,11
AXOCHIAPAN,38,557,CONTIGUA1,48,112,87,24,1,1,3,1,1,0,6
AXOCHIAPAN,39,395,BASICA,33,74,57,20,1,1,4,1,0,0,3
AXOCHIAPAN,39,396,CONTIGUA1,24,84,54,30,0,2,0,0,0,0,10
AXOCHIAPAN,40,418,BASICA,102,97,43,2,0,0,0,1,0,0,0
AXOCHIAPAN,40,419,CONTIGUA1,92,90,64,2,0,0,1,0,0,0,4
AXOCHIAPAN,41,376,BASICA,127,62,26,0,1,0,1,0,0,0,3
AXOCHIAPAN,41,377,CONTIGUA1,99,87,31,0,1,0,0,2,1,0,7
AXOCHIAPAN,42,304,BASICA,10,130,16,0,0,0,0,0,0,0,3
AXOCHIAPAN,43,632,BASICA,97,150,44,1,1,0,3,0,0,0,5
AYALA,44,558,BASICA,43,155,99,1,19,0,3,1,0,0,9
AYALA,44,559,CONTIGUA1,28,143,97,2,16,0,1,2,0,0,12
AYALA,45,539,BASICA,27,154,132,1,6,1,0,2,1,0,6
AYALA,45,540,CONTIGUA1,29,163,123,2,9,0,0,3,0,0,6
AYALA,45,540,CONTIGUA2,27,158,126,6,9,0,0,3,0,0,9
AYALA,46,460,BASICA,29,138,111,4,4,0,0,0,0,0,11
AYALA,46,461,CONTIGUA1,25,118,115,1,6,1,0,2,0,0,8
AYALA,47,623,BASICA,77,122,113,5,9,2,1,3,0,0,12
AYALA,47,624,CONTIGUA1,64,101,122,6,13,2,4,1,0,0,14
AYALA,48,574,BASICA,17,136,85,5,1,0,1,0,0,0,8
AYALA,48,574,CONTIGUA1,22,132,102,0,6,1,0,0,0,0,5
AYALA,49,642,BASICA,21,306,107,2,2,0,0,1,0,0,12
AYALA,49,642,CONTIGUA1,26,288,110,2,2,2,0,1,0,0,7
AYALA,50,433,BASICA,23,168,56,1,3,0,1,0,0,0,11
AYALA,50,433,CONTIGUA1,26,162,53,1,0,1,0,4,1,0,4
AYALA,51,421,BASICA,14,202,81,2,4,0,0,3,0,0,3
AYALA,51,421,CONTIGUA1,15,208,76,3,4,0,0,6,0,0,7
AYALA,52,587,BASICA,19,201,114,2,0,1,1,1,1,0,9
AYALA,52,587,CONTIGUA1,25,219,94,1,2,0,0,4,0,0,2
AYALA,53,253,BASICA,21,64,77,1,1,1,0,1,1,0,0
AYALA,54,618,BASICA,88,69,137,4,19,9,0,6,1,0,9
AYALA,54,619,CONTIGUA1,72,73,152,4,20,19,1,7,0,0,10
AYALA,55,701,BASICA,53,114,140,2,5,23,0,1,0,0,15
AYALA,55,702,CONTIGUA1,74,118,109,2,5,14,4,2,0,0,12
AYALA,56,586,BASICA,79,124,90,1,10,7,3,6,0,0,8
AYALA,56,586,CONTIGUA1,62,118,134,1,9,6,0,2,0,0,11
AYALA,57,594,BASICA,82,113,100,3,6,9,1,4,0,0,6
AYALA,57,595,CONTIGUA1,86,120,111,1,3,9,0,4,0,0,7
AYALA,58,625,BASICA,70,128,117,0,8,3,0,3,0,1,7
AYALA,58,625,CONTIGUA1,41,140,124,2,9,3,1,4,0,13,0
AYALA,59,707,BASICA,77,142,149,1,6,3,1,8,0,0,16
AYALA,59,707,CONTIGUA1,50,143,182,1,7,7,0,5,0,0,12
AYALA,60,439,BASICA,22,105,73,1,12,1,2,17,0,0,3
AYALA,61,588,BASICA,96,107,110,8,7,1,0,9,0,0,0
AYALA,61,588,CONTIGUA1,100,119,107,3,3,3,0,5,1,0,8
AYALA,62,508,BASICA,156,62,53,2,3,2,0,2,0,0,11
AYALA,62,508,CONTIGUA1,179,52,50,0,5,3,0,0,0,0,10
AYALA,62,508,CONTIGUA2,157,62,47,1,4,0,0,2,1,0,3
AYALA,63,217,BASICA,55,54,33,1,1,1,0,4,0,0,5
AYALA,64,354,BASICA,78,57,77,2,6,5,0,6,1,0,3
AYALA,65,386,BASICA,8,102,59,2,3,1,0,0,0,2,6
AYALA,65,386,CONTIGUA1,6,117,50,1,4,0,1,0,0,0,6
AYALA,66,574,BASICA,10,146,152,2,8,2,0,2,0,0,5
AYALA,66,575,CONTIGUA1,17,156,135,0,5,1,1,2,0,0,11
AYALA,67,647,BASICA,37,127,183,1,3,0,0,4,0,0,14
AYALA,67,648,CONTIGUA1,38,149,157,1,6,0,1,11,0,0,0
AYALA,68,612,BASICA,5,79,245,3,3,0,0,4,0,0,11
AYALA,68,612,CONTIGUA1,9,55,258,0,1,1,0,1,0,16,0
AYALA,69,511,BASICA,7,102,221,0,0,1,0,1,0,0,10
AYALA,69,511,CONTIGUA1,7,114,204,0,0,0,0,3,1,0,6
AYALA,70,626,BASICA,21,150,182,1,21,5,0,3,0,0,12
AYALA,70,626,CONTIGUA1,18,179,165,3,11,1,0,1,1,0,12
AYALA,71,543,BASICA,22,178,134,0,13,1,0,4,0,0,12
AYALA,71,543,CONTIGUA1,13,135,187,3,11,4,0,1,2,0,3
AYALA,72,744,BASICA,21,189,204,2,13,3,0,2,0,0,10
AYALA,72,745,CONTIGUA1,11,231,174,0,17,0,0,4,1,0,10
AYALA,73,723,BASICA,14,240,135,1,7,4,0,3,0,0,21
AYALA,73,723,CONTIGUA1,13,164,165,1,16,1,0,5,1,0,17
AYALA,74,746,BASICA,6,163,296,2,3,0,1,1,0,0,11
AYALA,74,746,CONTIGUA1,14,96,354,3,4,1,0,0,0,0,13
AYALA,75,582,BASICA,66,118,131,6,4,0,0,4,0,0,10
AYALA,75,582,CONTIGUA1,41,163,84,5,0,2,1,3,0,0,15
AYALA,76,454,BASICA,36,127,116,2,0,3,0,1,0,0,3
AYALA,76,455,CONTIGUA1,39,117,113,2,0,1,0,1,0,0,10
AYALA,77,669,BASICA,93,135,112,6,4,10,0,0,0,0,6
AYALA,77,670,CONTIGUA1,60,148,126,19,1,9,0,0,0,0,10
AYALA,78,162,BASICA,18,53,25,2,4,0,0,0,0,0,1
AYALA,79,547,BASICA,3,90,161,0,22,0,0,1,0,0,2
AYALA,80,540,BASICA,19,113,141,1,0,0,0,0,0,0,10
AYALA,80,541,CONTIGUA1,10,106,173,3,2,1,0,1,0,0,1
AYALA,81,304,BASICA,41,92,50,1,1,0,1,3,1,0,3
AYALA,82,192,BASICA,7,102,22,0,0,0,0,0,0,0,0
AYALA,83,397,BASICA,20,115,78,2,2,0,1,0,0,0,6
AYALA,83,397,CONTIGUA1,9,157,79,2,6,0,0,0,0,0,5
AYALA,84,492,BASICA,14,225,64,0,0,0,0,0,0,0,4
AYALA,84,493,CONTIGUA1,17,240,64,3,2,0,0,0,0,0,0
AYALA,85,471,BASICA,6,209,77,0,14,0,0,0,0,0,0
COATLAN DEL RIO,86,404,BASICA,32,105,92,2,1,1,0,0,1,0,9
COATLAN DEL RIO,86,405,CONTIGUA1,18,98,127,1,1,1,2,1,0,0,11
COATLAN DEL RIO,87,585,BASICA,41,119,177,0,0,0,0,0,0,0,13
COATLAN DEL RIO,87,585,CONTIGUA1,40,141,186,0,0,0,0,0,0,0,8
COATLAN DEL RIO,88,472,BASICA,20,130,102,2,1,0,0,0,0,0,17
COATLAN DEL RIO,89,547,BASICA,22,110,150,0,0,0,0,0,0,6,15
COATLAN DEL RIO,89,547,CONTIGUA1,35,123,137,0,1,0,3,0,0,0,9
COATLAN DEL RIO,90,365,BASICA,19,103,79,0,0,0,0,1,1,0,14
COATLAN DEL RIO,91,228,BASICA,4,77,63,0,0,0,0,0,0,0,2
COATLAN DEL RIO,92,599,BASICA,30,203,60,1,1,4,0,0,0,0,16
COATLAN DEL RIO,93,378,BASICA,35,100,84,2,0,2,0,0,0,0,4
COATLAN DEL RIO,93,379,CONTIGUA1,42,96,85,1,0,2,1,0,0,0,2
COATLAN DEL RIO,94,631,BASICA,63,151,136,0,1,0,2,0,0,1,6
COATLAN DEL RIO,95,325,BASICA,29,76,70,1,2,1,2,0,1,0,9
COATLAN DEL RIO,96,221,BASICA,6,92,47,1,0,0,0,1,0,0,4
CUAUTLA,97,,BASICA,84,112,145,7,8,9,0,14,2,0,4
CUAUTLA,97,,CONTIGUA1,99,129,145,4,8,7,0,13,0,0,8
CUAUTLA,97,,CONTIGUA2,96,153,148,4,7,7,0,2,1,0,16
CUAUTLA,98,,BASICA,90,118,233,11,17,18,0,9,0,0,10
CUAUTLA,99,,BASICA,58,128,138,22,6,2,1,7,1,0,11
CUAUTLA,99,,CONTIGUA1,51,94,150,13,4,3,4,4,0,0,15
CUAUTLA,100,,BASICA,65,108,124,14,5,5,1,1,1,0,19
CUAUTLA,100,,CONTIGUA1,65,139,154,7,6,2,0,5,1,0,4
CUAUTLA,101,,BASICA,76,61,83,11,3,15,0,3,0,0,3
CUAUTLA,101,,CONTIGUA1,61,80,83,13,4,11,0,3,0,0,9
CUAUTLA,102,,BASICA,101,91,127,7,5,14,1,14,1,0,5
CUAUTLA,102,,CONTIGUA1,111,80,139,14,6,12,0,9,2,0,14
CUAUTLA,103,,BASICA,87,77,121,2,7,7,1,5,8,0,3
CUAUTLA,103,,CONTIGUA1,97,62,103,5,11,6,0,3,5,0,3
CUAUTLA,104,,BASICA,80,99,85,1,7,2,0,9,0,0,5
CUAUTLA,104,,CONTIGUA1,93,84,69,1,11,2,1,10,0,0,3
CUAUTLA,105,,BASICA,121,127,124,3,14,4,0,24,3,0,2
CUAUTLA,106,,BASICA,62,80,86,4,7,6,0,1,0,0,6
CUAUTLA,106,,CONTIGUA1,70,65,71,5,10,4,1,11,5,0,6
CUAUTLA,107,,BASICA,80,80,76,2,13,8,2,7,2,0,8
CUAUTLA,107,,CONTIGUA1,71,73,93,4,8,4,0,8,3,0,3
CUAUTLA,108,,BASICA,93,140,148,2,8,10,2,14,0,0,11
CUAUTLA,108,,CONTIGUA1,112,119,130,3,8,7,0,5,1,0,10
CUAUTLA,109,,BASICA,67,78,93,5,8,5,1,10,0,0,11
CUAUTLA,109,,CONTIGUA1,67,59,100,4,10,4,2,8,2,0,10
CUAUTLA,109,,CONTIGUA2,58,62,104,3,3,4,0,6,0,0,7
CUAUTLA,110,,BASICA,109,99,169,1,9,6,3,8,0,0,8
CUAUTLA,110,,CONTIGUA1,93,142,150,7,5,4,1,5,1,0,8
CUAUTLA,111,,BASICA,122,150,119,4,8,6,2,12,6,0,15
CUAUTLA,111,,CONTIGUA1,120,115,118,2,10,3,4,10,8,0,11
CUAUTLA,112,,BASICA,98,113,142,1,5,2,5,11,2,0,4
CUAUTLA,112,,CONTIGUA1,78,128,156,9,14,1,0,9,0,0,5
CUAUTLA,113,,BASICA,102,137,114,11,8,9,2,4,1,0,5
CUAUTLA,113,,CONTIGUA1,99,115,98,11,14,6,0,3,0,0,8
CUAUTLA,114,,BASICA,88,119,114,3,7,4,1,4,0,0,4
CUAUTLA,114,,CONTIGUA1,59,124,100,6,9,2,2,9,0,0,6
CUAUTLA,114,,CONTIGUA2,77,115,102,4,3,2,0,5,0,0,3
CUAUTLA,115,,BASICA,71,89,62,2,4,5,0,8,0,0,1
CUAUTLA,115,,CONTIGUA1,62,87,71,5,5,5,2,1,0,0,17
CUAUTLA,116,,BASICA,102,138,122,6,10,10,0,16,0,0,4
CUAUTLA,116,,CONTIGUA1,76,108,111,1,6,3,0,4,3,0,5
CUAUTLA,117,,BASICA,73,80,90,3,7,13,1,26,6,0,2
CUAUTLA,117,,CONTIGUA1,69,86,79,2,9,7,1,11,10,0,5
CUAUTLA,118,,BASICA,108,99,107,0,13,9,0,6,2,0,14
CUAUTLA,118,,CONTIGUA1,119,85,105,4,13,16,1,5,1,0,12
CUAUTLA,119,,BASICA,109,112,121,13,11,7,2,15,2,1,9
CUAUTLA,119,,CONTIGUA1,95,117,103,4,20,13,0,9,8,0,11
CUAUTLA,120,,BASICA,106,82,121,0,10,4,0,8,2,0,3
CUAUTLA,120,,CONTIGUA1,97,109,96,1,11,9,0,4,1,0,0
CUAUTLA,121,,BASICA,85,104,93,5,13,11,1,8,1,0,13
CUAUTLA,122,,BASICA,171,130,122,5,14,5,0,8,1,0,15
CUAUTLA,123,,BASICA,86,115,105,4,13,2,1,10,0,0,1
CUAUTLA,123,,CONTIGUA1,84,100,109,9,16,3,0,9,3,0,2
CUAUTLA,123,,CONTIGUA2,88,103,119,1,18,4,0,10,1,0,8
CUAUTLA,124,,BASICA,117,102,120,2,8,2,1,0,2,0,5
CUAUTLA,124,,CONTIGUA1,68,85,140,2,12,2,0,12,1,0,4
CUAUTLA,125,,BASICA,99,109,118,13,9,11,0,7,2,0,9
CUAUTLA,125,,CONTIGUA1,90,96,138,6,10,7,0,6,2,0,7
CUAUTLA,125,,CONTIGUA2,106,75,120,5,15,7,2,4,0,0,7
CUAUTLA,126,,BASICA,85,89,146,4,5,6,1,12,7,0,13
CUAUTLA,126,,CONTIGUA1,93,93,139,1,9,5,2,13,6,0,9
CUAUTLA,127,,BASICA,95,122,119,2,21,8,0,10,5,0,9
CUAUTLA,127,,CONTIGUA1,75,91,135,0,12,8,0,16,1,0,0
CUAUTLA,128,,BASICA,109,114,123,0,19,8,0,9,3,0,9
CUAUTLA,128,,CONTIGUA1,115,116,112,2,18,6,0,8,1,0,4
CUAUTLA,129,,BASICA,127,88,75,3,12,2,2,12,0,0,6
CUAUTLA,129,,CONTIGUA1,112,73,95,5,7,7,2,16,0,0,12
CUAUTLA,130,,BASICA,83,83,75,2,5,1,2,16,1,0,2
CUAUTLA,130,,CONTIGUA1,71,91,69,1,9,6,0,27,3,0,2
CUAUTLA,131,,BASICA,141,122,121,3,11,3,0,8,3,0,9
CUAUTLA,131,,CONTIGUA1,117,133,128,3,24,5,0,14,1,0,4
CUAUTLA,132,,BASICA,126,125,130,3,12,2,1,5,2,0,7
CUAUTLA,132,,CONTIGUA1,122,104,89,1,17,1,0,12,1,0,10
CUAUTLA,133,,BASICA,80,70,47,1,8,5,0,5,1,0,5
CUAUTLA,134,,BASICA,82,99,107,2,14,17,0,20,0,0,11
CUAUTLA,134,,CONTIGUA1,86,117,101,1,15,12,1,12,1,0,0
CUAUTLA,135,,BASICA,82,102,108,8,7,7,0,8,1,0,14
CUAUTLA,135,,CONTIGUA1,68,103,111,4,7,12,0,5,1,0,8
CUAUTLA,135,,CONTIGUA2,86,76,135,4,7,7,0,10,1,0,15
CUAUTLA,135,,CONTIGUA3,54,96,121,5,14,8,0,13,0,0,3
CUAUTLA,136,,BASICA,62,101,77,1,3,6,1,13,1,0,9
CUAUTLA,136,,CONTIGUA1,57,88,104,3,8,1,0,8,0,0,5
CUAUTLA,137,,BASICA,87,120,70,1,13,7,0,4,0,0,6
CUAUTLA,137,,CONTIGUA1,80,113,74,0,7,3,0,8,1,0,2
CUAUTLA,137,,CONTIGUA2,93,110,65,3,12,6,1,9,0,0,5
CUAUTLA,138,,BASICA,95,100,104,3,9,7,0,4,0,0,2
CUAUTLA,138,,CONTIGUA1,92,102,112,4,9,13,0,4,1,0,8
CUAUTLA,139,,BASICA,79,68,76,2,8,17,1,22,1,0,4
CUAUTLA,139,,CONTIGUA1,68,64,90,3,14,14,0,32,0,0,4
CUAUTLA,140,,BASICA,95,152,112,5,22,7,0,15,0,0,8
CUAUTLA,140,,CONTIGUA1,121,153,111,2,17,9,0,23,1,0,5
CUAUTLA,141,,BASICA,80,78,73,0,4,14,0,7,2,0,3
CUAUTLA,141,,CONTIGUA1,61,69,79,1,11,6,0,5,0,0,4
CUAUTLA,142,,BASICA,83,124,120,1,10,2,1,10,0,0,11
CUAUTLA,142,,CONTIGUA1,102,123,94,2,14,4,0,6,0,1,9
CUAUTLA,143,,BASICA,170,141,87,1,26,5,2,26,2,0,2
CUAUTLA,143,,CONTIGUA1,143,129,103,2,25,3,0,21,0,0,14
CUAUTLA,144,,BASICA,76,107,59,0,11,0,0,4,0,0,3
CUAUTLA,144,,CONTIGUA1,72,92,70,1,16,2,1,9,0,0,6
CUAUTLA,145,,BASICA,113,101,113,4,11,9,1,9,0,0,4
CUAUTLA,145,,CONTIGUA1,104,110,84,1,6,2,1,8,2,0,5
CUAUTLA,146,,BASICA,111,122,90,0,13,4,1,23,0,0,8
CUAUTLA,146,,CONTIGUA1,112,111,100,1,23,1,0,8,0,0,10
CUAUTLA,147,,BASICA,67,119,112,2,6,10,0,7,0,0,13
CUAUTLA,147,,CONTIGUA1,90,117,104,2,14,14,0,18,0,0,9
CUAUTLA,148,,BASICA,78,109,104,8,4,10,1,20,1,0,9
CUAUTLA,148,,CONTIGUA1,87,91,117,5,4,7,0,9,1,0,10
CUAUTLA,149,,BASICA,70,65,69,0,10,5,1,7,0,0,6
CUAUTLA,149,,CONTIGUA1,61,67,76,0,8,5,0,5,1,0,5
CUAUTLA,150,,BASICA,91,101,91,6,8,24,0,15,1,0,12
CUAUTLA,150,,CONTIGUA1,70,110,113,4,3,16,1,15,2,0,12
CUAUTLA,151,,BASICA,96,102,79,1,7,14,0,50,3,0,12
CUAUTLA,151,,CONTIGUA1,71,75,94,4,5,19,1,39,0,0,9
CUAUTLA,151,,CONTIGUA2,85,86,113,4,6,10,1,46,1,0,9
CUAUTLA,152,,BASICA,111,107,74,2,14,20,0,56,0,0,17
CUAUTLA,152,,CONTIGUA1,122,105,67,4,5,13,1,50,0,0,8
CUAUTLA,153,,BASICA,58,72,71,1,9,10,1,14,0,0,8
CUAUTLA,153,,CONTIGUA1,67,84,70,2,7,10,0,3,0,0,7
CUAUTLA,154,,BASICA,69,94,99,2,6,10,1,8,3,0,8
CUAUTLA,154,,CONTIGUA1,52,92,96,4,11,5,0,10,1,0,4
CUAUTLA,155,,BASICA,122,98,85,2,15,12,2,16,0,0,8
CUAUTLA,155,,CONTIGUA1,120,104,72,2,23,18,1,15,0,0,11
CUAUTLA,156,,BASICA,113,90,54,1,11,8,1,7,0,0,3
CUAUTLA,156,,CONTIGUA1,103,72,74,3,14,8,0,8,1,0,6
CUAUTLA,157,,BASICA,93,76,71,0,21,6,0,7,0,0,3
CUAUTLA,157,,CONTIGUA1,86,76,69,0,17,6,0,14,1,0,5
CUAUTLA,158,,BASICA,69,153,96,0,19,7,0,19,0,0,2
CUAUTLA,159,,BASICA,141,150,126,1,29,5,0,13,1,0,5
CUAUTLA,159,,CONTIGUA1,146,139,122,1,38,4,0,7,1,0,9
CUAUTLA,160,,BASICA,167,134,131,7,23,3,0,18,0,0,3
CUAUTLA,161,,BASICA,101,122,117,5,27,9,0,27,0,0,7
CUAUTLA,162,,BASICA,85,104,128,2,19,9,0,11,3,0,4
CUAUTLA,162,,CONTIGUA1,88,112,124,2,11,7,0,10,0,0,3
CUAUTLA,163,,BASICA,96,111,83,2,10,3,0,11,0,0,4
CUAUTLA,164,,BASICA,66,85,62,5,14,2,1,6,0,0,9
CUAUTLA,165,,BASICA,86,94,88,2,12,2,0,3,1,0,7
CUAUTLA,165,,CONTIGUA1,93,102,69,1,15,6,0,7,1,0,4
CUAUTLA,166,,BASICA,102,140,108,2,19,7,1,6,3,0,7
CUAUTLA,166,,CONTIGUA1,118,127,105,2,14,5,0,1,3,0,10
CUAUTLA,167,,BASICA,50,100,67,3,9,5,0,6,0,0,0
CUAUTLA,167,,CONTIGUA1,56,98,50,2,6,7,0,11,0,0,2
CUAUTLA,168,,BASICA,66,99,80,2,16,7,0,2,2,0,5
CUAUTLA,168,,CONTIGUA1,89,111,57,2,15,7,0,7,0,0,3
CUAUTLA,169,,BASICA,81,126,91,1,17,12,0,6,1,0,4
CUAUTLA,169,,CONTIGUA1,78,159,79,3,26,7,0,13,1,0,4
CUAUTLA,170,,BASICA,57,85,121,5,12,3,0,11,0,0,11
CUAUTLA,170,,CONTIGUA1,68,83,97,4,19,4,0,10,1,0,2
CUAUTLA,171,,BASICA,73,105,94,5,7,18,0,7,1,0,7
CUAUTLA,172,,BASICA,138,131,89,3,59,11,1,21,0,0,10
CUAUTLA,173,,BASICA,146,94,102,5,16,16,2,10,0,0,7
CUAUTLA,173,,CONTIGUA1,116,124,110,2,15,8,0,16,1,0,7
CUAUTLA,174,,BASICA,98,96,91,2,16,7,0,12,0,0,6
CUAUTLA,174,,CONTIGUA1,103,111,83,3,20,3,1,9,0,0,4
CUAUTLA,175,,BASICA,100,113,78,5,12,22,0,16,0,0,13
CUAUTLA,175,,CONTIGUA1,83,114,78,1,9,14,1,11,0,0,10
CUAUTLA,176,,BASICA,107,155,123,2,11,35,3,18,2,0,8
CUAUTLA,177,,BASICA,86,108,104,2,5,23,1,12,0,0,7
CUAUTLA,177,,CONTIGUA1,78,84,97,4,7,29,3,10,0,0,13
CUAUTLA,178,,BASICA,96,106,119,3,11,19,3,16,0,0,12
CUAUTLA,178,,CONTIGUA1,78,110,111,2,5,25,1,11,0,0,12
CUAUTLA,178,,CONTIGUA2,103,103,124,3,8,6,2,6,1,0,7
CUAUTLA,179,,BASICA,128,81,76,2,12,10,1,7,0,0,11
CUAUTLA,179,,CONTIGUA1,82,97,107,2,12,10,2,4,0,0,6
CUAUTLA,180,,BASICA,83,99,130,6,18,45,1,16,2,0,14
CUAUTLA,180,,CONTIGUA1,65,93,131,4,18,25,1,14,1,0,19
CUAUTLA,181,,BASICA,72,107,82,3,7,26,2,13,0,0,8
CUAUTLA,181,,CONTIGUA1,81,116,83,6,10,25,2,3,0,0,11
CUAUTLA,182,,BASICA,83,103,81,7,9,8,2,6,0,0,5
CUAUTLA,182,,CONTIGUA1,85,119,70,3,12,7,0,6,1,0,3
CUAUTLA,183,,BASICA,108,99,105,5,4,7,3,8,0,0,8
CUAUTLA,183,,CONTIGUA1,81,107,84,5,12,4,2,2,1,0,6
CUAUTLA,184,,BASICA,46,102,119,3,17,4,0,3,1,0,10
CUAUTLA,185,,BASICA,23,129,91,1,4,5,1,11,0,0,9
CUAUTLA,185,,CONTIGUA1,45,144,73,1,5,3,2,4,0,0,14
CUAUTLA,185,,CONTIGUA2,43,112,91,0,3,9,3,9,0,0,7
CUAUTLA,186,,BASICA,48,116,82,2,2,5,0,5,0,0,4
CUAUTLA,186,,CONTIGUA1,56,96,75,2,4,4,0,7,0,0,6
