uniqueid,year,incumbent_party_Horacio
32013,2004,PRI
32013,2007,PAN
32013,2010,PRI_PVEM_PANAL
32013,2013,Independent
32013,2016,PAN_PRD
32013,2018,NA
32014,1998,PRI
32014,2001,PRI
32014,2004,PRD
32014,2007,PRI
32014,2010,PRI_PVEM_PANAL
32014,2013,PRI
32014,2016,PRI_PVEM
32014,2018,NA
32015,1998,PRI
32015,2001,PRI
32015,2004,PRI
32015,2007,PRD_MC
32015,2010,PRD_MC
32015,2013,PRI
32015,2016,PAN_PRD
32015,2018,NA
32016,1998,PRD
32016,2001,PAN
32016,2004,PRI
32016,2007,PRD_MC
32016,2010,PRD_MC
32016,2013,PRI
32016,2016,PRI_PVEM
32016,2018,NA
32017,1998,PRD
32017,2001,PRD
32017,2004,PRD
32017,2007,PRD_MC
32017,2010,PRD_MC
32017,2013,PRI
32017,2016,PRI_PVEM_PANAL
32017,2018,NA
32018,1998,PRI
32018,2001,PRI
32018,2004,PRD
32018,2007,PRI
32018,2010,PAN
32018,2013,PRI
32018,2016,PRI_PVEM
32018,2018,NA
32019,1998,PAN
32019,2001,PRD
32019,2004,PAN
32019,2007,PAN
32019,2010,PRI_PVEM_PANAL
32019,2013,PAN_PRD
32019,2016,MC
32019,2018,NA
32020,1998,PRI
32020,2001,PRD
32020,2004,PAN
32020,2007,PRD_MC
32020,2010,PRI_PVEM_PANAL
32020,2013,PAN_PRD
32020,2016,PRI_PVEM_PANAL
32020,2018,NA
32021,1998,PRI
32021,2001,PRI
32021,2004,PRI
32021,2007,PRD_MC
32021,2010,PRI_PVEM_PANAL
32021,2013,PAN_PRD
32021,2016,PRI_PVEM_PANAL
32021,2018,NA
32022,1998,PRI
32022,2001,PAN
32022,2004,PRD
32022,2007,PAN
32022,2010,PAN
32022,2013,PRI
32022,2016,PT
32022,2018,NA
32023,1998,PRI
32023,2001,PRD
32023,2004,PAN
32023,2007,PRI
32023,2010,PAN
32023,2013,PRI
32023,2016,PAN_PRD
32023,2018,NA
32024,1998,PRI
32024,2001,PRI
32024,2004,PAN
32024,2007,PRD_MC
32024,2010,PT
32024,2013,PRI
32024,2016,PT
32024,2018,NA
32025,1998,PRD
32025,2001,PRD
32025,2004,PRD
32025,2007,PRD_MC
32025,2010,PAN
32025,2013,PVEM
32025,2016,PRI_PVEM_PANAL
32025,2018,NA
32026,1998,PRI
32026,2001,PRI
32026,2004,PRD
32026,2007,PRI
32026,2010,PRI_PVEM_PANAL
32026,2013,PRI
32026,2016,PANAL
32026,2018,NA
32027,1998,PRI
32027,2001,PRI
32027,2004,PRI
32027,2007,PRI
32027,2010,PRD_MC
32027,2013,PAN_PRD
32027,2016,PAN_PRD
32027,2018,NA
32028,1998,PAN
32028,2001,PRI
32028,2004,PRD
32028,2007,PRI
32028,2010,PRD_MC
32028,2013,PAN_PRD
32028,2016,PAN_PRD
32028,2018,NA
32029,1998,PRI
32029,2001,PAN
32029,2004,PRD
32029,2007,PRD_MC
32029,2010,PAN
32029,2013,PT
32029,2016,MORENA
32029,2018,NA
32030,1998,PAN
32030,2001,PAN
32030,2004,PRI
32030,2007,PAN
32030,2010,PAN
32030,2013,PRI
32030,2016,PRI_PVEM
32030,2018,NA
32031,1998,PAN
32031,2001,PRI
32031,2004,PRD
32031,2007,PRI
32031,2010,PRD_MC
32031,2013,NA
32031,2016,PAN_PRD
32031,2018,NA
32032,1998,PT
32032,2001,PT
32032,2004,PRD
32032,2007,PT
32032,2010,PRD_MC
32032,2013,PRI
32032,2016,PANAL
32032,2018,NA
32033,1998,PAN
32033,2001,PAN
32033,2004,PRI
32033,2007,PRI
32033,2010,PRD_MC
32033,2013,PRI
32033,2016,PAN_PRD
32033,2018,NA
32034,1998,PAN
32034,2001,PRI
32034,2004,PRD
32034,2007,PRD_MC
32034,2010,PAN
32034,2013,PRI
32034,2016,PT
32034,2018,NA
32035,1998,PRI
32035,2001,PRI
32035,2004,PRD
32035,2007,PRI
32035,2010,PRI_PVEM_PANAL
32035,2013,PRI
32035,2016,PRI_PVEM
32035,2018,NA
32036,1998,PRI
32036,2001,PAN
32036,2004,PRD
32036,2007,PRD_MC
32036,2010,PRI_PVEM_PANAL
32036,2013,PAN_PRD
32036,2016,PRI_PVEM_PANAL
32036,2018,NA
32037,1998,PRI
32037,2001,PAN
32037,2004,PT
32037,2007,PRD_MC
32037,2010,PAN
32037,2013,PRI
32037,2016,PRI_PVEM
32037,2018,NA
32038,1998,PRI
32038,2001,PRI
32038,2004,PRI_PT_PVEM
32038,2007,PRI
32038,2010,PRI_PVEM_PANAL
32038,2013,PRI
32038,2016,PRI_PVEM
32038,2018,NA
32039,1998,PRI
32039,2001,PRI
32039,2004,PRD
32039,2007,PRI
32039,2010,PRD_MC
32039,2013,PRI
32039,2016,PAN_PRD
32039,2018,NA
32040,1998,PRI
32040,2001,PRI
32040,2004,PRI
32040,2007,PRD_MC
32040,2010,PRI_PVEM_PANAL
32040,2013,PRI
32040,2016,PAN_PRD
32040,2018,NA
32041,1998,PRI
32041,2001,PRI
32041,2004,PRD
32041,2007,PRD_MC
32041,2010,PRD_MC
