Clave,MUNICIPIO:    ,SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,PRS,NULOS,TOTAL
42,LEONARDO BRAVO,1683,B,0,57,28,0,0,0,0,85
42,LEONARDO BRAVO,1684,EX,0,32,15,0,0,0,0,47
42,LEONARDO BRAVO,1684,B,0,244,12,0,0,0,0,256
42,LEONARDO BRAVO,1685,B,0,56,87,0,0,0,0,143
42,LEONARDO BRAVO,1686,B,0,123,86,0,0,0,0,209
42,LEONARDO BRAVO,1687,B,0,89,22,0,0,0,0,111
42,LEONARDO BRAVO,1688,B,0,132,77,0,0,0,0,209
42,LEONARDO BRAVO,1689,B,0,183,78,0,0,0,0,261
42,LEONARDO BRAVO,1690,B,0,53,18,0,0,0,0,71
42,LEONARDO BRAVO,1691,B,0,160,32,0,0,0,0,192
42,LEONARDO BRAVO,1692,B,0,70,73,0,0,0,0,143
42,LEONARDO BRAVO,1693,B,0,91,92,0,0,0,0,183
42,LEONARDO BRAVO,1694,B,0,195,12,0,0,0,0,207
42,LEONARDO BRAVO,1694,C,0,178,12,0,0,0,0,190
42,LEONARDO BRAVO,1695,B,0,325,28,0,0,0,0,353
42,LEONARDO BRAVO,1696,B,0,86,49,0,0,0,0,135
42,LEONARDO BRAVO,1697,B,0,66,3,0,0,0,0,69
42,LEONARDO BRAVO,1698,B,0,155,46,0,0,0,0,201
42,LEONARDO BRAVO,1697,EX,0,35,20,0,0,0,0,55
,,,,,,,,,,,
43,MALINALTEPEC,1699,B,0,73,155,0,0,0,13,241
43,MALINALTEPEC,1699,C,0,77,159,0,0,0,12,248
43,MALINALTEPEC,1699,EX,0,18,57,0,0,0,3,78
43,MALINALTEPEC,1700,B,0,72,148,0,0,0,9,229
43,MALINALTEPEC,1700,C,0,114,108,0,0,0,8,230
43,MALINALTEPEC,1701,B,0,10,230,0,0,0,5,245
43,MALINALTEPEC,1702,B,0,96,176,0,0,0,32,304
43,MALINALTEPEC,1703,B,0,30,238,0,0,0,21,289
43,MALINALTEPEC,1703,C,0,19,154,0,0,0,9,182
43,MALINALTEPEC,1704,B,0,131,188,0,0,0,28,347
43,MALINALTEPEC,1705,B,0,12,112,0,0,0,15,139
43,MALINALTEPEC,1706,B,0,149,130,0,0,0,23,302
43,MALINALTEPEC,1707,B,0,8,200,0,0,0,11,219
43,MALINALTEPEC,1707,C,0,6,202,0,0,0,19,227
43,MALINALTEPEC,1708,B,0,115,73,0,0,0,36,224
43,MALINALTEPEC,1709,B,0,141,205,0,0,0,26,372
43,MALINALTEPEC,1710,B,0,72,203,0,0,0,13,288
43,MALINALTEPEC,1710,EX,0,60,113,0,0,0,17,190
43,MALINALTEPEC,1711,B,0,143,146,0,0,0,31,320
43,MALINALTEPEC,1712,B,0,227,197,0,0,0,11,435
43,MALINALTEPEC,1713,B,0,181,129,0,0,0,19,329
43,MALINALTEPEC,1713,C,0,169,152,0,0,0,19,340
43,MALINALTEPEC,1714,B,0,158,72,0,0,0,22,252
43,MALINALTEPEC,1715,B,0,98,153,0,0,0,10,261
43,MALINALTEPEC,1716,B,0,104,67,0,0,0,22,193
43,MALINALTEPEC,1716,C,0,87,65,0,0,0,21,173
43,MALINALTEPEC,1716,EX,0,27,106,0,0,0,5,138
43,MALINALTEPEC,1717,B,0,139,57,0,0,0,18,214
43,MALINALTEPEC,1717,C,0,127,80,0,0,0,18,225
43,MALINALTEPEC,1718,B,0,65,222,0,0,0,28,315
,,,,,,,,,,,
44,MARTIR DE CUILAPAN,1719,B,10,96,146,0,0,0,19,271
44,MARTIR DE CUILAPAN,1719,C,8,89,142,0,0,0,17,256
44,MARTIR DE CUILAPAN,1720,B,17,130,225,0,0,0,8,380
44,MARTIR DE CUILAPAN,1721,B,2,72,140,0,0,0,12,226
44,MARTIR DE CUILAPAN,1721,C,9,87,120,0,0,0,7,223
44,MARTIR DE CUILAPAN,1722,B,1,107,24,0,0,0,23,155
44,MARTIR DE CUILAPAN,1723,B,1,99,33,0,0,0,13,146
44,MARTIR DE CUILAPAN,1724,B,0,85,66,0,0,0,6,157
44,MARTIR DE CUILAPAN,1725,B,2,159,28,0,0,0,17,206
44,MARTIR DE CUILAPAN,1726,B,1,80,86,0,0,0,4,171
44,MARTIR DE CUILAPAN,1727,B,0,91,150,0,0,0,0,241
44,MARTIR DE CUILAPAN,1727,C,0,81,143,0,0,0,0,224
44,MARTIR DE CUILAPAN,1728,B,0,46,3,0,0,0,3,52
44,MARTIR DE CUILAPAN,1729,B,1,107,34,0,0,0,4,146
44,MARTIR DE CUILAPAN,1730,B,2,69,20,0,0,0,4,95
44,MARTIR DE CUILAPAN,1731,B,0,58,61,0,0,0,9,128
44,MARTIR DE CUILAPAN,1732,B,0,37,199,0,0,0,17,253
44,MARTIR DE CUILAPAN,1732,C,0,41,205,0,0,0,14,260
44,MARTIR DE CUILAPAN,1733,B,0,179,48,0,0,0,14,241
44,MARTIR DE CUILAPAN,1733,C,1,168,48,0,0,0,9,226
44,MARTIR DE CUILAPAN,1734,B,6,227,137,0,0,0,30,400
,,,,,,,,,,,
,,,,,,,,,,,
45,METLATONOC,1735,B,12,192,175,0,0,0,10,389
45,METLATONOC,1736,B,11,204,101,0,0,0,20,336
45,METLATONOC,1736,C,12,165,144,0,0,0,18,339
45,METLATONOC,1737,B,3,56,46,0,0,0,12,117
45,METLATONOC,1738,B,3,52,10,0,0,0,27,92
45,METLATONOC,1739,B,3,117,4,0,0,0,0,124
45,METLATONOC,1739,EX,0,22,56,0,0,0,8,86
45,METLATONOC,1740,B,2,81,60,0,0,0,7,150
45,METLATONOC,1741,B,3,128,11,0,0,0,21,163
45,METLATONOC,1742,B,0,85,21,0,0,0,2,108
45,METLATONOC,1743,B,5,149,4,0,0,0,9,167
45,METLATONOC,1744,B,2,51,166,0,0,0,8,227
45,METLATONOC,1744,EX,1,2,98,0,0,0,3,104
45,METLATONOC,1745,B,3,112,59,0,0,0,28,202
45,METLATONOC,1746,B,0,35,98,0,0,0,26,159
45,METLATONOC,1746,C,4,70,94,0,0,0,15,183
45,METLATONOC,1747,B,0,149,211,0,0,0,0,360
45,METLATONOC,1748,B,11,136,244,0,0,0,32,423
45,METLATONOC,1749,B,10,67,87,0,0,0,8,172
45,METLATONOC,1750,B,0,150,126,0,0,0,20,296
45,METLATONOC,1751,B,3,177,87,0,0,0,26,293
45,METLATONOC,1751,CA,2,179,74,0,0,0,31,286
