CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,MAS,PAN_PRD,PRI_PVEM_NA,PRI_PVEM,PRI_NA,PVEM_NA,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,C_COMUN_PRI_PVEM_NA,CAND_IND14,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,6,C,1,0,C01,121,80,3,4,5,2,4,68,2,1,5,1,2,0,0,1,1,0,0,,,,,,,,300,0,6,306,634,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,7,B,1,0,B,129,69,2,3,9,3,3,67,2,3,1,1,2,0,0,2,0,0,0,,,,,,,,296,0,14,310,701,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,7,C,1,0,C01,134,70,4,4,6,3,2,87,2,6,2,1,0,0,0,2,0,0,1,,,,,,,,324,0,9,333,701,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,8,B,1,0,B,138,63,3,8,12,3,5,72,2,4,2,3,2,0,0,2,2,1,0,,,,,,,,322,0,9,331,659,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,8,C,1,0,C01,125,69,8,7,5,2,6,80,2,6,3,2,1,1,0,0,3,0,2,,,,,,,,322,0,12,334,659,Grupo de Recuento,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,8,C,2,0,C02,127,62,6,1,10,4,4,101,6,5,1,3,2,0,0,1,1,0,0,,,,,,,,334,0,7,341,659,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,8,C,3,0,C03,133,76,7,8,7,6,3,70,1,5,1,0,1,0,1,1,1,0,0,,,,,,,,321,0,13,334,658,Grupo de Recuento,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,9,B,1,0,B,115,84,2,1,13,3,2,111,1,3,4,3,0,2,0,1,1,0,0,,,,,,,,346,0,10,356,658,Grupo de Recuento,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,9,C,1,0,C01,112,77,1,4,6,2,5,67,3,1,1,0,1,1,0,1,0,0,1,,,,,,,,283,0,5,288,658,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,9,C,3,0,C03,112,72,8,8,11,5,4,81,2,3,2,4,2,2,0,3,1,0,0,,,,,,,,320,0,11,331,657,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,10,B,1,0,B,109,55,7,4,10,3,9,84,3,2,2,1,3,1,0,2,2,0,0,,,,,,,,297,2,11,310,617,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,10,C,1,0,C01,106,80,8,4,13,0,3,84,4,11,2,2,0,0,0,0,0,0,0,,,,,,,,317,0,5,322,617,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,10,C,2,0,C02,109,77,10,8,7,3,5,77,2,4,3,1,0,0,0,2,1,0,0,,,,,,,,309,0,13,322,616,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,10,C,3,0,C03,107,85,7,13,10,2,6,82,3,2,1,2,1,0,0,0,1,1,0,,,,,,,,323,0,12,335,616,Grupo de Recuento,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,11,B,1,0,B,127,84,7,9,8,1,3,92,2,1,0,3,1,1,1,0,0,0,1,,,,,,,,341,1,6,348,699,Grupo de Recuento,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,11,C,1,0,C01,127,87,9,11,4,2,4,83,0,2,3,0,5,2,0,3,0,0,0,,,,,,,,342,0,11,353,698,Grupo de Recuento,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,12,B,1,0,B,92,66,3,3,10,2,2,81,0,1,1,1,0,0,1,2,0,0,1,,,,,,,,266,0,7,273,592,Grupo de Recuento,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,12,C,1,0,C01,90,72,1,6,14,3,4,77,4,1,0,2,2,1,0,2,2,0,0,,,,,,,,281,0,6,287,592,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,13,B,1,0,B,90,52,1,4,8,2,4,81,1,1,0,2,1,0,0,1,1,2,0,,,,,,,,251,0,6,257,565,Grupo de Recuento,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,13,C,1,0,C01,74,57,0,2,9,4,3,67,1,2,4,0,1,1,1,1,0,0,0,,,,,,,,227,0,10,237,564,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,14,B,1,0,B,84,67,2,5,6,4,4,58,1,2,2,5,0,2,0,0,0,0,1,,,,,,,,243,0,11,254,575,Grupo de Recuento,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,14,C,1,0,C01,110,64,6,6,8,1,2,65,3,0,2,7,1,1,1,1,0,1,1,,,,,,,,280,0,2,282,575,Grupo de Recuento,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,14,C,2,0,C02,125,138,3,11,6,1,2,36,1,4,3,3,3,3,0,0,0,0,0,,,,,,,,339,0,14,353,574,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,14,S,1,0,SMR01,85,131,5,4,13,13,26,159,0,7,0,1,4,2,1,4,0,0,0,,,,,,,,455,0,18,473,0,Grupo de Recuento,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,16,B,1,0,B,119,102,7,7,12,2,6,42,1,0,2,2,1,1,0,0,0,0,0,,,,,,,,304,0,7,311,632,Grupo de Recuento,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,17,B,1,0,B,85,63,6,2,15,4,8,86,2,2,0,2,0,0,0,2,1,0,0,,,,,,,,278,0,8,286,674,Grupo de Recuento,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,17,C,1,0,C01,83,52,4,9,15,5,3,95,2,5,1,1,3,2,0,1,1,0,0,,,,,,,,282,0,8,290,674,Grupo de Recuento,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,17,C,2,0,C02,85,79,5,1,13,3,4,87,2,0,0,0,3,1,0,1,2,0,0,,,,,,,,286,0,7,293,673,Grupo de Recuento,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,17,C,3,0,C03,94,72,3,8,9,3,8,100,0,0,0,3,1,0,0,0,0,0,1,,,,,,,,302,0,9,311,673,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,17,C,4,0,C04,68,71,3,8,12,8,4,99,2,2,0,1,0,0,0,2,2,0,1,,,,,,,,283,0,6,289,673,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,17,C,5,0,C05,80,71,5,5,14,6,3,114,2,1,2,1,3,0,0,2,3,0,1,,,,,,,,313,0,4,317,673,Grupo de Recuento,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,17,C,6,0,C06,89,75,6,9,8,4,0,92,1,2,0,1,2,0,0,3,0,0,0,,,,,,,,292,0,6,298,673,Grupo de Recuento,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,18,B,1,0,B,59,109,7,5,5,2,2,63,0,2,2,3,2,0,0,2,0,0,0,,,,,,,,263,0,8,271,561,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,18,C,1,0,C01,77,96,3,2,8,1,6,66,2,1,1,3,2,0,1,1,2,0,0,,,,,,,,272,0,13,285,560,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,18,C,2,0,C02,57,108,1,5,12,4,4,49,1,1,0,2,5,1,0,3,1,0,0,,,,,,,,254,0,10,264,560,Grupo de Recuento,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,19,B,1,0,B,113,77,7,4,18,5,4,88,4,2,2,2,2,0,1,1,1,1,0,,,,,,,,332,0,7,339,741,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,19,C,1,0,C01,116,69,6,3,14,4,5,92,1,7,2,0,1,0,0,0,2,2,0,,,,,,,,324,0,7,331,741,Grupo de Recuento,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,19,C,2,0,C02,108,82,4,5,17,4,9,110,3,3,1,2,1,0,2,0,0,1,1,,,,,,,,353,0,7,360,740,Acta Casilla,Anulada,NULIDAD DE VOTACION RECIBIDA - TEE - EXPEDIENTE RQ-TP-33/2018,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,19,C,3,0,C03,107,98,8,3,13,3,4,94,4,3,1,2,2,0,0,0,2,0,0,,,,,,,,344,0,14,358,740,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,20,B,1,0,B,87,70,7,2,19,3,1,83,3,1,0,3,0,1,0,3,9,0,1,,,,,,,,293,0,8,301,691,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,20,C,1,0,C01,103,56,5,5,11,2,4,110,0,2,0,2,0,0,0,0,1,0,0,,,,,,,,301,0,21,322,691,Grupo de Recuento,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,20,C,2,0,C02,104,63,4,3,12,5,6,104,1,3,1,4,3,0,0,1,12,2,1,,,,,,,,329,1,10,340,691,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,20,C,3,0,C03,77,88,8,6,10,5,9,100,1,2,1,7,1,0,0,1,2,0,0,,,,,,,,318,0,9,327,690,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,20,C,5,0,C05,75,78,4,9,11,4,3,98,0,6,1,2,2,1,0,1,3,0,0,,,,,,,,298,0,5,303,690,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,20,C,6,0,C06,90,71,7,4,6,3,8,118,1,1,1,1,1,0,0,2,4,0,0,,,,,,,,318,0,10,328,690,Grupo de Recuento,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,21,B,1,0,B,94,96,5,3,10,1,2,82,2,1,1,2,2,2,0,2,1,0,0,,,,,,,,306,0,3,309,620,Grupo de Recuento,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,21,C,1,0,C01,79,94,5,3,4,0,4,66,1,1,0,0,1,0,1,0,5,0,1,,,,,,,,265,0,13,278,620,Grupo de Recuento,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,21,C,2,0,C02,99,84,4,5,14,4,11,74,2,1,2,0,6,0,0,0,1,0,0,,,,,,,,307,0,9,316,619,Grupo de Recuento,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,22,B,1,0,B,98,66,11,10,12,6,3,83,1,1,1,1,2,0,0,1,0,0,0,,,,,,,,296,0,6,302,707,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,22,C,1,0,C01,106,75,5,6,10,5,5,88,1,5,0,0,0,0,0,0,0,0,0,,,,,,,,306,0,9,315,706,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,22,C,2,0,C02,98,104,2,5,12,2,8,85,3,0,2,2,2,1,0,1,1,1,0,,,,,,,,329,0,7,336,706,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,22,C,3,0,C03,103,80,3,9,8,0,8,101,0,6,0,1,0,0,0,0,1,0,0,,,,,,,,320,0,4,324,706,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,22,C,4,0,C04,95,76,7,4,16,5,5,84,2,4,3,7,0,1,0,1,1,1,0,,,,,,,,312,0,10,322,706,Grupo de Recuento,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,22,C,5,0,C05,89,84,6,3,13,8,3,99,1,1,0,2,1,0,0,1,1,0,0,,,,,,,,312,0,18,330,706,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,22,C,6,0,C06,107,85,5,10,7,0,3,93,1,2,3,0,1,0,0,2,1,0,0,,,,,,,,320,0,12,332,706,Grupo de Recuento,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,22,C,7,0,C07,105,52,3,6,0,2,9,101,0,0,3,0,3,0,0,0,0,0,0,,,,,,,,284,0,10,294,706,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,22,C,8,0,C08,102,82,10,7,13,0,14,77,2,2,3,1,2,0,0,1,3,0,0,,,,,,,,319,0,9,328,706,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,23,B,1,0,B,72,95,3,6,20,4,0,76,2,3,0,3,1,1,1,1,6,0,1,,,,,,,,295,0,5,300,627,Grupo de Recuento,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,23,C,1,0,C01,80,70,4,4,15,3,5,105,0,4,0,1,2,0,0,1,0,0,1,,,,,,,,295,0,18,313,627,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,23,C,2,0,C02,65,94,2,5,8,5,5,91,2,5,1,6,3,3,0,1,3,0,1,,,,,,,,300,0,8,308,626,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,23,C,3,0,C03,81,77,5,1,17,2,2,71,5,4,1,6,3,0,1,2,0,0,0,,,,,,,,278,0,12,290,626,Grupo de Recuento,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,23,C,4,0,C04,52,75,5,5,15,4,5,99,2,4,0,1,3,1,1,0,4,1,0,,,,,,,,277,0,9,286,626,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,23,C,5,0,C05,69,79,4,3,10,1,4,83,1,4,0,0,2,0,0,2,1,0,0,,,,,,,,263,0,4,267,626,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,24,B,1,0,B,76,68,5,4,16,3,0,107,1,2,4,0,0,0,0,3,3,0,1,,,,,,,,293,0,4,297,690,Grupo de Recuento,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,24,C,1,0,C01,109,65,10,1,16,2,4,85,5,0,1,0,4,0,0,4,2,0,1,,,,,,,,309,0,4,313,689,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,24,C,2,0,C02,75,69,3,2,9,4,8,96,2,1,2,2,0,0,0,0,7,0,1,,,,,,,,281,0,5,286,689,Grupo de Recuento,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,24,C,3,0,C03,74,49,4,4,12,2,5,109,3,1,1,3,0,1,0,2,2,0,1,,,,,,,,273,0,14,287,689,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,24,C,4,0,C04,94,68,5,10,11,6,7,83,2,6,4,1,4,0,0,1,3,0,0,,,,,,,,305,0,14,319,689,Grupo de Recuento,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,24,C,5,0,C05,73,68,3,6,15,5,5,95,2,1,0,6,1,0,0,0,4,0,0,,,,,,,,284,0,9,293,689,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,24,C,6,0,C06,81,65,6,5,12,5,6,113,2,0,3,3,1,0,0,1,3,0,4,,,,,,,,310,0,16,326,689,Grupo de Recuento,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,24,C,7,0,C07,75,55,7,4,14,3,1,98,1,3,1,4,0,0,0,0,1,0,1,,,,,,,,268,0,10,278,689,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,24,C,8,0,C08,88,59,3,2,9,0,3,117,2,0,0,0,5,0,0,0,1,0,0,,,,,,,,289,0,7,296,689,Grupo de Recuento,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,24,C,9,0,C09,78,73,3,2,12,8,2,124,1,2,2,2,0,0,0,0,0,0,2,,,,,,,,311,0,15,326,689,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,24,C,10,0,C10,76,67,3,4,12,2,6,102,0,1,4,0,0,0,0,3,1,0,0,,,,,,,,281,0,9,290,689,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,25,B,1,0,B,76,98,2,6,8,2,4,53,3,1,0,1,1,0,0,0,0,0,0,,,,,,,,255,0,13,268,567,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,25,C,1,0,C01,77,88,2,3,13,5,6,55,1,3,2,0,2,0,0,1,0,0,0,,,,,,,,258,0,12,270,567,Grupo de Recuento,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,25,C,2,0,C02,87,93,4,6,6,4,3,42,3,1,0,4,7,1,0,0,1,0,0,,,,,,,,262,0,15,277,567,Grupo de Recuento,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,25,C,3,0,C03,94,90,5,7,6,2,5,56,4,0,0,1,0,0,0,0,3,0,0,,,,,,,,273,0,9,282,567,Grupo de Recuento,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,26,B,1,0,B,86,73,17,6,17,1,8,102,0,2,0,8,6,0,0,0,0,0,0,,,,,,,,326,0,12,338,681,Grupo de Recuento,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,26,C,1,0,C01,80,70,4,4,15,3,5,105,0,4,0,1,2,0,0,1,0,0,1,,,,,,,,295,0,18,313,681,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,26,C,4,0,C04,82,83,4,9,11,4,1,93,2,1,1,2,4,0,0,0,0,2,0,,,,,,,,299,0,14,313,680,Grupo de Recuento,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,26,C,5,0,C05,66,92,6,9,16,4,2,69,6,1,2,6,2,0,0,1,1,0,3,,,,,,,,286,0,9,295,680,Grupo de Recuento,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,26,S,1,0,SMR01,56,242,4,13,12,4,6,116,1,0,0,12,1,0,0,1,0,0,0,,,,,,,,468,0,10,478,0,Grupo de Recuento,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,27,B,1,0,B,32,31,2,2,5,1,0,25,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,98,0,1,99,128,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,28,B,1,0,B,8,26,0,0,0,1,0,37,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,72,0,5,77,126,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,30,B,1,0,B,58,65,0,3,3,1,2,20,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,153,0,5,158,296,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,31,B,1,0,B,100,75,5,6,3,4,5,0,1,0,2,5,6,3,1,1,0,0,0,,,,,,,,217,0,11,228,664,Grupo de Recuento,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,31,C,1,0,C01,102,81,9,8,10,4,7,84,3,4,1,19,6,0,0,0,0,5,0,,,,,,,,343,0,9,352,664,Grupo de Recuento,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,31,C,2,0,C02,87,93,13,5,11,2,4,101,1,1,1,2,2,1,0,3,4,0,0,,,,,,,,331,0,7,338,664,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,31,C,3,0,C03,107,98,4,4,14,2,2,88,5,2,3,0,0,5,0,3,1,0,0,,,,,,,,338,0,8,346,664,Acta Casilla,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,31,C,5,0,C05,94,76,8,3,5,4,5,81,2,4,3,4,0,0,0,1,0,0,1,,,,,,,,291,0,8,299,663,Grupo de Recuento,,,
1,26,Sonora,7,AGUA PRIETA,2,AGUA PRIETA,32,B,1,0,B,33,57,2,3,12,1,2,45,2,0,1,3,0,1,0,0,2,0,0,,,,,,,,164,0,11,175,327,Grupo de Recuento,,,
1,26,Sonora,21,HUATABAMPO,62,ALAMOS,1109,B,1,0,B,0,0,0,0,0,18,0,0,0,12,108,,,,,73,0,0,0,211,,,,,,,422,0,14,436,645,Grupo de Recuento,,,
1,26,Sonora,21,HUATABAMPO,62,ALAMOS,1109,C,1,0,C01,133,0,7,0,4,21,0,68,3,7,5,,,,,0,0,0,0,174,,,,,,,422,0,25,447,645,Grupo de Recuento,,,
1,26,Sonora,21,HUATABAMPO,62,ALAMOS,1109,C,2,0,C02,122,0,2,0,4,16,0,62,2,9,2,,,,,1,0,0,0,187,,,,,,,407,0,23,430,645,Grupo de Recuento,,,
1,26,Sonora,21,HUATABAMPO,62,ALAMOS,1109,C,3,0,C03,93,0,4,0,3,14,0,94,2,4,4,,,,,5,1,0,0,179,,,,,,,403,0,13,416,645,Grupo de Recuento,,,
1,26,Sonora,21,HUATABAMPO,62,ALAMOS,1109,C,4,0,C04,0,0,0,0,0,16,0,0,0,7,129,,,,,70,0,0,0,188,,,,,,,410,0,22,432,645,Grupo de Recuento,,,
1,26,Sonora,21,HUATABAMPO,62,ALAMOS,1109,C,5,0,C05,0,0,0,0,0,16,0,0,0,9,127,,,,,82,0,0,0,173,,,,,,,407,0,18,425,644,Grupo de Recuento,,,
1,26,Sonora,21,HUATABAMPO,62,ALAMOS,1110,B,1,0,B,126,0,4,0,1,7,0,39,2,4,0,,,,,0,1,0,0,169,,,,,,,353,0,20,373,570,Grupo de Recuento,,,
1,26,Sonora,21,HUATABAMPO,62,ALAMOS,1110,C,1,0,C01,125,0,0,0,0,17,0,0,0,6,0,,,,,59,0,0,0,144,,,,,,,351,0,16,367,570,Grupo de Recuento,,,
1,26,Sonora,21,HUATABAMPO,62,ALAMOS,1110,C,2,0,C02,0,0,0,0,0,11,0,0,0,4,139,,,,,79,0,0,0,150,,,,,,,383,0,16,399,570,Grupo de Recuento,,,
1,26,Sonora,21,HUATABAMPO,62,ALAMOS,1111,B,1,0,B,136,0,3,0,2,13,0,67,3,5,7,,,,,0,0,0,1,145,,,,,,,382,0,24,406,595,Grupo de Recuento,,,
1,26,Sonora,21,HUATABAMPO,62,ALAMOS,1111,C,1,0,C01,95,0,0,0,0,9,0,0,0,6,0,,,,,66,0,0,0,163,,,,,,,339,0,14,353,595,Grupo de Recuento,,,
1,26,Sonora,21,HUATABAMPO,62,ALAMOS,1112,B,1,0,B,81,0,7,0,1,12,0,67,1,5,3,,,,,0,0,0,0,191,,,,,,,368,0,15,383,567,Grupo de Recuento,,,
1,26,Sonora,21,HUATABAMPO,62,ALAMOS,1112,C,1,0,C01,0,0,0,0,0,16,0,0,0,11,82,,,,,65,0,0,0,178,,,,,,,352,0,16,368,567,Grupo de Recuento,,,
1,26,Sonora,21,HUATABAMPO,62,ALAMOS,1113,B,1,0,B,62,0,7,0,5,0,0,8,6,0,4,,,,,0,0,0,0,128,,,,,,,220,0,32,252,410,Grupo de Recuento,,,
1,26,Sonora,21,HUATABAMPO,62,ALAMOS,1113,C,1,0,C01,0,0,0,0,0,4,0,0,0,0,64,,,,,12,0,0,0,149,,,,,,,229,0,32,261,410,Grupo de Recuento,,,
1,26,Sonora,21,HUATABAMPO,62,ALAMOS,1114,B,1,0,B,98,0,2,0,5,5,0,5,1,0,10,,,,,0,0,0,0,79,,,,,,,205,0,41,246,359,Grupo de Recuento,,,
1,26,Sonora,21,HUATABAMPO,62,ALAMOS,1115,B,1,0,B,0,0,0,0,0,11,0,0,0,0,96,,,,,32,0,0,0,144,,,,,,,283,0,11,294,435,Grupo de Recuento,,,
