municipality,section,PAN,PRI,PRD,MC,NA,PVEM,PT,PRI-PVEM-NA,PRI-PVEM,PRI-NA,Nulos,Validos,Total, ,
CADEREYTA DE MONTES,53,260,0,14,3,0,11,12,0,0,110,38,410,448, ,
CADEREYTA DE MONTES,54,122,0,17,18,0,15,18,0,0,294,57,484,541, ,
CADEREYTA DE MONTES,55,238,0,29,10,0,70,14,0,0,392,51,753,804, ,
CADEREYTA DE MONTES,56,292,0,58,0,0,10,17,0,0,150,67,527,594, ,
CADEREYTA DE MONTES,57,173,0,16,2,0,15,14,0,0,141,48,361,409, ,
CADEREYTA DE MONTES,58,202,0,95,11,0,30,23,0,0,211,81,572,653, ,
CADEREYTA DE MONTES,59,80,0,9,20,0,39,26,0,0,251,90,425,515, ,
CADEREYTA DE MONTES,60,129,0,190,4,0,28,97,0,0,320,78,768,846, ,
CADEREYTA DE MONTES,61,517,0,34,36,0,25,57,0,0,579,111,1248,1359, ,
CADEREYTA DE MONTES,62,172,0,12,12,0,10,22,0,0,104,49,332,381, ,
CADEREYTA DE MONTES,63,181,0,32,7,0,12,31,0,0,255,57,518,575, ,
CADEREYTA DE MONTES,64,219,0,9,6,0,5,31,0,0,266,58,536,594, ,
CADEREYTA DE MONTES,65,220,0,28,22,0,46,40,0,0,595,89,951,1040, ,
CADEREYTA DE MONTES,66,738,0,29,59,0,78,138,0,0,727,130,1769,1899, ,
CADEREYTA DE MONTES,67,124,0,13,7,0,14,28,0,0,222,34,408,442, ,
CADEREYTA DE MONTES,68,179,0,4,4,0,6,4,0,0,206,71,403,474, ,
CADEREYTA DE MONTES,69,356,0,19,58,0,45,54,0,0,664,101,1196,1297, ,
CADEREYTA DE MONTES,70,536,0,30,29,0,70,135,0,0,603,109,1403,1512, ,
CADEREYTA DE MONTES,71,423,0,13,17,0,30,29,0,0,625,61,1137,1198, ,
CADEREYTA DE MONTES,72,339,0,22,35,0,79,127,0,0,468,98,1070,1168, ,
CADEREYTA DE MONTES,73,721,0,16,12,0,24,48,0,0,558,105,1379,1484, ,
CADEREYTA DE MONTES,74,223,0,3,2,0,23,11,0,0,253,34,515,549, ,
CADEREYTA DE MONTES,75,338,0,48,23,0,41,52,0,0,523,161,1025,1186, ,
COLÓN,76,231,0,14,381,0,11,11,0,0,363,41,1011,1052, ,
COLÓN,77,324,0,10,410,0,7,8,0,0,380,48,1139,1187,,
COLÓN,78,273,0,19,342,0,9,11,0,0,314,42,968,1010,,
COLÓN,79,478,0,29,773,0,21,19,0,0,652,128,1972,2100,,
COLÓN,80,26,0,7,43,0,9,4,0,0,179,64,268,332,,
COLÓN,81,275,0,14,100,0,13,14,0,0,396,146,812,958,,
COLÓN,82,180,0,10,213,0,13,43,0,0,269,79,728,807,,
COLÓN,83,412,0,17,362,0,16,84,0,0,804,141,1695,1836,,
COLÓN,84,148,0,8,219,0,14,41,0,0,297,111,727,838,,
COLÓN,85,216,0,27,69,0,16,9,0,0,262,64,599,663,,
COLÓN,86,161,0,8,187,0,16,13,0,0,353,68,738,806,,
COLÓN,87,139,0,3,801,0,9,14,0,0,164,72,1130,1202,,
COLÓN,88,213,0,11,950,0,18,74,0,0,240,101,1506,1607,,
COLÓN,89,579,0,31,468,0,53,18,0,0,495,183,1644,1827,,
COLÓN,90,221,0,9,130,0,157,7,0,0,384,80,908,988,,
COLÓN,91,247,0,6,157,0,77,7,0,0,415,67,909,976,,
COLÓN,92,642,0,62,402,0,76,59,0,0,853,146,2094,2240,,
COLÓN,93,486,0,36,367,0,34,9,0,0,747,128,1679,1807,,
COLÓN,94,324,0,20,347,0,34,43,0,0,539,161,1307,1468,,
COLÓN,95,273,0,11,269,0,21,7,0,0,415,107,996,1103,,
COLÓN,96,308,0,26,396,0,55,35,0,0,645,127,1465,1592,,
CORREGIDORA,97,905,0,164,58,0,0,244,774,0,0,73,2145,2218,,
CORREGIDORA,98,846,0,178,65,0,0,229,733,0,0,64,2051,2115,,
CORREGIDORA,99,1835,0,427,93,0,0,289,1146,0,0,116,3790,3906,,
CORREGIDORA,100,1113,0,132,79,0,0,117,660,0,0,54,2101,2155,,
CORREGIDORA,101,623,0,115,38,0,0,182,493,0,0,64,1451,1515,,
CORREGIDORA,102,398,0,55,27,0,0,164,439,0,0,43,1083,1126,,
CORREGIDORA,103,901,0,207,72,0,0,306,820,0,0,80,2306,2386,,
CORREGIDORA,104,368,0,80,34,0,0,171,328,0,0,80,981,1061,,
CORREGIDORA,105,1072,0,235,95,0,0,578,1165,0,0,196,3145,3341,,
CORREGIDORA,106,378,0,83,37,0,0,206,425,0,0,68,1129,1197,,
CORREGIDORA,107,343,0,100,23,0,0,173,361,0,0,63,1000,1063,,
CORREGIDORA,108,407,0,87,31,0,0,169,361,0,0,66,1055,1121,,
CORREGIDORA,109,418,0,94,40,0,0,119,407,0,0,61,1078,1139,,
CORREGIDORA,110,671,0,187,48,0,0,121,694,0,0,83,1721,1804,,
CORREGIDORA,111,503,0,177,56,0,0,127,575,0,0,61,1438,1499,,
CORREGIDORA,113,2959,0,546,203,0,0,307,1651,0,0,160,5666,5826,,
CORREGIDORA,114,692,0,159,86,0,0,240,842,0,0,135,2019,2154,,
CORREGIDORA,115,1302,0,298,82,0,0,647,1308,0,0,224,3637,3861,,
CORREGIDORA,116,400,0,132,32,0,0,246,633,0,0,104,1443,1547,,
CORREGIDORA,117,536,0,79,17,0,0,76,368,0,0,51,1076,1127,,
CORREGIDORA,118,309,0,55,28,0,0,72,437,0,0,108,901,1009,,
CORREGIDORA,119,125,0,30,7,0,0,73,497,0,0,26,732,758,,
CORREGIDORA,120,733,0,110,84,0,0,84,517,0,0,169,1528,1697,,
CORREGIDORA,121,607,0,81,58,0,0,84,662,0,0,106,1492,1598,,
CORREGIDORA,688,517,0,128,35,0,0,55,320,0,0,46,1055,1101,,
CORREGIDORA,689,81,0,30,5,0,0,10,116,0,0,12,242,254,,
CORREGIDORA,690,99,0,33,10,0,0,17,123,0,0,25,282,307,,
CORREGIDORA,694,175,0,51,34,0,0,38,228,0,0,13,526,539,,
CORREGIDORA,695,202,0,54,30,0,0,47,200,0,0,21,533,554,,
CORREGIDORA,764,271,0,63,9,0,0,70,276,0,0,37,689,726,,
CORREGIDORA,765,301,0,56,27,0,0,46,182,0,0,24,612,636,,
CORREGIDORA,766,138,0,38,5,0,0,20,97,0,0,8,298,306,,
CORREGIDORA,767,256,0,61,22,0,0,27,138,0,0,16,504,520,,
CORREGIDORA,768,178,0,47,11,0,0,12,75,0,0,8,323,331,,
CORREGIDORA,769,75,0,50,11,0,0,14,79,0,0,8,229,237,,
CORREGIDORA,770,274,0,73,20,0,0,18,159,0,0,16,544,560,,
CORREGIDORA,771,200,0,44,12,0,0,17,99,0,0,7,372,379,,
CORREGIDORA,772,370,0,66,19,0,0,41,195,0,0,19,691,710,,
CORREGIDORA,773,66,0,17,2,0,0,32,70,0,0,8,187,195,,
CORREGIDORA,774,211,0,30,5,0,0,15,104,0,0,8,365,373,,
CORREGIDORA,775,266,0,52,13,0,0,23,133,0,0,16,487,503,,
CORREGIDORA,776,307,0,88,16,0,0,24,171,0,0,14,606,620,,
CORREGIDORA,777,211,0,58,16,0,0,28,139,0,0,8,452,460,,
CORREGIDORA,778,322,0,74,17,0,0,28,184,0,0,20,625,645,,
CORREGIDORA,779,163,0,42,5,0,0,24,105,0,0,11,339,350,,
CORREGIDORA,780,114,0,22,16,0,0,4,79,0,0,6,235,241,,
CORREGIDORA,781,111,0,23,6,0,0,4,51,0,0,10,195,205,,
CORREGIDORA,782,208,0,51,8,0,0,15,110,0,0,10,392,402,,
CORREGIDORA,783,184,0,52,4,0,0,12,74,0,0,14,326,340,,
CORREGIDORA,784,356,0,139,49,0,0,40,241,0,0,35,825,860,,
CORREGIDORA,785,383,0,135,22,0,0,51,309,0,0,42,900,942,,
CORREGIDORA,786,306,0,67,13,0,0,28,147,0,0,17,561,578,,
CORREGIDORA,787,144,0,30,3,0,0,5,56,0,0,12,238,250,,
CORREGIDORA,788,139,0,32,7,0,0,16,137,0,0,12,331,343,,
CORREGIDORA,789,218,0,47,11,0,0,15,136,0,0,23,427,450,,
CORREGIDORA,790,248,0,58,10,0,0,12,121,0,0,18,449,467,,
CORREGIDORA,791,318,0,124,43,0,0,38,236,0,0,33,759,792,,
CORREGIDORA,792,281,0,60,15,0,0,27,129,0,0,17,512,529,,
CORREGIDORA,793,171,0,61,12,0,0,14,92,0,0,12,350,362,,
CORREGIDORA,794,167,0,47,10,0,0,10,84,0,0,6,318,324,,
CORREGIDORA,795,165,0,56,4,0,0,17,90,0,0,10,332,342,,
CORREGIDORA,796,129,0,20,3,0,0,11,84,0,0,7,247,254,,
EL MARQUÉS,182,637,0,498,49,0,22,18,0,0,565,76,1789,1865,,
EL MARQUÉS,183,512,0,629,22,0,19,10,0,0,483,66,1675,1741,,
EL MARQUÉS,184,501,0,374,34,0,13,7,0,0,446,44,1375,1419,,
EL MARQUÉS,185,395,0,355,8,0,8,8,0,0,447,67,1221,1288,,
EL MARQUÉS,186,220,0,27,14,0,10,5,0,0,145,38,421,459,,
EL MARQUÉS,187,356,0,28,4,0,4,8,0,0,178,64,578,642,,
EL MARQUÉS,188,967,0,149,12,0,32,24,0,0,470,97,1654,1751,,
EL MARQUÉS,189,594,0,243,29,0,38,57,0,0,468,134,1429,1563,,
EL MARQUÉS,190,793,0,175,21,0,32,4,0,0,621,152,1646,1798,,
EL MARQUÉS,191,1164,0,359,49,0,9,14,0,0,397,98,1992,2090,,
EL MARQUÉS,192,1016,0,146,9,0,15,20,0,0,317,102,1523,1625,,
EL MARQUÉS,193,414,0,183,16,0,11,5,0,0,318,59,947,1006,,
EL MARQUÉS,194,260,0,273,22,0,20,8,0,0,228,72,811,883,,
EL MARQUÉS,195,1527,0,571,109,0,77,47,0,0,990,201,3321,3522,,
EL MARQUÉS,196,698,0,318,63,0,28,17,0,0,656,115,1780,1895,,
EL MARQUÉS,197,529,0,249,7,0,16,10,0,0,336,93,1147,1240,,
EL MARQUÉS,198,858,0,268,4,0,9,3,0,0,397,65,1539,1604,,
EL MARQUÉS,199,710,0,173,12,0,17,14,0,0,369,81,1295,1376,,
EL MARQUÉS,200,722,0,291,20,0,40,21,0,0,453,119,1547,1666,,
EL MARQUÉS,201,793,0,324,18,0,45,19,0,0,667,144,1866,2010,,
EL MARQUÉS,202,576,0,905,52,0,61,39,0,0,888,150,2521,2671,,
EL MARQUÉS,203,1080,0,272,36,0,56,16,0,0,1001,125,2461,2586,,
EL MARQUÉS,204,541,0,254,17,0,73,20,0,0,797,144,1702,1846,,
EL MARQUÉS,205,862,0,401,24,0,152,19,0,0,880,119,2338,2457,,
EL MARQUÉS,206,334,0,162,17,0,29,14,0,0,521,32,1077,1109,,
EL MARQUÉS,207,465,0,213,33,0,39,15,0,0,560,94,1325,1419,,
EL MARQUÉS,208,529,0,266,17,0,49,26,0,0,606,100,1493,1593,,
EL MARQUÉS,209,354,0,164,9,0,28,11,0,0,492,73,1058,1131,,
EL MARQUÉS,555,144,0,156,9,0,40,13,0,0,264,60,626,686,,
EL MARQUÉS,760,110,0,93,12,0,18,6,0,0,250,45,489,534,,
EL MARQUÉS,761,368,0,64,22,0,9,9,0,0,144,29,616,645,,
EL MARQUÉS,762,256,0,96,10,0,31,10,0,0,375,46,778,824,,
EL MARQUÉS,763,225,0,87,12,0,29,12,0,0,397,76,762,838,,
EZEQUIEL MONTES,122,212,0,92,114,0,281,41,0,0,415,93,1155,1248,,
EZEQUIEL MONTES,123,155,0,39,81,0,283,35,0,0,299,27,892,919,,
EZEQUIEL MONTES,124,237,0,175,161,0,213,25,0,0,415,52,1226,1278,,
EZEQUIEL MONTES,125,211,0,30,93,0,208,30,0,0,337,46,909,955,,
EZEQUIEL MONTES,126,327,0,60,135,0,222,39,0,0,542,50,1325,1375,,
EZEQUIEL MONTES,127,352,0,83,113,0,254,49,0,0,557,44,1408,1452,,
EZEQUIEL MONTES,128,437,0,129,175,0,446,64,0,0,779,115,2030,2145,,
EZEQUIEL MONTES,129,306,0,28,80,0,118,23,0,0,256,37,811,848,,
EZEQUIEL MONTES,130,440,0,41,87,0,150,30,0,0,395,66,1143,1209,,
EZEQUIEL MONTES,131,231,0,14,30,0,309,19,0,0,327,70,930,1000,,
EZEQUIEL MONTES,132,108,0,16,28,0,308,12,0,0,251,50,723,773,,
EZEQUIEL MONTES,133,302,0,73,78,0,112,18,0,0,249,41,832,873,,
EZEQUIEL MONTES,134,173,0,65,76,0,236,17,0,0,275,49,842,891,,
EZEQUIEL MONTES,135,204,0,68,76,0,192,16,0,0,332,53,888,941,,
EZEQUIEL MONTES,136,246,0,90,56,0,168,19,0,0,298,52,877,929,,
EZEQUIEL MONTES,137,234,0,23,43,0,160,8,0,0,407,76,875,951,,
EZEQUIEL MONTES,138,75,0,17,29,0,54,10,0,0,167,19,352,371,,
HUIMILPAN,139,526,0,177,20,42,0,8,0,440,0,74,1213,1287,,
HUIMILPAN,140,401,0,49,18,21,0,2,0,288,0,43,779,822,,
HUIMILPAN,141,639,0,139,75,86,0,21,0,458,0,43,1418,1461,,
HUIMILPAN,142,240,0,94,125,16,0,17,0,149,0,36,641,677,,
HUIMILPAN,143,251,0,148,22,30,0,12,0,376,0,52,839,891,,
HUIMILPAN,144,617,0,339,29,29,0,16,0,374,0,107,1404,1511,,
HUIMILPAN,145,247,0,315,74,25,0,16,0,357,0,94,1034,1128,,
HUIMILPAN,146,273,0,39,23,9,0,5,0,217,0,33,566,599,,
HUIMILPAN,147,785,0,105,89,86,0,15,0,466,0,103,1546,1649,,
HUIMILPAN,148,317,0,110,17,17,0,9,0,225,0,40,695,735,,
HUIMILPAN,149,213,0,128,8,43,0,13,0,285,0,48,690,738,,
HUIMILPAN,150,240,0,201,9,53,0,1,0,327,0,75,831,906,,
HUIMILPAN,151,207,0,124,68,13,0,8,0,161,0,52,581,633,,
HUIMILPAN,152,406,0,143,92,27,0,13,0,548,0,89,1229,1318,,
JALPAN DE SERRA,153,711,0,39,22,0,115,0,0,0,1072,104,1959,2063,,
JALPAN DE SERRA,154,530,0,29,12,0,64,0,0,0,742,71,1377,1448,,
JALPAN DE SERRA,155,687,0,43,22,0,75,0,0,0,718,100,1545,1645,,
JALPAN DE SERRA,156,456,0,29,9,0,39,0,0,0,653,35,1186,1221,,
JALPAN DE SERRA,157,389,0,8,0,0,20,0,0,0,260,84,677,761,,
JALPAN DE SERRA,158,332,0,9,6,0,20,0,0,0,305,76,672,748,,
JALPAN DE SERRA,159,131,0,4,2,0,4,0,0,0,94,24,235,259,,
JALPAN DE SERRA,160,210,0,7,2,0,14,0,0,0,196,34,429,463,,
JALPAN DE SERRA,161,380,0,9,6,0,14,0,0,0,429,77,838,915,,
JALPAN DE SERRA,162,81,0,2,9,0,3,0,0,0,208,41,303,344,,
JALPAN DE SERRA,163,199,0,5,1,0,20,0,0,0,189,65,414,479,,
JALPAN DE SERRA,164,246,0,4,4,0,14,0,0,0,199,55,467,522,,
JALPAN DE SERRA,165,150,0,13,4,0,21,0,0,0,147,46,335,381,,
JALPAN DE SERRA,166,184,0,18,8,0,7,0,0,0,141,47,358,405,,
JALPAN DE SERRA,167,348,0,17,4,0,39,0,0,0,444,109,852,961,,
LANDA DE MATAMOROS,168,288,870,45,6,0,0,31,0,0,0,75,1240,1315,,
LANDA DE MATAMOROS,169,251,234,5,2,0,0,2,0,0,0,24,494,518,,
LANDA DE MATAMOROS,170,301,333,6,0,0,0,1,0,0,0,29,641,670,,
LANDA DE MATAMOROS,171,322,611,13,7,0,0,18,0,0,0,52,971,1023,,
LANDA DE MATAMOROS,172,141,331,14,2,0,0,13,0,0,0,38,501,539,,
LANDA DE MATAMOROS,173,169,311,11,4,0,0,4,0,0,0,17,499,516,,
LANDA DE MATAMOROS,174,167,521,72,16,0,0,8,0,0,0,58,784,842,,
LANDA DE MATAMOROS,175,268,341,5,3,0,0,20,0,0,0,21,637,658,,
LANDA DE MATAMOROS,176,517,597,11,1,0,0,28,0,0,0,60,1154,1214,,
LANDA DE MATAMOROS,177,128,236,40,1,0,0,13,0,0,0,46,418,464,,
LANDA DE MATAMOROS,178,58,214,13,3,0,0,4,0,0,0,21,292,313,,
LANDA DE MATAMOROS,179,115,199,3,0,0,0,3,0,0,0,12,320,332,,
LANDA DE MATAMOROS,180,305,668,26,1,0,0,9,0,0,0,48,1009,1057,,
LANDA DE MATAMOROS,181,46,243,5,1,0,0,2,0,0,0,10,297,307,,
PEDRO ESCOBEDO,210,142,364,424,72,120,22,0,0,0,0,59,1144,1203,,
PEDRO ESCOBEDO,211,105,277,369,40,100,9,0,0,0,0,27,900,927,,
PEDRO ESCOBEDO,212,111,468,433,57,122,15,0,0,0,0,62,1206,1268,,
PEDRO ESCOBEDO,213,96,282,408,52,164,12,0,0,0,0,31,1014,1045,,
PEDRO ESCOBEDO,214,158,424,504,64,212,18,0,0,0,0,63,1380,1443,,
PEDRO ESCOBEDO,215,221,387,203,89,65,16,0,0,0,0,58,981,1039,,
PEDRO ESCOBEDO,216,419,425,267,181,75,20,0,0,0,0,79,1387,1466,,
PEDRO ESCOBEDO,217,168,378,226,122,219,28,0,0,0,0,64,1141,1205,,
PEDRO ESCOBEDO,218,114,337,184,72,62,9,0,0,0,0,50,778,828,,
PEDRO ESCOBEDO,219,115,357,329,86,99,12,0,0,0,0,37,998,1035,,
PEDRO ESCOBEDO,220,161,265,294,53,136,28,0,0,0,0,79,937,1016,,
PEDRO ESCOBEDO,221,182,295,278,29,139,26,0,0,0,0,92,949,1041,,
PEDRO ESCOBEDO,222,361,578,504,92,58,20,0,0,0,0,116,1613,1729,,
PEDRO ESCOBEDO,223,289,360,415,153,109,26,0,0,0,0,75,1352,1427,,
PEDRO ESCOBEDO,224,207,269,400,44,63,422,0,0,0,0,90,1405,1495,,
PEDRO ESCOBEDO,225,173,280,360,52,83,97,0,0,0,0,47,1045,1092,,
PEDRO ESCOBEDO,226,366,561,272,84,67,40,0,0,0,0,115,1390,1505,,
PEDRO ESCOBEDO,227,179,331,638,66,82,20,0,0,0,0,98,1316,1414,,
PEDRO ESCOBEDO,228,134,326,579,43,81,20,0,0,0,0,111,1183,1294,,
PEDRO ESCOBEDO,229,102,238,219,48,13,6,0,0,0,0,51,626,677,,
PEDRO ESCOBEDO,230,396,730,596,282,180,39,0,0,0,0,155,2223,2378,,
PEDRO ESCOBEDO,231,250,718,367,49,23,18,0,0,0,0,152,1425,1577,,
PEDRO ESCOBEDO,232,27,152,97,64,7,4,0,0,0,0,32,351,383,,
PEDRO ESCOBEDO,233,197,327,388,56,79,139,0,0,0,0,53,1186,1239,,
PEÑAMILLER,234,361,424,11,44,175,26,0,0,0,0,49,1041,1090,,
PEÑAMILLER,235,56,180,4,7,33,4,0,0,0,0,19,284,303,,
PEÑAMILLER,236,34,133,3,7,21,6,0,0,0,0,15,204,219,,
PEÑAMILLER,237,433,590,11,41,109,25,0,0,0,0,64,1209,1273,,
PEÑAMILLER,238,131,152,8,4,19,5,0,0,0,0,16,319,335,,
PEÑAMILLER,239,34,137,1,3,76,11,0,0,0,0,18,262,280,,
PEÑAMILLER,240,206,393,7,41,64,5,0,0,0,0,48,716,764,,
PEÑAMILLER,241,111,346,9,51,139,9,0,0,0,0,39,665,704,,
PEÑAMILLER,242,104,299,11,41,68,13,0,0,0,0,32,536,568,,
PEÑAMILLER,243,88,131,5,7,200,4,0,0,0,0,30,435,465,,
PEÑAMILLER,244,105,115,5,57,7,32,0,0,0,0,15,321,336,, 
PEÑAMILLER,245,615,684,12,45,154,7,0,0,0,0,66,1517,1583,, 
PEÑAMILLER,246,12,21,0,2,45,1,0,0,0,0,2,81,83,, 
PEÑAMILLER,247,412,452,36,34,150,10,0,0,0,0,51,1094,1145,, 
PINAL DE AMOLES,248,493,0,12,104,0,0,16,0,0,595,64,1220,1284,, 
PINAL DE AMOLES,249,266,0,11,71,0,0,13,0,0,278,38,639,677,, 
PINAL DE AMOLES,250,398,0,16,13,0,0,6,0,0,387,107,820,927,, 
PINAL DE AMOLES,251,390,0,7,12,0,0,3,0,0,493,88,905,993,, 
PINAL DE AMOLES,252,252,0,8,2,0,0,7,0,0,155,37,424,461,, 
PINAL DE AMOLES,253,803,0,19,19,0,0,11,0,0,600,79,1452,1531,, 
PINAL DE AMOLES,254,333,0,13,7,0,0,5,0,0,320,58,678,736,, 
PINAL DE AMOLES,255,74,0,4,4,0,0,1,0,0,93,22,176,198,, 
PINAL DE AMOLES,256,207,0,4,5,0,0,5,0,0,263,30,484,514,, 
PINAL DE AMOLES,257,64,0,6,15,0,0,1,0,0,178,19,264,283,, 
PINAL DE AMOLES,258,336,0,19,42,0,0,11,0,0,297,65,705,770,,
PINAL DE AMOLES,259,201,0,10,21,0,0,5,0,0,350,68,587,655,,
PINAL DE AMOLES,260,447,0,5,8,0,0,9,0,0,250,69,719,788,,
PINAL DE AMOLES,261,277,0,8,15,0,0,6,0,0,330,102,636,738,,
PINAL DE AMOLES,262,317,0,10,53,0,0,14,0,0,384,78,778,856,,
PINAL DE AMOLES,263,110,0,11,8,0,0,7,0,0,165,23,301,324,,
PINAL DE AMOLES,264,186,0,7,6,0,0,2,0,0,182,22,383,405,,
PINAL DE AMOLES,265,58,0,0,0,0,0,0,0,0,118,15,176,191,,
QUERÉTARO,266,616,0,66,108,0,0,31,847,0,0,81,1668,1749,,
QUERÉTARO,267,559,0,63,50,0,0,12,647,0,0,65,1331,1396,,
QUERÉTARO,268,769,0,61,28,0,0,12,676,0,0,66,1546,1612,,
QUERÉTARO,269,662,0,62,31,0,0,20,713,0,0,59,1488,1547,,
QUERÉTARO,270,1010,0,217,312,0,0,83,1271,0,0,165,2893,3058,,
QUERÉTARO,272,570,0,114,132,0,0,31,579,0,0,87,1426,1513,,
QUERÉTARO,273,2771,0,538,550,0,0,121,2580,0,0,235,6560,6795,,
QUERÉTARO,274,396,0,86,93,0,0,18,495,0,0,51,1088,1139,,
QUERÉTARO,275,304,0,70,129,0,0,21,448,0,0,73,972,1045,,
QUERÉTARO,276,1601,0,301,568,0,0,75,1940,0,0,315,4485,4800,,
QUERÉTARO,277,1220,0,288,322,0,0,74,1351,0,0,98,3255,3353,,
QUERÉTARO,278,2181,0,449,463,0,0,84,2224,0,0,201,5401,5602,,
QUERÉTARO,279,227,0,49,42,0,0,14,315,0,0,20,647,667,,
QUERÉTARO,280,420,0,67,62,0,0,13,344,0,0,32,906,938,,
QUERÉTARO,281,555,0,75,90,0,0,15,496,0,0,42,1231,1273,,
QUERÉTARO,282,1657,0,258,335,0,0,68,1416,0,0,113,3734,3847,,
QUERÉTARO,283,326,0,62,60,0,0,15,354,0,0,24,817,841,,
QUERÉTARO,284,332,0,39,45,0,0,14,299,0,0,27,729,756,,
QUERÉTARO,285,235,0,41,167,0,0,13,322,0,0,52,778,830,,
QUERÉTARO,286,297,0,72,103,0,0,24,586,0,0,83,1082,1165,,
QUERÉTARO,287,307,0,101,97,0,0,22,341,0,0,40,868,908,,
