CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,PRS,MC,NVA_ALIANZA,MORENA,ES,PAN_PRD_PT_PRS,PAN_PRD_PT,PAN_PRD_PRS,PAN_PT_PRS,PRD_PT_PRS,PAN_PRD,PAN_PT,PAN_PRS,PRD_PT,PRD_PRS,PT_PRS,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,CAND_IND1,CAND_IND2,CAND_IND3,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,16,C01,60,63,40,2,3,1,15,3,78,4,3,1,0,0,0,0,1,0,1,0,0,0,2,0,0,1,1,30,0,309,4,313,471,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,17,B,44,60,20,3,2,0,11,2,63,1,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,33,0,245,7,252,396,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,17,C01,46,70,36,0,2,1,11,1,67,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,18,0,257,4,261,395,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,18,B,35,65,39,1,0,1,4,2,65,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,39,0,264,7,271,397,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,18,C01,41,57,38,2,3,2,4,1,60,5,3,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,37,0,258,8,266,396,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,19,B,2,32,7,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,69,13,82,119,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,20,B,10,37,5,1,0,0,12,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,71,0,145,23,168,250,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,21,B,108,64,14,5,3,2,1,7,40,1,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2,2,24,0,278,17,295,415,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,22,B,30,31,4,1,0,1,1,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10,0,158,14,172,212,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,23,B,19,73,16,2,4,2,4,2,104,8,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,22,0,261,21,282,415,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,23,E01,30,27,5,0,6,2,1,0,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,111,4,115,156,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,24,B,46,196,59,4,7,3,7,2,161,4,1,0,0,0,0,9,0,0,0,0,2,0,0,0,0,1,3,52,0,557,23,580,732,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,25,B,3,13,8,0,0,1,0,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,0,73,7,80,109,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,26,B,38,17,10,0,5,1,0,0,20,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,29,0,125,6,131,191,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,27,B,46,40,26,0,5,7,1,1,55,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,40,0,227,15,242,492,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,28,B,31,106,21,0,2,0,3,1,41,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,18,0,230,10,240,350,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,29,B,14,29,11,1,2,1,4,0,21,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,16,0,102,8,110,149,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,30,B,24,44,6,1,0,0,4,1,65,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,21,0,168,7,175,232,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,31,B,19,70,5,1,4,0,3,2,102,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,28,0,237,9,246,289,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,32,B,24,200,9,2,0,0,3,1,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,16,0,291,4,295,351,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,33,B,138,96,60,9,11,2,12,5,78,3,5,1,0,1,1,3,0,0,1,0,0,2,0,1,0,3,3,32,0,467,37,504,739,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,34,B,45,41,15,0,2,1,5,1,24,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,46,0,183,4,187,281,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,35,B,23,18,1,0,0,2,2,14,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,75,4,79,106,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,36,B,25,38,21,0,6,1,15,1,56,1,2,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,2,45,0,217,29,246,379,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,36,C01,33,39,29,2,18,3,16,6,58,0,2,1,0,0,0,3,0,0,1,0,0,0,0,1,0,1,1,38,0,252,28,280,378,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,37,B,25,56,12,0,3,0,5,3,33,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,60,0,202,12,214,267,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,38,B,24,106,43,0,4,0,7,1,59,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,73,0,321,23,344,466,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,38,C01,22,106,46,3,1,0,8,0,59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,337,8,345,465,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,39,B,19,61,32,1,3,0,15,0,62,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,38,0,235,15,250,389,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,39,C01,31,59,40,1,1,2,12,2,42,6,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,52,0,253,12,265,389,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,40,B,75,114,53,2,1,0,3,0,178,0,1,0,0,0,0,4,0,0,0,0,0,0,0,1,0,1,0,78,0,511,9,520,692,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,41,B,24,92,17,1,1,0,10,1,71,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,242,6,248,321,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,43,B,66,134,45,7,6,5,6,10,98,3,2,2,0,0,1,9,0,0,0,0,0,0,2,2,0,0,3,72,0,473,13,486,721,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,44,B,27,23,19,2,5,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17,0,106,3,109,139,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,45,B,23,27,23,1,3,0,3,2,44,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,17,0,148,9,157,223,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,46,B,71,42,62,1,3,5,4,1,91,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,18,0,303,8,311,389,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,46,C01,52,36,37,1,6,3,4,0,80,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,30,0,252,14,266,389,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,47,B,71,83,52,2,2,2,5,2,63,1,0,1,0,0,0,3,0,0,2,0,0,0,0,0,1,3,2,122,0,417,26,443,614,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,47,E01,8,24,5,1,1,1,0,1,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,58,5,63,97,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,48,B,21,21,2,1,2,0,1,4,25,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,52,0,133,2,135,226,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,2,AHUACATLAN,49,B,168,136,1,13,1,0,50,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,50,0,462,15,477,670,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,2,AHUACATLAN,50,B,92,69,0,3,0,4,40,1,30,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,28,0,275,5,280,390,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,2,AHUACATLAN,50,C01,84,90,0,2,1,4,30,1,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,32,0,263,3,266,389,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,2,AHUACATLAN,51,B,190,130,4,9,1,7,53,2,27,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,56,0,484,7,491,672,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,2,AHUACATLAN,52,B,104,149,5,19,0,1,42,0,22,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,38,0,386,11,397,569,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,2,AHUACATLAN,52,C01,102,153,7,9,0,2,52,0,10,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,35,0,376,14,390,568,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,2,AHUACATLAN,53,B,101,116,1,8,0,0,42,0,16,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,40,0,332,6,338,492,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,2,AHUACATLAN,53,C01,97,100,2,6,0,2,49,1,26,2,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,2,1,32,0,324,6,330,492,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,2,AHUACATLAN,54,B,153,111,4,4,0,1,51,1,21,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,2,40,0,394,9,403,563,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,2,AHUACATLAN,54,C01,117,120,3,3,1,2,60,1,35,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,37,0,384,6,390,562,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,2,AHUACATLAN,54,SMR01,37,38,2,4,0,0,4,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,113,2,115,0,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,2,AHUACATLAN,55,B,82,83,1,7,0,0,4,0,22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,16,0,220,2,222,286,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,2,AHUACATLAN,56,B,161,161,2,10,3,2,28,1,53,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,40,0,469,13,482,637,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,2,AHUACATLAN,57,B,72,108,0,0,0,0,14,0,12,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,38,0,249,11,260,401,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,2,AHUACATLAN,57,C01,82,92,1,13,0,2,20,1,11,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,269,4,273,400,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,2,AHUACATLAN,58,B,105,139,5,5,1,0,20,3,17,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,23,0,326,11,337,507,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,2,AHUACATLAN,59,B,193,112,2,11,1,1,27,3,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,77,1,453,14,468,656,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,2,AHUACATLAN,59,C01,175,140,1,6,0,0,32,0,5,2,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,6,0,62,0,434,15,449,655,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,2,AHUACATLAN,60,B,176,240,9,1,1,2,12,1,12,0,1,3,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,14,0,476,9,485,661,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,2,AHUACATLAN,61,B,175,159,5,4,0,3,23,1,45,2,1,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,71,0,493,15,508,669,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,2,AHUACATLAN,61,E01,30,43,0,2,0,0,17,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22,0,120,5,125,166,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,2,AHUACATLAN,62,B,34,69,0,1,0,0,34,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,19,0,164,2,166,245,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,2,AHUACATLAN,63,B,25,110,0,3,0,2,36,1,7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,27,0,215,9,224,330,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,2,AHUACATLAN,64,B,25,47,1,0,2,0,10,1,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,46,0,141,7,148,206,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,2,AHUACATLAN,65,B,109,104,1,2,0,0,25,1,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,27,0,279,8,287,435,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,2,AHUACATLAN,65,E01,29,73,0,1,0,0,6,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,144,9,153,220,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,66,B,113,117,3,8,0,1,5,16,28,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,19,0,328,13,341,455,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,67,B,94,60,6,10,2,1,3,23,36,3,1,1,0,0,0,0,2,0,0,0,1,0,0,0,0,1,2,26,0,272,8,280,394,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,67,C01,115,53,1,10,0,0,7,20,32,8,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,29,0,279,10,289,394,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,68,B,114,53,2,10,0,0,17,11,24,15,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,13,0,262,10,272,383,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,68,C01,120,53,2,9,1,1,12,9,23,8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,0,256,10,266,382,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,69,B,123,65,2,7,1,3,13,8,50,9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,17,0,302,5,307,461,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,70,B,68,32,2,11,0,0,6,4,23,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,162,2,164,225,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,71,B,24,31,26,4,0,1,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11,0,119,4,123,192,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,72,B,30,25,15,0,0,0,0,4,2,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,82,2,84,99,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,74,B,55,69,13,7,1,0,13,6,28,12,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,18,0,225,9,234,318,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,74,E01,23,23,12,1,1,0,2,8,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,87,0,87,118,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,75,B,139,160,30,3,0,1,5,8,15,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,15,0,386,13,399,585,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,76,B,28,33,5,2,0,1,2,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,93,6,99,146,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,77,B,83,88,35,7,1,1,13,9,19,8,2,2,0,0,0,1,1,0,1,0,0,0,0,2,0,3,1,18,0,295,17,312,441,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,78,B,119,179,15,15,2,1,9,5,29,17,3,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,2,27,0,426,30,456,652,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,79,B,53,70,53,10,2,0,15,8,16,20,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,41,0,292,13,305,456,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,79,C01,56,97,29,4,2,0,10,3,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,34,0,261,13,274,456,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,80,B,106,57,2,5,1,1,5,7,31,98,6,0,0,0,0,0,1,0,0,0,0,2,0,1,0,1,2,29,0,355,6,361,514,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,81,B,42,29,3,3,0,1,1,4,19,29,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,14,0,150,8,158,219,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,82,B,112,55,0,16,0,1,14,2,36,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,36,1,354,11,366,487,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,83,B,128,98,5,10,1,0,11,5,41,92,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,442,10,452,633,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,84,B,33,22,6,2,1,0,2,6,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,86,8,94,124,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,86,B,25,93,8,5,0,3,1,9,27,3,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,3,37,0,218,9,227,290,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,87,B,25,11,20,0,0,1,1,0,7,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,72,3,75,97,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,88,B,77,114,86,11,0,0,0,3,16,11,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,324,2,326,393,,,,
1,18,NAYARIT,16,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,89,B,50,93,53,6,0,1,5,3,0,45,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,5,0,265,8,273,376,,,,
1,18,NAYARIT,18,MEZCALES,4,BAHIA DE BANDERAS,90,B,76,80,13,12,1,8,28,6,31,2,4,1,0,0,1,0,0,0,1,0,0,0,0,0,0,4,2,39,1,309,12,322,704,,,,
1,18,NAYARIT,18,MEZCALES,4,BAHIA DE BANDERAS,90,C01,62,79,8,8,2,11,40,14,23,1,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,4,1,38,0,297,7,304,704,,,,
1,18,NAYARIT,18,MEZCALES,4,BAHIA DE BANDERAS,90,C02,71,71,9,17,1,7,27,14,33,2,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,4,7,32,0,300,20,320,704,,,,
