ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
28,TAMAULIPAS,21,EL MANTE,86,163,19381,13662,527,955,1163,191,550,10523,1383,436,120,48,185,,,,,,,,3824,785,,,,,,,,,,53733,72,1534,55481,86555,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_ELMANTE.pdf
28,TAMAULIPAS,11,GOMEZ FARIAS,7,18,3318,1436,16,7,32,8,41,356,15,11,7,0,4,,,,,,,,,,,,,,,,,,,5251,1,135,5387,7170,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_GOMEZFARIAS.pdf
28,TAMAULIPAS,12,GONZALEZ,37,66,10808,1633,145,237,335,102,82,5146,114,106,55,7,59,,,,,,,,,,,,,,,,,,,18829,5,701,19535,31247,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_GONZALEZ.pdf
28,TAMAULIPAS,13,GUEMEZ,15,27,2952,1734,38,15,171,64,886,3231,54,31,20,2,11,14,3,12,0,,,,,,,,,,,,,,,9238,20,232,9490,12684,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_GUEMEZ.pdf
28,TAMAULIPAS,14,GUERRERO,3,6,452,627,0,490,17,0,4,30,90,0,0,3,4,,,,,,,,,,,,,,,,,,,1717,0,47,1854,2617,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_GUERRERO.pdf
28,TAMAULIPAS,15,GUSTAVO DIAZ ORDAZ,14,27,2367,1839,28,15,68,14,27,626,2563,61,3,8,135,12,10,9,0,,,,,,,,,,,,,,,7785,0,242,8027,13374,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_GUSTAVODIAZORDAZ.pdf
28,TAMAULIPAS,16,HIDALGO,21,33,6948,621,86,44,471,85,23,777,54,14,11,1,6,13,10,9,1,,,,,,,,,,,,,,,9174,0,749,9792,15169,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_HIDALGO.pdf
28,TAMAULIPAS,17,JAUMAVE,12,26,2007,1487,46,1777,14,1492,6,100,91,1,0,0,1,,,,,,1981,,,,,,,,,,,,,9003,2,436,9441,11608,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_JAUMAVE.pdf
28,TAMAULIPAS,18,JIMENEZ,8,13,2227,329,1,6,6,3,1990,40,2,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,4605,1,198,4804,6022,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_JIMENEZ.pdf
28,TAMAULIPAS,19,LLERA,18,30,3787,305,31,18,71,65,44,201,37,11,2,0,4,29,25,22,2,,,4523,,,,,,,,,,,,9177,0,715,9892,12882,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_LLERA.pdf
28,TAMAULIPAS,20,MAINERO,4,6,1288,60,1,0,8,4,0,17,1,1,0,0,0,2,1,2,0,,,,,,,,,,,,,,,1385,0,121,1507,2148,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_MAINERO.pdf
28,TAMAULIPAS,22,MATAMOROS,224,653,62817,61801,2092,4471,5192,2585,693,71907,1825,1085,485,63,286,796,220,273,34,,,,,,1730,,,,,,,,,218355,129,5785,224269,394634,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_MATAMOROS.pdf
28,TAMAULIPAS,23,MENDEZ,6,10,1518,1233,9,2,33,6,7,399,10,8,4,0,1,,,,,,,,,,,,,,,,,,,3230,0,66,3296,4040,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_MENDEZ.pdf
28,TAMAULIPAS,24,MIER,6,9,1771,686,3,1,8,6,3,56,4,2,0,0,0,,,,,,,,,,,,,,,,,,,2540,1,85,2626,4359,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_MIER.pdf
28,TAMAULIPAS,25,MIGUEL ALEMAN,22,40,3400,5384,60,19,272,35,30,2622,56,45,49,0,17,22,17,20,0,,,,,,,,,,,,,,,12048,11,312,12371,20446,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_MIGUELALEMAN.pdf
28,TAMAULIPAS,26,MIQUIHUANA,4,6,1334,520,4,1,0,527,2,33,0,0,0,0,0,,,,,,,,,,,,,,,,,,,2421,0,70,2491,2960,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_MIQUIHUANA.pdf
28,TAMAULIPAS,27,NUEVO LAREDO,206,523,55514,39099,1178,4822,3525,1366,845,42509,1780,945,486,42,249,535,192,157,83,,,,,,,6325,3956,,,,,,,163608,968,3998,164293,310391,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_NUEVOLAREDO.pdf
28,TAMAULIPAS,28,NUEVO MORELOS,3,5,1342,1130,1,1,1,2,0,12,49,,,,,,,,,,,,,,,,,,,,,,,2538,0,81,2619,3102,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_NUEVOMORELOS.pdf
28,TAMAULIPAS,29,OCAMPO,14,22,4476,3628,6,4,8,2,1,111,2,5,1,0,1,,,,,,,,,,,,,,,,,,,8245,0,235,8480,10570,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_OCAMPO.pdf
28,TAMAULIPAS,30,PADILLA,9,21,4374,2590,12,4,71,12,9,220,23,14,6,0,9,,,,,,,,,,,,,1164,,,,,,8508,1,352,8862,11486,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_PADILLA.pdf
28,TAMAULIPAS,31,PALMILLAS,4,5,571,313,0,2,0,410,1,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,1300,0,24,1324,1704,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_PALMILLAS.pdf
28,TAMAULIPAS,32,REYNOSA,400,888,142596,29455,2520,1901,6124,3601,1608,88525,2461,1851,738,80,506,1619,481,491,69,,,,,,,,,,,,,,,284626,91,5462,290176,509333,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_REYNOSA.pdf
28,TAMAULIPAS,33,RIO BRAVO,72,174,17382,16411,872,732,1688,675,222,9249,891,275,169,34,133,210,141,107,16,,,,,,,,,,3964,4193,,,,57364,77,1585,58844,102249,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_RIOBRAVO.pdf
28,TAMAULIPAS,34,SAN CARLOS,12,19,1290,3425,15,3,29,10,8,91,3,3,0,2,1,1,2,1,0,,,,,,,,,,,,,,,4884,0,209,5093,7368,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_SANCARLOS.pdf
28,TAMAULIPAS,35,SAN FERNANDO,52,80,11604,7838,319,43,258,241,71,3073,129,60,34,12,30,110,76,46,12,,,,,,,,,,,,1351,,,25307,34,945,26261,38481,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_SANFERNANDO.pdf
28,TAMAULIPAS,36,SAN NICOLAS,2,3,326,606,0,0,2,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,935,0,6,941,1095,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_SANNICOLAS.pdf
28,TAMAULIPAS,37,SOTO LA MARINA,24,43,6847,3621,484,20,99,50,19,1360,28,28,10,1,9,91,103,10,1,,,,,,,,,,,,,,,12781,2,515,13298,18742,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_SOTOLAMARINA.pdf
28,TAMAULIPAS,38,TAMPICO,192,434,61220,54561,1391,2021,2161,1451,270,32470,1231,574,292,34,140,853,205,204,24,,,,,,,,,,,,,,,159102,81,3568,16214,248205,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_TAMPICO.pdf
28,TAMAULIPAS,39,TULA,19,42,4912,4392,3801,59,131,22,406,349,28,7,7,1,3,,,,,,,,,,,,,,,,,,,14118,1,815,14934,21451,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_TULA.pdf
28,TAMAULIPAS,40,VALLE HERMOSO,46,86,12401,8847,176,163,628,186,143,4317,675,120,49,42,54,87,33,58,2,,,,,,,,,,,,,,,27981,4,761,28716,46712,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_VALLEHERMOSO.pdf
28,TAMAULIPAS,41,VICTORIA,149,408,60465,50973,1323,2629,2869,3829,543,25429,1151,637,255,30,165,916,182,363,72,,,,,,,,,,,,,7557,2762,162150,89,3244,165668,245077,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_VICTORIA.pdf
28,TAMAULIPAS,42,VILLAGRAN,7,13,3017,158,16,4,83,5,0,41,7,0,1,0,0,,,,,,,,,,,,,,,,,,,3332,1,301,3634,4806,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_VILLAGRAN.pdf
28,TAMAULIPAS,43,XICOTENCATL,21,36,9555,1190,88,35,235,61,32,1800,229,61,12,4,18,59,19,16,0,,,,,,,,,,,,,,,13414,7,356,13776,18316,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_XICOTENCATL.pdf
