CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PVEM,NVA_ALIANZA,PRD,PT,PCP,MC,MORENA,PH,ES,PRI_PVEM_NVA_ALIANZA,PRD_PT_PCP,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,516,2,152,160,15,10,19,13,5,11,20,0,5,16,1,0,427,16,443,824
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,517,2,197,267,18,12,19,9,5,7,39,2,5,21,1,2,604,20,624,1142
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,518,4,409,523,26,38,54,36,15,22,72,4,24,41,8,1,1273,38,1311,2819
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,519,2,128,143,12,6,12,3,4,0,13,2,11,34,0,2,370,19,389,770
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,520,3,252,247,22,25,34,15,5,5,28,0,8,31,2,5,679,25,704,1697
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,521,3,276,360,23,46,46,37,15,8,41,3,20,36,5,0,916,42,958,1904
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,522,2,166,219,21,9,16,11,8,5,15,0,11,26,2,0,509,15,524,960
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,523,2,136,175,10,17,18,14,2,2,16,0,5,18,1,0,414,17,431,920
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,524,2,148,218,10,7,25,11,7,7,29,2,6,4,0,1,475,19,494,1112
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,525,3,277,269,19,32,47,19,11,13,31,2,9,27,4,3,763,25,788,2177
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,526,3,198,291,21,17,26,21,7,6,24,4,18,44,3,1,681,18,699,1794
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,527,4,277,503,48,25,31,39,9,10,42,2,24,40,2,0,1052,38,1090,2625
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,528,1,38,66,2,1,1,4,1,0,1,0,0,0,1,0,115,4,119,331
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,529,1,57,52,2,2,6,14,0,0,2,0,0,0,0,0,135,8,143,436
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,530,1,55,64,7,0,4,9,2,0,4,0,2,10,2,0,159,12,171,272
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,531,2,218,168,13,4,25,27,7,9,15,1,2,28,4,0,521,19,540,1188
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,532,2,65,192,10,12,5,19,1,3,6,1,3,26,0,0,343,12,355,866
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,533,2,162,142,11,7,10,14,7,5,23,1,5,6,0,1,394,11,405,754
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,534,1,43,97,4,4,5,6,1,0,4,0,6,0,0,2,172,5,177,308
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,536,3,199,340,31,18,13,17,4,5,18,2,13,0,0,1,661,21,682,1642
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,537,1,9,36,0,4,3,2,1,0,2,0,0,5,0,0,62,3,65,123
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,538,1,30,40,4,3,5,2,2,1,0,0,0,1,0,0,88,0,88,155
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,539,2,81,119,14,6,9,8,5,1,12,0,0,7,1,0,263,8,271,580
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,540,1,78,133,11,10,7,12,3,1,4,0,1,15,0,0,275,12,287,503
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,541,2,67,144,24,10,12,7,2,8,8,2,2,27,2,0,315,15,330,753
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,542,1,19,75,2,2,1,1,0,2,2,0,0,10,0,0,114,3,117,216
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,543,1,24,62,1,1,1,1,0,0,1,0,0,7,0,0,98,5,103,197
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,544,1,48,127,10,1,2,8,1,1,2,1,1,17,2,0,221,15,236,453
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,545,2,81,218,20,6,9,14,2,1,8,0,4,28,0,0,391,18,409,944
