CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_COMUNIDAD,COMUNIDAD,SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,PAC,PS,MORENA,ES,CAND_IND29,CAND_IND30,CAND_IND31,CAND_IND32,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
4,29,TLAXCALA,11,SANTA ANITA HUILOAC,43,C04,39,95,57,2,38,32,9,46,28,32,7,,,,,1,386,8,394,631,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Presidente_de_Comunidad/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Apizaco_PC_Santa%20Anita%20Huiloac.pdf
4,29,TLAXCALA,11,SANTA ANITA HUILOAC,44,B,22,69,33,1,109,25,6,38,7,10,7,,,,,1,328,19,347,613,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Presidente_de_Comunidad/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Apizaco_PC_Santa%20Anita%20Huiloac.pdf
4,29,TLAXCALA,11,SANTA ANITA HUILOAC,44,C01,46,78,30,0,116,11,13,55,8,14,11,,,,,1,383,21,404,612,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Presidente_de_Comunidad/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Apizaco_PC_Santa%20Anita%20Huiloac.pdf
4,29,TLAXCALA,11,SANTA ANITA HUILOAC,44,C02,29,71,24,5,108,16,22,75,4,24,16,,,,,0,394,16,410,612,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Presidente_de_Comunidad/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Apizaco_PC_Santa%20Anita%20Huiloac.pdf
4,29,TLAXCALA,11,SANTA ANITA HUILOAC,45,B,22,48,105,2,8,17,5,6,7,14,7,,,,,1,242,9,251,398,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Presidente_de_Comunidad/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Apizaco_PC_Santa%20Anita%20Huiloac.pdf
4,29,TLAXCALA,12,COLONIA SAN ISIDRO APIZAQUITO,46,B,52,113,15,34,8,,,62,,50,0,,,,,0,334,10,344,573,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Presidente_de_Comunidad/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Apizaco_PC_Colonia%20San%20Isidro%20Apizaquito.pdf
4,29,TLAXCALA,12,COLONIA SAN ISIDRO APIZAQUITO,46,C01,48,89,18,21,14,,,65,,61,23,,,,,0,339,11,350,572,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Presidente_de_Comunidad/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Apizaco_PC_Colonia%20San%20Isidro%20Apizaquito.pdf
4,29,TLAXCALA,12,COLONIA SAN ISIDRO APIZAQUITO,46,C02,33,101,20,62,15,,,65,,47,11,,,,,0,354,12,366,572,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Presidente_de_Comunidad/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Apizaco_PC_Colonia%20San%20Isidro%20Apizaquito.pdf
4,29,TLAXCALA,13,SANTA CLARA OZUMBA,50,B,3,140,,,,,129,,3,,,,,,,0,275,11,286,343,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Presidente_de_Comunidad/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Atlangatepec_PC_Santa%20Clara%20Ozumba.pdf
4,29,TLAXCALA,14,SANTIAGO VILLALTA,51,B,35,96,,,,26,64,,7,10,,,,,,0,238,12,250,305,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Presidente_de_Comunidad/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Atlangatepec_PC_Santiago%20Villalta.pdf
