CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PVEM,NVA_ALIANZA,PRD,PT,PCP,MC,MORENA,PH,ES,PRI_PVEM_NVA_ALIANZA,PRD_PT_PCP,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,280,C01,118,80,10,13,14,2,4,11,6,8,2,4,0,1,273,14,287,674,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,281,B,93,60,11,6,9,6,6,7,8,2,6,10,1,1,226,5,231,548,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,281,C01,120,59,9,11,22,4,5,6,6,0,3,8,1,0,254,4,258,548,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,282,B,155,104,10,18,24,5,3,12,12,0,4,5,5,0,357,5,362,646,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,282,C01,152,96,7,14,13,1,3,15,6,1,6,13,0,0,327,10,337,645,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,282,C02,137,103,10,10,27,1,5,18,10,6,7,6,1,0,341,6,347,645,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,283,B,145,96,4,11,17,4,1,8,8,2,4,9,0,0,309,7,316,624,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,283,C01,108,79,11,7,12,1,2,14,4,4,2,6,0,0,250,7,257,624,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,283,C02,136,85,13,10,18,1,1,10,11,4,2,8,2,0,301,9,310,623,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,284,B,77,69,5,1,17,5,1,11,8,0,5,7,0,0,206,2,208,521,,,,
