Municipio,SECCION,CASILLAS,TOTAL,PAN,PRI,PRD,PVEM,DS,ADC,PRD-PAN,NO REG.,NULOS
COLIMA,2,2 B,377,165,59,15,5,,129,,0,4
COLIMA,3,3 B,369,177,83,24,8,,68,,0,9
COLIMA,3,3 C1,369,182,88,13,4,,78,,0,4
COLIMA,3,3 C2,375,171,86,28,6,,79,,0,5
COLIMA,4,4 B,311,124,74,12,4,,93,,0,4
COLIMA,4,4 C,291,120,58,16,3,,93,,0,1
COLIMA,5,5 B,403,193,74,20,2,,105,,0,9
COLIMA,6,6 B,357,151,42,11,5,,146,,0,2
COLIMA,6,6 C,352,147,59,17,4,,123,,0,2
COLIMA,7,7 B,316,131,92,8,2,,79,,0,4
COLIMA,7,7 C,320,131,91,11,3,,75,,0,9
COLIMA,8,8 B,455,156,120,23,4,,150,,0,2
COLIMA,8,8 C,471,158,126,18,5,,155,,0,9
COLIMA,9,9 B,383,140,86,13,5,,134,,0,5
COLIMA,9,9 C,403,124,87,20,2,,165,,0,5
COLIMA,10,10 B,398,158,133,16,2,,84,,0,5
COLIMA,10,10 C,391,142,128,22,6,,85,,0,8
COLIMA,11,11 B,533,199,100,15,5,,206,,0,8
COLIMA,12,12 B,424,155,63,23,1,,182,,0,0
COLIMA,13,13 B,334,132,50,20,1,,131,,0,0
COLIMA,13,13 C,345,132,52,15,1,,143,,0,2
COLIMA,14,14 B,287,124,70,15,5,,69,,0,4
COLIMA,14,14 C,279,108,78,21,1,,68,,0,3
COLIMA,15,15 B,423,172,92,11,5,,136,,0,7
COLIMA,16,16 B,510,194,117,19,5,,165,,0,10
COLIMA,17,17 B,295,138,71,13,3,,69,,0,1
COLIMA,17,17 C,301,121,90,10,3,,72,,0,5
COLIMA,18,18 B,422,188,96,14,6,,117,,0,1
COLIMA,18,18 C,410,191,90,11,3,,109,,0,6
COLIMA,19,19 B,458,179,117,24,6,,127,,0,5
COLIMA,19,19 C,438,174,98,30,6,,124,,0,6
COLIMA,20,20 B,421,176,84,15,6,,135,,0,5
COLIMA,20,20 C,437,170,100,13,2,,148,,0,4
COLIMA,21,21 B,435,166,72,22,2,,167,,0,6
COLIMA,21,21 C,424,170,72,23,2,,154,,0,3
COLIMA,22,22 B,472,177,135,28,5,,117,,0,10
COLIMA,23,23 B,346,113,130,24,7,,68,,0,4
COLIMA,24,24 B,420,123,168,39,4,,76,,0,10
COLIMA,24,24 C,391,122,117,34,4,,97,,0,17
COLIMA,25,25 B,346,131,92,10,3,,100,,0,10
COLIMA,25,25 C,351,147,83,19,11,,81,,0,10
COLIMA,26,26 B,333,155,77,17,6,,69,,0,9
COLIMA,26,26 C,354,139,83,25,4,,95,,0,8
COLIMA,27,27 B,317,151,77,13,0,,72,,0,4
COLIMA,27,27 C,314,156,61,9,1,,82,,0,5
COLIMA,28,28 B,436,155,96,20,1,,158,,0,6
COLIMA,29,29 B,330,96,79,12,9,,120,,0,14
COLIMA,29,29 C,329,119,101,7,3,,97,,0,2
COLIMA,30,30 B,460,217,119,17,2,,99,,0,6
COLIMA,31,31 B,425,171,92,21,10,,127,,0,4
COLIMA,31,31 C,455,179,128,21,3,,114,,0,10
COLIMA,32,32 B,474,184,143,20,4,,108,,0,15
COLIMA,32,32 C,454,166,120,19,8,,130,,0,11
COLIMA,33,33 B,547,209,139,32,3,,160,,0,4
COLIMA,33,33 C,560,209,135,22,10,,176,,0,8
COLIMA,34,34 B,419,168,93,22,2,,132,,0,2
COLIMA,34,34 C,410,169,90,20,3,,126,,0,2
COLIMA,35,35 B,408,159,109,23,4,,103,,0,10
COLIMA,35,35 C,399,142,123,20,3,,96,,0,15
COLIMA,36,36 B,307,121,79,26,3,,73,,0,5
COLIMA,36,36 C,303,105,80,20,7,,81,,1,9
COLIMA,37,37 B,330,124,86,33,4,,72,,0,11
COLIMA,37,37 C,330,105,97,38,0,,79,,0,11
COLIMA,38,38 B,325,125,78,17,14,,81,,0,10
COLIMA,38,38 C,318,137,69,25,8,,69,,0,10
COLIMA,39,39 B,430,153,113,17,5,,133,,0,9
COLIMA,40,40 B,427,144,107,14,3,,109,,0,50
COLIMA,41,41 B,407,164,85,10,0,,139,,0,9
COLIMA,42,42 B,276,110,79,14,3,,67,,0,3
COLIMA,42,42 C,272,91,83,16,3,,70,,0,9
COLIMA,43,43 B,377,142,119,14,6,,87,,0,9
COLIMA,43,43 C,408,180,106,18,9,,82,,0,13
COLIMA,44,44 B,268,114,77,9,1,,61,,0,6
COLIMA,44,44 C,250,107,76,7,2,,56,,0,2
COLIMA,45,45 B,425,184,103,8,6,,122,,0,2
COLIMA,45,45 C1,421,202,101,7,7,,100,,0,4
COLIMA,45,45 C2,402,172,86,9,7,,115,,0,13
COLIMA,46,46 B,301,125,93,5,2,,74,,0,2
COLIMA,46,46 C,326,145,73,13,3,,90,,0,2
COLIMA,47,47 B,467,203,100,20,3,,139,,0,2
COLIMA,47,47 C,465,210,102,17,1,,128,,0,7
COLIMA,48,48 B,384,162,72,17,5,,125,,0,3
COLIMA,48,48 C,379,162,69,13,5,,126,,0,4
COLIMA,49,49 B,322,120,52,11,7,,127,,0,5
COLIMA,50,50 B,359,140,98,15,3,,99,,0,4
COLIMA,50,50 C,400,158,105,17,4,,113,,0,3
COLIMA,51,51 B,339,171,67,9,1,,81,,0,10
COLIMA,51,51 C,340,187,67,6,3,,61,,0,16
COLIMA,52,52 B,435,186,121,20,2,,97,,0,9
COLIMA,52,52 C1,430,162,120,22,3,,110,,0,13
COLIMA,52,52 C2,425,177,116,23,6,,96,,0,7
COLIMA,53,53 B,492,225,107,22,7,,111,,0,20
COLIMA,53,53 C,459,214,97,24,3,,113,,0,8
COLIMA,54,54 B,409,161,102,16,10,,116,,0,4
COLIMA,54,54 C,392,160,103,18,7,,94,,0,10
COLIMA,55,55 B,379,122,104,16,4,,118,,0,15
COLIMA,55,55 C,394,133,129,16,3,,102,,0,11
COLIMA,56,56 B,383,161,76,14,7,,120,,0,5
COLIMA,57,57 B,275,101,73,9,1,,73,,0,18
COLIMA,57,57 C,274,114,63,10,3,,70,,0,14
COLIMA,58,58 B,339,142,78,15,3,,98,,0,3
COLIMA,58,58 C,321,129,78,14,2,,92,,0,6
COLIMA,59,59 B,368,138,103,33,4,,73,,0,17
COLIMA,59,59 C,384,139,106,42,7,,78,,0,12
COLIMA,60,60 B,355,105,109,16,3,,104,,0,18
COLIMA,60,60 C,345,101,109,26,0,,101,,0,8
COLIMA,61,61 B,265,82,90,26,2,,48,,0,17
COLIMA,61,61 C,248,83,79,22,2,,52,,0,10
COLIMA,62,62 B,362,114,141,32,3,,63,,0,9
COLIMA,62,62 C,391,125,150,28,7,,68,,0,13
COLIMA,63,63 B,329,136,94,17,2,,69,,0,11
COLIMA,63,63 C,356,111,119,19,7,,95,,0,5
COLIMA,64,64 B,439,187,105,29,4,,102,,0,12
COLIMA,64,64 C,445,165,98,32,7,,136,,0,7
COLIMA,65,65 B,385,171,77,23,4,,104,,0,6
COLIMA,66,66 B,404,173,105,17,6,,94,,0,9
COLIMA,66,66 C,428,177,94,15,4,,125,,0,13
COLIMA,67,67 B,424,160,121,18,6,,110,,0,9
COLIMA,67,67 C,395,153,92,21,1,,126,,0,2
COLIMA,68,68 B,473,184,106,18,7,,147,,0,11
COLIMA,68,68 C,478,199,101,18,3,,149,,0,8
COLIMA,69,69 B,452,175,86,20,4,,157,,0,10
COLIMA,70,70 B,425,158,69,17,3,,172,,0,6
COLIMA,70,70 C,417,108,95,11,3,,193,,0,7
COLIMA,71,71 B,276,101,84,20,3,,54,,0,14
COLIMA,71,71 C,260,104,63,22,3,,54,,0,14
COLIMA,72,72 B,439,159,103,48,7,,115,,0,7
COLIMA,73,73 B,337,117,106,14,3,,88,,0,9
COLIMA,74,74 B,330,126,92,19,2,,83,,0,8
COLIMA,74,74 C,333,107,89,29,4,,94,,0,10
COLIMA,75,75 B,266,102,72,16,4,,58,,0,14
COLIMA,75,75 C,263,93,83,20,0,,53,,0,14
COLIMA,76,76 B,225,92,80,10,3,,37,,0,3
COLIMA,76,76 C,228,85,66,9,9,,40,,0,19
COLIMA,77,77 B,324,149,118,14,4,,39,,0,0
COLIMA,78,78 B,64,33,16,3,2,,10,,0,0
COLIMA,79,79 B,382,174,105,11,1,,84,,0,7
COLIMA,79,79 C,385,170,113,17,2,,69,,0,14
COLIMA,80,80 B,369,179,94,18,4,,67,,0,7
COLIMA,81,81 B,494,160,148,15,5,,153,,0,13
COLIMA,81,81 C,488,156,119,18,6,,178,,0,11
COLIMA,82,82 B,382,152,106,26,2,,82,,0,14
COLIMA,82,82 C,364,182,107,11,3,,48,,0,13
COLIMA,82,82 E,146,30,93,13,0,,10,,0,0
COLIMA,83,83 B,236,76,68,21,2,,60,,0,9
COLIMA,84,84 B,292,29,156,16,3,,66,,0,22
COLIMA,84,84 C,327,40,176,17,0,,74,,0,20
COLIMA,84,84 E,94,12,55,5,0,,20,,0,2
COLIMA,85,85 B,296,64,73,20,1,,115,,0,23
COLIMA,85,85 E1,185,41,62,4,2,,62,,0,14
COLIMA,85,85 E2,112,31,46,3,1,,24,,0,7
COLIMA,86,86 B,239,47,38,27,2,,111,,0,14
COLIMA,87,87 B,250,67,57,32,1,,73,,0,20
COLIMA,87,87 E,204,27,82,7,1,,72,,0,15
COLIMA,88,88 B,271,71,134,13,0,,41,,0,12
COLIMA,88,88 C,282,66,141,9,1,,55,,0,10
COLIMA,89,89 B,432,65,210,39,0,,94,,0,24
COLIMA,90,90 B,237,27,138,31,0,,41,,0,0
COLIMA,91,91 B,200,26,76,17,1,,66,,0,14
COLIMA,91,91 E,94,7,68,7,0,,12,,0,0
,,,,,,,,,,,,
COMALA,92,92 B,442,235,143,36,0,,17,,0,11
COMALA,92,92 C,431,230,139,44,0,,11,,0,7
COMALA,93,93 B,428,189,166,65,0,,4,,0,4
COMALA,93,93 C,441,173,200,58,0,,5,,0,5
COMALA,94,94 B,444,200,155,67,0,,12,,0,10
COMALA,94,94 C,423,187,181,50,0,,4,,0,1
COMALA,95,95 B,417,225,151,24,0,,6,,0,11
COMALA,95,95 C,395,202,142,42,0,,3,,1,5
COMALA,96,96 B,419,175,205,38,0,,1,,0,0
COMALA,96,96 C,389,162,172,50,0,,2,,0,3
COMALA,97,97 B,143,84,53,3,0,,3,,0,0
COMALA,97,97 E,0,0,0,0,0,,0,,0,0
COMALA,98,98 B,70,33,33,3,0,,0,,0,1
COMALA,99,99 B,173,42,113,4,1,,7,,0,6
COMALA,99,99 E,161,73,78,4,0,,1,,0,5
COMALA,100,100 B,329,139,152,21,0,,5,,0,12
COMALA,100,100 C,251,107,107,28,0,,4,,0,5
COMALA,100,100 E,98,70,15,9,0,,3,,0,1
COMALA,101,101 B,335,85,219,19,0,,1,,0,11
COMALA,101,101 C,315,73,202,28,0,,2,,0,10
COMALA,101,101 E1,48,24,22,1,0,,1,,0,0
COMALA,101,101 E2,56,13,32,9,0,,1,,0,1
COMALA,102,102 B,296,170,95,22,0,,2,,0,7
COMALA,103,103 B,376,77,234,50,2,,0,,0,13
COMALA,103,103 C,380,101,206,57,0,,2,,0,14
COMALA,104,104 B,360,141,141,58,1,,3,,0,16
COMALA,104,104 C,369,122,139,87,2,,5,,0,14
,,,,,,,,,,,,
COQUIMATLAN,105,105 B,303,135,156,6,0,,1,,0,5
COQUIMATLAN,105,105 C,322,157,143,7,0,,7,,0,8
COQUIMATLAN,106,106 B,455,268,171,11,0,,3,,0,2
COQUIMATLAN,106,106 C,477,275,186,4,0,,4,,0,8
COQUIMATLAN,107,107 B,428,232,182,10,0,,0,,0,4
COQUIMATLAN,107,107 C,436,272,151,4,0,,6,,0,3
COQUIMATLAN,108,108 B,343,207,131,3,0,,0,,0,2
COQUIMATLAN,108,108 C,333,206,114,1,1,,4,,0,7
COQUIMATLAN,109,109 B,353,192,152,6,0,,2,,0,1
COQUIMATLAN,109,109 C,368,226,132,6,0,,1,,0,3
COQUIMATLAN,110,110 B,276,148,124,2,0,,1,,0,1
COQUIMATLAN,110,110 C,312,166,137,2,0,,0,,0,7
COQUIMATLAN,111,111 B,434,230,194,4,0,,0,,0,6
COQUIMATLAN,111,111 C,444,229,201,7,0,,2,,0,5
COQUIMATLAN,112,112 B,94,31,61,0,0,,1,,0,1
COQUIMATLAN,112,112 E,131,34,94,0,0,,0,,0,3
COQUIMATLAN,113,113 B,209,57,146,4,0,,1,,0,1
COQUIMATLAN,114,114 B,126,65,44,7,1,,1,,0,8
COQUIMATLAN,115,115 B,179,63,103,11,0,,0,,0,2
COQUIMATLAN,116,116 B,370,152,202,8,0,,1,,0,7
COQUIMATLAN,116,116 C,361,158,182,4,0,,4,,0,13
COQUIMATLAN,117,117 B,416,181,226,3,1,,3,,0,2
COQUIMATLAN,118,118 B,302,110,183,4,0,,1,,0,4
COQUIMATLAN,118,118 E,51,19,23,6,1,,0,,0,2
COQUIMATLAN,119,119 B,229,76,145,2,0,,0,,0,6
COQUIMATLAN,119,119 E,77,26,49,1,0,,0,,0,1
,,,,,,,,,,,,
CUAUHTEMOC,120,120 B,473,99,256,106,0,,5,,0,7
CUAUHTEMOC,120,120 C,468,81,248,119,0,,3,,0,17
CUAUHTEMOC,121,121 B,305,48,190,57,0,,4,,0,6
CUAUHTEMOC,121,121 C,308,49,206,48,0,,1,,0,4
CUAUHTEMOC,122,122 B,314,59,184,63,0,,0,,0,8
CUAUHTEMOC,122,122 C,313,73,153,78,0,,0,,0,9
CUAUHTEMOC,123,123 B,357,54,213,81,0,,1,,0,8
CUAUHTEMOC,123,123 C,372,44,227,88,0,,4,,0,9
CUAUHTEMOC,124,124 B,366,42,228,88,0,,1,,0,7
CUAUHTEMOC,124,124 C,372,62,242,55,0,,1,,1,11
CUAUHTEMOC,125,125 B,419,28,221,165,0,,0,,0,5
CUAUHTEMOC,125,125 E,88,8,50,5,0,,19,,0,6
CUAUHTEMOC,126,126 B,363,30,148,174,0,,0,,0,11
CUAUHTEMOC,126,126 C,374,28,170,169,0,,0,,0,7
CUAUHTEMOC,127,127 B,292,23,127,138,0,,0,,0,4
CUAUHTEMOC,127,127 C,302,18,147,132,0,,1,,0,4
CUAUHTEMOC,128,128 B,309,30,148,119,0,,0,,0,12
CUAUHTEMOC,128,128 C,258,14,127,110,0,,0,,0,7
CUAUHTEMOC,129,129 B,331,27,150,149,0,,1,,0,4
CUAUHTEMOC,129,129 C,328,29,134,158,0,,0,,0,7
CUAUHTEMOC,130,130 B,373,51,145,160,0,,0,,0,17
CUAUHTEMOC,130,130 C,375,38,156,167,0,,2,,0,12
CUAUHTEMOC,131,131 B,391,91,211,70,0,,2,,0,17
CUAUHTEMOC,131,131 E,257,41,176,35,0,,2,,0,3
CUAUHTEMOC,132,132 B,437,73,320,29,0,,0,,0,15
CUAUHTEMOC,132,132 C,426,76,304,42,0,,1,,0,3
CUAUHTEMOC,133,133 B,240,24,182,25,0,,0,,0,9
CUAUHTEMOC,133,133 C,207,29,149,19,0,,0,,0,10
CUAUHTEMOC,134,134 B,420,77,260,71,0,,4,,0,8
CUAUHTEMOC,134,134 C,420,64,244,94,0,,8,,0,10
CUAUHTEMOC,135,135 B,336,38,211,68,0,,10,,0,9
CUAUHTEMOC,135,135 C,334,42,215,52,0,,19,,0,6
CUAUHTEMOC,136,136 B,294,55,187,42,0,,1,,0,9
CUAUHTEMOC,137,137 B,248,17,162,65,0,,1,,0,3
CUAUHTEMOC,137,137 C,273,13,164,87,0,,0,,0,9
,,,,,,,,,,,,
IXTLAHUACAN,191,191 B,361,7,193,150,0,,1,,0,10
IXTLAHUACAN,191,191 C,376,6,222,137,0,,1,,0,10
IXTLAHUACAN,192,192 B,300,6,181,101,0,,7,,0,5
IXTLAHUACAN,192,192 C,306,4,186,104,0,,5,,0,7
IXTLAHUACAN,193,193 B,103,0,20,80,0,,1,,0,2
IXTLAHUACAN,193,193 E,96,1,47,46,0,,0,,0,2
IXTLAHUACAN,194,194 B,198,1,109,85,0,,0,,0,3
IXTLAHUACAN,195,195 B,309,7,116,180,0,,0,,0,6
IXTLAHUACAN,196,196 B,193,1,65,120,0,,0,,0,7
IXTLAHUACAN,197,197 B,162,4,62,83,0,,2,,0,11
IXTLAHUACAN,198,198 B,63,0,26,33,0,,1,,0,3
IXTLAHUACAN,199,199 B,283,5,163,110,0,,1,,0,4
IXTLAHUACAN,199,199 E,72,0,40,31,0,,0,,0,1
,,,,,,,,,,,,
MANZANILLO,200,200 B,334,109,157,34,4,25,1,,0,4
MANZANILLO,202,202 C,332,94,161,25,14,25,1,,0,12
MANZANILLO,201,201 B,135,50,51,17,7,7,3,,0,0
MANZANILLO,202,202 B,396,155,149,54,9,15,6,,0,8
MANZANILLO,202,202 C1,393,132,158,71,7,14,2,,0,9
MANZANILLO,202,202 C2,399,137,183,54,4,8,8,,0,5
MANZANILLO,203,203 B,429,174,166,29,12,38,4,,0,6
MANZANILLO,203,203 C,407,161,159,37,6,28,7,,0,9
MANZANILLO,204,204 B,395,127,182,50,10,10,12,,0,4
MANZANILLO,204,204 C,369,126,181,33,9,0,11,,0,9
MANZANILLO,205,205 B,274,107,125,23,4,12,1,,0,2
MANZANILLO,205,205 C,252,90,127,20,3,10,2,,0,0
MANZANILLO,206,206 B,405,150,190,45,7,0,5,,0,8
MANZANILLO,206,206 C,421,134,214,39,10,9,5,,0,10
MANZANILLO,207,207 B,497,170,207,51,17,36,3,,3,10
MANZANILLO,208,208 B,373,129,168,38,8,21,4,,0,5
MANZANILLO,208,208 C,382,141,166,37,18,13,3,,0,4
MANZANILLO,209,209 B,471,167,228,35,11,26,1,,0,3
MANZANILLO,209,209 C,469,159,234,30,13,23,3,,0,7
MANZANILLO,210,210 B,410,149,193,42,1,9,5,,0,11
MANZANILLO,210,210 C,390,125,200,29,3,12,4,,0,17
MANZANILLO,211,211 B,282,108,119,38,2,5,2,,0,8
MANZANILLO,211,211 C1,260,91,134,18,0,5,3,,0,9
MANZANILLO,211,211 C2,287,94,144,24,4,8,3,,0,10
MANZANILLO,212,212 B,276,91,121,32,7,16,4,,0,5
MANZANILLO,212,212 C,275,87,147,17,5,14,5,,0,0
MANZANILLO,213,213 B,442,149,219,41,8,9,9,,0,7
MANZANILLO,213,213 C,402,156,174,44,11,9,1,,0,7
MANZANILLO,214,214 B,446,154,203,44,19,7,4,,0,15
MANZANILLO,214,214 C,435,158,188,52,11,11,7,,0,8
MANZANILLO,215,215 B,413,113,214,60,8,4,9,,0,5
MANZANILLO,215,215 C,405,112,216,44,11,10,6,,0,6
MANZANILLO,216,216 B,359,149,144,35,5,10,8,,0,8
MANZANILLO,216,216 C,351,128,140,51,7,10,13,,0,2
MANZANILLO,217,217 B,382,117,169,44,19,21,2,,0,10
MANZANILLO,217,217 C,380,111,167,66,10,21,2,,0,3
MANZANILLO,218,218 B,267,98,101,35,9,16,6,,0,2
MANZANILLO,218,218 C,302,105,130,34,4,21,2,,0,6
MANZANILLO,219,219 B,390,164,148,39,8,21,4,,0,6
MANZANILLO,219,219 C,397,130,187,45,7,12,7,,0,9
MANZANILLO,220,220 B,515,168,216,78,13,37,1,,0,2
MANZANILLO,221,221 B,329,94,178,35,3,10,0,,0,9
MANZANILLO,221,221 C,346,80,210,39,4,12,1,,0,0
MANZANILLO,222,222 B,125,28,57,25,4,4,2,,0,5
MANZANILLO,222,222 E,161,40,98,12,2,0,4,,0,5
MANZANILLO,223,223 B,322,57,170,41,1,0,5,,0,48
MANZANILLO,224,224 B,216,51,133,18,1,1,2,,0,10
MANZANILLO,225,225 B,231,49,124,24,3,3,9,,0,19
MANZANILLO,225,225 C,204,46,104,33,0,3,4,,0,14
MANZANILLO,226,226 B,229,64,116,24,6,0,8,,0,11
MANZANILLO,226,226 E2,80,46,17,7,3,0,1,,0,6
MANZANILLO,227,227 B,229,51,148,13,1,1,7,,0,8
MANZANILLO,227,227 E1,70,38,15,16,1,0,0,,0,0
MANZANILLO,227,227 E2,53,21,9,20,0,0,0,,0,3
MANZANILLO,228,228 B,310,123,136,42,2,2,5,,0,0
MANZANILLO,228,228 E1,116,58,49,2,3,1,0,,0,3
MANZANILLO,228,228 E2,257,60,169,11,3,4,4,,0,6
MANZANILLO,228,228 E3,127,61,60,3,0,0,0,,0,3
MANZANILLO,229,229 B,124,45,49,27,0,0,2,,0,1
MANZANILLO,230,230 B,273,75,151,25,10,3,1,,0,8
MANZANILLO,230,230 C,289,79,176,23,4,1,0,,0,6
MANZANILLO,230,230 E,419,117,212,49,16,6,7,,0,12
MANZANILLO,231,231 B,117,16,76,22,0,0,2,,0,1
MANZANILLO,213,213 E,69,10,52,5,0,0,1,,0,1
MANZANILLO,232,232 B,434,110,246,26,33,6,3,,0,10
MANZANILLO,233,233 B,313,98,148,42,9,3,1,,0,12
MANZANILLO,2333,2333 C,332,99,182,13,21,4,2,,0,11
MANZANILLO,234,234 B,342,121,147,49,13,9,3,,0,0
MANZANILLO,234,234 C,326,110,138,51,8,10,4,,0,5
MANZANILLO,235,235 B,191,42,103,32,14,0,0,,0,0
MANZANILLO,235,235 C,212,54,95,39,5,5,3,,0,11
MANZANILLO,236,236 B,285,70,119,67,12,4,2,,0,11
MANZANILLO,236,236 C1,301,88,125,61,10,7,3,,0,7
MANZANILLO,236,236 C2,300,89,119,63,7,0,6,,0,16
MANZANILLO,236,236 C3,309,77,142,71,7,4,5,,0,3
MANZANILLO,237,237 B,358,102,138,79,12,2,8,,0,17
MANZANILLO,237,237 C1,302,74,141,51,17,9,3,,0,7
MANZANILLO,237,237 C2,331,92,143,58,17,5,6,,0,10
MANZANILLO,238,238 B,385,128,152,65,20,5,10,,0,5
MANZANILLO,238,238 C1,371,123,139,66,17,8,6,,0,12
MANZANILLO,238,238 C2,418,130,169,81,15,11,9,,0,3
MANZANILLO,239,239 B,249,81,110,31,9,10,5,,0,3
MANZANILLO,239,239 B,240,89,103,30,8,9,1,,0,0
MANZANILLO,240,240 B,391,122,183,34,19,9,3,,4,17
MANZANILLO,240,240 C,391,132,186,33,23,8,4,,0,5
MANZANILLO,241,241 B,282,83,135,32,21,6,2,,1,2
MANZANILLO,241,241 C,301,85,128,52,18,5,3,,0,10
MANZANILLO,242,242 B,263,116,86,37,10,9,3,,0,2
MANZANILLO,243,243 B,403,132,207,34,13,6,4,,0,7
MANZANILLO,243,243 C,403,125,202,38,15,11,3,,0,9
MANZANILLO,244,244 B,235,75,111,35,9,0,3,,0,2
MANZANILLO,244,244 C,232,78,109,30,4,4,2,,0,5
MANZANILLO,245,245 B,302,114,128,38,7,7,4,,0,4
MANZANILLO,245,245 C1,289,103,107,49,12,4,2,,0,12
MANZANILLO,245,245 C2,303,103,122,48,7,7,1,,0,15
MANZANILLO,246,246 B,342,127,138,38,15,7,2,,0,15
MANZANILLO,246,246 C1,338,130,139,30,14,17,2,,0,6
MANZANILLO,246,246 C2,343,123,143,45,15,8,4,,0,5
MANZANILLO,247,247 B,92,36,32,6,1,12,3,,0,2
MANZANILLO,248,248 B,475,199,143,64,11,39,16,,0,3
MANZANILLO,248,248 C,479,201,150,53,19,42,12,,0,2
MANZANILLO,249,249 B,506,158,264,40,15,22,4,,0,3
MANZANILLO,250,250 B,498,173,205,62,13,16,12,,0,17
MANZANILLO,250,250 C1,468,182,185,66,5,17,10,,0,3
MANZANILLO,250,250 C2,497,175,197,76,22,17,8,,0,2
MANZANILLO,250,250 C3,483,161,216,56,15,24,6,,0,5
MANZANILLO,250,250 C4,517,190,208,67,21,19,6,,0,6
MANZANILLO,251,251 B,462,165,203,62,12,14,4,,0,2
MANZANILLO,251,251 C1,431,181,161,42,16,23,1,,0,7
MANZANILLO,251,251 C2,438,156,191,49,13,23,3,,0,3
MANZANILLO,251,251 C3,456,172,177,63,15,18,7,,0,4
MANZANILLO,252,252 B,359,129,162,33,10,12,5,,0,8
MANZANILLO,252,252 C,374,165,144,34,12,13,1,,0,5
MANZANILLO,253,253 B,415,169,155,36,11,26,11,,0,7
MANZANILLO,253,253 C,410,176,161,21,21,20,5,,0,6
MANZANILLO,254,254 B,385,147,135,36,15,48,3,,0,1
MANZANILLO,255,255 B,219,96,74,27,6,15,1,,0,0
MANZANILLO,256,256 B,401,156,173,37,11,14,6,,0,4
MANZANILLO,256,256 C,407,150,154,44,13,31,3,,0,12
MANZANILLO,257,257 B,294,122,121,31,5,9,4,,0,2
MANZANILLO,257,257 C,293,134,110,19,12,10,0,,0,8
MANZANILLO,258,258 B,431,179,175,48,13,8,3,,0,5
MANZANILLO,258,258 C1,456,170,209,50,9,7,6,,0,5
MANZANILLO,258,258 C2,448,167,214,45,6,8,3,,0,5
MANZANILLO,259,259 B,312,77,143,50,18,8,6,,0,10
MANZANILLO,259,259 C,312,105,127,55,11,3,3,,0,8
MANZANILLO,260,260 B,387,127,156,73,10,6,8,,1,6
MANZANILLO,260,260 C1,369,105,171,68,6,4,3,,0,12
MANZANILLO,260,260 C2,352,114,163,52,4,2,8,,0,9
MANZANILLO,261,261 B,366,123,146,73,7,4,5,,0,8
MANZANILLO,261,261 C,362,117,151,71,10,4,3,,0,6
MANZANILLO,262,262 B,335,102,153,45,10,10,7,,0,8
MANZANILLO,262,262 C,337,115,149,45,6,7,9,,0,6
MANZANILLO,263,263 B,236,72,89,51,10,3,4,,0,7
