Seccion,Casilla,pan,pri,prd,pvem,pt,mc,morena,na,pes,mas,progresa,rsp,c_pan_pri_prd_rsp,c_pan_pri_prd,c_pan_pri_rsp,c_pan_prd_rsp,c_pri_prd_rsp,c_pan_pri,c_pan_prd,c_pan_rsp,c_pri_prd,c_pri_rsp,c_prd_rsp,c_morena_na_pes_mas,c_morena_na_pes,c_morena_na_mas,c_morena_pes_mas,c_na_pes_mas,c_morena_na,c_morena_pes,c_morena_mas,c_na_pes,c_na_mas,c_pes_mas,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
408,C3,69,2,0,123,13,22,39,4,1,5,20,1,4,5,1,0,0,2,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,9,326,607
409,B1,53,3,1,120,60,2,96,8,5,5,8,1,3,2,0,0,0,0,0,0,0,0,0,9,0,0,0,0,3,1,0,1,0,0,0,15,396,625
409,C1,67,5,4,103,58,10,89,4,1,17,6,2,1,3,0,0,0,0,0,1,0,0,0,14,1,1,0,0,2,2,1,0,1,0,0,11,404,624
409,C2,60,5,0,134,50,8,66,8,3,22,8,1,1,2,0,0,0,0,0,0,0,0,0,11,0,1,1,1,2,0,0,0,0,0,0,12,396,624
409,C3,63,7,0,116,38,11,74,9,2,15,14,1,3,3,0,0,0,0,0,0,0,0,0,7,0,1,1,0,1,0,0,0,0,1,0,11,378,624
409,C4,70,7,1,126,54,6,73,7,1,29,5,0,2,1,0,0,0,0,0,0,0,0,0,8,0,1,3,0,0,0,3,0,0,0,0,4,401,624
410,B1,68,15,7,109,49,25,83,5,2,16,13,2,1,3,1,0,0,0,0,0,0,0,0,10,0,0,2,0,0,1,2,0,1,0,1,13,429,698
410,C1,59,9,1,119,39,41,91,6,6,14,4,1,1,6,1,0,1,0,0,0,0,0,0,8,1,1,1,1,1,0,1,0,0,0,0,11,424,698
410,C2,59,18,2,126,36,40,83,6,3,19,7,0,3,5,0,0,0,4,0,0,0,0,0,7,0,1,3,0,3,1,1,0,1,0,0,9,437,698
410,C3,81,10,2,91,54,40,82,9,4,25,6,1,0,3,2,0,0,0,0,0,0,0,0,6,0,0,2,1,5,1,3,0,0,0,0,8,436,698
411,B1,111,17,6,111,21,35,97,5,2,14,5,3,5,4,1,0,0,0,0,0,0,0,0,5,1,0,1,0,0,1,0,0,0,0,0,10,455,739
411,C1,94,17,4,104,27,32,78,9,2,17,11,1,0,4,0,0,0,1,1,0,0,0,0,7,1,0,1,0,2,0,0,0,0,0,0,8,421,739
411,C2,111,13,5,87,38,31,81,9,3,11,5,6,4,6,1,0,0,1,1,0,0,0,0,0,1,1,0,4,1,1,0,0,0,0,0,10,431,739
411,C3,109,20,4,93,34,28,98,7,3,3,13,1,9,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,13,445,739
411,C4,95,12,2,94,28,29,87,5,3,14,8,2,3,6,0,0,0,0,1,0,1,0,1,6,0,0,2,0,1,2,0,0,0,0,0,11,413,739
411,C5,90,12,2,108,19,32,75,5,3,11,11,1,1,18,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,408,739
411,C6,101,14,2,102,23,26,80,9,3,12,8,5,8,0,6,0,0,0,2,0,0,0,0,7,1,0,1,0,0,0,0,0,0,0,0,15,425,739
411,C7,106,15,2,97,24,35,85,12,0,9,4,1,1,7,0,0,0,1,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,10,416,739
411,C8,98,19,3,94,21,39,89,7,1,9,3,0,10,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,10,411,738
411,C9,108,21,5,88,28,24,85,6,2,10,8,0,7,6,1,0,0,3,0,0,0,0,0,2,1,0,0,0,1,0,2,0,0,0,0,12,420,738
923,B1,135,13,4,105,25,30,59,3,3,8,11,3,8,6,0,0,0,2,0,0,1,0,0,4,1,0,1,0,0,0,0,0,0,0,0,10,432,736
923,C1,125,13,6,122,29,29,71,3,2,8,8,4,4,8,1,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,1,1,0,0,0,11,451,736
