Seccion,Casilla,pan,pri,prd,pvem,pt,mc,morena,na,pes,mas,progresa,rsp,c_pan_pri_prd_rsp,c_pan_pri_prd,c_pan_pri_rsp,c_pan_prd_rsp,c_pri_prd_rsp,c_pan_pri,c_pan_prd,c_pan_rsp,c_pri_prd,c_pri_rsp,c_prd_rsp,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
533,C2,16,5,13,6,21,5,125,32,1,5,1,19,2,3,2,0,0,0,0,0,0,1,1,1,21,280,575
534,B1,37,19,19,8,40,3,147,74,0,4,1,34,1,0,0,0,0,1,1,1,1,0,0,0,18,409,723
534,C1,39,27,20,6,33,6,186,72,0,4,1,31,3,4,0,1,0,2,0,0,0,0,0,0,19,454,723
535,B1,41,10,19,7,16,3,150,33,1,2,0,50,2,4,1,0,0,0,0,1,0,1,0,0,10,351,632
535,C1,38,10,23,8,14,2,144,53,0,8,0,37,14,1,0,0,0,0,0,0,0,0,0,0,16,368,632
535,C2,33,9,31,1,14,1,142,46,0,11,1,46,4,1,0,0,0,1,0,0,0,0,2,0,1,344,632
536,B1,24,11,16,3,8,5,129,18,1,3,3,18,4,0,0,0,0,1,0,0,0,0,0,0,12,256,527
536,C1,37,16,18,5,19,1,126,14,0,3,1,14,2,2,0,0,0,2,0,1,1,0,1,0,7,270,527
1006,VMORA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Totales,,2414,1580,2075,837,5831,297,12301,711,40,678,50,1593,248,247,30,14,11,55,27,15,30,7,22,8,804,29925,49229
