ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRD,PT,MC,NVA_ALIANZA,MORENA,PH,ES,CAN_IND1,CAN_IND2,CAN_IND3,CAN_IND4,PRI_PVEM,PRD_PT_NVA_ALIANZA,PRD_PT,PRD_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
9,DISTRITO FEDERAL,30,,130,303,16375,0,0,3639,2195,17299,2922,6178,0,0,0,0,12215,0,15948,0,349,76771,7118,84238,171333,0.4917
9,DISTRITO FEDERAL,31,,121,302,3729,0,0,1826,0,22506,2433,4745,0,0,0,0,8601,26857,0,0,153,70697,4572,75422,173002,0.4360
9,DISTRITO FEDERAL,32,,131,325,8291,0,0,4458,2611,21288,2542,4945,0,0,0,0,11279,0,24172,0,334,79586,6968,86888,189783,0.4578
9,DISTRITO FEDERAL,33,,147,331,11088,0,0,3989,2093,17905,2434,3954,0,0,0,0,21278,0,18303,0,203,81044,5966,87213,183311,0.4758
9,DISTRITO FEDERAL,34,,92,290,3286,0,0,10612,2169,15174,1803,3854,0,0,0,0,27108,0,14992,0,99,78998,4433,83530,179804,0.4646
9,DISTRITO FEDERAL,35,,98,305,3952,0,0,7311,2640,20241,2077,4257,0,0,0,0,11636,0,10434,0,146,62548,4376,67070,182813,0.3669
9,DISTRITO FEDERAL,36,,77,265,4009,8443,2233,7051,1717,17600,1741,3367,0,0,0,0,12550,0,0,0,112,58711,3969,62792,164883,0.3808
9,DISTRITO FEDERAL,37,,110,291,10550,0,0,1975,1609,20955,2265,4181,0,0,0,0,10607,0,16327,0,251,68469,5726,74446,174855,0.4258
9,DISTRITO FEDERAL,38,,151,303,18516,0,0,2327,1733,19978,2708,4666,0,0,0,0,12887,0,8926,0,318,71741,7063,79122,168621,0.4692
9,DISTRITO FEDERAL,39,,95,259,7842,0,1848,4024,0,17025,2029,4533,0,0,0,0,12364,0,0,8333,259,57998,4955,63212,150468,0.4201
9,DISTRITO FEDERAL,40,,94,277,7873,0,0,1579,1366,19783,2075,3545,0,0,0,0,11154,0,19541,0,135,66916,5237,72288,170392,0.4242
