ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PSD,HUMANISTA,PAN_MC,PRD_PSD,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
17,MORELOS,15,MIACATLAN,14,35,378,1390,2902,223,1429,109,149,4258,1468,129,69,10,49,250,36,36,110,124,13119,1,518,13638,20101,
17,MORELOS,16,OCUITUCO,10,22,990,448,1390,1045,992,481,349,1751,844,202,561,51,105,171,27,30,61,741,10239,1,362,10602,13010,
17,MORELOS,17,PUENTE DE IXTLA,32,80,1360,2374,5159,714,2879,453,503,11086,2899,664,279,43,181,675,110,86,269,1374,31108,9,982,32099,48691,
17,MORELOS,18,TEMIXCO,42,139,5081,3463,5408,2168,4706,1003,882,16048,4195,747,649,165,254,1369,227,194,581,2412,49552,24,1777,51353,86373,
17,MORELOS,19,TEPALCINGO,16,36,755,795,1528,806,1530,331,462,3780,1504,402,305,23,73,250,30,23,96,828,13521,1,600,14122,20210,
17,MORELOS,20,TEPOZTLAN,19,52,1334,916,1833,645,1935,747,528,6793,1681,164,216,57,87,459,71,74,216,936,18692,4,708,19404,29119,
17,MORELOS,21,TETECALA,6,13,253,670,728,77,443,354,53,1426,575,123,24,8,15,62,9,9,38,32,4899,1,209,5109,6324,
17,MORELOS,22,TETELA DEL VOLCAN,8,22,1022,573,1538,393,1784,359,562,2394,828,151,158,19,32,177,57,34,40,366,10487,2,388,10877,14454,
17,MORELOS,23,TLALNEPANTLA,4,9,439,84,192,52,398,112,215,1061,365,36,138,6,9,74,11,7,32,421,3652,0,162,3814,5027,
17,MORELOS,24,TLALTIZAPAN DE ZAPATA,27,67,1145,2250,2611,600,2067,963,380,6520,2337,659,708,60,137,486,83,68,196,2733,24003,14,881,24898,37694,
17,MORELOS,25,TLAQUILTENANGO,26,53,672,1044,1495,641,1789,465,594,3959,1250,488,307,23,87,300,59,66,102,2549,15890,4,691,16585,24975,
17,MORELOS,26,TLAYACAPAN,9,23,668,352,1296,201,915,179,236,3246,1096,107,81,17,23,184,28,20,114,1558,10321,1,368,10690,14099,
17,MORELOS,27,TOTOLAPAN,7,16,379,283,559,203,807,96,384,1555,1801,84,74,11,12,152,23,27,67,294,6811,5,238,7054,8003,
17,MORELOS,28,XOCHITEPEC,23,78,2441,4433,2002,1394,2318,518,838,9279,2980,352,365,68,89,636,129,119,302,1548,29811,74,1073,30958,49145,
17,MORELOS,29,YAUTEPEC,51,134,5486,3001,7657,1456,4894,1241,843,12537,3795,1207,464,263,590,1097,223,175,482,2008,47419,51,1749,49219,77060,
17,MORELOS,30,YECAPIXTLA,19,58,3953,770,3369,1008,3023,624,406,5444,1724,599,234,140,203,528,104,120,200,742,23191,4,968,24163,35463,
17,MORELOS,31,ZACATEPEC,26,53,1227,1027,1661,508,1933,376,694,7265,2143,448,233,32,63,465,83,65,175,996,19394,8,553,19955,29253,
17,MORELOS,32,ZACUALPAN DE AMILPAS,6,13,314,352,457,297,523,1052,148,1238,814,88,282,17,19,68,23,17,29,163,5901,1,248,6150,7182,
17,MORELOS,33,TEMOAC,6,17,504,791,730,507,947,188,521,2250,1128,81,73,8,15,119,21,23,66,186,8158,10,284,8452,10996,
17,MORELOS,0,VOTO EN EL EXTRANJERO,0,0,270,56,43,73,50,37,75,955,28,8,32,18,5,55,23,5,21,54,1808,4,31,1843,3487,
