CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PSD,HUMANISTA,PAN_MC,PRD_PSD,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,255,3,257,84,76,47,154,28,38,390,133,6,10,10,4,30,10,5,9,38,1329,3,37,1369,2249
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,262,2,289,38,25,16,72,10,17,137,36,2,8,5,1,8,0,1,3,17,685,0,6,691,969
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,263,2,330,71,40,15,54,11,9,134,40,5,7,5,0,12,1,0,4,13,751,0,13,764,1082
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,264,2,202,50,29,18,61,19,15,112,28,1,8,6,2,11,3,1,4,16,586,1,14,601,824
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,265,1,219,39,35,12,25,3,9,77,20,5,5,5,2,6,0,0,2,8,472,0,16,488,695
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,266,1,172,37,24,6,33,15,8,115,34,3,5,1,2,8,0,0,5,10,478,0,8,486,688
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,267,3,224,61,77,16,119,38,21,242,86,6,13,6,2,30,5,8,7,30,991,1,16,1008,1610
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,268,2,139,44,39,33,66,12,13,243,69,22,10,7,5,18,5,2,6,8,741,0,12,753,1135
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,269,2,155,44,60,19,77,16,16,212,69,13,16,3,8,20,0,2,4,32,766,1,13,780,1172
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,270,1,74,38,19,10,52,13,4,121,29,6,8,5,0,9,0,3,3,22,416,0,7,423,624
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,278,2,175,49,35,10,48,14,17,168,43,6,7,12,0,10,4,0,1,14,613,0,4,617,793
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,279,2,206,45,42,34,98,22,14,290,81,10,9,4,1,21,6,0,6,23,912,0,22,934,1429
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,280,1,89,13,16,8,20,6,6,56,11,1,4,1,1,4,1,0,1,3,241,0,5,246,355
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,281,2,262,61,46,17,43,22,18,141,54,3,7,9,3,15,1,0,4,7,713,1,18,732,1061
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,289,1,110,37,35,13,35,8,16,125,29,8,4,4,2,8,2,1,3,9,449,1,15,465,710
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,290,3,286,87,81,40,136,34,34,399,97,6,12,16,6,39,9,6,18,21,1327,0,27,1354,1901
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,291,2,160,42,19,15,41,14,10,142,49,6,7,4,3,22,1,3,2,19,559,2,19,580,817
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,292,3,217,53,77,36,154,31,28,416,129,15,15,15,5,40,10,8,17,32,1298,0,28,1326,1989
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,293,1,116,32,12,12,28,9,7,83,34,2,2,2,0,9,1,0,2,9,360,0,12,372,575
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,302,4,167,54,143,57,201,36,26,331,170,40,9,9,5,44,12,4,29,21,1358,6,100,1464,2929
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,303,4,235,59,101,54,160,32,33,486,157,10,23,6,4,36,14,5,17,51,1483,0,23,1506,2327
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,304,2,175,42,54,39,80,23,28,245,90,17,16,6,5,22,4,3,3,32,884,0,17,901,1441
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,390,1,35,14,5,5,26,4,1,59,16,1,3,1,2,5,1,3,2,4,187,0,4,191,365
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,188,5,388,132,137,71,219,43,57,574,245,41,34,7,8,70,10,9,21,91,2157,2,52,2211,3707
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,206,3,223,88,51,47,125,15,33,284,113,12,16,11,5,28,5,2,10,43,1111,1,44,1156,1717
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,207,4,349,107,94,49,149,41,40,367,138,31,19,9,3,59,5,3,11,60,1534,1,73,1608,2587
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,208,4,205,92,164,39,217,33,35,469,208,38,22,2,13,55,13,9,21,60,1695,0,50,1745,2541
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,209,6,842,142,161,63,214,72,57,597,173,29,34,18,10,43,13,4,18,67,2557,1,50,2608,3799
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,210,2,324,58,50,13,71,25,29,210,42,9,11,10,7,14,1,1,4,18,897,1,31,929,1325
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,211,2,252,75,40,14,62,14,18,163,34,10,4,8,1,10,3,2,8,11,729,1,19,749,1125
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,238,2,198,53,28,17,33,10,11,124,22,3,4,5,1,6,1,0,2,12,530,0,22,552,763
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,239,12,1333,314,310,179,529,123,110,1529,420,171,76,20,29,153,12,25,46,172,5551,4,119,5674,8340
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,240,3,461,97,57,42,88,39,21,385,75,7,21,6,2,14,3,1,4,35,1358,1,38,1397,1996
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,241,3,172,38,101,32,114,31,24,261,123,17,22,7,11,31,3,4,13,29,1033,11,51,1095,1670
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,242,2,282,63,51,25,68,18,16,177,65,20,10,6,19,21,4,1,7,24,877,60,23,960,1373
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,243,2,159,37,37,15,58,17,9,181,56,9,3,3,0,17,3,0,1,17,622,1,17,640,950
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,244,3,236,38,64,17,75,24,28,205,62,8,22,0,3,23,2,1,4,16,828,1,22,851,1148
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,271,2,181,45,46,14,46,15,5,163,62,6,9,6,1,19,2,0,5,14,639,0,14,653,921
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,272,4,225,48,116,46,140,32,37,390,118,31,54,10,17,38,4,9,25,43,1383,0,53,1436,2300
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,273,2,219,38,42,21,80,22,21,245,83,16,10,6,3,21,5,2,13,21,868,0,27,895,1338
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,274,2,140,30,101,27,99,14,14,224,88,17,4,6,1,26,7,6,14,29,847,1,29,877,1403
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,275,2,174,48,39,21,45,21,19,198,46,5,9,6,0,14,1,2,9,20,677,2,21,700,998
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,276,2,143,45,32,15,64,12,18,182,50,4,8,6,0,9,3,9,6,14,620,1,12,633,953
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,277,1,122,33,10,10,29,4,6,112,29,0,2,3,0,10,2,1,8,18,399,3,7,409,596
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,294,2,100,40,47,20,49,12,20,164,62,2,7,2,2,31,1,0,6,25,590,1,18,609,940
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,295,1,92,34,40,8,45,8,7,131,26,6,4,1,2,14,1,1,3,6,429,0,8,437,676
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,296,2,66,25,60,7,66,11,14,169,55,6,12,2,4,10,2,0,5,13,527,0,22,549,834
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,297,2,68,33,41,21,62,8,14,166,70,12,7,3,2,22,2,4,6,13,554,1,15,570,956
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,298,2,91,39,34,18,55,13,10,162,46,4,10,8,1,22,1,0,6,18,538,0,12,550,810
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,299,1,64,16,6,8,29,6,6,84,23,2,4,3,1,7,1,1,3,4,268,1,8,277,397
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,300,2,141,30,44,17,47,12,10,123,37,5,9,9,4,16,8,2,8,17,539,0,10,549,848
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,301,2,124,41,45,16,58,16,19,219,58,7,10,5,1,21,4,2,5,29,680,0,17,697,1109
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,311,2,173,45,48,22,73,22,13,245,79,8,9,2,3,22,3,3,12,26,808,0,23,831,1347
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,312,2,165,42,33,20,86,14,20,136,72,11,9,13,5,18,5,6,8,20,683,0,23,706,1255
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,313,1,46,16,10,8,28,6,6,97,24,5,1,2,0,7,2,0,1,8,267,0,4,271,402
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,314,2,48,29,38,19,84,5,12,196,65,5,3,2,1,9,4,1,20,11,552,0,9,561,979
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,315,2,140,37,51,16,88,17,15,220,62,9,5,2,6,17,0,1,12,12,710,0,27,737,1076
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,316,2,117,30,53,26,74,12,27,268,73,12,11,1,0,28,4,1,9,23,769,0,23,792,1290
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,317,3,141,49,76,26,119,27,26,323,147,28,16,3,5,33,6,11,23,41,1100,1,40,1141,1812
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,318,2,120,28,80,33,68,13,25,206,89,44,6,1,5,45,4,5,15,31,818,0,48,866,1494
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,319,1,42,21,21,11,28,4,3,82,33,1,3,0,1,8,0,1,4,6,269,0,8,277,394
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,320,3,179,51,72,40,152,28,29,428,169,19,12,1,1,48,3,6,22,38,1298,6,50,1354,2110
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,321,2,137,52,31,26,80,25,22,286,95,9,9,2,0,22,2,4,7,31,840,1,26,867,1261
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,322,2,161,40,32,25,80,29,21,259,115,10,7,7,4,27,3,4,11,28,863,1,27,891,1295
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,323,1,37,24,26,11,39,5,7,102,55,3,7,3,4,19,2,0,5,16,365,0,13,378,597
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,324,2,131,51,44,17,84,13,3,195,63,9,7,2,3,31,3,1,5,22,684,1,12,697,1090
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,325,1,59,20,15,8,24,2,6,62,32,0,6,4,1,8,2,0,8,8,265,0,4,269,419
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,326,1,39,15,10,11,18,4,4,50,25,2,5,0,1,7,1,0,3,6,201,0,6,207,288
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,327,2,152,55,37,20,65,28,12,189,76,4,9,8,1,14,4,4,8,17,703,0,22,725,1016
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,328,2,108,30,61,9,65,12,11,143,66,12,9,2,14,15,5,0,7,20,589,0,16,605,893
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,329,1,138,27,25,9,26,9,8,109,39,3,9,9,0,8,1,0,6,18,444,0,5,449,621
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,330,3,195,51,37,7,52,18,24,193,68,8,14,2,1,20,2,2,7,11,712,3,11,726,956
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,343,2,205,61,49,17,61,16,11,180,58,3,8,6,4,16,2,5,4,23,729,1,15,745,1016
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,344,2,262,72,61,25,93,22,20,296,79,6,12,16,1,26,3,3,3,25,1025,1,13,1039,1472
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,345,1,88,43,19,6,34,7,12,89,27,3,3,0,1,12,1,1,1,9,356,0,5,361,532
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,346,1,63,29,23,14,46,5,4,129,28,2,8,1,0,7,2,1,4,15,381,2,8,391,616
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,347,1,55,15,19,9,18,4,9,76,21,1,4,2,0,8,2,1,2,9,255,0,9,264,394
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,348,3,134,63,62,29,90,17,19,247,108,11,17,4,3,21,8,4,8,19,864,1,28,893,1505
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,349,3,151,43,85,25,123,20,22,288,92,20,14,9,11,28,6,10,5,39,991,1,34,1026,1637
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,350,2,200,78,55,23,91,20,21,259,108,13,8,3,3,31,2,3,6,41,965,0,19,984,1427
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,351,1,86,23,41,12,44,10,5,117,32,6,9,2,0,13,2,0,2,14,418,0,13,431,636
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,352,1,77,33,21,10,23,11,13,121,24,3,4,2,1,13,0,0,4,13,373,0,10,383,594
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,353,2,117,28,12,13,36,12,15,137,47,6,4,5,3,11,3,0,5,8,462,1,9,472,753
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,354,2,236,45,43,27,77,18,13,189,69,2,15,4,0,13,0,2,5,28,786,3,23,812,1177
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,355,4,244,68,97,53,167,35,30,512,175,39,15,6,10,32,9,3,22,57,1574,0,38,1612,2358
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,356,2,144,85,41,24,61,16,25,286,70,9,13,3,2,19,3,2,2,18,823,14,16,853,1113
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,357,2,166,50,45,14,63,21,16,152,57,1,3,3,2,20,5,1,3,29,651,0,13,664,930
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,358,1,70,21,14,10,25,6,4,103,27,3,2,2,1,13,0,1,5,11,318,0,4,322,436
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,361,2,171,57,44,23,55,16,10,212,49,1,8,2,0,6,2,1,6,17,680,1,14,695,992
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,362,1,77,18,27,4,52,6,10,130,35,1,1,3,0,8,3,0,1,10,386,0,9,395,615
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,363,1,103,37,34,10,46,11,8,87,31,1,5,4,1,13,2,0,5,14,412,0,12,424,695
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,364,3,119,58,90,26,84,30,20,244,117,20,16,2,8,33,6,3,7,23,906,1,35,942,1589
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,365,4,213,93,105,54,181,21,25,401,191,42,11,4,9,39,7,25,27,44,1492,0,58,1550,2722
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,366,3,130,46,98,41,137,24,19,416,129,16,16,4,2,31,4,5,14,32,1164,0,50,1214,2016
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,367,3,128,47,65,36,78,16,19,308,96,16,15,6,5,24,25,26,14,38,962,0,24,986,1614
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,368,2,169,46,41,18,41,15,14,168,64,1,8,3,3,9,2,0,6,19,627,0,20,647,1009
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,369,2,215,63,39,16,50,17,16,259,82,6,13,11,6,28,4,0,2,22,849,1,11,861,1297
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,370,3,181,67,100,28,101,25,23,330,126,19,9,7,8,33,6,4,10,17,1094,4,32,1130,1706
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,371,2,169,61,40,13,53,20,16,203,48,7,6,5,1,18,3,1,6,21,691,1,13,705,999
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,372,2,157,59,37,15,50,18,11,141,46,5,4,3,2,9,3,0,3,12,575,0,19,594,792
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,373,4,176,65,108,49,127,21,27,352,148,27,12,5,2,41,2,12,13,31,1218,0,64,1282,2267
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,374,2,67,40,51,20,91,30,11,203,87,16,5,0,6,20,4,3,13,18,685,0,38,723,1260
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,375,5,289,109,134,41,196,27,44,545,251,24,21,8,10,70,7,6,33,59,1874,1,56,1931,3274
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,376,1,138,48,21,12,29,4,6,133,23,4,7,4,1,4,1,2,2,10,449,0,10,459,683
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,377,2,156,48,38,16,48,10,11,149,60,7,10,1,2,11,1,1,6,25,600,0,10,610,864
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,378,2,167,44,35,23,71,12,22,318,105,9,9,6,1,23,3,2,4,19,873,2,28,903,1299
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,379,2,138,41,47,34,77,25,14,277,103,10,9,4,3,16,5,3,12,15,833,1,21,855,1301
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,380,1,198,49,35,8,37,4,10,65,36,4,0,3,0,1,2,1,2,6,461,0,6,467,627
