id_entidad_electoral,fecha_jornada,id_cargo,nombre_cargo,id_estado,id_distrito,id_casilla,tipo_casilla,descripcion,ext_contigua,cabecera,clave_circunscripcion,id_municipio,municipio,lista nominal,estatus_casilla,descripcion,resultados_obtenidos,tipo_urna,descripcion,seccion,nulos,noregistrados,PAN,PRI,PRD,PT,PVEM,Convergencia,PANAL,PAS,PAN_PVEM,PRI_PVEM,PRD_PT_PVEM_PC,PRD_PT_PVEM,PRD_PT_PC,PRD_PVEM_PC,PRD_PT,PRD_PVEM,PRD_PC,PT_PVEM,PT_PC,total
7,7/10/2007,12,Ayuntamientos,7,0,1,B,Basica,0,,,59,OCOSINGO,430,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,830,9,0,153,0,7,0,0,0,0,5,0,60,0,0,0,0,0,0,0,0,11,245
7,7/10/2007,12,Ayuntamientos,7,0,1,B,Basica,0,,,59,OCOSINGO,616,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,838,10,0,62,0,45,0,0,0,10,1,0,37,0,0,0,0,0,0,0,0,5,170
7,7/10/2007,12,Ayuntamientos,7,0,2,C,Contigua,0,,,59,OCOSINGO,708,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,842,22,0,85,0,80,0,0,0,2,1,0,58,0,0,0,0,0,0,0,0,18,266
7,7/10/2007,12,Ayuntamientos,7,0,2,E,Extraordinaria,0,,,59,OCOSINGO,588,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,842,17,0,90,0,134,0,0,0,2,0,0,35,0,0,0,0,0,0,0,0,3,281
7,7/10/2007,12,Ayuntamientos,7,0,2,C,Contigua,0,,,59,OCOSINGO,669,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,843,0,2,115,0,57,0,0,0,1,61,0,82,0,0,0,0,0,0,0,0,26,344
7,7/10/2007,12,Ayuntamientos,7,0,1,B,Basica,0,,,59,OCOSINGO,417,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,844,14,0,65,0,46,0,0,0,11,0,0,35,0,0,0,0,0,0,0,0,6,177
7,7/10/2007,12,Ayuntamientos,7,0,1,C,Contigua,0,,,59,OCOSINGO,417,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,844,14,0,76,0,54,0,0,0,9,3,0,27,0,0,0,0,0,0,0,0,2,185
7,7/10/2007,12,Ayuntamientos,7,0,1,C,Contigua,0,,,59,OCOSINGO,487,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,848,14,0,96,0,11,0,0,0,3,0,0,103,0,0,0,0,0,0,0,0,8,235
7,7/10/2007,12,Ayuntamientos,7,0,1,B,Basica,0,,,59,OCOSINGO,531,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,851,16,5,64,0,36,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,35,201
7,7/10/2007,12,Ayuntamientos,7,0,2,C,Contigua,0,,,59,OCOSINGO,537,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,855,14,0,69,0,54,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,9,294
7,7/10/2007,12,Ayuntamientos,7,0,1,E,Extraordinaria,0,,,59,OCOSINGO,370,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,855,4,0,223,0,5,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,2,242
7,7/10/2007,12,Ayuntamientos,7,0,1,B,Basica,0,,,59,OCOSINGO,737,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,856,22,0,119,0,117,0,0,0,1,0,0,181,0,0,0,0,0,0,0,0,3,443
7,7/10/2007,12,Ayuntamientos,7,0,1,E,Extraordinaria,2,,,59,OCOSINGO,454,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,857,18,0,171,0,18,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,2,276
7,7/10/2007,12,Ayuntamientos,7,0,2,E,Extraordinaria,0,,,59,OCOSINGO,296,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,858,6,0,38,0,2,0,0,0,2,0,0,122,0,0,0,0,0,0,0,0,5,175
7,7/10/2007,12,Ayuntamientos,7,0,1,B,Basica,0,,,59,OCOSINGO,412,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,862,9,0,88,0,82,0,0,0,1,1,0,20,0,0,0,0,0,0,0,0,2,203
