CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,4,E01,119,109,8,4,4,3,5,28,3,9,3,,295,5,300,624,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC4E01O131.JPG
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,4,E01C01,112,92,10,11,1,2,10,33,4,10,2,,287,5,292,623,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC4E01C01O134.JPG
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,4,E01C02,86,94,8,6,4,4,13,35,2,12,4,,268,7,275,623,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC4E01C02O136.JPG
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,4,E01C03,96,71,9,8,2,6,7,27,4,11,6,,247,8,255,623,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC4E01C03O138.JPG
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,4,E02,89,104,10,4,4,3,12,29,3,6,7,,271,9,280,566,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC4E02O139.JPG
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,4,E02C01,82,96,7,5,3,4,11,20,8,9,5,,250,10,260,566,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC4E02C01O142.JPG
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,4,E02C02,91,81,8,4,3,6,20,21,6,5,8,,253,8,261,566,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC4E02C02O144.JPG
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,4,E02C03,101,88,2,7,1,4,8,19,5,4,9,,248,12,260,565,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC4E02C03O145.JPG
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,5,B,129,100,14,9,6,7,14,51,7,9,4,,350,8,358,528,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC5BO148.JPG
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,5,C01,109,99,11,8,5,5,10,37,6,18,5,,313,15,328,528,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC5C01O149.JPG
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,6,B,96,99,6,4,7,8,15,32,7,11,2,,287,9,296,481,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC6BO151.JPG
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,6,C01,101,77,9,3,6,3,11,28,5,13,1,,257,9,266,480,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC6C01O153.JPG
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,7,B,102,123,6,8,2,2,24,26,0,15,0,,308,9,317,468,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC7BO1.JPG
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,7,C01,97,106,21,3,3,8,14,22,3,13,3,,293,11,304,467,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC7C01O3.JPG
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,8,B,171,137,13,8,7,4,25,41,13,21,1,,441,9,450,737,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC8BO155.JPG
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,9,B,145,127,15,10,10,2,23,39,12,23,6,,412,10,422,714,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC9BO158.JPG
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,9,C01,141,126,15,14,11,4,12,46,13,16,1,,399,16,415,714,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC9C01O159.JPG
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,9,C02,121,125,12,8,10,5,14,60,14,13,1,,383,6,389,713,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC9C02O161.JPG
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,9,C03,128,133,18,6,9,6,27,44,11,20,1,,403,4,407,713,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC9C03O163.JPG
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,9,C04,132,120,6,4,8,8,16,27,10,23,3,,357,7,364,713,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC9C04O166.JPG
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,9,C05,134,119,17,7,6,4,12,55,10,17,3,,384,14,398,713,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC9C05O168.JPG
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,10,B,88,86,13,3,2,5,6,31,1,12,5,,252,8,260,483,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC10BO6.JPG
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,10,C01,76,78,17,7,6,6,10,19,5,10,4,,238,13,251,483,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC10C01O8.JPG
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,11,B,91,121,9,5,0,1,11,13,2,9,3,,265,12,277,454,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC11BO9.JPG
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,11,C01,61,119,8,7,7,5,9,50,0,7,5,,278,16,294,454,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC11C01O11.JPG
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,12,B,126,179,13,13,6,4,13,58,8,16,4,,440,25,465,728,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC12BO14.JPG
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,12,C01,126,187,18,12,6,5,17,49,8,15,5,,448,20,468,727,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC12C01O15.JPG
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,13,B,136,95,14,5,5,3,16,35,4,8,0,,321,13,334,578,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC13BO18.JPG
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,13,C01,128,84,12,2,5,1,15,26,4,10,7,,294,10,304,578,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC13C01O19.JPG
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,14,B,75,91,11,8,11,3,7,28,4,7,5,,250,8,258,504,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC14BO22.JPG
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,14,C01,82,95,11,3,3,4,8,33,3,5,5,,252,15,267,504,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC14C01O24.JPG
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,15,B,119,113,12,5,3,5,9,37,5,11,7,,326,7,333,570,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC15BO170.JPG
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,15,C01,130,94,12,0,6,5,10,29,5,14,0,,305,10,315,570,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC15C01O172.JPG
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,16,B,106,83,9,6,1,0,30,22,3,14,7,,281,9,290,549,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC16BO174.JPG
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,16,C01,114,108,15,5,6,7,17,28,3,9,7,,319,13,332,549,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/ACL16C01O.JPG
3,4,CAMPECHE,7,TENABO,1,CAMPECHE,17,B,110,92,15,9,5,10,22,48,5,17,3,,336,10,346,737,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC17BO635.JPG
3,4,CAMPECHE,7,TENABO,1,CAMPECHE,17,C01,102,100,10,4,4,7,16,55,12,12,3,,325,9,334,737,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC17C01O637.JPG
3,4,CAMPECHE,7,TENABO,1,CAMPECHE,17,C02,100,92,6,8,4,8,21,44,4,14,1,,302,7,309,737,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC17C02O639.JPG
3,4,CAMPECHE,7,TENABO,1,CAMPECHE,17,C03,100,94,11,8,7,6,13,61,5,9,3,,317,5,322,737,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC17C03O641.JPG
3,4,CAMPECHE,7,TENABO,1,CAMPECHE,17,C04,117,99,15,10,7,6,14,47,6,14,2,,337,16,353,737,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/ACL17C04O.JPG
3,4,CAMPECHE,7,TENABO,1,CAMPECHE,17,C05,111,104,13,6,3,4,15,37,8,16,4,,321,11,332,737,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC17C05O646.JPG
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,18,B,145,148,16,4,5,5,15,40,4,10,7,,399,10,409,636,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC18BO177.JPG
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,19,B,109,78,10,9,7,4,11,28,3,5,6,,270,7,277,525,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC19BO179.JPG
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,19,C01,120,90,9,4,5,2,8,17,4,6,2,,267,9,276,525,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC19C01O182.JPG
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,20,B,103,130,6,6,5,0,5,20,2,10,8,,295,11,306,542,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC20BO184.JPG
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,20,C01,96,129,12,7,4,3,2,21,5,10,6,,295,9,304,542,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC20C01O185.JPG
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,21,B,94,147,25,10,11,6,19,47,4,9,7,,379,12,391,721,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC21BO25.JPG
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,21,C01,91,179,20,0,7,9,16,38,4,15,0,,379,15,394,721,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC21C01O27.JPG
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,22,B,52,131,9,4,4,3,15,38,6,10,5,,277,13,290,467,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC22BO30.JPG
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,22,C01,62,112,6,0,4,6,14,44,6,6,0,,260,3,263,466,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC22C01O31.JPG
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,23,B,74,90,11,10,4,2,13,26,4,7,0,,241,10,251,424,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC23BO34.JPG
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,23,C01,82,110,7,8,6,2,7,26,4,11,2,,265,13,278,424,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC23C01O35.JPG
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,24,B,93,140,7,7,3,3,14,39,8,7,0,,321,8,329,536,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC24BO37.JPG
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,24,C01,100,123,15,7,1,2,17,41,1,7,2,,316,19,335,535,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC24C01O40.JPG
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,25,B,99,165,20,7,1,10,13,33,3,22,2,,375,7,382,580,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC25BO41.JPG
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,26,B,95,134,21,13,5,1,14,36,5,18,4,,346,12,358,546,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC26BO44.JPG
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,26,C01,107,136,23,15,6,4,20,38,6,16,3,,374,12,386,546,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC26C01O45.JPG
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,27,B,126,126,12,8,5,3,13,53,5,12,1,,364,12,376,571,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/ACL27BO.JPG
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,27,C01,102,111,9,11,6,5,17,54,5,30,4,,354,8,362,570,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC27C01O49.JPG
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,28,B,106,171,5,0,5,6,3,29,5,12,0,,342,6,348,570,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC28BO51.JPG
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,29,B,86,87,12,7,4,3,12,54,2,11,5,,283,12,295,428,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC29BO54.JPG
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,29,C01,72,117,15,4,1,3,8,34,3,15,6,,278,8,286,427,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC29C01O55.JPG
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,30,B,86,92,15,8,3,3,4,27,4,10,2,,254,11,265,380,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC30BO58.JPG
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,30,C01,74,106,5,11,1,4,5,33,0,8,8,,255,10,265,380,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC30C01O59.JPG
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,31,B,130,175,13,12,6,4,14,47,3,28,12,,444,13,457,708,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC31BO61.JPG
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,32,B,74,69,14,5,5,4,14,32,1,9,5,,232,7,239,387,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC32BO64.JPG
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,32,C01,69,80,9,6,0,2,16,30,1,12,2,,227,16,243,387,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC32C01O65.JPG
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,33,B,62,85,12,6,10,3,14,30,3,5,0,,230,9,239,443,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC33BO67.JPG
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,33,C01,60,96,11,5,8,4,6,27,2,10,2,,231,12,243,443,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC33C01O69.JPG
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,34,B,87,108,13,8,16,3,13,35,6,20,6,,315,16,331,637,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC34BO71.JPG
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,34,C01,92,111,25,4,17,5,15,30,7,9,13,,328,10,338,636,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC34C01O73.JPG
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,35,B,73,99,6,2,3,4,10,32,4,13,0,,246,10,256,461,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC35BO187.JPG
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,35,C01,89,80,11,7,6,5,7,21,6,13,4,,249,10,259,460,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC35C01O189.JPG
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,36,B,122,115,14,5,8,2,8,31,5,6,5,,321,9,330,577,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC36BO191.JPG
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,36,C01,109,104,13,5,3,3,9,20,7,9,3,,285,15,300,576,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC36C01O193.JPG
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,37,B,81,88,12,2,5,0,8,20,2,8,0,,226,7,233,426,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC37BO196.JPG
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,37,C01,88,76,13,4,2,4,9,26,3,10,3,,238,1,239,426,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC37C01O197.JPG
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,38,B,72,79,8,5,7,5,5,28,1,14,1,,225,5,230,377,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC38BO199.JPG
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,38,C01,62,84,3,13,4,2,6,36,1,9,0,,220,9,229,377,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC38C01O202.JPG
3,4,CAMPECHE,3,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,39,B,117,104,29,10,13,7,18,44,6,21,7,,376,12,388,662,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC39BO208.JPG
3,4,CAMPECHE,3,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,39,C01,81,131,16,2,9,5,13,32,5,13,2,,309,17,326,662,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC39C01O209.JPG
3,4,CAMPECHE,3,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,39,C02,127,128,21,5,5,7,13,27,5,20,6,,364,16,380,662,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC39C02O211.JPG
3,4,CAMPECHE,3,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,40,B,47,81,19,7,5,4,6,23,5,13,6,,216,4,220,387,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC40BO214.JPG
3,4,CAMPECHE,3,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,40,C01,53,68,16,5,3,1,4,13,3,19,1,,186,9,195,387,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC40C01O215.JPG
3,4,CAMPECHE,3,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,41,B,64,0,17,5,5,5,9,32,9,14,62,,222,11,233,390,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC41BO217.JPG
3,4,CAMPECHE,3,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,41,C01,46,76,12,5,3,1,11,20,13,12,1,,200,6,206,390,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC41C01O220.JPG
3,4,CAMPECHE,3,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,42,B,91,99,33,12,8,4,14,45,5,15,7,,333,9,342,557,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC42BO221.JPG
3,4,CAMPECHE,3,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,42,C01,102,87,21,7,8,4,14,58,3,22,6,,332,10,342,557,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC42C01O224.JPG
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,43,B,99,101,25,8,8,3,15,41,4,7,1,,312,17,329,498,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC43BO75.JPG
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,43,C01,83,133,19,9,8,2,7,34,5,9,0,,309,14,323,498,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC43C01O77.JPG
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,44,B,79,58,15,6,6,2,12,38,3,14,4,,237,12,249,408,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC44BO80.JPG
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,44,C01,57,59,14,3,4,1,17,55,5,17,6,,238,6,244,407,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC44C01O81.JPG
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,45,B,118,140,22,6,8,10,18,79,7,14,5,,427,19,446,719,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC45BO83.JPG
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,46,B,77,108,9,14,2,3,21,43,3,10,5,,295,14,309,498,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC46BO85.JPG
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,46,C01,90,105,5,5,1,4,16,40,7,12,5,,290,10,300,498,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC46C01O88.JPG
