Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 111 - ZINAPECUARO,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 2566 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,148,97,39,8,0,2,1,,,,,0,,0,0,,,,0,13,308,607
C1,AC,Urna tradicional,134,95,39,5,0,1,1,,,,,6,,3,4,,,,0,13,301,608
Total,,,282,192,78,13,0,3,2,0,0,0,0,6,0,3,4,0,0,0,0,26,609,1215
Sección 2567 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,117,52,11,5,0,2,2,,,,,5,,0,1,,,,0,7,202,463
C1,AC,Urna tradicional,131,53,7,2,2,0,0,,,,,2,,1,0,,,,0,11,209,463
Total,,,248,105,18,7,2,2,2,0,0,0,0,7,0,1,1,0,0,0,0,18,411,926
Sección 2568 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,67,133,41,0,0,0,0,,,,,0,,0,0,,,,0,0,241,515
C1,AC,Urna tradicional,75,108,45,0,0,2,0,,,,,0,,0,0,,,,0,7,237,515
C2,AC,Urna tradicional,73,115,47,2,2,0,0,,,,,2,,2,0,,,,0,6,249,515
Total,,,215,356,133,2,2,2,0,0,0,0,0,2,0,2,0,0,0,0,0,13,727,1545
Sección 2569 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,69,113,67,3,1,1,1,,,,,2,,1,3,,,,0,6,267,641
Total,,,69,113,67,3,1,1,1,0,0,0,0,2,0,1,3,0,0,0,0,6,267,641
Total municipal,,,8508,6827,4346,181,96,167,168,0,0,0,0,368,0,244,285,0,0,0,8,768,21966,42607
