Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 52 - MARAVATIO,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
B,AC,Urna tradicional,85,75,86,1,3,0,3,,,,,1,,2,,8,,,0,14,278,549
C1,AC,Urna tradicional,73,57,101,3,4,2,7,,,,,0,,2,,6,,,0,12,267,549
C2,AC,Urna tradicional,86,60,84,4,0,0,9,,,,,0,,0,,7,,,0,13,263,549
Total,,,244,192,271,8,7,2,19,0,0,0,0,1,0,4,0,21,0,0,0,39,808,1647
Sección 900 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,99,53,67,2,1,1,9,,,,,4,,0,,6,,,1,14,257,505
C1,AC,Urna tradicional,86,59,61,3,2,0,23,,,,,0,,1,,4,,,0,10,249,506
C2,AC,Urna tradicional,90,70,51,1,1,0,16,,,,,3,,0,,8,,,0,10,250,506
Total,,,275,182,179,6,4,1,48,0,0,0,0,7,0,1,0,18,0,0,1,34,756,1517
Sección 901 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,74,76,108,4,2,0,5,,,,,2,,0,,1,,,4,5,281,513
C1,AC,Urna tradicional,92,54,91,0,1,3,4,,,,,1,,0,,10,,,1,7,264,514
C2,AC,Urna tradicional,102,68,80,3,0,0,3,,,,,5,,0,,2,,,0,12,275,514
Total,,,268,198,279,7,3,3,12,0,0,0,0,8,0,0,0,13,0,0,5,24,820,1541
Sección 902 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,28,57,51,3,2,1,2,,,,,0,,0,,1,,,0,9,154,547
C1,AC,Urna tradicional,24,38,47,1,0,0,2,,,,,1,,0,,0,,,0,13,126,548
Total,,,52,95,98,4,2,1,4,0,0,0,0,1,0,0,0,1,0,0,0,22,280,1095
Sección 903 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,114,37,136,8,4,0,5,,,,,6,,0,,9,,,1,9,329,642
C1,AC,Urna tradicional,115,35,121,4,3,0,1,,,,,3,,0,,5,,,2,9,298,642
C2,AC,Urna tradicional,119,40,110,1,2,0,3,,,,,5,,1,,10,,,0,14,305,643
C3,AC,Urna tradicional,119,55,120,4,1,1,2,,,,,3,,1,,5,,,0,17,328,643
Total,,,467,167,487,17,10,1,11,0,0,0,0,17,0,2,0,29,0,0,3,49,1260,2570
Sección 904 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,94,33,41,3,0,1,3,,,,,3,,2,,1,,,1,7,189,515
C1,AC,Urna tradicional,104,27,39,5,2,0,0,,,,,1,,1,,0,,,0,5,184,515
C2,AC,Urna tradicional,107,36,41,1,1,0,3,,,,,1,,0,,0,,,0,6,196,516
Total,,,305,96,121,9,3,1,6,0,0,0,0,5,0,3,0,1,0,0,1,18,569,1546
Sección 905 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,97,29,86,4,4,0,2,,,,,1,,1,,4,,,0,7,235,605
C1,AC,Urna tradicional,90,52,82,4,1,0,2,,,,,1,,0,,6,,,1,12,251,606
Total,,,187,81,168,8,5,0,4,0,0,0,0,2,0,1,0,10,0,0,1,19,486,1211
Sección 906 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,73,20,51,0,1,0,0,,,,,0,,0,,4,,,0,8,157,502
C1,AC,Urna tradicional,85,23,70,3,1,0,1,,,,,0,,0,,3,,,1,8,195,502
Total,,,158,43,121,3,2,0,1,0,0,0,0,0,0,0,0,7,0,0,1,16,352,1004
Sección 907 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,26,28,60,0,4,0,11,,,,,0,,0,,0,,,0,2,131,165
E1,AC,Urna tradicional,39,55,18,0,0,0,2,,,,,2,,0,,0,,,0,2,118,186
Total,,,65,83,78,0,4,0,13,0,0,0,0,2,0,0,0,0,0,0,0,4,249,351
Sección 908 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,128,32,86,5,1,0,8,,,,,2,,0,,7,,,0,6,275,557
C1,AC,Urna tradicional,142,26,99,6,0,0,5,,,,,4,,0,,1,,,0,0,283,557
C2,AC,Urna tradicional,142,30,117,0,0,0,0,,,,,0,,0,,0,,,0,10,299,558
Total,,,412,88,302,11,1,0,13,0,0,0,0,6,0,0,0,8,0,0,0,16,857,1672
Sección 909 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,156,48,119,1,3,1,8,,,,,5,,0,,5,,,0,10,356,663
C1,AC,Urna tradicional,165,55,97,0,3,1,6,,,,,9,,3,,10,,,0,9,358,664
Total,,,321,103,216,1,6,2,14,0,0,0,0,14,0,3,0,15,0,0,0,19,714,1327
Sección 910 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,93,46,150,10,2,1,5,,,,,3,,1,,10,,,0,4,325,627
C1,AC,Urna tradicional,105,58,157,8,2,0,5,,,,,2,,0,,7,,,0,3,347,627
Total,,,198,104,307,18,4,1,10,0,0,0,0,5,0,1,0,17,0,0,0,7,672,1254
Sección 911 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,71,66,70,2,4,1,8,,,,,1,,0,,3,,,0,4,230,411
C1,AC,Urna tradicional,83,47,58,5,0,0,17,,,,,0,,1,,0,,,0,6,217,412
E1,AC,Urna tradicional,74,32,45,4,3,1,3,,,,,0,,0,,4,,,0,54,220,315
Total,,,228,145,173,11,7,2,28,0,0,0,0,1,0,1,0,7,0,0,0,64,667,1138
Sección 912 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,51,91,161,4,1,2,6,,,,,5,,0,,4,,,0,12,337,712
C1,AC,Urna tradicional,61,90,95,3,1,1,5,,,,,6,,0,,8,,,0,10,280,712
C2,AC,Urna tradicional,63,73,121,2,4,1,6,,,,,4,,0,,6,,,0,8,288,712
C3,AC,Urna tradicional,110,73,131,3,6,0,4,,,,,4,,0,,6,,,0,5,342,712
Total,,,285,327,508,12,12,4,21,0,0,0,0,19,0,0,0,24,0,0,0,35,1247,2848
Sección 913 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,21,61,73,3,0,0,3,,,,,1,,0,,6,,,0,8,176,348
Total,,,21,61,73,3,0,0,3,0,0,0,0,1,0,0,0,6,0,0,0,8,176,348
Sección 914 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,52,69,121,0,2,1,13,,,,,1,,1,,2,,,0,5,267,536
C1,AC,Urna tradicional,72,75,84,2,0,0,12,,,,,2,,1,,2,,,0,10,260,536
C2,AC,Urna tradicional,74,75,100,4,4,1,5,,,,,2,,0,,2,,,0,8,275,536
E1,AC,Urna tradicional,31,39,206,3,1,0,13,,,,,0,,0,,1,,,0,5,299,607
Total,,,229,258,511,9,7,2,43,0,0,0,0,5,0,2,0,7,0,0,0,28,1101,2215
Sección 915 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,54,58,78,6,3,0,2,,,,,2,,1,,1,,,0,11,216,507
C1,AC,Urna tradicional,61,51,91,2,7,1,1,,,,,5,,0,,5,,,0,8,232,507
Total,,,115,109,169,8,10,1,3,0,0,0,0,7,0,1,0,6,0,0,0,19,448,1014
Sección 916 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,48,96,87,8,3,1,1,,,,,1,,0,,2,,,0,9,256,570
C1,AC,Urna tradicional,42,109,81,3,4,2,6,,,,,2,,0,,4,,,0,13,266,570
E1,AC,Urna tradicional,64,42,44,2,0,0,3,,,,,4,,1,,4,,,0,3,167,301
Total,,,154,247,212,13,7,3,10,0,0,0,0,7,0,1,0,10,0,0,0,25,689,1441
Sección 917 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,43,34,81,2,1,2,1,,,,,0,,1,,0,,,0,9,174,431
C1,AC,Urna tradicional,29,39,95,0,2,0,0,,,,,0,,0,,2,,,0,11,178,431
Total,,,72,73,176,2,3,2,1,0,0,0,0,0,0,1,0,2,0,0,0,20,352,862
Sección 918 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,44,58,148,1,0,0,8,,,,,1,,2,,7,,,1,14,284,595
Total,,,44,58,148,1,0,0,8,0,0,0,0,1,0,2,0,7,0,0,1,14,284,595
Sección 919 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,75,105,178,3,0,1,3,,,,,3,,2,,14,,,0,14,398,678
C1,AC,Urna tradicional,71,87,188,4,5,1,6,,,,,0,,2,,23,,,0,11,398,678
Total,,,146,192,366,7,5,2,9,0,0,0,0,3,0,4,0,37,0,0,0,25,796,1356
Sección 920 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,43,50,130,4,1,1,1,,,,,0,,0,,35,,,0,14,279,436
C1,AC,Urna tradicional,57,55,114,2,1,1,7,,,,,0,,0,,5,,,1,4,247,437
Total,,,100,105,244,6,2,2,8,0,0,0,0,0,0,0,0,40,0,0,1,18,526,873
Sección 921 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,14,68,40,1,0,1,3,,,,,0,,0,,0,,,0,1,128,215
E1,AC,Urna tradicional,42,67,36,2,0,0,1,,,,,0,,0,,0,,,0,4,152,276
Total,,,56,135,76,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,5,280,491
Sección 922 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,90,68,75,4,3,0,2,,,,,0,,3,,1,,,1,69,316,657
E1,AC,Urna tradicional,27,59,60,2,0,2,1,,,,,1,,0,,1,,,0,16,169,344
E2,AC,Urna tradicional,48,58,89,4,1,0,2,,,,,0,,1,,1,,,0,10,214,407
E2C1,AC,Urna tradicional,35,69,95,0,0,0,0,,,,,35,,69,,95,,,2,2,402,408
Total,,,200,254,319,10,4,2,5,0,0,0,0,36,0,73,0,98,0,0,3,97,1101,1816
Sección 923 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,46,41,234,6,0,1,3,,,,,1,,0,,16,,,0,8,356,620
C1,AC,Urna tradicional,60,32,224,0,0,0,0,,,,,0,,0,,0,,,0,16,332,621
Total,,,106,73,458,6,0,1,3,0,0,0,0,1,0,0,0,16,0,0,0,24,688,1241
Sección 924 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,97,58,170,2,2,1,6,,,,,0,,0,,0,,,0,15,351,720
C1,AC,Urna tradicional,91,67,140,7,4,0,5,,,,,2,,2,,9,,,0,12,339,720
Total,,,188,125,310,9,6,1,11,0,0,0,0,2,0,2,0,9,0,0,0,27,690,1440
Sección 925 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,13,82,59,3,0,0,1,,,,,0,,2,,6,,,0,7,173,377
C1,AC,Urna tradicional,15,54,114,2,1,0,4,,,,,0,,3,,1,,,0,3,197,377
Total,,,28,136,173,5,1,0,5,0,0,0,0,0,0,5,0,7,0,0,0,10,370,754
Sección 926 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,60,42,98,0,0,0,0,,,,,0,,0,,0,,,0,6,206,391
C1,AC,Urna tradicional,54,42,97,0,1,0,0,,,,,2,,1,,4,,,0,6,207,391
Total,,,114,84,195,0,1,0,0,0,0,0,0,2,0,1,0,4,0,0,0,12,413,782
Sección 927 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,17,70,40,0,0,1,4,,,,,1,,1,,1,,,146,10,291,279
Total,,,17,70,40,0,0,1,4,0,0,0,0,1,0,1,0,1,0,0,146,10,291,279
Sección 928 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,130,48,90,1,0,0,16,,,,,3,,0,,0,,,0,8,296,563
C1,AC,Urna tradicional,123,45,72,1,0,1,4,,,,,7,,0,,1,,,1,15,270,564
C2,AC,Urna tradicional,129,34,115,0,0,1,6,,,,,2,,2,,4,,,0,5,298,564
Total,,,382,127,277,2,0,2,26,0,0,0,0,12,0,2,0,5,0,0,1,28,864,1691
Total municipal,,,10353,6516,9956,309,177,62,714,0,0,0,0,284,0,149,0,566,0,0,182,1125,30393,60638
