Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 109 - ZAMORA,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
B,AC,Urna tradicional,95,79,26,7,2,0,2,,,,,2,,1,1,,,,0,11,226,438
C1,AC,Urna tradicional,116,80,31,7,1,0,1,,,,,0,,0,0,,,,0,9,245,439
Total,,,211,159,57,14,3,0,3,0,0,0,0,2,0,1,1,0,0,0,0,20,471,877
Sección 2506 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,141,91,95,6,3,3,2,,,,,1,,3,3,,,,0,11,359,650
C1,AC,Urna tradicional,132,104,76,8,7,5,4,,,,,8,,1,6,,,,1,6,358,651
Total,,,273,195,171,14,10,8,6,0,0,0,0,9,0,4,9,0,0,0,1,17,717,1301
Sección 2507 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,136,68,19,2,3,24,1,,,,,3,,1,2,,,,0,12,271,735
C1,AC,Urna tradicional,138,54,20,0,0,6,0,,,,,0,,0,0,,,,0,10,228,736
Total,,,274,122,39,2,3,30,1,0,0,0,0,3,0,1,2,0,0,0,0,22,499,1471
Sección 2508 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,119,71,29,2,1,22,2,,,,,2,,0,2,,,,0,17,267,713
C1,AC,Urna tradicional,112,81,27,3,3,28,2,,,,,0,,0,0,,,,0,8,264,714
Total,,,231,152,56,5,4,50,4,0,0,0,0,2,0,0,2,0,0,0,0,25,531,1427
Sección 2509 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,70,64,15,0,0,10,1,,,,,0,,4,2,,,,0,6,172,447
C1,AC,Urna tradicional,66,61,18,3,2,6,2,,,,,4,,2,1,,,,0,8,173,448
E1,AC,Urna tradicional,62,38,13,4,2,4,7,,,,,0,,0,0,,,,0,7,137,320
