id_entidad_electoral,fecha_jornada,id_cargo,nombre_cargo,id_estado,id_distrito,id_casilla,tipo_casilla,descripcion,ext_contigua,cabecera,clave_circunscripcion,id_municipio,nombre_municipio,lista_nominal,estatus_casilla,descripcion,resultados_obtenidos,tipo_urna,descripcion,seccion,PAN,PRI,PRD,PT,PVEM,PC,PAY,PANAL,PRI-PVEM,No Registrados,Nulos,Total
31,16/05/2010,11,Regidores,31,2,1,B,Basica,0,II,,50,MERIDA,516,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,601,132,120,1,0,1,1,0,2,0,0,0,257
31,16/05/2010,11,Regidores,31,2,1,C,Contigua,0,II,,50,MERIDA,516,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,601,115,169,0,2,0,1,0,2,0,0,8,297
31,16/05/2010,11,Regidores,31,2,1,B,Basica,0,II,,50,MERIDA,504,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,602,116,121,0,9,1,2,0,2,0,0,0,251
31,16/05/2010,11,Regidores,31,2,1,C,Contigua,0,II,,50,MERIDA,504,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,602,116,140,1,3,4,2,0,1,1,0,10,278
31,16/05/2010,11,Regidores,31,2,1,B,Basica,0,II,,50,MERIDA,623,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,603,122,185,2,3,1,0,1,0,0,0,7,321
31,16/05/2010,11,Regidores,31,2,1,C,Contigua,0,II,,50,MERIDA,624,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,603,143,157,4,10,1,1,0,2,0,1,4,323
31,16/05/2010,11,Regidores,31,2,2,C,Contigua,0,II,,50,MERIDA,624,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,603,156,162,3,2,3,2,0,0,1,0,9,338
31,16/05/2010,11,Regidores,31,2,1,B,Basica,0,II,,50,MERIDA,558,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,604,141,151,3,1,1,1,0,2,4,0,7,311
31,16/05/2010,11,Regidores,31,2,1,C,Contigua,0,II,,50,MERIDA,559,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,604,149,136,1,0,6,0,1,4,3,2,12,314
31,16/05/2010,11,Regidores,31,2,2,C,Contigua,0,II,,50,MERIDA,559,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,604,122,143,4,1,1,1,0,5,0,0,3,280
31,16/05/2010,11,Regidores,31,2,1,B,Basica,0,II,,50,MERIDA,728,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,605,174,173,2,6,2,0,1,3,2,0,0,363
31,16/05/2010,11,Regidores,31,2,1,C,Contigua,0,II,,50,MERIDA,729,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,605,179,167,2,3,2,0,0,1,1,0,11,366
31,16/05/2010,11,Regidores,31,2,1,B,Basica,0,II,,50,MERIDA,734,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,606,165,174,5,4,4,1,1,4,0,0,8,366
31,16/05/2010,11,Regidores,31,2,1,C,Contigua,0,II,,50,MERIDA,735,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,606,151,170,5,4,4,2,0,1,0,0,0,337
31,16/05/2010,11,Regidores,31,2,1,B,Basica,0,II,,50,MERIDA,626,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,607,142,169,1,6,0,1,3,2,0,0,8,332
31,16/05/2010,11,Regidores,31,2,1,C,Contigua,0,II,,50,MERIDA,627,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,607,141,195,2,4,2,0,,0,0,0,6,350
31,16/05/2010,11,Regidores,31,2,1,B,Basica,0,II,,50,MERIDA,572,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,608,131,145,3,3,2,0,0,4,0,0,9,297
31,16/05/2010,11,Regidores,31,2,1,C,Contigua,0,II,,50,MERIDA,572,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,608,128,133,5,3,3,1,0,1,0,0,8,282
31,16/05/2010,11,Regidores,31,2,2,C,Contigua,0,II,,50,MERIDA,572,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,608,120,129,2,1,2,0,0,4,1,2,19,280
31,16/05/2010,11,Regidores,31,2,3,C,Contigua,0,II,,50,MERIDA,572,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,608,111,149,2,1,2,1,0,4,5,0,5,280
31,16/05/2010,11,Regidores,31,7,1,B,Basica,0,VII,,50,MERIDA,723,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,609,154,177,2,2,2,1,,2,2,,5,347
