ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NA,PCPP,PSI,MORENA,ES,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,C_COMUN_PAN_PRD_MC_PCPP_PSI,PAN_PRD_MC_PCPP,PAN_PRD_MC_PSI,PAN_PRD_PCPP_PSI,PAN_MC_PCPP_PSI,PRD_MC_PCPP_PSI,PAN_PRD_MC,PAN_PRD_PCPP,PAN_PRD_PSI,PAN_MC_PCPP,PAN_MC_PSI,PAN_PCPP_PSI,PRD_MC_PCPP,PRD_MC_PSI,PRD_PCPP_PSI,MC_PCPP_PSI,PAN_PRD,PAN_MC,PAN_PCPP,PAN_PSI,PRD_MC,PRD_PCPP,PRD_PSI,MC_PCPP,MC_PSI,PCPP_PSI,C_COMUN_PAN_PRD_MC_PCPP,PAN_PRD_MC,PAN_PRD_PCPP,PAN_MC_PCPP,PRD_MC_PCPP,PAN_PRD,PAN_MC,PAN_PCPP,PRD_MC,PRD_PCPP,MC_PCPP,C_COMUN_PAN_PRD_MC_PSI,PAN_PRD_MC,PAN_PRD_PSI,PAN_MC_PSI,PRD_MC_PSI,PAN_PRD,PAN_MC,PAN_PSI,PRD_MC,PRD_PSI,MC_PSI,C_COMUN_PAN_PRD_PCPP_PSI,PAN_PRD_PCPP,PAN_PRD_PSI,PAN_PCPP_PSI,PRD_PCPP_PSI,PAN_PRD,PAN_PCPP,PAN_PSI,PRD_PCPP,PRD_PSI,PCPP_PSI,C_COMUN_PAN_MC_PCPP_PSI,PAN_MC_PCPP,PAN_MC_PSI,PAN_PCPP_PSI,MC_PCPP_PSI,PAN_MC,PAN_PCPP,PAN_PSI,MC_PCPP,MC_PSI,PCPP_PSI,C_COMUN_PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,C_COMUN_PAN_PRD_PCPP,PAN_PRD,PAN_PCPP,PRD_PCPP,C_COMUN_PAN_PRD_PSI,PAN_PRD,PAN_PSI,PRD_PSI,C_COMUN_PAN_MC_PCPP,PAN_MC,PAN_PCPP,MC_PCPP,C_COMUN_PAN_MC_PSI,PAN_MC,PAN_PSI,MC_PSI,C_COMUN_PAN_PCPP_PSI,PAN_PCPP,PAN_PSI,PCPP_PSI,C_COMUN_PRD_MC_PCPP,PRD_MC,PRD_PCPP,MC_PCPP,C_COMUN_PRD_MC_PSI,PRD_MC,PRD_PSI,MC_PSI,C_COMUN_PRD_PCPP_PSI,PRD_PCPP,PRD_PSI,PCPP_PSI,C_COMUN_PVEM_PCPP_PSI,PVEM_PCPP,PVEM_PSI,PCPP_PSI,C_COMUN_MC_PCPP_PSI,MC_PCPP,MC_PSI,PCPP_PSI,C_COMUN_PAN_PRD,C_COMUN_PAN_MC,C_COMUN_PAN_PCPP,C_COMUN_PAN_PSI,C_COMUN_PRI_NA,C_COMUN_PRD_MC,C_COMUN_PRD_PCPP,C_COMUN_PRD_PSI,C_COMUN_PVEM_PCPP,C_COMUN_PVEM_PSI,C_COMUN_MC_PCPP,C_COMUN_MC_PSI,C_COMUN_NA_PCPP,C_COMUN_PCPP_PSI,CAN_IND1,CAN_IND2,CAN_IND3,CAN_IND4,CAN_IND5,CAN_IND6,CAN_IND7,CAN_IND8,CAN_IND9,CAN_IND10,CAN_IND11,CAN_IND12,CAN_IND13,CAN_IND14,CAN_IND15,CAN_IND16,CAN_IND17,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
21,PUEBLA,82,ATLEQUIZAYAN,2,4,213,787,6,15,,3,,1,0,553,8,4,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,1591,0,19,1610,1889,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_04_CME_ATLEQUIZAYAN.pdf
21,PUEBLA,19,ATLIXCO,68,170,23257,11061,632,1235,1282,369,1159,488,379,21506,453,245,453,151,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62842,127,2425,65394,103235,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/ATLIXCO - RESOLUCION.pdf
21,PUEBLA,20,ATOYATEMPAN,2,7,91,402,23,238,265,64,19,375,762,1334,28,53,41,5,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,3754,1,141,3896,4905,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_12_CME_ATOYATEMPAN.pdf
21,PUEBLA,21,ATZALA,1,2,27,408,1,3,397,1,,13,1,14,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,865,0,31,896,1074,
21,PUEBLA,22,ATZITZIHUACAN,9,18,1711,2079,1318,102,31,358,20,14,8,479,9,18,11,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,67,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,6348,0,272,6620,9014,
21,PUEBLA,23,ATZITZINTLA,5,13,65,291,592,90,,1505,1454,12,31,580,15,27,5,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,4720,1,193,4914,6190,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_14_CME_ATZITZINTLA.pdf
21,PUEBLA,24,AXUTLA,2,3,346,326,2,,,3,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,683,0,17,700,1059,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_23_CME_AXUTLA.pdf
21,PUEBLA,25,AYOTOXCO DE GUERRERO,4,10,1064,1151,213,30,937,18,,598,11,168,15,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,3,,,,,,,,,,,,,,,,,,,,,,,,,,4222,1,188,4411,5880,
21,PUEBLA,26,CALPAN,8,18,970,459,73,214,436,952,334,25,939,1984,32,62,24,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6538,2,445,6985,10576,
21,PUEBLA,27,CALTEPEC,7,10,1007,1054,16,12,,534,,8,13,143,7,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2,0,2,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2817,0,73,2890,3572,
21,PUEBLA,28,CAMOCUAUTLA,2,3,60,515,4,13,,704,,2,2,322,3,3,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1630,0,50,1680,1855,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_02_CME_CAMOCUAUTLA.pdf
21,PUEBLA,29,CAÑADA MORELOS,9,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13797,https://www.ieepuebla.org.mx/2018/computos/ayu_resoluciones/CANADA-MORELOS-SCM-JDC-1141-2018.pdf
21,PUEBLA,30,CAXHUACAN,2,4,29,859,11,39,105,84,26,456,190,331,9,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2141,0,110,2251,2796,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_04_CME_CAXHUACAN.pdf
21,PUEBLA,46,CHALCHICOMULA DE SESMA,24,57,4506,2073,213,393,585,313,951,5048,286,5194,200,250,72,8,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,49,57,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562,,,,,,,,,,,,,,,,,20990,4,1071,22065,33128,
21,PUEBLA,47,CHAPULCO,3,8,547,830,36,87,190,853,,14,819,210,11,13,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,20,,,,,,,,,,,,,,,,,,,,,3649,0,144,3793,4888,
21,PUEBLA,48,CHIAUTLA,17,33,1075,3108,69,139,,47,189,1680,35,2453,127,87,14,4,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,4,0,5,0,7,2,3,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9118,0,370,9488,16307,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/CHIAUTLA - RESOLUCION.pdf
21,PUEBLA,49,CHIAUTZINGO,8,23,1269,1848,143,401,79,147,,897,1342,2273,65,63,35,9,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8634,5,357,8996,14334,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_08_CME_SAN_LORENZO_CHIAUTZINGO.pdf
21,PUEBLA,51,CHICHIQUILA,9,24,1885,2923,163,159,25,108,1971,708,380,1527,54,82,31,9,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,51,27,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10282,1,751,11034,14444,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_14_CME_CHICHIQUILA.pdf
21,PUEBLA,50,CHICONCUAUTLA,7,19,2352,3141,107,48,31,34,1264,4,15,75,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,46,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7173,1,1005,8179,10348,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/CHICONCUAUTLA - RESOLUCION.pdf
21,PUEBLA,52,CHIETLA,20,48,2265,5538,175,216,81,2692,634,2736,979,1752,102,48,18,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17320,1,886,18207,27640,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_22_CME_CHIETLA.pdf
21,PUEBLA,53,CHIGMECATITLAN,2,2,298,367,3,5,,36,,25,0,183,1,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,927,0,20,947,1111,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_23_CHIGMECATITLAN ACTA FINAL DE ESCRUTINIO Y COMPUTO LEVANTADA EN EL CGIEE (ACTA 33).pdf
21,PUEBLA,54,CHIGNAHUAPAN,28,77,13860,6486,257,1298,217,233,1021,81,350,7006,187,145,107,20,48,,,,,,,,,,,,,,,,,,,,,,,,,,,46,29,10,12,0,52,30,13,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31512,6,1403,32921,44566,
21,PUEBLA,55,CHIGNAUTLA,7,34,1804,5317,72,287,342,524,570,2450,896,1648,250,176,35,5,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,209,,,,,,,,,,,,,,,,,,,,,14689,1,813,15503,21286,https://www.ieepuebla.org.mx/2018/computos/actas_mpios/DTTO_06_CME_CHIGNAUTLA.pdf
