Numero,Municipio,SECCION,CASILLA,PAN,PRI,PPS,PRD,PC,PRT,PVEM,PT,CC1,VALIDOS,NULOS,INUTILI.,BOLETAS,Coalition
1,ACAPULCO DE JUAREZ,47,B,65,101,4,131,3,1,2,10,,317,3,402,722,No Coalition
1,ACAPULCO DE JUAREZ,48,B,57,86,4,100,5,1,5,2,,260,3,349,612,No Coalition
1,ACAPULCO DE JUAREZ,48,CA,55,79,1,104,3,1,4,1,,248,9,360,617,No Coalition
1,ACAPULCO DE JUAREZ,49,B,66,84,11,102,2,0,6,5,,276,0,300,576,No Coalition
1,ACAPULCO DE JUAREZ,50,B,27,60,0,87,2,1,1,0,,178,3,236,417,No Coalition
1,ACAPULCO DE JUAREZ,50,CA,29,75,1,76,1,0,1,6,,189,4,223,416,No Coalition
1,ACAPULCO DE JUAREZ,51,B,38,107,5,92,5,0,2,1,,250,1,242,493,No Coalition
1,ACAPULCO DE JUAREZ,51,CA,33,110,4,97,3,0,4,1,,252,2,239,493,No Coalition
1,ACAPULCO DE JUAREZ,52,B,46,119,10,131,6,1,3,1,,317,2,291,610,No Coalition
1,ACAPULCO DE JUAREZ,53,B,33,93,2,123,2,0,2,3,,258,8,324,590,No Coalition
1,ACAPULCO DE JUAREZ,53,CA,35,89,3,103,3,1,3,5,,242,3,342,587,No Coalition
1,ACAPULCO DE JUAREZ,54,B,40,65,3,98,4,0,1,3,,214,3,355,572,No Coalition
1,ACAPULCO DE JUAREZ,54,CA,38,69,2,127,2,1,4,2,,245,1,327,573,No Coalition
1,ACAPULCO DE JUAREZ,55,B,27,74,0,67,6,0,3,4,,181,2,211,394,No Coalition
1,ACAPULCO DE JUAREZ,55,CA,21,61,2,61,2,0,1,9,,157,1,231,389,No Coalition
1,ACAPULCO DE JUAREZ,64,B,46,138,6,116,3,0,1,5,,315,11,347,673,No Coalition
1,ACAPULCO DE JUAREZ,65,B,29,99,3,70,3,1,7,7,,219,3,318,540,No Coalition
1,ACAPULCO DE JUAREZ,66,B,35,90,3,86,3,0,0,7,,224,6,317,547,No Coalition
1,ACAPULCO DE JUAREZ,67,B,30,96,3,118,0,1,0,3,,251,6,368,625,No Coalition
1,ACAPULCO DE JUAREZ,68,B,24,54,1,97,2,0,1,1,,180,13,201,394,No Coalition
1,ACAPULCO DE JUAREZ,68,CA,22,54,1,94,3,0,6,3,,183,0,239,422,No Coalition
1,ACAPULCO DE JUAREZ,69,B,20,110,4,89,0,0,0,1,,224,3,354,581,No Coalition
1,ACAPULCO DE JUAREZ,70,B,31,72,1,84,0,0,2,3,,193,4,279,476,No Coalition
1,ACAPULCO DE JUAREZ,70,CA,28,74,1,85,3,0,2,1,,194,2,284,480,No Coalition
1,ACAPULCO DE JUAREZ,71,B,17,95,1,72,0,1,1,3,,190,3,251,444,No Coalition
1,ACAPULCO DE JUAREZ,71,CA,19,84,3,95,5,0,1,3,,210,2,232,444,No Coalition
1,ACAPULCO DE JUAREZ,72,B,27,67,0,60,2,0,3,1,,160,3,232,395,No Coalition
1,ACAPULCO DE JUAREZ,72,CA,33,63,0,68,2,0,1,2,,169,3,223,395,No Coalition
1,ACAPULCO DE JUAREZ,73,B,31,71,0,58,0,0,1,2,,163,5,223,391,No Coalition
1,ACAPULCO DE JUAREZ,73,CA,21,77,3,56,1,1,0,5,,164,3,220,387,No Coalition
1,ACAPULCO DE JUAREZ,74,B,26,68,0,61,2,1,1,4,,163,1,224,388,No Coalition
1,ACAPULCO DE JUAREZ,74,CA,31,65,2,59,1,0,1,0,,159,1,228,388,No Coalition
1,ACAPULCO DE JUAREZ,75,B,32,118,2,84,1,1,4,3,,245,4,325,574,No Coalition
1,ACAPULCO DE JUAREZ,82,B,25,99,1,76,4,0,3,4,,212,3,301,516,No Coalition
1,ACAPULCO DE JUAREZ,83,B,38,93,8,90,6,0,3,3,,241,10,339,590,No Coalition
1,ACAPULCO DE JUAREZ,85,B,46,93,6,122,5,1,1,2,,276,8,402,686,No Coalition
1,ACAPULCO DE JUAREZ,86,B,32,90,0,59,4,0,3,1,,189,5,198,392,No Coalition
1,ACAPULCO DE JUAREZ,86,CA,37,62,3,78,0,0,4,0,,184,1,208,393,No Coalition
1,ACAPULCO DE JUAREZ,87,B,42,122,3,109,9,1,3,4,,293,5,367,665,No Coalition
1,ACAPULCO DE JUAREZ,88,B,42,95,2,83,3,0,2,1,,228,4,343,575,No Coalition
1,ACAPULCO DE JUAREZ,89,B,17,71,2,74,2,1,1,4,,172,4,254,430,No Coalition
1,ACAPULCO DE JUAREZ,89,CA,27,78,1,74,1,0,3,1,,185,0,245,430,No Coalition
1,ACAPULCO DE JUAREZ,90,B,18,103,2,63,0,1,1,3,,191,4,238,433,No Coalition
1,ACAPULCO DE JUAREZ,90,CA,25,85,3,66,1,2,2,2,,186,2,246,434,No Coalition
1,ACAPULCO DE JUAREZ,91,B,33,125,2,91,4,1,2,1,,259,10,440,709,No Coalition
1,ACAPULCO DE JUAREZ,92,B,35,115,0,57,1,2,0,1,,211,14,240,465,No Coalition
1,ACAPULCO DE JUAREZ,93,B,64,178,2,107,0,3,2,5,,361,9,341,711,No Coalition
1,ACAPULCO DE JUAREZ,94,B,39,122,5,77,2,0,3,0,,248,5,356,609,No Coalition
1,ACAPULCO DE JUAREZ,98,B,32,55,1,104,6,1,1,0,,200,1,252,453,No Coalition
1,ACAPULCO DE JUAREZ,99,B,24,71,2,81,3,1,4,2,,188,5,217,410,No Coalition
1,ACAPULCO DE JUAREZ,99,CA,25,74,1,72,1,0,0,2,,175,9,227,411,No Coalition
1,ACAPULCO DE JUAREZ,100,B,39,83,4,110,8,2,1,1,,248,0,315,563,No Coalition
1,ACAPULCO DE JUAREZ,100,CA,34,80,2,88,11,0,3,2,,220,3,339,562,No Coalition
1,ACAPULCO DE JUAREZ,101,B,62,96,3,145,1,1,3,2,,313,20,347,680,No Coalition
1,ACAPULCO DE JUAREZ,102,B,30,87,2,55,19,1,2,1,,197,3,242,442,No Coalition
1,ACAPULCO DE JUAREZ,102,CA,25,76,3,58,25,0,1,2,,190,4,249,443,No Coalition
1,ACAPULCO DE JUAREZ,103,B,87,84,3,158,4,0,4,1,,341,3,354,698,No Coalition
1,ACAPULCO DE JUAREZ,104,B,27,66,11,90,12,0,0,0,,206,4,298,508,No Coalition
1,ACAPULCO DE JUAREZ,104,CA,31,75,2,82,11,0,0,1,,202,4,302,508,No Coalition
1,ACAPULCO DE JUAREZ,105,B,37,77,2,89,22,0,4,2,,233,6,293,532,No Coalition
1,ACAPULCO DE JUAREZ,105,CA,47,94,3,90,14,1,1,2,,252,1,285,538,No Coalition
1,ACAPULCO DE JUAREZ,106,B,39,83,3,82,8,0,4,2,,221,4,355,580,No Coalition
1,ACAPULCO DE JUAREZ,106,CA,38,92,2,95,16,0,2,3,,248,3,233,484,No Coalition
1,ACAPULCO DE JUAREZ,107,B,45,79,1,73,14,0,6,5,,223,3,278,504,No Coalition
1,ACAPULCO DE JUAREZ,107,CA,43,88,1,71,19,0,3,3,,228,8,267,503,No Coalition
1,ACAPULCO DE JUAREZ,108,B,56,67,2,106,0,0,0,0,,231,4,262,497,No Coalition
1,ACAPULCO DE JUAREZ,108,CA,54,75,2,75,7,0,4,5,,222,3,274,499,No Coalition
1,ACAPULCO DE JUAREZ,109,B,52,94,0,96,10,0,2,0,,254,5,344,603,No Coalition
1,ACAPULCO DE JUAREZ,111,B,14,87,0,38,1,1,2,3,,146,0,405,551,No Coalition
1,ACAPULCO DE JUAREZ,111,CA,13,80,2,41,3,0,0,0,,139,3,413,555,No Coalition
1,ACAPULCO DE JUAREZ,112,B,13,55,8,42,2,4,0,4,,128,3,338,469,No Coalition
1,ACAPULCO DE JUAREZ,112,CA,9,65,3,39,7,6,1,1,,131,0,678,809,No Coalition
1,ACAPULCO DE JUAREZ,113,B,9,25,0,34,0,2,2,0,,72,0,140,212,No Coalition
1,ACAPULCO DE JUAREZ,114,B,12,52,1,35,2,0,0,2,,104,22,278,404,No Coalition
1,ACAPULCO DE JUAREZ,114,CA,15,76,1,44,5,1,1,2,,145,4,257,406,No Coalition
1,ACAPULCO DE JUAREZ,115,B,8,127,3,93,1,1,0,2,,235,2,293,530,No Coalition
1,ACAPULCO DE JUAREZ,116,B,11,97,5,85,0,0,0,1,,199,2,353,554,No Coalition
1,ACAPULCO DE JUAREZ,116,CA,7,90,5,72,0,2,1,3,,180,5,369,554,No Coalition
1,ACAPULCO DE JUAREZ,117,B,8,62,0,60,0,0,0,4,,134,5,308,447,No Coalition
1,ACAPULCO DE JUAREZ,117,CA,8,69,1,48,1,0,0,3,,130,4,313,447,No Coalition
1,ACAPULCO DE JUAREZ,118,B,11,65,1,58,2,1,0,13,,151,3,284,438,No Coalition
1,ACAPULCO DE JUAREZ,118,CA,27,134,0,115,8,2,5,23,,314,4,558,876,No Coalition
1,ACAPULCO DE JUAREZ,119,B,9,84,1,38,3,0,2,7,,144,4,312,460,No Coalition
1,ACAPULCO DE JUAREZ,119,CA,14,90,1,21,4,1,0,1,,132,4,324,460,No Coalition
1,ACAPULCO DE JUAREZ,120,B,32,119,1,65,2,0,2,6,,227,7,429,663,No Coalition
1,ACAPULCO DE JUAREZ,121,B,22,81,5,37,3,0,1,2,,151,1,385,537,No Coalition
1,ACAPULCO DE JUAREZ,121,CA,33,141,5,123,2,2,1,1,,308,24,0,332,No Coalition
1,ACAPULCO DE JUAREZ,122,B,15,127,0,74,3,0,2,0,,221,3,331,555,No Coalition
1,ACAPULCO DE JUAREZ,127,B,19,130,3,99,5,0,1,10,,267,11,471,749,No Coalition
1,ACAPULCO DE JUAREZ,128,B,18,126,0,99,0,1,0,5,,249,7,462,718,No Coalition
1,ACAPULCO DE JUAREZ,129,B,20,68,2,73,2,0,0,1,,166,35,300,501,No Coalition
1,ACAPULCO DE JUAREZ,129,CA,21,77,0,52,3,0,0,2,,155,0,0,155,No Coalition
1,ACAPULCO DE JUAREZ,130,B,16,79,0,73,1,2,6,5,,182,7,280,469,No Coalition
1,ACAPULCO DE JUAREZ,130,CA,16,68,1,107,2,0,1,1,,196,3,254,453,No Coalition
1,ACAPULCO DE JUAREZ,131,B,8,53,1,62,0,1,1,3,,129,28,265,422,No Coalition
1,ACAPULCO DE JUAREZ,131,CA,14,73,0,60,0,2,8,4,,161,7,151,319,No Coalition
1,ACAPULCO DE JUAREZ,132,B,41,76,0,80,5,3,1,13,,219,6,0,225,No Coalition
1,ACAPULCO DE JUAREZ,132,CA,53,77,1,82,3,1,0,7,,224,5,371,600,No Coalition
1,ACAPULCO DE JUAREZ,133,B,17,66,1,47,2,0,1,3,,137,5,313,455,No Coalition
1,ACAPULCO DE JUAREZ,133,CA,17,63,2,59,3,0,2,3,,149,6,300,455,No Coalition
1,ACAPULCO DE JUAREZ,134,B,10,101,0,63,7,0,1,8,,190,4,356,550,No Coalition
1,ACAPULCO DE JUAREZ,134,CA,9,91,0,38,1,0,1,3,,143,20,387,550,No Coalition
1,ACAPULCO DE JUAREZ,135,B,17,76,1,74,7,7,0,2,,184,0,273,457,No Coalition
1,ACAPULCO DE JUAREZ,136,B,15,105,1,95,1,1,1,1,,220,8,518,746,No Coalition
1,ACAPULCO DE JUAREZ,138,B,36,80,1,71,12,0,1,17,,218,4,487,709,No Coalition
1,ACAPULCO DE JUAREZ,138,CA,27,112,1,51,8,1,1,21,,222,4,484,710,No Coalition
1,ACAPULCO DE JUAREZ,139,B,31,112,1,86,13,0,2,5,,250,3,310,563,No Coalition
1,ACAPULCO DE JUAREZ,139,CA,35,84,1,68,11,0,2,5,,206,4,355,565,No Coalition
1,ACAPULCO DE JUAREZ,140,B,19,82,1,67,5,0,2,1,,177,5,303,485,No Coalition
1,ACAPULCO DE JUAREZ,140,CA,14,72,2,65,4,0,3,1,,161,3,321,485,No Coalition
1,ACAPULCO DE JUAREZ,141,B,35,128,1,82,6,4,5,6,,267,7,398,672,No Coalition
1,ACAPULCO DE JUAREZ,141,CA,30,100,1,89,6,1,0,6,,233,23,401,657,No Coalition
1,ACAPULCO DE JUAREZ,142,B,31,117,4,81,3,1,5,11,,253,5,372,630,No Coalition
1,ACAPULCO DE JUAREZ,142,CA,24,116,6,74,6,1,1,4,,232,3,0,235,No Coalition
1,ACAPULCO DE JUAREZ,147,B,28,101,7,115,4,1,1,2,,259,12,430,701,No Coalition
1,ACAPULCO DE JUAREZ,147,CA,33,115,1,132,5,0,2,6,,294,4,404,702,No Coalition
1,ACAPULCO DE JUAREZ,148,B,42,113,4,81,6,0,0,3,,249,3,373,625,No Coalition
1,ACAPULCO DE JUAREZ,148,CA,30,114,2,117,6,1,2,6,,278,4,342,624,No Coalition
1,ACAPULCO DE JUAREZ,149,B,45,120,2,135,8,2,1,9,,322,3,0,325,No Coalition
1,ACAPULCO DE JUAREZ,149,CA,57,120,2,109,5,4,3,14,,314,5,0,319,No Coalition
1,ACAPULCO DE JUAREZ,314,B,3,69,1,42,0,0,0,3,,118,1,85,204,No Coalition
1,ACAPULCO DE JUAREZ,315,B,9,95,2,53,5,0,0,1,,165,15,222,402,No Coalition
1,ACAPULCO DE JUAREZ,316,B,2,174,0,30,1,0,0,2,,209,5,200,414,No Coalition
1,ACAPULCO DE JUAREZ,317,B,12,87,5,60,10,0,2,1,,177,1,374,552,No Coalition
1,ACAPULCO DE JUAREZ,318,B,5,97,0,101,9,0,3,0,,215,9,485,709,No Coalition
1,ACAPULCO DE JUAREZ,319,B,2,60,8,49,2,2,2,1,,126,1,302,429,No Coalition
1,ACAPULCO DE JUAREZ,319,CA,3,57,5,43,6,2,1,4,,121,1,304,426,No Coalition
1,ACAPULCO DE JUAREZ,320,B,9,71,2,85,2,0,2,0,,171,4,380,555,No Coalition
1,ACAPULCO DE JUAREZ,320,CA,9,65,1,68,2,0,0,1,,146,3,407,556,No Coalition
1,ACAPULCO DE JUAREZ,321,B,6,71,1,39,0,0,0,0,,117,10,0,127,No Coalition
1,ACAPULCO DE JUAREZ,322,B,0,81,109,22,13,2,0,1,,228,22,145,395,No Coalition
1,ACAPULCO DE JUAREZ,323,B,6,131,114,42,5,1,0,3,,302,26,342,670,No Coalition
1,ACAPULCO DE JUAREZ,324,B,17,124,134,122,0,0,0,3,,400,7,477,884,No Coalition
1,ACAPULCO DE JUAREZ,325,B,0,66,0,9,0,0,0,0,,75,1,92,168,No Coalition
1,ACAPULCO DE JUAREZ,326,B,0,105,1,18,1,0,0,1,,126,1,200,327,No Coalition
1,ACAPULCO DE JUAREZ,327,B,1,124,153,35,9,0,0,0,,322,6,139,467,No Coalition
1,ACAPULCO DE JUAREZ,328,B,0,167,75,36,0,0,1,0,,279,1,716,996,No Coalition
1,ACAPULCO DE JUAREZ,328,GA,0,72,0,11,0,0,0,1,,84,0,198,282,No Coalition
1,ACAPULCO DE JUAREZ,328,GB,0,23,0,11,0,0,1,1,,36,3,241,280,No Coalition
1,ACAPULCO DE JUAREZ,329,B,1,126,124,32,0,1,0,3,,287,10,0,297,No Coalition
1,ACAPULCO DE JUAREZ,330,B,1,158,94,37,1,0,1,1,,293,11,228,532,No Coalition
1,ACAPULCO DE JUAREZ,331,B,0,96,2,89,1,0,0,1,,189,21,192,402,No Coalition
1,ACAPULCO DE JUAREZ,331,CA,5,121,2,60,0,0,2,3,,193,14,209,416,No Coalition
1,ACAPULCO DE JUAREZ,332,B,9,93,0,5,1,0,0,0,,108,0,66,174,No Coalition
1,ACAPULCO DE JUAREZ,334,B,12,87,11,64,0,2,0,0,,176,2,248,426,No Coalition
1,ACAPULCO DE JUAREZ,334,CA,13,94,7,64,2,0,1,1,,182,7,239,428,No Coalition
1,ACAPULCO DE JUAREZ,335,B,8,168,50,63,0,4,4,6,,303,9,331,643,No Coalition
1,ACAPULCO DE JUAREZ,336,B,8,129,7,49,0,0,0,3,,196,2,210,408,No Coalition
1,ACAPULCO DE JUAREZ,336,CA,4,129,3,69,0,1,1,0,,207,0,204,411,No Coalition
1,ACAPULCO DE JUAREZ,337,B,18,113,3,85,1,0,3,0,,223,3,219,445,No Coalition
1,ACAPULCO DE JUAREZ,337,CA,14,105,2,83,0,2,0,0,,206,4,235,445,No Coalition
1,ACAPULCO DE JUAREZ,338,B,8,126,3,115,0,1,0,1,,254,35,390,679,No Coalition
1,ACAPULCO DE JUAREZ,339,B,2,24,52,144,0,0,0,15,,237,0,181,418,No Coalition
1,ACAPULCO DE JUAREZ,339,CA,3,32,74,112,0,0,0,4,,225,3,192,420,No Coalition
1,ACAPULCO DE JUAREZ,343,B,15,79,2,42,30,1,0,1,,170,7,337,514,No Coalition
1,ACAPULCO DE JUAREZ,343,CA,6,82,0,33,39,3,3,0,,166,0,352,518,No Coalition
1,ACAPULCO DE JUAREZ,344,B,23,74,0,41,0,0,1,1,,140,3,241,384,No Coalition
1,ACAPULCO DE JUAREZ,344,CA,13,85,3,42,1,0,1,1,,146,5,234,385,No Coalition
1,ACAPULCO DE JUAREZ,347,B,14,78,0,47,1,0,1,1,,142,29,251,422,No Coalition
1,ACAPULCO DE JUAREZ,347,CA,21,69,2,66,2,1,1,4,,166,1,255,422,No Coalition
1,ACAPULCO DE JUAREZ,1,B,21,39,6,105,2,4,0,1,,178,22,327,527,No Coalition
1,ACAPULCO DE JUAREZ,1,CA,30,54,3,111,3,2,2,1,,206,5,317,528,No Coalition
1,ACAPULCO DE JUAREZ,2,B,23,74,4,71,0,1,1,1,,175,3,280,458,No Coalition
1,ACAPULCO DE JUAREZ,2,CA,23,72,2,58,2,3,1,1,,162,11,284,457,No Coalition
1,ACAPULCO DE JUAREZ,3,B,11,140,1,55,2,0,0,2,,211,0,389,600,No Coalition
1,ACAPULCO DE JUAREZ,3,CA,24,133,1,73,1,0,0,3,,235,2,360,597,No Coalition
1,ACAPULCO DE JUAREZ,4,B,22,108,3,115,3,1,5,0,,257,11,477,745,No Coalition
1,ACAPULCO DE JUAREZ,5,B,31,86,5,125,8,1,0,2,,258,6,418,682,No Coalition
1,ACAPULCO DE JUAREZ,6,B,37,80,0,129,6,2,1,3,,258,1,425,684,No Coalition
1,ACAPULCO DE JUAREZ,7,B,18,71,5,74,5,2,0,3,,178,2,315,495,No Coalition
1,ACAPULCO DE JUAREZ,7,CA,27,71,5,60,2,0,1,1,,167,0,330,497,No Coalition
1,ACAPULCO DE JUAREZ,8,B,9,51,1,82,3,0,1,2,,149,8,236,393,No Coalition
1,ACAPULCO DE JUAREZ,8,CA,15,45,1,72,0,0,0,1,,134,4,255,393,No Coalition
1,ACAPULCO DE JUAREZ,9,B,19,57,0,50,4,1,0,1,,132,4,261,397,No Coalition
1,ACAPULCO DE JUAREZ,9,CA,22,50,1,59,7,0,5,1,,145,3,250,398,No Coalition
1,ACAPULCO DE JUAREZ,10,B,15,146,4,102,7,1,0,4,,279,6,357,642,No Coalition
1,ACAPULCO DE JUAREZ,11,B,8,103,2,97,1,0,3,1,,215,6,399,620,No Coalition
1,ACAPULCO DE JUAREZ,12,B,9,75,0,77,0,0,3,0,,164,5,273,442,No Coalition
1,ACAPULCO DE JUAREZ,12,CA,21,66,2,80,2,1,3,2,,177,4,260,441,No Coalition
1,ACAPULCO DE JUAREZ,13,B,17,112,4,94,1,0,2,1,,231,3,332,566,No Coalition
1,ACAPULCO DE JUAREZ,13,CA,32,89,5,91,2,0,0,2,,221,5,318,544,No Coalition
1,ACAPULCO DE JUAREZ,14,B,36,100,1,74,1,0,1,2,,215,8,300,523,No Coalition
1,ACAPULCO DE JUAREZ,15,B,17,77,0,64,3,0,3,3,,167,5,245,417,No Coalition
1,ACAPULCO DE JUAREZ,15,CA,13,87,0,74,5,0,3,1,,183,5,233,421,No Coalition
1,ACAPULCO DE JUAREZ,16,B,29,104,0,106,1,0,14,1,,255,2,347,604,No Coalition
1,ACAPULCO DE JUAREZ,17,B,19,69,2,57,2,0,4,1,,154,2,241,397,No Coalition
1,ACAPULCO DE JUAREZ,17,CA,26,73,2,56,0,0,2,4,,163,2,229,394,No Coalition
1,ACAPULCO DE JUAREZ,18,B,33,223,4,97,3,0,2,4,,366,5,329,700,No Coalition
1,ACAPULCO DE JUAREZ,19,B,14,120,1,53,2,0,0,3,,193,2,301,496,No Coalition
1,ACAPULCO DE JUAREZ,19,CA,8,111,3,62,1,0,0,6,,191,2,234,427,No Coalition
1,ACAPULCO DE JUAREZ,110,B,10,118,5,101,1,4,1,0,,240,6,214,460,No Coalition
1,ACAPULCO DE JUAREZ,110,CA,6,125,1,92,1,5,4,0,,234,3,280,517,No Coalition
1,ACAPULCO DE JUAREZ,123,B,15,48,9,76,4,0,0,0,,152,6,322,480,No Coalition
1,ACAPULCO DE JUAREZ,123,CA,11,52,1,82,5,0,0,0,,151,3,320,474,No Coalition
1,ACAPULCO DE JUAREZ,124,B,24,64,19,61,1,0,2,0,,171,6,276,453,No Coalition
1,ACAPULCO DE JUAREZ,124,CA,16,60,21,54,0,1,1,1,,154,19,285,458,No Coalition
1,ACAPULCO DE JUAREZ,125,B,9,94,2,81,0,1,1,6,,194,5,218,417,No Coalition
1,ACAPULCO DE JUAREZ,125,CA,10,87,0,75,5,2,0,2,,181,4,233,418,No Coalition
1,ACAPULCO DE JUAREZ,126,B,21,108,0,57,3,0,5,3,,197,1,374,572,No Coalition
1,ACAPULCO DE JUAREZ,166,B,9,86,1,107,0,0,0,3,,206,2,273,481,No Coalition
1,ACAPULCO DE JUAREZ,166,CA,7,58,0,96,3,0,0,0,,164,10,308,482,No Coalition
1,ACAPULCO DE JUAREZ,167,B,19,85,0,99,2,3,3,0,,211,2,291,504,No Coalition
1,ACAPULCO DE JUAREZ,167,CA,27,89,0,105,1,2,1,2,,227,1,280,508,No Coalition
1,ACAPULCO DE JUAREZ,168,B,22,109,4,101,1,4,2,7,,250,14,479,743,No Coalition
1,ACAPULCO DE JUAREZ,24,B,47,96,2,104,5,0,5,2,,261,3,0,264,No Coalition
1,ACAPULCO DE JUAREZ,24,CA,28,106,0,147,4,0,3,4,,292,2,246,540,No Coalition
1,ACAPULCO DE JUAREZ,25,B,55,130,3,136,4,0,6,1,,335,5,309,649,No Coalition
1,ACAPULCO DE JUAREZ,25,CA,37,137,5,128,7,0,4,1,,319,4,327,650,No Coalition
1,ACAPULCO DE JUAREZ,39,B,44,117,3,194,5,1,2,1,,367,6,378,751,No Coalition
1,ACAPULCO DE JUAREZ,39,CA,56,129,1,179,3,0,7,1,,376,6,375,757,No Coalition
1,ACAPULCO DE JUAREZ,40,B,35,105,9,81,5,0,3,2,,240,2,203,445,No Coalition
