ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,PCU,MORENA,PH,ES,MVC,CAND_IND9,PRI_PVEM_NVA_ALIANZA_PCU,PRI_PVEM_NVA_ALIANZA,PRI_PVEM_PCU,PRI_NVA_ALIANZA_PCU,PVEM_NVA_ALIANZA_PCU,PRI_PVEM,PRI_NVA_ALIANZA,PRI_PCU,PVEM_NVA_ALIANZA,PVEM_PCU,NVA_ALIANZA_PCU,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
7,CHIAPAS,64,OXCHUC,19,66,216,1235,830,223,10512,265,0,967,1903,238,173,256,0,0,0,0,0,0,0,0,0,0,0,0,265,16818,6618,23701,31662,0.7486
7,CHIAPAS,65,PALENQUE,33,133,558,983,1227,4304,14075,1277,1255,7391,4458,641,150,6426,0,0,0,0,0,0,0,0,0,0,0,0,7,42745,2520,45272,77462,0.5844
7,CHIAPAS,66,PANTELHO,8,22,14,1256,3492,1324,1057,6,9,1260,42,0,5,146,0,0,0,0,0,0,0,0,0,0,0,0,0,8611,433,9044,11524,0.7848
7,CHIAPAS,67,PANTEPEC,5,15,2416,110,606,197,1825,13,18,3,347,15,2,251,0,0,0,0,0,0,0,0,0,0,0,0,2,5803,414,6219,7145,0.8704
7,CHIAPAS,68,PICHUCALCO,18,46,333,867,1770,218,4314,391,878,400,1231,103,153,2406,0,0,0,0,0,0,0,0,0,0,0,0,3,13064,1118,14185,21833,0.6497
7,CHIAPAS,69,PIJIJIAPAN,26,68,1517,3485,1923,523,5967,1080,227,3970,2072,164,39,1593,0,0,0,0,0,0,0,0,0,0,0,0,1,22560,970,23531,34957,0.6731
7,CHIAPAS,70,EL PORVENIR,5,15,40,1016,472,449,1959,75,24,1596,396,37,1,53,0,0,0,0,0,0,0,0,0,0,0,0,1,6118,327,6446,8402,0.7672
7,CHIAPAS,71,PUEBLO NUEVO SOLISTAHUACAN,9,27,110,697,2707,54,3142,92,26,297,314,22,10,5354,0,0,0,0,0,0,0,0,0,0,0,0,0,12825,739,13564,15561,0.8717
7,CHIAPAS,72,RAYON,3,11,27,76,1271,586,1382,19,35,145,187,18,4,824,0,0,0,0,0,0,0,0,0,0,0,0,1,4574,280,4855,5475,0.8868
7,CHIAPAS,73,REFORMA,18,49,119,2261,838,166,10492,203,277,858,612,88,141,264,0,0,0,0,0,0,0,0,0,0,0,0,17,16319,599,16935,27716,0.611
7,CHIAPAS,74,LAS ROSAS,12,30,174,1396,155,299,3240,48,169,2693,616,48,94,2066,3,0,0,0,0,0,0,0,0,0,0,0,1,11001,872,11874,16511,0.7192
7,CHIAPAS,75,SABANILLA,10,31,57,64,5314,143,7127,326,129,71,265,15,0,297,0,0,0,0,0,0,0,0,0,0,0,0,34,13808,417,14259,16307,0.8744
7,CHIAPAS,76,SALTO DE AGUA,21,70,14,15,364,5,353,3,5,89,25,4,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,886,104,990,37981,0.0261
7,CHIAPAS,77,SAN CRISTOBAL DE LAS CASAS,52,203,3870,4577,5092,1316,13380,1365,657,2859,10763,1159,1719,6359,0,0,0,0,0,0,0,0,0,0,0,0,79,53116,4904,58099,121183,0.4794
7,CHIAPAS,78,SAN FERNANDO,13,39,497,3608,160,559,4979,1095,190,338,601,153,213,4608,0,0,0,0,0,0,0,0,0,0,0,0,13,17001,1153,18167,23209,0.7828
7,CHIAPAS,79,SAN JUAN CANCUC,9,33,96,8634,201,64,5996,20,6,215,61,19,18,309,0,0,0,0,0,0,0,0,0,0,0,0,0,15639,543,16182,18749,0.8631
7,CHIAPAS,80,SAN LUCAS,2,7,16,1240,306,15,1552,5,5,7,23,4,2,446,0,0,0,0,0,0,0,0,0,0,0,0,0,3621,86,3707,4545,0.8156
7,CHIAPAS,81,SILTEPEC,18,47,568,2374,1904,387,3397,301,67,4431,687,180,7,800,0,0,0,0,0,0,0,0,0,0,0,0,0,15103,1198,16301,24615,0.6622
7,CHIAPAS,82,SIMOJOVEL,15,49,66,8978,154,213,9866,46,196,43,835,41,16,39,55,0,0,0,0,0,0,0,0,0,0,0,0,20548,550,21098,25651,0.8225
7,CHIAPAS,83,SITALA,4,13,15,22,9,13,3455,3,7,5,24,8,20,3361,0,0,0,0,0,0,0,0,0,0,0,0,0,6942,121,7063,8045,0.8779
7,CHIAPAS,84,SOCOLTENANGO,7,22,89,3605,104,840,3437,217,25,351,452,61,66,41,0,0,0,0,0,0,0,0,0,0,0,0,1,9288,345,9634,12349,0.7801
7,CHIAPAS,85,SOLOSUCHIAPA,3,11,404,1060,52,19,1540,41,105,8,214,22,141,568,0,0,0,0,0,0,0,0,0,0,0,0,0,4174,234,4408,5407,0.8152
7,CHIAPAS,86,SOYALO,4,12,198,1868,216,49,1338,19,297,380,404,14,26,236,0,0,0,0,0,0,0,0,0,0,0,0,0,5045,213,5258,6562,0.8013
7,CHIAPAS,87,SUCHIAPA,7,23,2352,683,131,137,3872,36,97,2123,673,43,145,838,0,0,0,0,0,0,0,0,0,0,0,0,17,11130,409,11556,15050,0.7678
7,CHIAPAS,88,SUCHIATE,17,41,2166,3312,95,429,4190,1141,67,544,2313,107,26,196,0,0,0,0,0,0,0,0,0,0,0,0,2,14586,544,15132,21661,0.6986
7,CHIAPAS,89,SUNUAPA,1,3,19,32,7,2,543,3,546,23,22,4,1,310,0,0,0,0,0,0,0,0,0,0,0,0,0,1512,39,1551,1745,0.8888
7,CHIAPAS,90,TAPACHULA,172,403,5807,17149,2156,2490,22643,1871,1153,3353,26531,1508,962,5509,0,0,0,0,0,0,0,0,0,0,0,0,87,91132,5044,96263,218803,0.44
7,CHIAPAS,91,TAPALAPA,2,6,37,1014,971,69,100,0,6,4,92,5,6,68,0,0,0,0,0,0,0,0,0,0,0,0,1,2372,292,2665,3152,0.8455
7,CHIAPAS,92,TAPILULA,5,14,95,222,130,130,1578,769,69,563,289,34,134,1564,0,0,0,0,0,0,0,0,0,0,0,0,4,5577,413,5994,7742,0.7742
7,CHIAPAS,93,TECPATAN,13,28,117,1767,405,354,3712,111,110,110,2101,138,34,1290,0,0,0,0,0,0,0,0,0,0,0,0,6,10249,766,11021,14061,0.7838
7,CHIAPAS,94,TENEJAPA,16,51,93,6097,3910,106,6329,34,0,256,342,34,177,361,0,0,0,0,0,0,0,0,0,0,0,0,7,17739,1020,18766,23865,0.7863
7,CHIAPAS,95,TEOPISCA,10,37,174,3380,226,178,7621,105,86,476,487,104,971,2726,0,0,0,0,0,0,0,0,0,0,0,0,7,16534,896,17437,22831,0.7637
7,CHIAPAS,96,TILA,22,82,289,5530,2845,333,15860,219,156,410,3947,160,0,406,0,0,0,0,0,0,0,0,0,0,0,0,172,30155,2322,32649,44548,0.7329
7,CHIAPAS,97,TONALA,44,119,2368,8037,959,3061,12158,1801,567,2047,2095,292,62,665,0,0,0,0,0,0,0,0,0,0,0,0,8,34112,1142,35262,63075,0.559
7,CHIAPAS,98,TOTOLAPA,2,10,4,9,2235,19,1862,11,22,76,55,2,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,4308,189,4497,4858,0.9257
7,CHIAPAS,99,LA TRINITARIA,36,90,480,448,615,308,20801,75,257,300,512,162,59,15501,0,0,0,0,0,0,0,0,0,0,0,0,38,39518,1798,41354,53505,0.7729
7,CHIAPAS,100,TUMBALA,12,38,39,303,52,476,8291,58,110,827,1235,252,0,4891,0,0,0,0,0,0,0,0,0,0,0,0,144,16534,597,17275,20577,0.8395
7,CHIAPAS,101,TUXTLA CHICO,22,51,1730,3165,2648,167,4411,446,98,1430,1028,108,50,3070,0,0,0,0,0,0,0,0,0,0,0,0,4,18351,1008,19363,28451,0.6806
7,CHIAPAS,102,TUXTLA GUTIERREZ,232,667,44675,19978,3531,3727,45191,3706,2277,2207,22904,2071,3684,2575,3023,98,42,72,7,28,1384,14,24,36,44,11,418,161309,9862,171589,408925,0.4196
7,CHIAPAS,103,TUZANTAN,16,35,340,3615,1525,124,2749,321,70,934,2330,106,55,468,0,0,0,0,0,0,0,0,0,0,0,0,5,12637,614,13256,19233,0.6892
7,CHIAPAS,104,TZIMOL,7,19,18,4157,20,32,3820,6,13,18,261,14,5,21,3,0,0,0,0,0,0,0,0,0,0,0,0,8388,361,8749,10588,0.8263
7,CHIAPAS,105,UNION JUAREZ,8,19,2091,797,269,284,1706,34,142,155,1433,128,13,290,0,0,0,0,0,0,0,0,0,0,0,0,7,7342,391,7740,10473,0.739
7,CHIAPAS,106,VENUSTIANO CARRANZA,25,68,351,3015,250,2090,8562,2366,370,326,1304,234,82,2496,0,0,0,0,0,0,0,0,0,0,0,0,9,21446,2225,23680,39449,0.6003
7,CHIAPAS,107,VILLACOMALTITLAN,16,37,224,249,178,1316,4188,183,366,2767,1241,93,19,2180,0,0,0,0,0,0,0,0,0,0,0,0,8,13004,897,13909,20177,0.6893
