CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,PH,ES,PPG,COMUN_PRI_PVEM,COMUN_PRD_PT,COMUN_PRI_PVEM_NVA_ALIANZA,COMUN_PRD_PT_PAN,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,PRD_PT,PRD_PAN,PT_PAN,CAND_IND1,CAND_IND2,CAND_IND3,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
4,12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,11,B,20,67,35,3,12,12,2,6,2,2,1,0,0,,,,,,,,,,,,0,162,18,180,487,Acta Casilla,,,
4,12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,11,C01,21,67,35,4,8,8,2,6,1,2,0,0,1,,,,,,,,,,,,0,155,10,165,487,Acta Casilla,,,
4,12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,12,B,28,38,53,4,12,13,5,11,1,2,2,0,3,,,,,,,,,,,,0,172,7,179,481,Acta Casilla,,,
4,12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,12,C01,35,48,71,5,4,13,13,5,3,2,0,0,1,,,,,,,,,,,,0,200,9,209,481,Acta Casilla,,,
4,12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,13,B,41,82,75,1,17,21,2,10,3,1,0,0,4,,,,,,,,,,,,0,257,12,269,681,Acta Casilla,,,
4,12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,13,C01,42,86,73,3,15,18,3,5,8,7,2,0,1,,,,,,,,,,,,0,263,19,282,681,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,14,B,52,105,59,2,6,23,1,6,33,3,3,,61,,,,,,,,,,,,0,354,5,359,714,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,15,B,38,36,65,3,11,5,5,7,1,3,0,,7,,,,,,,,,,,,0,181,13,194,464,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,15,C01,39,48,66,3,14,5,2,3,6,5,0,,3,,,,,,,,,,,,0,194,12,206,463,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,16,B,27,73,46,2,11,8,2,6,2,2,1,,0,,,,,,,,,,,,0,180,14,194,442,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,16,C01,37,66,0,0,6,4,3,5,6,4,3,,40,,,,,,,,,,,,0,174,15,189,441,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,17,B,40,63,48,0,11,8,2,3,9,4,0,,2,,,,,,,,,,,,0,190,10,200,531,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,17,C01,45,66,68,68,11,18,2,4,4,6,1,,65,,,,,,,,,,,,0,358,16,374,530,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,18,B,46,79,122,5,35,14,3,5,11,1,3,,5,,,,,,,,,,,,7,329,16,352,714,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,18,C01,47,70,96,6,31,20,3,5,12,7,1,,3,,,,,,,,,,,,0,301,33,334,713,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,19,B,68,57,81,8,9,17,13,6,9,3,5,,3,,,,,,,,,,,,0,279,21,300,748,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,19,C01,67,42,72,5,9,32,11,1,0,7,6,,6,,,,,,,,,,,,0,258,19,277,747,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,19,C02,66,43,73,6,7,20,14,4,5,5,6,,11,,,,,,,,,,,,0,260,27,287,747,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,20,B,34,102,59,2,3,30,3,6,1,3,5,,4,,,,,,,,,,,,0,252,13,265,590,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,20,C01,41,90,64,5,6,26,6,10,4,5,4,,0,,,,,,,,,,,,0,261,10,271,590,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,21,B,42,44,114,0,0,14,2,6,4,4,3,,0,,,,,,,,,,,,0,233,5,238,694,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,21,C01,53,40,116,9,7,9,4,10,3,5,5,,0,,,,,,,,,,,,0,261,14,275,694,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,22,B,66,54,123,6,5,30,2,5,1,4,1,,5,,,,,,,,,,,,12,302,12,326,640,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,22,C01,59,65,107,5,8,17,9,4,1,5,5,,0,,,,,,,,,,,,0,285,13,298,639,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,23,B,40,48,66,1,10,15,6,12,4,4,0,,0,,,,,,,,,,,,0,206,7,213,533,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,23,C01,40,50,56,3,7,6,4,9,1,4,0,,2,,,,,,,,,,,,1,182,11,194,533,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,23,C02,50,39,85,6,10,5,3,7,4,3,1,,0,,,,,,,,,,,,0,213,9,222,533,Acta Casilla,,,
4,12,GUERRERO,5,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,24,B,79,50,122,7,17,33,5,22,3,5,3,,4,,,,,,,,,,,,0,350,10,360,635,Acta Casilla,,,
4,12,GUERRERO,5,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,24,C01,87,71,111,89,12,34,4,7,2,3,1,,5,,,,,,,,,,,,0,426,25,451,635,Acta Casilla,,,
4,12,GUERRERO,5,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,25,B,103,57,110,7,18,31,8,10,13,2,1,,3,,,,,,,,,,,,0,363,18,381,691,Acta Casilla,,,
4,12,GUERRERO,5,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,25,C01,96,90,110,5,15,44,15,33,10,5,8,,2,,,,,,,,,,,,6,433,27,466,691,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,26,B,68,51,93,3,6,27,13,5,3,7,3,,3,,,,,,,,,,,,0,282,14,296,660,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,26,C01,70,48,59,0,8,26,6,11,3,8,4,,0,,,,,,,,,,,,1,243,15,259,660,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,27,B,56,34,81,3,8,3,3,6,2,6,2,,2,,,,,,,,,,,,0,206,0,206,585,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,27,C01,45,49,55,4,2,32,1,4,0,5,3,,3,,,,,,,,,,,,0,203,7,210,585,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,27,C02,57,49,58,5,7,34,0,5,1,5,3,,1,,,,,,,,,,,,0,225,9,234,584,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,28,B,38,99,87,7,2,32,3,8,3,1,2,,0,,,,,,,,,,,,0,282,24,306,617,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,28,C01,34,101,82,4,10,32,6,8,1,7,1,,7,,,,,,,,,,,,0,293,12,305,617,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,29,B,57,57,61,2,4,27,4,7,2,4,2,,2,,,,,,,,,,,,0,229,11,240,572,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,29,C01,43,66,59,0,8,19,1,10,6,4,0,,0,,,,,,,,,,,,0,216,10,226,572,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,29,C02,58,45,69,6,7,18,5,10,6,3,3,,4,,,,,,,,,,,,0,234,7,241,571,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,30,B,50,59,54,0,8,15,2,3,4,4,2,,3,,,,,,,,,,,,0,204,4,208,573,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,30,C01,41,68,58,3,12,16,6,6,1,3,2,,1,,,,,,,,,,,,0,217,12,229,573,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,30,C02,45,61,50,3,6,17,7,5,4,5,0,,6,,,,,,,,,,,,0,209,9,218,573,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,31,B,43,87,92,0,0,12,2,7,7,0,3,,0,,,,,,,,,,,,0,253,0,253,727,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,31,C01,65,70,74,3,11,9,2,3,1,5,7,,3,,,,,,,,,,,,0,253,13,266,727,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,31,C02,51,64,79,9,12,14,3,12,1,3,0,,5,,,,,,,,,,,,0,253,13,266,727,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,31,C03,63,70,82,5,6,13,6,5,2,2,6,,2,,,,,,,,,,,,1,262,15,278,726,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,31,C04,56,58,91,5,9,26,1,5,5,6,1,,0,,,,,,,,,,,,0,263,23,286,726,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,32,B,66,55,66,2,14,22,2,8,2,5,2,,4,,,,,,,,,,,,0,248,11,259,563,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,32,C01,47,49,63,5,9,25,5,13,4,4,2,,5,,,,,,,,,,,,0,231,8,239,563,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,33,B,63,47,102,9,12,21,11,9,1,3,2,,1,,,,,,,,,,,,0,281,10,291,607,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,33,C01,71,49,99,33,10,22,5,6,4,8,2,,0,,,,,,,,,,,,0,309,15,324,606,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,33,C02,52,48,82,8,11,30,1,8,5,4,1,,2,,,,,,,,,,,,0,252,17,269,606,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,34,B,36,53,41,6,9,64,3,8,2,20,0,,2,,,,,,,,,,,,0,244,17,261,550,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,34,C01,43,55,46,9,10,35,1,10,0,15,1,,33,,,,,,,,,,,,0,258,14,272,550,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,35,B,56,33,71,3,9,24,1,7,1,7,1,,1,,,,,,,,,,,,0,214,12,226,479,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,35,C01,39,34,65,8,13,20,2,0,1,10,2,,1,,,,,,,,,,,,0,195,9,204,478,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,36,B,44,39,64,4,3,32,6,12,1,8,2,,0,,,,,,,,,,,,0,215,16,231,562,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,36,C01,57,36,59,6,5,13,3,6,1,1,1,,4,,,,,,,,,,,,0,192,8,200,562,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,36,C02,48,54,67,3,8,18,4,8,1,0,0,,3,,,,,,,,,,,,0,214,11,225,562,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,37,B,39,68,73,5,14,35,2,8,4,5,5,,1,,,,,,,,,,,,0,259,15,274,671,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,37,C01,65,67,77,4,5,24,2,18,2,3,1,,1,,,,,,,,,,,,1,269,23,293,670,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,38,B,89,65,58,2,10,24,3,14,2,7,2,,1,,,,,,,,,,,,0,277,16,293,642,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,38,C01,80,68,68,0,11,27,3,7,1,2,4,,0,,,,,,,,,,,,0,271,17,288,642,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,38,C02,62,72,53,8,17,22,9,9,6,4,2,,3,,,,,,,,,,,,0,267,13,280,642,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,39,B,90,46,74,6,13,26,2,8,3,1,3,,2,,,,,,,,,,,,0,274,16,290,619,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,39,C01,104,57,76,2,14,27,4,6,5,1,0,,2,,,,,,,,,,,,0,298,5,303,618,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,39,C02,127,65,64,3,10,16,2,3,3,3,1,,2,,,,,,,,,,,,0,299,7,306,618,Acta Casilla,,,
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,40,B,85,48,69,0,13,22,1,0,7,6,0,,0,,,,,,,,,,,,0,251,9,260,513,Acta Casilla,,,
4,12,GUERRERO,3,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,40,C01,78,45,69,2,4,14,3,9,0,2,3,,1,,,,,,,,,,,,2,230,17,249,513,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,41,B,63,45,58,7,15,18,2,21,1,4,3,,0,,,,,,,,,,,,0,237,12,249,546,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,41,C01,58,48,50,9,7,32,3,15,0,2,3,,2,,,,,,,,,,,,0,229,14,243,545,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,41,C02,62,51,59,3,12,22,3,12,2,3,10,,4,,,,,,,,,,,,0,243,7,250,545,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,42,B,48,48,51,3,4,35,7,14,4,5,1,,2,,,,,,,,,,,,0,222,17,239,553,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,42,C01,19,51,62,9,7,22,4,17,2,11,1,,1,,,,,,,,,,,,1,206,15,222,553,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,42,C02,52,49,58,3,17,21,5,7,3,6,4,,2,,,,,,,,,,,,0,227,8,235,553,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,43,B,72,67,84,8,13,21,3,3,1,2,3,,7,,,,,,,,,,,,0,284,13,297,609,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,43,C01,84,51,55,6,9,16,4,9,1,1,4,,5,,,,,,,,,,,,0,245,22,267,608,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,44,B,76,72,66,4,4,22,4,10,3,2,4,,5,,,,,,,,,,,,2,272,16,290,567,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,44,C01,67,57,0,0,9,20,8,4,2,0,0,,56,,,,,,,,,,,,0,223,16,239,566,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,45,B,48,46,54,7,12,15,5,8,5,3,0,,0,,,,,,,,,,,,0,203,7,210,527,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,45,C01,56,69,53,0,0,12,7,10,2,7,1,,0,,,,,,,,,,,,0,217,10,227,527,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,46,B,64,33,38,3,8,20,1,6,7,13,1,,3,,,,,,,,,,,,0,197,10,207,429,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,46,C01,58,39,47,4,6,16,3,11,3,7,1,,0,,,,,,,,,,,,0,195,14,209,429,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,47,B,47,51,53,5,9,19,1,7,2,13,0,,0,,,,,,,,,,,,0,207,14,221,547,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,47,C01,79,63,63,3,14,20,4,4,1,9,4,,0,,,,,,,,,,,,0,264,12,276,546,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,48,B,106,65,54,7,8,23,5,4,5,4,1,,0,,,,,,,,,,,,0,282,19,301,572,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,48,C01,98,61,61,3,16,22,5,10,6,3,1,,3,,,,,,,,,,,,0,289,15,304,571,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,48,C02,107,47,57,2,19,23,8,9,3,0,2,,0,,,,,,,,,,,,0,277,7,284,571,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,49,B,71,42,88,2,7,29,4,15,7,1,5,,2,,,,,,,,,,,,0,273,14,287,614,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,49,C01,91,45,67,6,15,29,3,6,5,2,3,,0,,,,,,,,,,,,0,272,13,285,614,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,50,B,49,56,53,7,6,16,3,6,2,4,2,,3,,,,,,,,,,,,0,207,20,227,512,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,50,C01,61,60,52,4,9,24,3,9,7,5,3,,4,,,,,,,,,,,,0,241,12,253,512,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,50,C02,51,68,60,3,12,22,4,8,2,2,1,,3,,,,,,,,,,,,0,236,10,246,512,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,51,B,91,49,76,4,12,30,4,17,5,2,3,,1,,,,,,,,,,,,0,294,16,310,608,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,51,C01,94,51,85,6,13,27,7,7,5,6,3,,3,,,,,,,,,,,,1,307,22,330,607,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,52,B,80,50,36,2,11,24,1,13,2,2,3,,0,,,,,,,,,,,,0,224,13,237,458,Acta Casilla,,,
4,12,GUERRERO,4,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,52,C01,79,47,62,4,2,21,2,9,3,1,1,,0,,,,,,,,,,,,2,231,0,233,457,Acta Casilla,,,
