ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,PH,ES,PPG,COMUN_PRI_PVEM,COMUN_PRD_PT,COMUN_PRI_PVEM_NVA_ALIANZA,COMUN_PRD_PT_PAN,CAND_IND1,CAND_IND2,CAND_IND3,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
12,GUERRERO,67,TLAPA DE COMONFORT,36,94,79,,3904,3553,,755,146,1135,123,444,841,11129,,,,,,,31,22109,1347,23487,54287,0.4326
12,GUERRERO,68,TLAPEHUALA,22,34,4,,6222,8,,2,204,160,11,60,1,5302,,,,,,,1,11974,120,12095,16842,0.7181
12,GUERRERO,69,LA UNION DE ISIDORO MONTES DE OCA,33,52,27,,7403,38,,48,1254,72,0,0,23,5893,,,,,,,2,14758,224,14984,21328,0.7025
12,GUERRERO,70,XALPATLAHUAC,14,20,0,3099,1332,217,0,1224,12,47,0,0,0,,,,,,,,0,5931,212,6143,9098,0.6752
12,GUERRERO,71,XOCHIHUEHUETLAN,8,13,9,,253,1355,,16,1586,155,0,0,2,631,,,,,,,0,4007,105,4112,5782,0.7111
12,GUERRERO,72,XOCHISTLAHUACA,15,33,4798,,,,,3587,30,5,0,0,0,5100,165,,,,,,0,13685,419,14104,17393,0.8109
12,GUERRERO,73,ZAPOTITLAN TABLAS,9,13,21,2163,1639,231,0,213,30,34,0,0,0,,,,,,,,0,4331,238,4569,6242,0.7319
12,GUERRERO,74,ZIRANDARO,22,33,50,,3676,440,,0,0,834,47,5,0,4225,,,,,,,0,9277,213,9490,14509,0.654
12,GUERRERO,75,ZITLALA,20,32,376,,2022,161,,2868,145,95,0,79,837,4129,,,,,,,0,10712,425,11137,15299,0.7279
12,GUERRERO,76,ACATEPEC,26,45,3637,,6445,57,,22,0,36,12,0,0,3472,,,,,,,4,13681,455,14140,17231,0.8206
12,GUERRERO,77,JOSE JOAQUIN DE HERRERA,9,17,601,,1462,140,,1065,570,249,898,0,98,1456,,,,,,,1,6539,407,6947,9125,0.7613
12,GUERRERO,78,ILIATENCO,6,12,42,808,1573,91,483,1514,53,140,0,0,0,,,,,,,,2,4704,162,4868,6512,0.7475
12,GUERRERO,79,COCHOAPA EL GRANDE,16,31,0,,3800,2150,,84,0,18,0,0,237,2938,,,,,,,4,9227,409,9640,12983,0.7425
12,GUERRERO,80,MARQUELIA,11,19,219,644,105,270,1543,602,55,273,0,0,1944,,,,,,,,0,5655,365,6020,9199,0.6544
12,GUERRERO,81,JUCHITAN,12,15,1402,49,66,32,1371,584,0,316,0,0,6,,,,,,,,0,3826,239,4065,5495,0.7397
