CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,PH,ES,PPG,COMUN_PRI_PVEM,COMUN_PRD_PT,COMUN_PRI_PVEM_NVA_ALIANZA,COMUN_PRD_PT_PAN,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,PRD_PT,PRD_PAN,PT_PAN,CAND_IND1,CAND_IND2,CAND_IND3,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,12,GUERRERO,18,PUNGARABATO,27,CUTZAMALA DE PINZON,1093,1,0,41,48,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,1,91,156
4,12,GUERRERO,18,PUNGARABATO,27,CUTZAMALA DE PINZON,1094,1,1,162,152,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317,4,321,530
4,12,GUERRERO,18,PUNGARABATO,27,CUTZAMALA DE PINZON,1095,1,4,82,79,1,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,0,182,328
4,12,GUERRERO,18,PUNGARABATO,27,CUTZAMALA DE PINZON,1096,1,0,48,61,0,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,115,1,116,176
4,12,GUERRERO,18,PUNGARABATO,27,CUTZAMALA DE PINZON,1097,1,0,91,20,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,4,119,194
4,12,GUERRERO,18,PUNGARABATO,27,CUTZAMALA DE PINZON,1098,1,2,161,224,1,2,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,397,3,400,723
4,12,GUERRERO,18,PUNGARABATO,27,CUTZAMALA DE PINZON,1099,1,0,59,72,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,134,278
4,12,GUERRERO,18,PUNGARABATO,27,CUTZAMALA DE PINZON,1100,1,1,114,130,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,4,254,437
4,12,GUERRERO,18,PUNGARABATO,27,CUTZAMALA DE PINZON,1101,1,0,88,163,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,1,256,365
4,12,GUERRERO,18,PUNGARABATO,27,CUTZAMALA DE PINZON,1102,1,1,107,106,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,3,224,399
4,12,GUERRERO,18,PUNGARABATO,27,CUTZAMALA DE PINZON,1103,1,0,97,171,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,4,277,465
4,12,GUERRERO,18,PUNGARABATO,27,CUTZAMALA DE PINZON,1104,2,2,188,418,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,612,8,620,997
4,12,GUERRERO,18,PUNGARABATO,27,CUTZAMALA DE PINZON,1105,1,0,40,39,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,81,203
