ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
14,JALISCO,77,SAN MARCOS,2,5,57,384,18,14,35,1197,171,339,11,3,0,0,3,2232,0,62,2294,2978,
14,JALISCO,78,SAN MARTIN DE BOLAÑOS,5,7,329,468,7,4,19,781,3,119,6,0,1,0,1,1738,0,63,1801,2598,
14,JALISCO,79,SAN MARTIN HIDALGO,17,41,517,2799,112,181,210,6248,166,3234,140,41,12,3,14,13677,1,486,14164,24014,
14,JALISCO,80,SAN MIGUEL EL ALTO,17,42,4305,1792,95,894,172,3856,991,947,627,77,6,6,23,13791,11,690,14492,24207,
14,JALISCO,99,SAN PEDRO TLAQUEPAQUE,199,731,18226,59297,1856,4749,5247,91843,3456,57947,3703,2387,604,89,461,249865,255,7717,257837,468499,
14,JALISCO,81,SAN SEBASTIAN DEL OESTE,7,10,23,124,23,824,35,1370,18,897,13,9,3,0,12,3351,1,123,3475,4628,
14,JALISCO,82,SANTA MARIA DE LOS ANGELES,5,7,724,719,6,13,11,556,5,89,2,2,0,0,0,2127,0,120,2247,3276,
14,JALISCO,58,SANTA MARIA DEL ORO,4,5,270,511,5,13,11,486,3,42,0,2,0,0,0,1343,0,51,1394,2012,
14,JALISCO,83,SAYULA,18,43,667,1895,477,317,432,6522,494,4322,353,68,26,4,22,15599,129,525,16253,26405,
14,JALISCO,84,TALA,31,88,1140,5225,263,947,581,12607,606,7415,308,190,145,12,220,29659,6,893,30558,52877,
14,JALISCO,85,TALPA DE ALLENDE,10,21,997,2928,54,66,116,2755,69,806,38,4,3,0,3,7839,1,508,8348,11206,
14,JALISCO,86,TAMAZULA DE GORDIANO,35,65,1264,2984,1231,1994,482,5124,767,3994,150,49,32,5,14,18090,8,1076,19174,34083,
14,JALISCO,87,TAPALPA,9,25,483,1677,1097,1537,546,4032,419,713,54,23,10,0,1,10592,13,1008,11613,13919,
14,JALISCO,88,TECALITLAN,16,26,529,1691,220,94,121,3705,90,1653,51,20,11,0,6,8191,2,294,8487,12901,
14,JALISCO,90,TECHALUTA DE MONTENEGRO,3,6,91,194,17,399,32,1179,14,248,12,1,1,0,1,2189,2,88,2279,3112,
14,JALISCO,89,TECOLOTLAN,13,26,923,2536,57,123,116,4492,82,981,27,3,4,0,10,9354,0,261,9615,13432,
14,JALISCO,91,TENAMAXTLAN,6,13,1010,1160,37,26,50,1089,39,547,16,9,2,1,5,3991,1,200,4192,6266,
14,JALISCO,92,TEOCALTICHE,23,52,3579,3527,200,397,249,3099,488,3118,99,45,27,1,15,14844,5,932,15781,30433,
14,JALISCO,93,TEOCUITATLAN DE CORONA,10,18,1717,1304,27,371,46,1855,20,411,15,9,6,1,2,5784,1,334,6119,9438,
14,JALISCO,94,TEPATITLAN DE MORELOS,54,183,16349,6350,379,3685,685,24293,1300,4553,611,62,18,1,6,58292,72,2156,60520,115678,
14,JALISCO,95,TEQUILA,22,55,1884,2307,457,754,389,5678,489,4537,153,61,45,5,11,16770,8,798,17576,30803,
14,JALISCO,96,TEUCHITLAN,6,13,141,556,26,471,88,2158,284,1625,33,19,12,1,2,5416,1,132,5549,7847,
14,JALISCO,97,TIZAPAN EL ALTO,14,31,1057,3136,49,196,322,2062,140,1692,62,23,15,0,8,8762,2,343,9107,16686,
14,JALISCO,98,TLAJOMULCO DE ZUÑIGA,129,518,10959,15904,1408,2831,2858,87555,2377,41144,2462,1195,476,50,249,169468,112,4548,174128,332408,
14,JALISCO,100,TOLIMAN,7,15,108,2248,45,31,50,2230,16,368,17,42,3,1,4,5163,2,251,5416,7671,
14,JALISCO,101,TOMATLAN,17,46,280,2090,950,402,368,5623,99,3926,138,62,29,3,17,13987,24,901,14912,25466,
14,JALISCO,102,TONALA,81,497,11896,31835,1174,4344,4778,63941,3993,43024,2625,1329,478,71,227,169715,150,4609,174474,333899,
14,JALISCO,103,TONAYA,5,9,161,1281,633,35,36,1094,28,289,11,3,0,0,1,3572,0,97,3669,5195,
14,JALISCO,104,TONILA,7,12,391,818,33,609,65,1532,190,681,16,3,1,0,3,4342,0,128,4470,5758,
14,JALISCO,105,TOTATICHE,6,9,943,699,11,19,14,773,7,153,4,2,3,0,1,2629,0,83,2712,3954,
14,JALISCO,106,TOTOTLAN,14,32,746,2173,79,486,110,5900,125,739,37,11,8,2,2,10418,3,438,10859,18009,
14,JALISCO,107,TUXCACUESCO,5,8,399,908,39,12,28,898,15,307,9,4,2,1,4,2626,0,163,2789,3862,
14,JALISCO,108,TUXCUECA,4,10,477,955,36,27,54,1372,54,580,13,5,5,2,1,3581,0,99,3680,5327,
14,JALISCO,109,TUXPAN,23,48,695,1704,209,266,430,5376,1590,5093,725,87,33,9,43,16260,5,559,16824,27191,
14,JALISCO,110,UNION DE SAN ANTONIO,10,24,5411,1758,39,89,74,910,55,427,33,9,2,0,1,8808,1,347,9156,13778,
14,JALISCO,111,UNION DE TULA,12,21,261,1554,43,86,249,3229,218,1027,31,10,7,1,4,6720,1,346,7067,11588,
14,JALISCO,112,VALLE DE GUADALUPE,7,12,1454,562,17,50,24,1230,20,181,9,2,2,0,1,3552,7,93,3652,5972,
14,JALISCO,113,VALLE DE JUAREZ,5,11,1385,1107,22,54,22,660,22,358,9,1,0,0,0,3640,1,127,3768,5449,
14,JALISCO,114,VILLA CORONA,10,25,623,862,140,552,421,3233,713,1636,99,14,16,3,5,8317,5,293,8615,14823,
14,JALISCO,115,VILLA GUERRERO,8,11,1267,1005,15,16,17,759,11,104,3,1,0,0,0,3198,10,103,3311,4537,
14,JALISCO,116,VILLA HIDALGO,8,25,2094,817,65,172,98,1833,1249,1154,89,14,14,0,5,7604,13,494,8111,14607,
14,JALISCO,70,VILLA PURIFICACION,9,18,873,1149,54,31,75,2625,48,1198,16,8,9,0,4,6090,1,293,6384,9983,
14,JALISCO,118,YAHUALICA DE GONZALEZ GALLO,20,38,2803,3396,74,134,167,2717,74,1754,62,17,11,0,6,11215,2,478,11695,19506,
14,JALISCO,119,ZACOALCO DE TORRES,16,39,543,2685,88,964,241,5300,257,3348,106,35,22,2,15,13606,3,468,14077,23029,
14,JALISCO,120,ZAPOPAN,447,1585,72024,93550,3994,12050,11396,246572,8687,118650,8055,3385,1163,152,672,580350,526,13991,594867,1016820,
14,JALISCO,121,ZAPOTILTIC,21,43,1956,1557,131,884,329,4382,283,4609,210,25,22,3,8,14399,8,468,14875,24251,
14,JALISCO,122,ZAPOTITLAN DE VADILLO,6,11,410,700,72,421,40,1447,8,229,7,0,1,0,1,3336,0,212,3548,4986,
14,JALISCO,123,ZAPOTLAN DEL REY,13,27,564,896,188,1739,116,2235,110,2375,65,25,16,1,10,8340,0,396,8736,14284,
14,JALISCO,23,ZAPOTLAN EL GRANDE,51,134,2880,4201,441,848,976,20588,739,17070,798,361,98,9,72,49081,33,1330,50444,84161,
14,JALISCO,124,ZAPOTLANEJO,32,86,2629,3949,276,903,453,11632,362,5509,201,75,44,7,21,26061,24,1122,27207,52119,
