sep=|
AYUNTAMIENTOS
10/06/2024 14:45 (UTC-5)
 
CLAVE_CASILLA|CLAVE_ACTA|ID_ENTIDAD|ENTIDAD|ID_MUNICIPIO_LOCAL|MUNICIPIO_LOCAL|SECCION|ID_CASILLA|TIPO_CASILLA|EXT_CONTIGUA|UBICACION_CASILLA|TIPO_ACTA|PAN|PRI|PRD|PVEM|PT|MC|MORENA|MAS|CAND_IND|C_PAN_PRI|C_PVEM_PT_MORENA|C_PVEM_PT|C_PVEM_MORENA|C_PT_MORENA|NO_REGISTRADAS|NULOS|TOTAL|LISTA_NOMINAL|OBSERVACIONES
="230013B0100"|230013B010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0013"|1|B|0|1|2|15|5|0|63|7|23|201|3|-|2|9|0|6|3|3|18|358|633|COTEJADO EN PLENO
="230013C0100"|230013C010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0013"|1|C|0|1|2|9|3|2|83|10|15|164|6|-|0|8|2|7|0|4|12|325|633|COTEJADO EN PLENO
="230013C0200"|230013C020002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0013"|2|C|0|1|2|8|5|1|59|14|11|201|6|-|1|14|0|8|2|2|11|343|632|COTEJADO EN PLENO
="230013C0300"|230013C030002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0013"|3|C|0|1|2|14|7|2|63|8|17|185|8|-|0|10|2|5|0|11|7|339|632|COTEJADO EN PLENO
="230014B0100"|230014B010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0014"|1|B|0|1|2|31|10|4|33|10|33|220|4|-|1|20|0|5|1|2|11|385|711|COTEJADO EN PLENO
="230014C0100"|230014C010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0014"|1|C|0|1|2|24|6|5|33|10|31|212|7|-|2|9|1|1|0|3|10|354|711|COTEJADO EN PLENO
="230014C0200"|230014C020002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0014"|2|C|0|1|2|28|9|1|34|10|0|209|5|-|1|13|1|1|4|0|6|322|710|COTEJADO EN PLENO
="230014C0300"|230014C030002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0014"|3|C|0|1|2|28|14|7|34|12|29|196|10|-|1|9|1|6|4|2|11|364|710|COTEJADO EN PLENO
="230014C0400"|230014C040002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0014"|4|C|0|1|2|20|10|3|39|16|30|221|5|-|3|16|1|2|1|2|10|379|710|COTEJADO EN PLENO
="230014C0500"|230014C050002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0014"|5|C|0|1|2|31|12|6|27|12|41|198|4|-|1|16|0|5|1|3|9|366|710|COTEJADO EN PLENO
="230014C0600"|230014C060002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0014"|6|C|0|1|2|21|10|10|30|8|35|182|8|-|1|7|1|5|3|2|7|330|710|COTEJADO EN PLENO
="230015B0100"|230015B010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0015"|1|B|0|1|2|13|9|5|45|12|35|186|13|-|0|12|2|5|5|2|15|359|647|COTEJADO EN PLENO
="230015C0100"|230015C010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0015"|1|C|0|1|2|16|12|1|46|5|24|204|5|-|0|13|0|2|3|0|15|346|647|COTEJADO EN PLENO
="230015C0200"|230015C020002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0015"|2|C|0|1|2|22|11|5|43|10|18|182|6|-|0|12|2|9|1|0|14|335|647|COTEJADO EN PLENO
="230015C0300"|230015C030002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0015"|3|C|0|1|2|21|8|4|56|3|34|190|6|-|2|13|0|0|4|0|14|355|647|COTEJADO EN PLENO
="230015C0400"|230015C040002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0015"|4|C|0|1|2|29|11|2|54|11|30|188|4|-|2|13|0|0|5|0|15|364|647|COTEJADO EN PLENO
="230018B0100"|230018B010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0018"|1|B|0|1|2|15|8|5|70|20|28|183|5|-|0|9|0|7|2|1|10|363|672|COTEJADO EN PLENO
="230018C0100"|230018C010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0018"|1|C|0|1|2|14|13|2|87|7|22|200|3|-|1|10|0|3|0|0|7|369|671|COTEJADO EN PLENO
="230019B0100"|230019B010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0019"|1|B|0|1|2|9|12|1|106|8|30|222|9|-|1|11|0|6|1|0|14|430|734|COTEJADO EN PLENO
="230019C0100"|230019C010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0019"|1|C|0|1|2|11|10|2|103|11|18|210|5|-|0|8|0|2|4|1|12|397|733|COTEJADO EN PLENO
="230020B0100"|230020B010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0020"|1|B|0|1|2|18|10|2|92|11|40|170|1|-|2|21|0|4|1|0|12|384|658|COTEJADO EN PLENO
="230020C0100"|230020C010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0020"|1|C|0|1|2|24|3|2|71|11|38|207|7|-|1|8|0|5|5|0|7|389|658|COTEJADO EN PLENO
="230021B0100"|230021B010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0021"|1|B|0|1|2|21|7|0|53|12|23|110|4|-|2|11|0|3|0|0|13|259|474|COTEJADO EN PLENO
="230021C0100"|230021C010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0021"|1|C|0|1|2|27|21|8|50|10|27|113|2|-|2|8|0|0|2|0|12|282|474|COTEJADO EN PLENO
="230022B0100"|230022B010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0022"|1|B|0|1|2|22|8|0|31|11|20|161|2|-|1|8|0|1|0|0|7|272|488|COTEJADO EN PLENO
="230022C0100"|230022C010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0022"|1|C|0|1|2|9|9|1|36|8|28|144|3|-|1|7|0|4|1|1|5|257|487|COTEJADO EN PLENO
="230023B0100"|230023B010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0023"|1|B|0|1|2|30|7|4|70|5|44|220|9|-|2|11|0|4|1|0|11|418|737|COTEJADO EN PLENO
="230024B0100"|230024B010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0024"|1|B|0|1|2|24|13|5|73|8|31|169|7|-|0|10|2|5|4|0|14|365|585|COTEJADO EN PLENO
="230024C0100"|230024C010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0024"|1|C|0|1|2|22|15|2|60|8|25|180|10|-|3|8|0|2|4|0|8|347|584|COTEJADO EN PLENO
="230025B0100"|230025B010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0025"|1|B|0|1|2|23|11|2|72|10|24|201|9|-|1|19|1|8|4|3|8|396|691|COTEJADO EN PLENO
="230026B0100"|230026B010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0026"|1|B|0|1|2|20|16|0|80|8|36|208|7|-|1|15|7|1|0|1|21|421|716|COTEJADO EN PLENO
="230027B0100"|230027B010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0027"|1|B|0|1|2|11|8|3|58|3|18|137|3|-|1|12|1|0|1|0|9|265|501|COTEJADO EN PLENO
="230027C0100"|230027C010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0027"|1|C|0|1|2|19|7|1|57|8|27|137|5|-|2|15|0|5|0|0|9|292|500|COTEJADO EN PLENO
="230028B0100"|230028B010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0028"|1|B|0|1|2|5|5|7|89|10|17|156|2|-|1|8|0|4|2|0|8|314|569|COTEJADO EN PLENO
="230028C0100"|230028C010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0028"|1|C|0|1|2|7|9|5|77|7|10|205|4|-|0|9|0|2|4|0|6|345|569|COTEJADO EN PLENO
="230029B0100"|230029B010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0029"|1|B|0|1|2|11|5|1|54|7|18|140|3|-|0|9|1|4|3|2|8|266|467|COTEJADO EN PLENO
="230029C0100"|230029C010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0029"|1|C|0|1|2|13|5|2|56|6|23|127|6|-|0|6|1|5|0|0|9|259|467|COTEJADO EN PLENO
="230030B0100"|230030B010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0030"|1|B|0|1|2|20|13|5|96|13|28|167|1|-|1|13|5|0|0|0|7|369|675|COTEJADO EN PLENO
="230031B0100"|230031B010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0031"|1|B|0|1|2|6|3|1|81|4|16|115|4|-|0|0|2|2|4|0|10|248|378|COTEJADO EN PLENO
="230031C0100"|230031C010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0031"|1|C|0|1|2|10|6|1|68|3|12|118|4|-|1|2|0|1|1|0|8|235|378|COTEJADO EN PLENO
="230032B0100"|230032B010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0032"|1|B|0|1|2|0|2|4|51|1|15|147|3|-|0|4|1|6|1|0|15|250|483|COTEJADO EN PLENO
="230032C0100"|230032C010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0032"|1|C|0|1|2|10|6|1|49|9|15|124|3|-|0|0|0|3|3|0|14|237|482|COTEJADO EN PLENO
="230033B0100"|230033B010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0033"|1|B|0|1|2|2|6|2|99|7|9|147|3|-|1|1|1|2|2|1|9|292|587|COTEJADO EN PLENO
="230034B0100"|230034B010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0034"|1|B|0|1|2|3|5|2|87|2|16|132|2|-|0|2|0|3|2|0|4|260|437|COTEJADO EN PLENO
="230034C0100"|230034C010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0034"|1|C|0|1|2|9|5|3|66|5|13|130|4|-|1|6|0|4|3|0|4|253|437|COTEJADO EN PLENO
="230035B0100"|230035B010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0035"|1|B|0|1|2|9|7|2|60|7|17|106|3|-|2|7|0|6|1|0|7|234|443|COTEJADO EN PLENO
="230035C0100"|230035C010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0035"|1|C|0|1|2|10|8|1|67|7|17|109|1|-|1|12|1|5|0|0|4|243|443|COTEJADO EN PLENO
="230036B0100"|230036B010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0036"|1|B|0|1|2|9|0|5|47|7|20|179|4|-|1|13|0|2|0|1|11|299|522|COTEJADO EN PLENO
="230036C0100"|230036C010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0036"|1|C|0|1|2|10|7|2|52|10|15|142|5|-|0|10|1|5|3|0|8|270|521|COTEJADO EN PLENO
="230037B0100"|230037B010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0037"|1|B|0|1|2|6|6|1|20|4|10|113|1|-|0|2|0|4|5|1|4|177|380|COTEJADO EN PLENO
="230037C0100"|230037C010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0037"|1|C|0|1|2|10|1|0|27|8|11|105|2|-|0|4|3|0|2|1|4|178|379|COTEJADO EN PLENO
="230038B0100"|230038B010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0038"|1|B|0|1|2|7|3|1|6|8|8|97|0|-|10|0|1|0|1|0|6|148|451|COTEJADO EN PLENO
="230038C0100"|230038C010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0038"|1|C|0|1|2|10|7|1|37|4|15|104|6|-|0|11|1|5|0|2|8|211|450|COTEJADO EN PLENO
="230039B0100"|230039B010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0039"|1|B|0|1|2|8|8|2|33|9|20|170|1|-|2|7|0|4|4|0|9|277|613|COTEJADO EN PLENO
="230040B0100"|230040B010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0040"|1|B|0|1|2|12|7|2|42|5|16|143|4|-|0|0|0|0|1|0|12|244|546|COTEJADO EN PLENO
="230040C0100"|230040C010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0040"|1|C|0|1|2|11|3|3|27|3|16|107|2|-|0|12|12|3|0|0|3|202|545|COTEJADO EN PLENO
="230041B0100"|230041B010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0041"|1|B|0|1|2|10|8|3|62|10|22|157|1|-|2|10|1|5|1|0|8|300|586|RECONTADO EN GRUPO DE TRABAJO
="230042B0100"|230042B010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0042"|1|B|0|1|2|19|4|2|65|8|29|236|3|-|0|14|0|3|5|0|11|399|692|COTEJADO EN PLENO
="230043B0100"|230043B010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0043"|1|B|0|1|2|9|2|1|63|14|22|141|1|-|0|11|0|3|2|0|6|275|427|COTEJADO EN PLENO
="230043C0100"|230043C010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0043"|1|C|0|1|2|5|8|2|52|9|20|142|5|-|0|12|2|4|3|0|9|273|426|COTEJADO EN PLENO
="230044B0100"|230044B010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0044"|1|B|0|1|2|0|0|0|1|0|37|0|5|-|24|91|0|151|1|3|9|322|587|COTEJADO EN PLENO
="230044C0100"|230044C010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0044"|1|C|0|1|2|8|5|4|53|2|35|166|4|-|0|11|0|4|3|3|18|316|587|COTEJADO EN PLENO
="230045B0100"|230045B010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0045"|1|B|0|1|2|29|13|3|46|14|31|177|3|-|1|14|3|4|0|0|9|347|564|COTEJADO EN PLENO
="230045C0100"|230045C010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0045"|1|C|0|1|2|24|16|1|58|8|22|160|1|-|2|13|0|6|2|0|14|327|564|COTEJADO EN PLENO
="230046B0100"|230046B010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0046"|1|B|0|1|2|6|7|4|84|2|26|228|6|-|2|13|0|9|2|3|11|403|721|COTEJADO EN PLENO
="230046C0100"|230046C010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0046"|1|C|0|1|2|14|10|5|53|7|34|186|3|-|0|5|0|6|2|0|11|336|721|COTEJADO EN PLENO
="230047B0100"|230047B010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0047"|1|B|0|1|2|13|12|9|98|6|29|194|8|-|0|11|0|3|4|0|10|397|683|COTEJADO EN PLENO
="230047C0100"|230047C010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0047"|1|C|0|1|2|9|10|1|91|10|20|200|1|-|1|9|0|7|1|4|6|370|682|COTEJADO EN PLENO
="230048B0100"|230048B010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0048"|1|B|0|1|2|9|7|6|59|7|24|198|9|-|1|25|0|4|2|2|11|364|676|COTEJADO EN PLENO
="230048C0100"|230048C010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0048"|1|C|0|1|2|10|13|3|56|9|33|220|7|-|2|15|0|0|0|0|17|385|675|COTEJADO EN PLENO
="230049B0100"|230049B010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0049"|1|B|0|1|2|15|6|5|71|12|20|227|5|-|0|12|0|6|2|2|16|399|745|COTEJADO EN PLENO
="230049C0100"|230049C010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0049"|1|C|0|1|2|10|14|2|61|10|25|220|2|-|3|9|0|1|3|0|22|382|745|COTEJADO EN PLENO
="230050B0100"|230050B010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0050"|1|B|0|1|2|12|7|1|66|7|39|198|6|-|1|19|0|6|1|1|10|374|698|COTEJADO EN PLENO
="230050C0100"|230050C010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0050"|1|C|0|1|2|16|4|3|89|8|25|221|9|-|0|1|5|2|3|13|13|412|698|COTEJADO EN PLENO
="230050C0200"|230050C020002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0050"|2|C|0|1|2|10|12|5|82|6|37|212|8|-|1|9|1|4|1|1|9|398|697|COTEJADO EN PLENO
="230051B0100"|230051B010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0051"|1|B|0|1|2|15|10|7|118|3|22|136|7|-|0|13|0|11|2|0|8|352|585|COTEJADO EN PLENO
="230051C0100"|230051C010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0051"|1|C|0|1|2|4|6|3|140|3|12|141|2|-|1|12|0|9|2|0|16|351|585|COTEJADO EN PLENO
="230052B0100"|230052B010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0052"|1|B|0|1|2|13|9|2|67|20|31|239|0|-|0|0|0|0|0|0|8|389|735|COTEJADO EN PLENO
="230052C0100"|230052C010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0052"|1|C|0|1|2|9|8|2|66|6|30|264|2|-|1|14|2|5|1|0|14|424|735|COTEJADO EN PLENO
="230053B0100"|230053B010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0053"|1|B|0|1|2|11|3|5|60|12|28|224|8|-|0|12|0|0|0|0|16|379|649|COTEJADO EN PLENO
="230053C0100"|230053C010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0053"|1|C|0|1|2|10|8|3|68|11|32|209|9|-|3|18|1|4|3|1|7|387|649|COTEJADO EN PLENO
="230053C0200"|230053C020002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0053"|2|C|0|1|2|18|8|3|52|9|25|203|4|-|0|17|1|5|3|0|7|355|649|COTEJADO EN PLENO
="230053C0300"|230053C030002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0053"|3|C|0|1|2|18|9|1|46|13|29|220|3|-|1|3|0|0|0|0|7|350|649|COTEJADO EN PLENO
="230054B0100"|230054B010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0054"|1|B|0|1|2|15|9|1|60|3|29|212|4|-|1|7|1|7|6|3|10|368|624|COTEJADO EN PLENO
="230054C0100"|230054C010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0054"|1|C|0|1|2|17|8|5|58|6|29|178|5|-|0|7|0|7|3|1|12|336|624|COTEJADO EN PLENO
="230054C0200"|230054C020002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0054"|2|C|0|1|2|13|9|2|39|13|34|197|2|-|1|9|2|7|1|1|9|339|624|COTEJADO EN PLENO
="230054C0300"|230054C030002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0054"|3|C|0|1|2|23|9|4|50|6|21|191|6|-|1|16|1|8|1|0|13|350|624|COTEJADO EN PLENO
="230055B0100"|230055B010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0055"|1|B|0|1|2|14|10|6|70|8|24|172|5|-|0|13|1|4|0|0|12|339|598|COTEJADO EN PLENO
="230055C0100"|230055C010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0055"|1|C|0|1|2|12|4|6|79|10|22|171|7|-|2|15|0|4|3|0|16|351|597|COTEJADO EN PLENO
="230056B0100"|230056B010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0056"|1|B|0|1|2|14|10|2|58|6|24|161|3|-|1|12|0|4|0|0|10|305|513|COTEJADO EN PLENO
="230056C0100"|230056C010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0056"|1|C|0|1|2|14|4|0|76|4|15|150|9|-|0|8|0|2|2|2|19|305|513|COTEJADO EN PLENO
="230057B0100"|230057B010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0057"|1|B|0|1|2|50|9|0|38|12|42|136|4|-|4|7|0|3|3|0|9|317|568|COTEJADO EN PLENO
="230057C0100"|230057C010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0057"|1|C|0|1|2|35|18|4|50|3|28|156|3|-|1|9|0|1|4|3|9|324|567|COTEJADO EN PLENO
="230057C0200"|230057C020002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0057"|2|C|0|1|2|37|13|6|34|9|36|148|8|-|0|12|1|1|0|0|11|316|567|COTEJADO EN PLENO
="230058B0100"|230058B010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0058"|1|B|0|1|2|54|16|10|65|11|36|195|10|-|1|10|0|1|4|2|15|430|694|COTEJADO EN PLENO
="230059B0100"|230059B010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0059"|1|B|0|1|2|46|20|3|47|7|24|156|6|-|3|8|0|2|0|0|13|335|569|COTEJADO EN PLENO
="230059C0100"|230059C010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0059"|1|C|0|1|2|47|15|4|44|9|36|152|8|-|1|10|0|2|1|0|13|342|569|COTEJADO EN PLENO
="230060B0100"|230060B010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0060"|1|B|0|1|2|12|8|6|76|5|26|150|2|-|0|0|0|3|1|0|13|302|520|COTEJADO EN PLENO
="230060C0100"|230060C010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0060"|1|C|0|1|2|16|13|3|70|4|14|186|4|-|0|7|0|4|1|0|6|328|520|COTEJADO EN PLENO
="230060C0200"|230060C020002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0060"|2|C|0|1|2|15|8|4|81|8|23|157|3|-|2|7|0|1|1|2|8|320|520|COTEJADO EN PLENO
="230061B0100"|230061B010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0061"|1|B|0|1|2|20|6|4|50|10|29|165|4|-|1|2|0|3|0|1|10|305|459|COTEJADO EN PLENO
="230061C0100"|230061C010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0061"|1|C|0|1|2|20|6|1|61|1|24|118|6|-|0|10|0|1|1|0|8|257|458|COTEJADO EN PLENO
="230062B0100"|230062B010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0062"|1|B|0|1|2|12|8|8|49|8|24|144|6|-|0|3|1|1|1|1|9|275|455|COTEJADO EN PLENO
="230062C0100"|230062C010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0062"|1|C|0|1|2|15|7|6|38|7|16|129|7|-|0|6|0|8|1|1|10|251|454|COTEJADO EN PLENO
="230063B0100"|230063B010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0063"|1|B|0|1|2|15|3|3|60|6|15|93|2|-|0|8|1|1|5|0|4|216|376|COTEJADO EN PLENO
="230063C0100"|230063C010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0063"|1|C|0|1|2|18|6|1|30|4|13|106|1|-|1|7|5|3|0|1|3|199|375|COTEJADO EN PLENO
="230064B0100"|230064B010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0064"|1|B|0|1|2|11|8|2|44|9|11|131|3|-|0|14|0|1|2|3|6|245|441|COTEJADO EN PLENO
="230064C0100"|230064C010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0064"|1|C|0|1|2|10|9|3|35|8|14|117|5|-|1|11|0|2|0|0|4|219|441|COTEJADO EN PLENO
="230065B0100"|230065B010002|23|QUINTANA ROO|="01"|BENITO JUAREZ|="0065"|1|B|0|1|2|21|3|1|21|6|19|152|6|-|1|10|0|4|4|0|5|253|521|COTEJADO EN PLENO
