CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,PRS,MC,NVA_ALIANZA,MORENA,ES,PAN_PRD_PT_PRS,PAN_PRD_PT,PAN_PRD_PRS,PAN_PT_PRS,PRD_PT_PRS,PAN_PRD,PAN_PT,PAN_PRS,PRD_PT,PRD_PRS,PT_PRS,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,CAND_IND26,CAND_IND27,CAND_IND28,CAND_IND29,CAND_IND30,CAND_IND31,CAND_IND32,CAND_IND33,CAND_IND34,CAND_IND35,CAND_IND36,CAND_IND37,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,19,B,1,37,5,0,3,0,2,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,72,10,82,119,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,20,B,14,45,5,1,7,0,14,2,19,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,146,21,167,250,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,21,B,46,72,12,1,9,1,14,57,48,2,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,275,22,297,415,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,22,B,29,16,5,0,1,1,5,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,67,15,82,212,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,23,B,11,52,13,3,4,3,8,2,128,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,258,24,282,415,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,23,E01,28,13,10,3,7,1,5,0,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,108,6,114,156,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,24,B,18,176,41,6,7,0,12,9,264,9,1,0,0,1,0,6,0,0,0,0,1,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,554,25,579,732,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,25,B,3,16,5,0,0,1,6,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,70,9,79,109,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,26,B,20,22,9,0,12,2,7,1,40,2,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,123,8,131,191,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,27,B,16,39,38,0,7,3,6,8,91,2,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,232,10,242,492,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,28,B,11,96,23,2,4,0,8,3,69,0,0,0,0,0,0,6,0,0,1,0,0,0,1,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,231,9,240,350,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,29,B,5,35,11,0,8,0,3,1,35,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,102,8,110,149,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,30,B,10,42,9,0,0,0,10,1,82,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,165,10,175,232,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,31,B,5,42,6,0,6,0,12,4,153,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,234,12,246,289,,,,
