CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,CP,MC,NA,MORENA,ES,PAN_MC,PRI_NA,PRI_NA_CP,PRI_PVEM_NA,PRI_PVEM_CP,PRI_CP,PRI_PVEM,PRI_PVEM_NA_CP,PVEM_NA,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
,24,SAN LUIS POTOSI,2,SAN LUIS POTOSI,28,SAN LUIS POTOSI,931,2,,,160,11,44,,,,166,5,385,,98,,,,,,,,,,,4,3,0,1,,,,,,,,,,,,,877,0,27,904,1312
,24,SAN LUIS POTOSI,2,SAN LUIS POTOSI,28,SAN LUIS POTOSI,932,2,,,119,22,26,,,,197,13,517,,99,,,,,,,,,,,3,1,0,1,,,,,,,,,,,,,998,0,25,1023,1431
,24,SAN LUIS POTOSI,8,SAN LUIS POTOSI,28,SAN LUIS POTOSI,933,1,,,86,11,16,,,,99,6,215,,31,,,,,,,,,,,5,1,0,2,,,,,,,,,,,,,472,0,17,489,709
,24,SAN LUIS POTOSI,8,SAN LUIS POTOSI,28,SAN LUIS POTOSI,934,3,,,319,13,18,,,,217,18,288,,79,,,,,,,,,,,3,4,0,1,,,,,,,,,,,,,960,0,40,1000,1553
,24,SAN LUIS POTOSI,8,SAN LUIS POTOSI,28,SAN LUIS POTOSI,935,2,,,208,13,19,,,,180,15,340,,67,,,,,,,,,,,0,4,2,4,,,,,,,,,,,,,852,2,24,878,1287
,24,SAN LUIS POTOSI,8,SAN LUIS POTOSI,28,SAN LUIS POTOSI,936,5,,,337,64,78,,,,489,38,1382,,209,,,,,,,,,,,14,4,0,3,,,,,,,,,,,,,2618,1,44,2663,3699
,24,SAN LUIS POTOSI,8,SAN LUIS POTOSI,28,SAN LUIS POTOSI,937,2,,,193,13,20,,,,167,11,346,,56,,,,,,,,,,,9,3,0,3,,,,,,,,,,,,,821,0,18,839,1247
,24,SAN LUIS POTOSI,8,SAN LUIS POTOSI,28,SAN LUIS POTOSI,938,2,,,162,25,13,,,,135,18,200,,76,,,,,,,,,,,3,0,0,1,,,,,,,,,,,,,633,1,20,654,1002
,24,SAN LUIS POTOSI,8,SAN LUIS POTOSI,28,SAN LUIS POTOSI,939,2,,,199,23,31,,,,222,22,358,,70,,,,,,,,,,,7,3,1,1,,,,,,,,,,,,,937,1,19,957,1446
,24,SAN LUIS POTOSI,8,SAN LUIS POTOSI,28,SAN LUIS POTOSI,940,2,,,215,16,19,,,,172,17,390,,59,,,,,,,,,,,6,4,0,2,,,,,,,,,,,,,900,0,30,930,1392
,24,SAN LUIS POTOSI,8,SAN LUIS POTOSI,28,SAN LUIS POTOSI,941,3,,,263,32,32,,,,225,5,386,,66,,,,,,,,,,,7,2,0,4,,,,,,,,,,,,,1022,1,43,1066,1953
,24,SAN LUIS POTOSI,8,SAN LUIS POTOSI,28,SAN LUIS POTOSI,942,3,,,292,19,25,,,,202,18,285,,92,,,,,,,,,,,3,3,0,0,,,,,,,,,,,,,939,0,14,953,1726
,24,SAN LUIS POTOSI,8,SAN LUIS POTOSI,28,SAN LUIS POTOSI,943,10,,,1210,71,74,,,,585,47,1064,,256,,,,,,,,,,,13,6,0,6,,,,,,,,,,,,,3332,0,92,3424,6947
,24,SAN LUIS POTOSI,8,SAN LUIS POTOSI,28,SAN LUIS POTOSI,944,5,,,621,56,48,,,,371,17,547,,174,,,,,,,,,,,8,7,1,4,,,,,,,,,,,,,1854,0,64,1918,3364
,24,SAN LUIS POTOSI,8,SAN LUIS POTOSI,28,SAN LUIS POTOSI,945,2,,,222,8,15,,,,114,8,188,,75,,,,,,,,,,,6,4,0,5,,,,,,,,,,,,,645,2,12,659,1157
,24,SAN LUIS POTOSI,8,SAN LUIS POTOSI,28,SAN LUIS POTOSI,946,2,,,166,11,14,,,,125,15,233,,41,,,,,,,,,,,6,1,1,4,,,,,,,,,,,,,617,1,15,633,1100
,24,SAN LUIS POTOSI,8,SAN LUIS POTOSI,28,SAN LUIS POTOSI,947,7,,,528,54,78,,,,566,39,1225,,187,,,,,,,,,,,21,0,0,3,,,,,,,,,,,,,2701,1,53,2755,3979
,24,SAN LUIS POTOSI,8,SAN LUIS POTOSI,28,SAN LUIS POTOSI,948,2,,,178,22,19,,,,165,14,291,,51,,,,,,,,,,,4,3,0,0,,,,,,,,,,,,,747,1,18,766,1132
,24,SAN LUIS POTOSI,8,SAN LUIS POTOSI,28,SAN LUIS POTOSI,949,2,,,174,13,13,,,,108,9,194,,58,,,,,,,,,,,6,0,0,0,,,,,,,,,,,,,575,2,13,590,899
,24,SAN LUIS POTOSI,8,SAN LUIS POTOSI,28,SAN LUIS POTOSI,950,3,,,252,28,17,,,,186,10,465,,93,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1051,0,32,1083,1589
,24,SAN LUIS POTOSI,6,SAN LUIS POTOSI,28,SAN LUIS POTOSI,951,2,,,105,16,6,,,,148,8,269,,41,,,,,,,,,,,5,0,0,2,,,,,,,,,,,,,600,0,7,607,866
,24,SAN LUIS POTOSI,8,SAN LUIS POTOSI,28,SAN LUIS POTOSI,952,2,,,206,13,16,,,,147,11,354,,80,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,828,0,21,849,1280
,24,SAN LUIS POTOSI,8,SAN LUIS POTOSI,28,SAN LUIS POTOSI,953,4,,,324,17,28,,,,222,26,704,,141,,,,,,,,,,,7,4,1,3,,,,,,,,,,,,,1477,1,27,1505,2391
,24,SAN LUIS POTOSI,8,SAN LUIS POTOSI,28,SAN LUIS POTOSI,954,2,,,260,9,15,,,,91,7,128,,25,,,,,,,,,,,1,2,1,2,,,,,,,,,,,,,541,0,16,557,1007
,24,SAN LUIS POTOSI,8,SAN LUIS POTOSI,28,SAN LUIS POTOSI,955,10,,,1183,77,88,,,,663,50,1146,,257,,,,,,,,,,,14,7,0,7,,,,,,,,,,,,,3492,1,97,3590,6888
,24,SAN LUIS POTOSI,8,SAN LUIS POTOSI,28,SAN LUIS POTOSI,956,2,,,252,14,12,,,,110,14,151,,54,,,,,,,,,,,5,0,1,1,,,,,,,,,,,,,614,0,19,633,1158
,24,SAN LUIS POTOSI,8,SAN LUIS POTOSI,28,SAN LUIS POTOSI,957,2,,,335,25,12,,,,108,4,157,,44,,,,,,,,,,,3,0,0,1,,,,,,,,,,,,,689,0,26,715,1215
,24,SAN LUIS POTOSI,8,SAN LUIS POTOSI,28,SAN LUIS POTOSI,958,2,,,336,13,13,,,,94,9,206,,92,,,,,,,,,,,1,2,0,1,,,,,,,,,,,,,767,0,16,783,1323
,24,SAN LUIS POTOSI,8,SAN LUIS POTOSI,28,SAN LUIS POTOSI,959,4,,,332,34,37,,,,287,18,709,,103,,,,,,,,,,,9,1,1,0,,,,,,,,,,,,,1531,3,27,1561,2262
