Seccion,Casilla,pan,pri,prd,pvem,pt,mc,morena,na,pes,mas,progresa,rsp,c_pan_pri_prd_rsp,c_pan_pri_prd,c_pan_pri_rsp,c_pan_prd_rsp,c_pri_prd_rsp,c_pan_pri,c_pan_prd,c_pan_rsp,c_pri_prd,c_pri_rsp,c_prd_rsp,c_morena_na_pes_mas,c_morena_na_pes,c_morena_na_mas,c_morena_pes_mas,c_na_pes_mas,c_morena_na,c_morena_pes,c_morena_mas,c_na_pes,c_na_mas,c_pes_mas,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
790,C1,39,108,9,5,63,2,93,6,3,3,0,15,18,0,0,0,0,1,2,1,0,0,0,4,0,1,0,2,3,0,0,0,0,0,0,0,378,659
790,C2,24,138,6,6,65,5,101,7,1,1,2,17,6,6,0,0,0,1,1,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,13,409,659
791,B1,63,94,9,29,52,0,82,3,2,1,0,16,6,3,0,1,0,2,2,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,13,382,712
791,C1,40,95,6,29,83,6,89,2,0,3,1,13,8,4,0,0,0,5,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,14,403,711
791,C2,62,83,13,46,24,4,97,6,2,3,0,19,8,3,0,1,0,2,2,0,0,2,0,4,0,0,0,0,2,0,1,0,0,0,0,8,392,711
791,C3,55,99,9,29,52,8,79,3,1,5,0,12,11,5,1,0,0,5,1,0,0,0,0,6,0,1,1,0,5,0,1,0,0,0,0,18,407,711
791,C4,50,106,6,37,51,2,102,2,0,3,0,28,7,6,1,0,0,3,1,0,0,1,0,4,2,1,0,0,1,1,0,0,0,0,0,11,426,711
791,C5,47,75,10,32,52,3,88,3,0,2,0,18,21,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,21,384,711
792,B1,55,100,7,38,51,2,81,4,1,1,0,9,0,10,3,0,0,3,0,0,0,0,0,6,1,0,0,0,1,0,0,0,0,0,0,16,389,632
792,C1,54,88,2,55,57,1,94,1,1,5,0,10,3,6,0,0,0,3,0,0,0,0,0,0,7,0,0,0,2,0,0,0,0,0,0,14,403,631
792,C2,50,86,4,49,82,0,81,5,2,1,0,15,8,6,1,0,0,6,0,0,0,2,0,8,0,0,0,0,2,1,0,0,0,0,0,10,419,631
