Seccion,Casilla,pan,pri,prd,pvem,pt,mc,morena,na,pes,mas,progresa,rsp,c_pan_pri_prd_rsp,c_pan_pri_prd,c_pan_pri_rsp,c_pan_prd_rsp,c_pri_prd_rsp,c_pan_pri,c_pan_prd,c_pan_rsp,c_pri_prd,c_pri_rsp,c_prd_rsp,c_mc_progresa,c_morena_na_pes_mas,c_morena_na_pes,c_morena_na_mas,c_morena_pes_mas,c_na_pes_mas,c_morena_na,c_morena_pes,c_morena_mas,c_na_pes,c_na_mas,c_pes_mas,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
61,C1,61,20,13,8,6,21,118,8,87,3,14,7,0,4,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,1,0,17,394,696
61,C2,44,15,16,5,8,23,140,9,56,2,13,3,4,8,0,0,0,0,0,0,0,0,0,1,12,0,0,3,3,0,0,5,0,0,0,0,16,386,696
61,E1,67,14,9,4,7,19,99,7,21,0,5,4,6,8,0,0,0,1,0,0,0,0,1,3,2,0,1,0,0,1,0,0,0,0,0,0,13,292,564
62,B1,126,18,27,10,5,5,103,4,8,0,17,10,9,6,3,1,1,2,1,0,0,0,0,1,6,0,0,3,0,0,1,1,0,0,0,0,8,376,659
62,C1,91,15,13,11,6,11,116,6,7,1,1,7,0,22,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,28,342,658
62,C2,137,22,19,14,3,4,100,4,5,3,9,4,1,10,1,1,0,2,1,10,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,5,360,658
62,C3,137,20,17,8,6,8,98,10,10,0,17,11,10,13,0,0,0,2,2,0,1,0,0,2,7,0,0,0,0,1,0,0,0,0,0,0,18,398,658
63,B1,70,20,6,6,6,26,108,5,5,1,3,7,6,6,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,295,519
63,C1,85,22,3,8,3,16,98,13,4,0,5,2,2,3,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,6,276,518
64,B1,52,15,6,7,6,15,84,8,5,1,4,6,3,4,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,6,228,438
64,C1,66,9,3,9,6,9,102,8,10,2,8,4,6,7,0,0,0,1,0,0,0,0,0,0,6,0,0,0,2,1,0,0,0,0,0,0,18,277,437
65,B1,25,7,1,2,1,7,76,21,26,2,35,5,7,0,1,0,0,2,0,0,1,0,0,4,12,1,0,0,0,1,2,0,21,0,0,0,6,266,561
65,C1,22,5,2,5,1,8,96,10,25,2,54,4,0,0,4,0,0,1,0,2,0,0,0,9,13,1,0,3,1,0,2,1,1,1,0,0,9,282,560
65,C2,30,2,2,12,1,7,61,12,25,3,31,1,7,1,1,0,0,3,0,0,0,0,0,8,4,1,4,0,0,0,5,0,1,0,0,0,9,231,560
66,B1,45,10,11,4,0,6,99,12,30,2,15,2,0,3,6,0,0,0,0,0,0,0,0,5,18,2,0,1,0,5,5,0,0,0,0,0,0,281,521
