id_entidad_electoral,fecha_jornada,id_cargo,nombre_cargo,id_estado,id_distrito,id_casilla,tipo_casilla,descripcion,ext_contigua,id_municipio,nombre_municipio,lista_nominal,estatus_casilla,descripcion,resultados_obtenidos,tipo_urna,descripcion,seccion,PAN,PRI-PVEM,PRD,PT,PC,No Registrados,Nulos,Total
16,14/11/2004,12,Ayuntamientos,16,0,1,B,Basica,0,109,Zamora,497,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,2502,108,78,57,0,0,0,1,244
16,14/11/2004,12,Ayuntamientos,16,0,1,B,Basica,0,109,Zamora,649,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,2513,51,81,23,0,0,0,7,162
16,14/11/2004,12,Ayuntamientos,16,0,1,E,Extraordinaria,0,109,Zamora,356,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,2513,4,22,105,0,0,0,4,135
16,14/11/2004,12,Ayuntamientos,16,0,1,C,Contigua,0,109,Zamora,581,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,2520,53,86,32,0,0,0,4,175
16,14/11/2004,12,Ayuntamientos,16,0,1,C,Contigua,0,109,Zamora,510,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,2521,42,19,56,0,0,0,2,119
16,14/11/2004,12,Ayuntamientos,16,0,2,C,Contigua,0,109,Zamora,510,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,2521,40,25,81,0,0,0,2,148
16,14/11/2004,12,Ayuntamientos,16,0,1,B,Basica,0,109,Zamora,538,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,2522,59,49,79,0,0,0,0,187
16,14/11/2004,12,Ayuntamientos,16,0,1,B,Basica,0,110,Zinaparo,361,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,2535,8,101,53,0,0,0,5,167
16,14/11/2004,12,Ayuntamientos,16,0,1,B,Basica,0,110,Zinaparo,727,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,2537,6,133,163,0,0,0,9,311
16,14/11/2004,12,Ayuntamientos,16,0,1,B,Basica,0,111,Zinapecuaro,709,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,2540,12,72,279,0,0,0,11,374
16,14/11/2004,12,Ayuntamientos,16,0,1,B,Basica,0,111,Zinapecuaro,579,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,2544,25,161,133,0,0,0,0,319
16,14/11/2004,12,Ayuntamientos,16,0,1,B,Basica,0,111,Zinapecuaro,696,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,2546,14,104,244,0,0,0,12,374
16,14/11/2004,12,Ayuntamientos,16,0,1,C,Contigua,0,111,Zinapecuaro,697,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,2546,17,100,238,0,0,0,10,365
16,14/11/2004,12,Ayuntamientos,16,0,1,C,Contigua,0,6,Apatzingan,467,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,58,7,89,97,0,0,0,5,198
16,14/11/2004,12,Ayuntamientos,16,0,1,C,Contigua,0,6,Apatzingan,566,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,61,5,83,95,2,0,1,12,198
16,14/11/2004,12,Ayuntamientos,16,0,1,C,Contigua,0,6,Apatzingan,727,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,62,7,136,123,2,0,0,14,282
16,14/11/2004,12,Ayuntamientos,16,0,1,B,Basica,0,6,Apatzingan,546,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,64,3,147,85,0,0,0,12,247
16,14/11/2004,12,Ayuntamientos,16,0,1,C,Contigua,0,6,Apatzingan,550,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,68,6,126,126,1,0,0,12,271
16,14/11/2004,12,Ayuntamientos,16,0,1,C,Contigua,0,6,Apatzingan,639,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,74,8,142,103,1,0,0,9,263
16,14/11/2004,12,Ayuntamientos,16,0,1,B,Basica,0,6,Apatzingan,511,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,79,3,108,105,1,0,0,5,222
16,14/11/2004,12,Ayuntamientos,16,0,1,B,Basica,0,6,Apatzingan,501,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,84,1,141,74,0,0,2,15,233
16,14/11/2004,12,Ayuntamientos,16,0,1,B,Basica,0,6,Apatzingan,617,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,88,10,121,130,2,0,0,7,270
16,14/11/2004,12,Ayuntamientos,16,0,1,B,Basica,0,48,Jungapeo,575,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,786,9,176,120,1,0,0,11,317
16,14/11/2004,12,Ayuntamientos,16,0,2,C,Contigua,0,48,Jungapeo,583,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,788,8,161,136,8,0,0,11,324
16,14/11/2004,12,Ayuntamientos,16,0,1,B,Basica,0,49,Lagunillas,521,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,804,0,120,187,0,0,0,3,310
16,14/11/2004,12,Ayuntamientos,16,0,1,C,Contigua,0,49,Lagunillas,400,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,805,8,183,47,0,0,0,0,238
