Municipio,Seccion,Casilla,Lista Nominal ,PAN,PRI,PRD,PT,PVEM,PC,PNA,PAS,COAL_PRD_PT,COAL_PRD_PT_PC,COAL_PRD_PC,CC_PAN_PRI,CC_PAN_PRI_PVEM,CC_PAN_PVEM,CC_PAN_PVEM_PNA,CC_PAN_PNA,CC_PRI_PVEM,CC_PRI_PVEM_PNA,NOREG,NULOS
Alvaro Obregón,32,C1,602,132,120,,,1,,,,,67,,,,,,,,,0,11
Alvaro Obregón,32,E1,216,94,32,,,0,,,,,26,,,,,,,,,0,4
Alvaro Obregón,33,B,510,19,133,,,3,,,,,137,,,,,,,,,0,1
Alvaro Obregón,33,C1,510,21,106,,,3,,,,,140,,,,,,,,,0,6
Alvaro Obregón,34,B,606,126,128,,,0,,,,,80,,,,,,,,,0,1
Alvaro Obregón,34,C1,606,106,129,,,6,,,,,83,,,,,,,,,0,5
Alvaro Obregón,35,B,644,71,125,,,6,,,,,114,,,,,,,,,0,8
Alvaro Obregón,35,C1,644,78,154,,,4,,,,,122,,,,,,,,,0,4
Alvaro Obregón,36,B,610,78,117,,,2,,,,,78,,,,,,,,,0,3
Alvaro Obregón,36,C1,610,92,123,,,3,,,,,51,,,,,,,,,0,14
Alvaro Obregón,37,B,382,17,153,,,0,,,,,27,,,,,,,,,0,3
Alvaro Obregón,37,C1,382,23,160,,,1,,,,,24,,,,,,,,,1,1
Angamacutiro,38,B,464,25,128,,,,,,,,114,,,,,,,,,0,4
Angamacutiro,38,C1,465,21,124,,,,,,,,114,,,,,,,,,0,6
Angamacutiro,39,B,501,28,102,,,,,,,,138,,,,,,,,,0,2
Angamacutiro,39,C1,501,25,134,,,,,,,,122,,,,,,,,,0,5
Angamacutiro,40,B,534,21,122,,,,,,,,165,,,,,,,,,0,4
Angamacutiro,40,C1,535,18,109,,,,,,,,157,,,,,,,,,0,6
Angamacutiro,41,B,700,33,133,,,,,,,,198,,,,,,,,,0,10
Angamacutiro,41,C1,700,31,100,,,,,,,,214,,,,,,,,,0,7
Angamacutiro,42,B,401,0,67,,,,,,,,138,,,,,,,,,0,1
Angamacutiro,42,C1,401,2,57,,,,,,,,119,,,,,,,,,0,6
Angamacutiro,43,B,587,12,77,,,,,,,,125,,,,,,,,,0,5
Angamacutiro,43,C1,588,24,86,,,,,,,,115,,,,,,,,,0,7
Angamacutiro,44,B,612,18,103,,,,,,,,186,,,,,,,,,0,5
Angamacutiro,45,B,696,11,154,,,,,,,,188,,,,,,,,,0,4
Angamacutiro,45,C1,696,5,175,,,,,,,,218,,,,,,,,,0,4
Angamacutiro,45,C2,697,10,161,,,,,,,,208,,,,,,,,,0,5
Angamacutiro,46,B,639,9,140,,,,,,,,245,,,,,,,,,0,9
Angamacutiro,47,B,138,4,36,,,,,,,,15,,,,,,,,,0,0
Angamacutiro,48,B,404,5,113,,,,,,,,128,,,,,,,,,0,4
Angamacutiro,49,B,557,5,76,,,,,,,,151,,,,,,,,,0,4
Angamacutiro,50,B,391,4,92,,,,,,,,76,,,,,,,,,0,0
Angamacutiro,50,C1,391,15,85,,,,,,,,77,,,,,,,,,0,3
Angamacutiro,51,B,521,57,87,,,,,,,,89,,,,,,,,,0,6
Angamacutiro,51,C1,521,39,95,,,,,,,,107,,,,,,,,,0,4
Angangueo,52,B,440,96,51,46,68,,12,4,13,,,,,,,,1,,,0,5
Angangueo,52,C1,441,109,58,42,62,,4,0,8,,,,,,,,2,,,0,5
Angangueo,53,B,416,87,85,26,42,,18,4,11,,,,,,,,0,,,0,10
Angangueo,53,C1,416,49,74,45,64,,23,3,14,,,,,,,,1,,,0,0
Angangueo,54,B,421,105,50,27,51,,18,0,19,,,,,,,,3,,,0,6
Angangueo,54,C1,421,115,31,16,72,,13,4,24,,,,,,,,1,,,0,1
Angangueo,55,B,747,176,48,34,140,,41,2,23,,,,,,,,4,,,0,10
Angangueo,55,C1,748,212,70,42,116,,23,2,32,,,,,,,,1,,,0,7
Angangueo,55,E1,437,46,18,70,197,,5,2,2,,,,,,,,0,,,0,3
Angangueo,56,B,450,28,49,81,132,,5,0,7,,,,,,,,0,,,0,7
Angangueo,56,C1,450,26,51,70,110,,4,1,9,,,,,,,,2,,,0,16
Angangueo,56,E1,165,4,6,73,40,,2,0,2,,,,,,,,0,,,0,5
Angangueo,57,B,675,61,125,38,129,,23,0,26,,,,,,,,1,,,0,10
Angangueo,57,C1,675,95,69,62,120,,31,3,37,,,,,,,,0,,,0,15
Angangueo,57,E1,473,22,75,68,98,,13,1,19,,,,,,,,0,,,0,9
Apatzingán,58,B,508,61,68,,,4,,4,0,,61,,,,,,,,,0,6
Apatzingán,58,C1,508,53,53,,,3,,2,0,,82,,,,,,,,,0,11
Apatzingán,59,B,630,67,92,,,5,,2,0,,83,,,,,,,,,0,11
Apatzingán,59,C1,631,89,69,,,2,,2,0,,110,,,,,,,,,0,9
Apatzingán,60,B,506,66,31,,,1,,3,1,,86,,,,,,,,,0,5
Apatzingán,60,C1,506,62,41,,,1,,4,0,,79,,,,,,,,,0,5
Apatzingán,60,C2,506,53,43,,,5,,1,3,,86,,,,,,,,,1,5
Apatzingán,61,B,623,105,55,,,0,,2,0,,58,,,,,,,,,0,9
Apatzingán,61,C1,623,116,41,,,8,,1,0,,70,,,,,,,,,2,7
Apatzingán,62,B,508,95,31,,,4,,2,1,,49,,,,,,,,,0,4
Apatzingán,62,C1,508,97,45,,,3,,1,0,,56,,,,,,,,,0,6
Apatzingán,62,C2,509,104,38,,,2,,1,0,,55,,,,,,,,,0,5
Apatzingán,63,B,708,129,32,,,2,,5,0,,139,,,,,,,,,0,11
Apatzingán,63,C1,708,118,58,,,0,,0,1,,113,,,,,,,,,0,0
Apatzingán,64,B,642,89,106,,,2,,4,0,,75,,,,,,,,,0,9
Apatzingán,64,C1,643,77,85,,,5,,7,3,,99,,,,,,,,,1,2
Apatzingán,65,B,741,100,73,,,5,,2,1,,99,,,,,,,,,0,9
Apatzingán,65,C1,741,101,56,,,5,,1,1,,113,,,,,,,,,0,13
Apatzingán,66,B,557,96,42,,,2,,1,0,,75,,,,,,,,,0,5
Apatzingán,66,C1,558,79,47,,,1,,3,0,,73,,,,,,,,,0,5
Apatzingán,66,C2,558,93,48,,,4,,0,3,,66,,,,,,,,,0,5
Apatzingán,67,B,407,63,62,,,2,,2,0,,56,,,,,,,,,0,5
Apatzingán,67,C1,407,60,51,,,5,,5,0,,47,,,,,,,,,0,1
Apatzingán,68,B,626,123,62,,,6,,4,0,,108,,,,,,,,,0,8
Apatzingán,68,C1,626,138,55,,,2,,3,1,,103,,,,,,,,,0,5
Apatzingán,69,B,554,98,86,,,1,,10,0,,95,,,,,,,,,0,2
Apatzingán,69,C1,555,97,93,,,2,,6,1,,107,,,,,,,,,0,3
Apatzingán,70,B,552,77,50,,,0,,3,0,,56,,,,,,,,,0,5
Apatzingán,70,C1,552,93,55,,,4,,2,1,,45,,,,,,,,,0,4
Apatzingán,71,B,730,79,80,,,3,,3,0,,103,,,,,,,,,0,4
Apatzingán,71,C1,730,78,87,,,2,,1,0,,105,,,,,,,,,0,8
Apatzingán,72,B,486,72,69,,,4,,10,1,,64,,,,,,,,,0,13
Apatzingán,72,C1,486,64,45,,,1,,6,0,,61,,,,,,,,,0,4
Apatzingán,73,B,687,62,71,,,4,,2,0,,161,,,,,,,,,1,11
Apatzingán,73,C1,688,44,76,,,3,,5,1,,147,,,,,,,,,0,14
Apatzingán,74,B,696,102,116,,,4,,2,0,,120,,,,,,,,,0,6
Apatzingán,74,C1,697,85,135,,,3,,6,0,,86,,,,,,,,,0,7
Apatzingán,75,B,577,83,70,,,0,,7,0,,90,,,,,,,,,0,4
Apatzingán,75,C1,577,105,61,,,1,,3,0,,107,,,,,,,,,0,4
Apatzingán,76,B,566,83,60,,,1,,3,0,,96,,,,,,,,,0,13
Apatzingán,76,C1,567,106,62,,,0,,0,1,,90,,,,,,,,,0,3
Apatzingán,77,B,624,134,95,,,4,,2,0,,78,,,,,,,,,0,2
Apatzingán,77,C1,624,104,97,,,2,,4,0,,71,,,,,,,,,0,2
Apatzingán,77,C2,624,130,106,,,5,,6,0,,59,,,,,,,,,0,6
Apatzingán,78,B,524,87,43,,,12,,3,0,,70,,,,,,,,,0,5
Apatzingán,78,C1,525,79,46,,,5,,4,1,,69,,,,,,,,,0,6
Apatzingán,78,C2,525,72,42,,,5,,1,0,,65,,,,,,,,,0,7
Apatzingán,79,B,518,69,73,,,2,,1,0,,62,,,,,,,,,0,7
Apatzingán,79,C1,518,59,94,,,2,,1,0,,69,,,,,,,,,0,6
Apatzingán,80,B,628,98,89,,,4,,3,0,,90,,,,,,,,,0,5
Apatzingán,80,C1,628,127,66,,,3,,4,0,,84,,,,,,,,,0,6
Apatzingán,81,B,479,95,61,,,1,,3,1,,77,,,,,,,,,0,0
Apatzingán,81,C1,479,80,50,,,1,,7,0,,89,,,,,,,,,0,2
Apatzingán,82,B,707,126,94,,,2,,2,1,,78,,,,,,,,,0,11
Apatzingán,82,C1,708,107,101,,,5,,6,1,,89,,,,,,,,,0,8
Apatzingán,83,B,503,79,46,,,0,,0,1,,76,,,,,,,,,0,5
Apatzingán,83,C1,503,86,64,,,2,,0,1,,63,,,,,,,,,0,5
Apatzingán,84,B,572,79,63,,,0,,0,0,,79,,,,,,,,,0,4
Apatzingán,84,C1,573,98,59,,,4,,1,1,,84,,,,,,,,,0,15
Apatzingán,85,B,532,97,71,,,3,,5,0,,77,,,,,,,,,0,6
Apatzingán,85,C1,533,122,66,,,6,,6,1,,57,,,,,,,,,0,8
Apatzingán,86,B,412,82,54,,,1,,1,0,,47,,,,,,,,,0,7
Apatzingán,86,C1,413,82,66,,,0,,1,0,,61,,,,,,,,,0,1
Apatzingán,87,B,523,101,83,,,3,,4,1,,57,,,,,,,,,0,2
Apatzingán,87,C1,523,76,90,,,1,,1,0,,56,,,,,,,,,0,7
Apatzingán,88,B,639,114,98,,,0,,2,0,,81,,,,,,,,,0,7
Apatzingán,88,C1,639,116,93,,,1,,1,1,,81,,,,,,,,,0,5
Apatzingán,89,B,541,79,68,,,3,,21,0,,75,,,,,,,,,0,6
Apatzingán,89,C1,542,63,62,,,3,,4,0,,75,,,,,,,,,0,4
Apatzingán,90,B,461,83,77,,,0,,2,0,,74,,,,,,,,,0,6
Apatzingán,90,C1,462,81,63,,,1,,1,1,,66,,,,,,,,,0,5
Apatzingán,91,B,561,130,76,,,2,,1,1,,63,,,,,,,,,0,7
Apatzingán,92,B,464,122,78,,,5,,3,0,,61,,,,,,,,,0,0
Apatzingán,92,C1,465,116,59,,,0,,0,0,,64,,,,,,,,,0,0
Apatzingán,93,B,688,118,102,,,3,,1,1,,61,,,,,,,,,0,5
Apatzingán,94,B,476,85,78,,,1,,0,0,,67,,,,,,,,,0,5
Apatzingán,94,C1,477,65,82,,,1,,0,0,,85,,,,,,,,,0,9
Apatzingán,95,B,379,73,92,,,1,,1,0,,37,,,,,,,,,0,2
Apatzingán,95,C1,380,99,62,,,0,,0,0,,36,,,,,,,,,0,4
Apatzingán,96,B,513,54,75,,,1,,1,1,,84,,,,,,,,,0,2
Apatzingán,96,C1,513,71,90,,,2,,1,0,,86,,,,,,,,,0,9
Apatzingán,97,B,418,83,80,,,1,,0,1,,54,,,,,,,,,0,3
Apatzingán,97,C1,419,88,63,,,0,,4,0,,56,,,,,,,,,0,5
Apatzingán,98,B,565,90,96,,,4,,2,0,,88,,,,,,,,,0,3
Apatzingán,98,C1,566,86,94,,,5,,2,0,,87,,,,,,,,,0,4
Apatzingán,99,B,602,66,76,,,1,,5,1,,85,,,,,,,,,0,4
Apatzingán,99,C1,602,67,70,,,3,,2,0,,102,,,,,,,,,0,8
Apatzingán,100,B,380,67,69,,,0,,3,1,,48,,,,,,,,,0,3
Apatzingán,100,C1,381,51,56,,,1,,3,2,,49,,,,,,,,,0,3
Apatzingán,101,B,519,67,113,,,2,,0,0,,74,,,,,,,,,0,2
Apatzingán,101,C1,520,75,98,,,3,,4,0,,52,,,,,,,,,0,7
Apatzingán,101,C2,520,80,94,,,2,,1,1,,79,,,,,,,,,0,11
Apatzingán,102,B,387,82,49,,,1,,0,0,,46,,,,,,,,,0,2
Apatzingán,102,C1,388,71,40,,,3,,2,0,,51,,,,,,,,,0,5
Apatzingán,103,B,702,101,54,,,3,,1,2,,170,,,,,,,,,1,6
Apatzingán,104,B,590,51,86,,,4,,4,0,,93,,,,,,,,,0,7
Apatzingán,104,C1,590,51,89,,,2,,0,0,,108,,,,,,,,,0,7
Apatzingán,105,B,726,98,83,,,2,,2,1,,91,,,,,,,,,0,11
Apatzingán,105,C1,726,76,83,,,6,,1,0,,119,,,,,,,,,0,9
Apatzingán,105,C2,727,105,74,,,2,,1,0,,121,,,,,,,,,1,9
Apatzingán,106,B,514,55,78,,,1,,3,1,,69,,,,,,,,,0,3
Apatzingán,106,C1,514,75,69,,,2,,1,0,,74,,,,,,,,,0,9
Apatzingán,107,B,459,65,44,,,1,,3,0,,94,,,,,,,,,0,10
Apatzingán,107,C1,460,82,64,,,2,,1,2,,67,,,,,,,,,0,3
Apatzingán,108,B,551,63,62,,,1,,0,0,,90,,,,,,,,,0,6
Apatzingán,108,C1,551,64,69,,,3,,2,1,,76,,,,,,,,,0,4
Apatzingán,108,C2,551,51,75,,,4,,4,2,,91,,,,,,,,,0,9
Apatzingán,109,B,563,72,82,,,4,,1,0,,93,,,,,,,,,0,6
Apatzingán,109,C1,563,67,96,,,3,,2,1,,88,,,,,,,,,0,6
Apatzingán,109,C2,564,85,72,,,4,,2,0,,79,,,,,,,,,0,13
Apatzingán,110,B,699,65,93,,,2,,1,3,,139,,,,,,,,,0,10
Apatzingán,110,C1,699,77,72,,,3,,1,2,,126,,,,,,,,,0,6
Apatzingán,111,B,692,142,114,,,3,,5,1,,90,,,,,,,,,0,6
Apatzingán,111,C1,693,136,113,,,2,,3,0,,104,,,,,,,,,0,7
Apatzingán,112,B,626,81,67,,,4,,2,1,,108,,,,,,,,,0,5
Apatzingán,112,C1,626,77,88,,,3,,3,1,,93,,,,,,,,,0,5
Apatzingán,112,C2,626,72,76,,,4,,3,0,,75,,,,,,,,,0,11
Apatzingán,113,B,626,93,69,,,3,,4,0,,68,,,,,,,,,0,10
Apatzingán,113,C1,626,104,90,,,4,,0,2,,54,,,,,,,,,0,5
Apatzingán,113,C2,626,91,98,,,4,,1,0,,56,,,,,,,,,0,7
Apatzingán,113,C3,626,72,83,,,6,,2,0,,62,,,,,,,,,0,7
Apatzingán,113,C4,626,75,94,,,6,,4,0,,76,,,,,,,,,0,10
Apatzingán,113,E1,611,40,57,,,4,,1,0,,122,,,,,,,,,1,4
Apatzingán,114,B,464,53,20,,,1,,1,3,,90,,,,,,,,,0,6
Apatzingán,114,C1,465,83,31,,,4,,2,0,,95,,,,,,,,,0,15
Apatzingán,115,B,563,187,40,,,2,,0,0,,72,,,,,,,,,0,5
Apatzingán,115,C1,564,136,46,,,0,,0,0,,84,,,,,,,,,0,18
Apatzingán,116,B,435,53,20,,,2,,1,0,,127,,,,,,,,,0,6
Apatzingán,116,C1,435,56,13,,,2,,2,0,,146,,,,,,,,,0,7
Apatzingán,117,B,464,45,22,,,0,,3,0,,147,,,,,,,,,0,7
Apatzingán,117,C1,465,44,23,,,0,,2,0,,147,,,,,,,,,0,10
Apatzingán,118,B,654,61,78,,,4,,1,0,,110,,,,,,,,,0,6
Apatzingán,119,B,503,49,45,,,2,,7,0,,87,,,,,,,,,0,8
Apatzingán,119,C1,503,76,30,,,1,,5,1,,79,,,,,,,,,1,6
Apatzingán,119,C2,504,67,31,,,5,,8,0,,78,,,,,,,,,0,0
Apatzingán,120,B,455,39,48,,,0,,0,0,,53,,,,,,,,,0,9
Apatzingán,120,C1,456,47,45,,,1,,2,0,,61,,,,,,,,,0,4
Apatzingán,120,E1,346,70,19,,,1,,0,0,,93,,,,,,,,,0,6
Apatzingán,121,B,493,74,37,,,0,,0,1,,83,,,,,,,,,0,7
Apatzingán,121,C1,493,54,28,,,0,,0,0,,78,,,,,,,,,0,4
Apatzingán,122,B,390,24,93,,,2,,0,0,,71,,,,,,,,,0,6
Apatzingán,122,C1,390,15,92,,,3,,1,0,,54,,,,,,,,,0,5
Apatzingán,123,B,244,7,85,,,0,,0,0,,12,,,,,,,,,0,2
Apatzingán,124,B,635,98,89,,,2,,0,0,,70,,,,,,,,,0,10
Apatzingán,125,B,580,84,86,,,4,,5,2,,86,,,,,,,,,0,7
Apatzingán,125,E1,339,59,18,,,0,,0,0,,57,,,,,,,,,0,4
Apatzingán,126,B,560,60,17,,,1,,0,0,,159,,,,,,,,,0,7
Apatzingán,127,B,328,46,65,,,0,,0,0,,60,,,,,,,,,0,5
Apatzingán,127,E1,272,81,28,,,1,,0,0,,29,,,,,,,,,0,5
Apatzingán,128,B,642,51,34,,,1,,0,1,,76,,,,,,,,,0,1
Apatzingán,129,B,593,136,36,,,3,,0,0,,68,,,,,,,,,0,11
Apatzingán,129,E1,239,15,23,,,1,,0,0,,76,,,,,,,,,0,2
Apatzingán,130,B,288,16,13,,,1,,0,0,,43,,,,,,,,,0,3
Apatzingán,131,B,197,7,26,,,0,,0,0,,29,,,,,,,,,0,3
Apatzingán,2660,B,374,49,80,,,2,,3,0,,38,,,,,,,,,0,5
Apatzingán,2661,B,365,47,67,,,9,,0,0,,124,,,,,,,,,0,1
Apatzingán,2662,B,562,39,147,,,1,,0,1,,66,,,,,,,,,0,10
Apatzingán,2663,B,177,29,6,,,1,,0,0,,46,,,,,,,,,0,1
Apatzingán,2664,B,243,44,78,,,0,,1,0,,16,,,,,,,,,0,1
Apatzingán,2665,B,365,51,68,,,1,,1,0,,29,,,,,,,,,3,9
Aporo,132,B,494,29,156,,,,,,,,160,,,,,,,,,0,1
Aporo,132,C1,494,24,161,,,,,,,,133,,,,,,,,,0,4
Aporo,133,B,417,35,127,,,,,,,,138,,,,,,,,,0,6
Aporo,133,C1,417,40,135,,,,,,,,82,,,,,,,,,0,5
Aporo,134,B,225,3,58,,,,,,,,96,,,,,,,,,0,1
Aporo,135,B,306,3,109,,,,,,,,130,,,,,,,,,0,13
Aquila,136,B,406,40,159,,,,,,,,80,,,,,,,,,0,3
Aquila,136,E1,426,8,106,,,,,,,,122,,,,,,,,,0,12
Aquila,137,B,569,22,210,,,,,,,,105,,,,,,,,,0,8
Aquila,137,C1,569,22,202,,,,,,,,117,,,,,,,,,0,5
Aquila,137,C2,570,14,204,,,,,,,,138,,,,,,,,,0,0
Aquila,138,B,332,20,112,,,,,,,,91,,,,,,,,,0,2
Aquila,138,E1,553,92,149,,,,,,,,103,,,,,,,,,0,3
Aquila,139,B,714,9,200,,,,,,,,226,,,,,,,,,0,5
Aquila,139,C1,715,11,217,,,,,,,,245,,,,,,,,,0,4
Aquila,139,E1,137,9,50,,,,,,,,29,,,,,,,,,0,0
Aquila,139,E2,247,70,50,,,,,,,,59,,,,,,,,,0,3
Aquila,140,B,743,85,201,,,,,,,,242,,,,,,,,,0,6
Aquila,140,C1,743,109,207,,,,,,,,220,,,,,,,,,0,7
Aquila,141,B,468,25,127,,,,,,,,154,,,,,,,,,0,10
Aquila,141,C1,468,23,143,,,,,,,,150,,,,,,,,,0,8
Aquila,142,B,620,8,287,,,,,,,,216,,,,,,,,,0,8
Aquila,142,E1,381,45,95,,,,,,,,157,,,,,,,,,0,2
Aquila,142,E2,688,49,260,,,,,,,,247,,,,,,,,,0,5
Aquila,143,B,520,8,136,,,,,,,,185,,,,,,,,,0,4
Aquila,143,C1,520,14,210,,,,,,,,121,,,,,,,,,0,2
Aquila,144,B,533,,,,,,,,,,,,,,,,,,,,
Aquila,145,B,386,16,74,,,,,,,,114,,,,,,,,,0,9
Aquila,145,C1,387,20,65,,,,,,,,137,,,,,,,,,0,5
Aquila,145,E1,349,17,112,,,,,,,,110,,,,,,,,,0,10
Aquila,145,E2,175,49,22,,,,,,,,18,,,,,,,,,0,0
Aquila,146,B,527,128,96,,,,,,,,103,,,,,,,,,0,6
Aquila,147,B,449,110,105,,,,,,,,132,,,,,,,,,0,1
Aquila,147,C1,450,91,129,,,,,,,,132,,,,,,,,,0,5
Aquila,147,E1,686,103,169,,,,,,,,249,,,,,,,,,0,15
Aquila,148,B,297,29,72,,,,,,,,103,,,,,,,,,0,1
Aquila,148,E1,533,132,167,,,,,,,,120,,,,,,,,,0,0
Ario,149,B,571,124,73,,32,6,,9,,,,69,,,1,,,,,,5
Ario,149,C1,571,125,56,,42,3,,6,,,,49,,,1,,,,,,12
Ario,150,B,406,106,41,,28,3,,4,,,,43,,,,,,,,,3
Ario,150,C1,407,104,33,,26,4,,4,,,,50,,,3,,,,,,12
Ario,151,B,542,97,89,,44,,,5,,,,37,,,3,,,,,,10
Ario,151,C1,543,116,79,,36,2,,5,,,,40,,,2,,,,,,11
Ario,151,C2,543,129,58,,36,1,,2,,,,57,,,,,,,,,5
Ario,152,B,694,139,90,,93,2,,21,,,,72,,,3,,,,,,13
Ario,153,B,541,104,100,,43,3,,11,,,,51,,,,,,,,,7
Ario,153,C1,542,106,80,,43,1,,12,,,,44,,,2,,,,,,4
Ario,154,B,664,153,97,,50,1,,10,,,,44,,,1,,,,,,7
Ario,154,C1,665,148,74,,43,3,,22,,,,51,,,1,,,,,,10
Ario,154,C2,665,165,62,,31,4,,12,,,,52,,,4,,,,,,10
Ario,155,B,554,135,65,,40,3,,5,,,,55,,,1,,,,,,7
Ario,155,C1,554,149,71,,50,5,,4,,,,34,,,,,,,,,6
Ario,155,C2,554,129,70,,47,,,6,,,,42,,,,,,,,,5
Ario,156,B,597,122,83,,34,1,,5,,,,58,,,,,,,,,10
Ario,156,C1,597,129,72,,39,2,,10,,,,53,,,,,,,,1,9
Ario,156,C2,597,108,86,,40,1,,7,,,,56,,,3,,,,,,13
Ario,157,B,580,113,73,,46,5,,4,,,,31,,,2,,,,,,10
Ario,157,C1,580,88,55,,34,3,,1,,,,37,,,2,,,,,,12
Ario,158,B,515,102,83,,7,4,,3,,,,26,,,,,,,,,9
Ario,158,C1,516,101,75,,4,5,,3,,,,31,,,,,,,,,8
Ario,159,B,684,155,203,,17,2,,5,,,,34,,,,,,,,,11
