"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","PRI-VERDE-NUEVA ALIANZA","PRI-VERDE","PRI-NUEVA ALIANZA","VERDE-NUEVA ALIANZA","ALEJANDRO AHUED SARQUIS","ANDRÉS GILDARDO OCADIZ IBARRA","ENRIQUE PACHECO LOPEZ","NO REGISTRADO","NULO"
"Tulancingo De Bravo","1524","BASICA","33","33","3","0","3","74","7","14","8","0","0","0","0","7","6","7","0","2"
"Tulancingo De Bravo","1524","CONTIGUA 1","40","59","2","2","1","38","4","15","20","3","0","0","0","11","12","4","0","10"
"Tulancingo De Bravo","1525","BASICA","38","66","3","11","1","36","7","15","20","0","1","0","0","9","7","4","0","6"
"Tulancingo De Bravo","1525","CONTIGUA 1","45","82","14","8","3","32","2","24","21","2","0","0","0","11","21","3","0","5"
"Tulancingo De Bravo","1525","CONTIGUA 2","45","215","6","5","4","70","8","22","13","2","1","1","0","18","2","12","0","6"
"Tulancingo De Bravo","1526","BASICA","32","103","9","4","1","69","8","27","21","0","1","0","0","17","8","8","0","10"
"Tulancingo De Bravo","1526","CONTIGUA 1","44","82","14","7","6","35","7","14","24","0","0","0","0","10","10","13","0","0"
"Tulancingo De Bravo","1526","CONTIGUA 2","52","87","3","9","2","40","12","20","15","3","1","0","0","17","15","7","0","10"
"Tulancingo De Bravo","1527","BASICA","36","88","5","2","2","19","2","10","11","0","0","1","0","11","16","6","0","9"
"Tulancingo De Bravo","1527","CONTIGUA 1","43","70","2","3","3","22","8","19","16","0","0","0","0","4","14","6","0","8"
"Tulancingo De Bravo","1528","BASICA","66","86","14","3","3","41","5","20","28","0","1","0","0","9","17","4","0","16"
"Tulancingo De Bravo","1528","CONTIGUA 1","49","88","7","5","5","70","9","25","22","0","1","0","0","19","6","36","0","11"
"Tulancingo De Bravo","1528","CONTIGUA 2","51","105","7","14","4","64","5","16","27","2","0","1","0","23","6","25","0","8"
"Tulancingo De Bravo","1528","CONTIGUA 3","52","87","3","9","2","40","19","20","15","3","1","0","0","17","7","35","0","10"
"Tulancingo De Bravo","1528","CONTIGUA 4","40","100","9","4","3","56","2","22","13","2","0","0","0","20","1","20","0","9"
"Tulancingo De Bravo","1528","CONTIGUA 5","42","85","22","7","1","67","4","22","17","3","2","0","0","25","23","4","0","11"
"Tulancingo De Bravo","1529","BASICA","56","81","17","3","1","63","19","16","17","2","0","1","0","17","9","9","2","10"
"Tulancingo De Bravo","1529","CONTIGUA 1","43","114","17","7","3","45","7","17","13","1","0","1","0","14","28","6","0","0"
"Tulancingo De Bravo","1529","CONTIGUA 2","32","100","10","5","4","47","8","21","20","1","0","0","0","18","11","23","0","9"
"Tulancingo De Bravo","1529","CONTIGUA 3","52","83","9","9","1","54","3","20","12","1","1","0","1","23","16","5","0","6"
"Tulancingo De Bravo","1530","BASICA","40","83","12","0","0","55","4","17","21","0","2","0","0","37","7","20","0","13"
"Tulancingo De Bravo","1530","CONTIGUA 1","40","100","9","4","3","56","2","22","13","2","0","0","0","20","20","1","0","9"
"Tulancingo De Bravo","1530","CONTIGUA 2","42","85","12","7","1","67","4","22","17","3","2","0","0","25","4","23","0","11"
"Tulancingo De Bravo","1531","BASICA","38","63","3","9","3","38","3","18","12","1","0","0","0","5","3","12","0","4"
"Tulancingo De Bravo","1531","CONTIGUA 1","34","73","7","3","3","46","4","11","5","0","0","0","1","11","5","7","0","6"
"Tulancingo De Bravo","1532","BASICA","45","77","14","5","4","47","5","19","13","1","0","0","0","11","12","8","0","11"
"Tulancingo De Bravo","1532","CONTIGUA 1","43","80","4","4","4","32","19","20","17","1","0","0","0","14","12","6","0","12"
"Tulancingo De Bravo","1533","BASICA","69","114","7","8","1","42","12","16","18","1","0","0","0","9","8","2","0","8"
"Tulancingo De Bravo","1533","CONTIGUA 1","49","115","13","9","2","35","14","15","4","1","1","0","0","15","13","6","0","8"
"Tulancingo De Bravo","1534","BASICA","60","86","14","7","7","39","12","21","16","0","0","0","1","18","12","5","0","5"
"Tulancingo De Bravo","1534","CONTIGUA 1","38","63","3","9","3","38","3","18","12","1","0","0","0","5","12","3","0","4"
"Tulancingo De Bravo","1535","BASICA","34","73","7","3","3","46","4","11","5","0","0","0","1","11","7","5","0","6"
"Tulancingo De Bravo","1535","CONTIGUA 1","49","120","7","8","2","47","11","17","14","0","1","0","0","11","18","8","0","9"
"Tulancingo De Bravo","1535","CONTIGUA 2","46","108","9","3","0","43","10","12","9","3","0","0","0","15","14","5","3","13"
"Tulancingo De Bravo","1536","BASICA","48","87","11","5","6","77","7","10","18","1","0","0","0","12","13","2","0","8"
"Tulancingo De Bravo","1536","CONTIGUA 1","52","92","5","2","4","78","2","18","15","1","1","0","0","22","15","3","0","6"
"Tulancingo De Bravo","1536","EXTRAORDINARIA 1","57","111","3","10","3","90","10","13","10","2","0","0","0","15","29","3","2","12"
"Tulancingo De Bravo","1536","EXTRAORDINARIA 1 CONTIGUA 1","48","147","6","10","2","79","5","19","11","4","1","0","0","24","27","2","0","9"
"Tulancingo De Bravo","1536","EXTRAORDINARIA 1 CONTIGUA 2","74","82","7","1","1","83","6","17","7","0","3","0","0","17","21","3","0","9"
"Tulancingo De Bravo","1536","EXTRAORDINARIA 1 CONTIGUA 3","61","78","4","8","3","62","9","4","16","1","1","0","0","20","15","2","0","8"
"Tulancingo De Bravo","1537","BASICA","56","98","4","6","0","77","0","11","13","1","1","0","0","17","29","3","0","7"
"Tulancingo De Bravo","1537","CONTIGUA 1","46","113","8","6","3","66","12","18","16","3","1","0","0","13","20","0","0","10"
"Tulancingo De Bravo","1537","CONTIGUA 2","54","98","7","8","3","90","13","9","15","1","0","1","0","12","1","24","0","4"
"Tulancingo De Bravo","1538","BASICA","65","90","17","3","1","99","25","4","27","1","0","0","1","15","13","5","0","4"
"Tulancingo De Bravo","1538","CONTIGUA 1","57","98","13","6","3","98","22","31","22","0","1","0","0","26","26","4","0","11"
"Tulancingo De Bravo","1538","CONTIGUA 2","71","106","7","7","4","71","30","34","17","0","0","0","0","21","30","6","0","7"
"Tulancingo De Bravo","1538","CONTIGUA 3","76","96","9","5","0","81","16","40","24","1","0","0","0","29","14","7","1","7"
"Tulancingo De Bravo","1539","BASICA","44","115","6","12","2","107","8","15","5","1","0","0","0","35","25","0","1","8"
"Tulancingo De Bravo","1539","CONTIGUA 1","51","151","5","9","2","88","20","22","13","0","0","0","0","37","3","3","0","9"
"Tulancingo De Bravo","1539","CONTIGUA 2","40","107","6","6","4","110","10","15","14","1","1","0","0","34","19","5","1","8"
"Tulancingo De Bravo","1539","CONTIGUA 3","41","104","7","2","9","86","9","19","8","0","0","0","0","19","20","9","0","7"
"Tulancingo De Bravo","1539","CONTIGUA 4","51","112","10","5","3","85","8","18","10","2","0","0","0","14","8","4","0","6"
"Tulancingo De Bravo","1539","CONTIGUA 5","47","72","8","7","2","39","5","15","11","1","1","1","0","22","8","3","0","10"
"Tulancingo De Bravo","1540","BASICA","44","101","6","5","5","83","7","23","13","1","1","0","0","12","17","13","0","8"
"Tulancingo De Bravo","1541","BASICA","49","98","9","10","2","83","12","17","10","2","0","0","0","23","4","3","0","2"
"Tulancingo De Bravo","1542","BASICA","43","83","6","3","7","44","3","18","13","0","0","0","0","27","6","13","0","0"
"Tulancingo De Bravo","1542","CONTIGUA 1","52","70","6","6","6","43","10","16","17","2","0","1","0","19","7","3","1","7"
"Tulancingo De Bravo","1543","BASICA","51","85","11","9","5","39","12","18","14","2","2","0","0","15","3","9","0","13"
"Tulancingo De Bravo","1543","CONTIGUA 1","52","84","14","5","3","43","10","14","5","0","1","1","0","31","5","10","0","0"
"Tulancingo De Bravo","1543","CONTIGUA 2","57","77","9","5","2","31","6","17","9","1","2","0","0","16","4","9","0","9"
"Tulancingo De Bravo","1544","BASICA","16","75","4","5","4","21","12","3","145","0","1","0","0","1","3","1","0","18"
"Tulancingo De Bravo","1544","CONTIGUA 1","63","108","8","11","3","88","6","12","11","1","2","0","0","20","4","7","0","10"
"Tulancingo De Bravo","1544","CONTIGUA 2","39","94","1","3","3","94","4","8","98","0","0","1","0","6","3","2","0","10"
"Tulancingo De Bravo","1544","CONTIGUA 3","66","70","1","2","5","34","7","2","83","0","0","1","0","4","0","0","0","12"
"Tulancingo De Bravo","1544","CONTIGUA 4","54","57","0","0","0","20","0","1","103","0","0","0","0","4","0","1","0","54"
"Tulancingo De Bravo","1545","BASICA","13","65","3","6","5","111","5","5","149","1","0","0","0","2","3","2","0","17"
"Tulancingo De Bravo","1545","CONTIGUA 1","16","62","1","2","2","17","3","8","187","1","0","0","0","3","2","2","0","12"
"Tulancingo De Bravo","1545","CONTIGUA 2","9","71","1","5","2","96","23","12","28","0","0","0","0","3","4","4","0","7"
"Tulancingo De Bravo","1545","CONTIGUA 3","16","75","4","5","4","21","12","3","145","0","1","0","0","1","1","3","0","18"
"Tulancingo De Bravo","1546","BASICA","15","58","10","1","1","23","4","1","142","1","2","0","0","2","0","0","0","0"
"Tulancingo De Bravo","1547","BASICA","19","62","9","4","2","33","5","6","154","1","1","1","0","1","3","1","0","26"
"Tulancingo De Bravo","1548","BASICA","15","64","1","0","0","37","6","6","179","0","0","1","0","4","4","3","0","13"
"Tulancingo De Bravo","1548","CONTIGUA 1","21","53","7","6","3","29","6","4","149","3","0","0","0","6","0","0","0","12"
"Tulancingo De Bravo","1548","CONTIGUA 2","18","81","10","7","2","81","10","14","31","2","0","0","0","3","5","2","0","7"
"Tulancingo De Bravo","1548","CONTIGUA 3","20","83","2","6","5","103","11","12","29","2","1","0","0","1","4","1","0","19"
"Tulancingo De Bravo","1548","CONTIGUA 4","9","71","1","5","2","96","23","12","28","0","0","0","0","3","4","4","0","7"
"Tulancingo De Bravo","1548","CONTIGUA 5","47","69","9","12","4","103","13","17","12","0","0","1","0","16","4","14","0","6"
"Tulancingo De Bravo","1549","BASICA","38","72","1","12","10","149","8","6","21","0","2","0","0","6","1","5","0","12"
"Tulancingo De Bravo","1549","CONTIGUA 1","28","55","4","2","0","31","2","10","3","1","0","0","0","7","1","1","0","6"
"Tulancingo De Bravo","1549","CONTIGUA 2","50","96","1","8","5","79","9","21","11","1","5","0","0","25","10","2","0","9"
"Tulancingo De Bravo","1549","CONTIGUA 3","53","96","5","2","1","91","11","8","15","1","1","0","0","19","14","2","0","9"
"Tulancingo De Bravo","1549","CONTIGUA 4","41","99","7","4","2","100","15","16","16","0","1","0","0","12","16","2","1","7"
"Tulancingo De Bravo","1550","BASICA","47","100","6","10","10","76","7","17","28","0","0","0","0","15","10","4","0","6"
"Tulancingo De Bravo","1550","CONTIGUA 1","42","201","5","6","1","87","16","19","21","0","0","0","0","20","10","11","0","9"
"Tulancingo De Bravo","1551","BASICA","47","69","9","12","4","103","13","17","12","0","0","1","0","16","14","4","0","6"
"Tulancingo De Bravo","1551","CONTIGUA 1","40","97","6","5","3","66","4","30","13","0","1","0","0","17","7","4","2","5"
"Tulancingo De Bravo","1551","CONTIGUA 2","45","106","0","3","3","64","4","15","4","1","0","0","0","11","9","5","0","7"
"Tulancingo De Bravo","1552","BASICA","41","104","7","5","2","68","5","13","13","0","0","0","0","16","7","5","0","6"
"Tulancingo De Bravo","1553","BASICA","58","78","2","16","5","48","10","9","4","0","0","0","0","5","5","20","3","9"
"Tulancingo De Bravo","1553","CONTIGUA 1","55","85","3","2","3","54","8","14","8","0","0","0","0","5","6","2","0","9"
"Tulancingo De Bravo","1554","BASICA","47","95","5","7","3","49","5","19","11","0","0","1","1","13","12","6","0","10"
"Tulancingo De Bravo","1554","CONTIGUA 1","16","143","6","9","4","95","1","5","5","0","1","0","0","6","3","7","0","7"
"Tulancingo De Bravo","1554","CONTIGUA 2","21","107","4","7","5","85","5","7","6","1","0","0","0","5","4","1","0","16"
"Tulancingo De Bravo","1554","CONTIGUA 3","32","84","4","13","4","57","6","28","23","1","0","0","1","6","3","3","0","11"
"Tulancingo De Bravo","1554","CONTIGUA 4","31","115","9","6","0","75","2","15","18","0","0","0","0","8","4","0","0","6"
"Tulancingo De Bravo","1554","CONTIGUA 5","60","104","8","6","5","76","3","19","19","0","0","0","0","18","0","5","0","7"
"Tulancingo De Bravo","1554","CONTIGUA 6","67","73","6","3","4","49","1","3","9","0","0","0","0","15","4","2","0","0"
"Tulancingo De Bravo","1554","CONTIGUA 7","42","104","6","5","5","63","6","11","20","1","1","1","0","17","4","3","2","11"
"Tulancingo De Bravo","1554","CONTIGUA 8","53","89","7","16","6","66","7","8","3","0","0","0","0","0","0","8",NA,NA
"Tulancingo De Bravo","1555","BASICA","29","82","3","4","1","37","4","15","8","0","2","1","1","8","6","7","0","10"
"Tulancingo De Bravo","1555","CONTIGUA 1","39","85","3","2","0","43","7","15","12","0","1","0","0","11","2","4","0","5"
