ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NA,MORENA,ES,PAZ,MDZ,PP,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
32,ZACATECAS,42,SOMBRERETE,89,112,4283,7017,1319,744,934,393,594,5588,226,4394,45,66,163,184,21,9,138,72,8,36,,,,,,,26234,3,1154,27391,46783,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A42MR.jpg
32,ZACATECAS,43,SUSTICACAN,4,4,72,353,7,29,8,8,43,367,4,,,,0,1,0,0,3,5,1,2,,,,,,,903,1,28,932,1289,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A43MR.jpg
32,ZACATECAS,44,TABASCO,21,27,3559,2661,207,70,163,163,35,720,61,,15,,115,50,23,1,19,9,1,7,,,,,,,7879,0,279,8158,12535,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A44MR.jpg
32,ZACATECAS,45,TEPECHITLAN,19,21,510,1818,653,246,1,51,79,1076,40,8,,31,36,45,5,0,27,6,0,8,,,,,,,4639,0,103,4742,7011,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A45MR.jpg
32,ZACATECAS,46,TEPETONGO,20,20,83,1855,34,18,1648,16,30,98,8,10,,,3,2,0,0,1,0,0,0,,,,,,,3806,0,215,4021,6311,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A46MR.jpg
32,ZACATECAS,47,TEUL DE GONZALEZ,11,13,648,1046,24,13,738,14,29,288,8,16,,,5,3,1,0,5,1,0,0,,,,,,,2839,0,96,2935,4349,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A47MR.jpg
32,ZACATECAS,48,TLALTENANGO,36,48,5364,4398,182,255,149,70,96,1409,126,92,6,22,109,69,16,3,43,19,3,15,,,,,,,12446,3,448,12897,19994,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A48MR.jpg
32,ZACATECAS,49,VALPARAISO,66,74,1175,3688,3611,349,3193,199,174,3557,134,2,131,25,134,141,4,23,82,41,5,25,,,,,,,16691,4,566,17261,26866,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A49MR.jpg
32,ZACATECAS,50,VETAGRANDE,8,15,92,1014,31,1168,123,28,1811,1316,37,0,55,7,3,1,0,0,38,45,3,4,,,,,,,5776,4,156,5936,7667,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A50MR.jpg
32,ZACATECAS,51,VILLA DE COS,47,63,486,5724,1181,1502,1733,172,1339,4103,118,27,19,172,36,31,1,2,102,105,14,13,,,,,,,16880,2,593,17475,24913,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A51MR.jpg
32,ZACATECAS,52,VILLA GARCIA,16,25,253,2923,498,273,670,1695,101,2045,60,363,1,13,26,4,6,15,46,17,7,6,,,,,,,9553,4,293,9850,12626,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A52MR.jpg
32,ZACATECAS,53,VILLA GONZALEZ,12,19,163,2179,2274,103,,48,1309,303,23,,18,9,31,38,2,23,6,4,0,1,,,,,,,6534,3,379,6916,9855,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A53MR.jpg
32,ZACATECAS,54,VILLA HIDALGO,24,30,203,4043,3374,113,35,58,139,1479,41,25,34,12,33,62,0,13,18,6,3,9,,,,,,,9700,0,354,10054,13389,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A54MR.jpg
32,ZACATECAS,55,VILLANUEVA,50,60,783,4521,5762,344,122,119,664,3359,79,36,20,0,100,162,16,21,46,37,8,29,,,,,,,16228,5,564,16797,25131,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A55MR.jpg
32,ZACATECAS,56,ZACATECAS,111,201,8529,9992,1122,3216,8618,928,1230,30041,945,1919,630,481,118,82,27,3,450,252,30,116,891,,,,,,69620,101,1881,71602,108518,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A56MR.jpg
32,ZACATECAS,57,TRANCOSO,11,23,156,4448,1270,1220,733,65,101,595,49,117,26,11,35,23,8,10,40,72,7,3,,,,,,,8989,0,297,9286,12919,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A57MR.jpg
32,ZACATECAS,58,SANTA MARIA,7,7,697,566,70,11,,7,,127,4,2,,7,4,8,2,0,3,0,0,1,,,,,,,1509,0,39,1548,2338,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A58MR.jpg
