CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NA,MORENA,ES,PAZ,MDZ,PP,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,32,ZACATECAS,14,TLALTENANGO,1,APOZOL,13,1,24,84,5,3,143,2,0,61,0,0,0,,0,0,1,0,0,0,0,1,,,,,,,324,0,8,332,583
1,32,ZACATECAS,13,JALPA,2,APULCO,14,1,16,200,6,,7,10,113,,,,109,,2,0,0,0,,,,,,,,,,,463,0,26,489,709
1,32,ZACATECAS,13,JALPA,2,APULCO,15,1,17,161,2,,2,9,158,,,,116,,1,0,2,0,,,,,,,,,,,468,0,15,483,745
1,32,ZACATECAS,13,JALPA,2,APULCO,16,1,6,22,2,,5,5,36,,,,25,,0,0,0,0,,,,,,,,,,,101,0,10,111,204
1,32,ZACATECAS,13,JALPA,2,APULCO,17,2,2,229,16,,8,10,118,,,,352,,0,0,0,1,,,,,,,,,,,736,0,29,765,1132
1,32,ZACATECAS,13,JALPA,2,APULCO,18,1,3,130,8,,4,7,52,,,,202,,0,0,0,0,,,,,,,,,,,406,0,10,416,630
1,32,ZACATECAS,13,JALPA,2,APULCO,19,1,2,97,3,,4,2,14,,,,66,,0,0,0,0,,,,,,,,,,,188,0,5,193,314
1,32,ZACATECAS,13,JALPA,2,APULCO,20,1,13,126,1,,5,8,46,,,,75,,0,2,0,0,,,,,,,,,,,276,1,18,295,442
1,32,ZACATECAS,13,JALPA,2,APULCO,21,1,2,57,5,,2,1,11,,,,20,,1,0,0,0,,,,,,,,,,,99,0,6,105,167
1,32,ZACATECAS,14,TLALTENANGO,3,ATOLINGA,22,1,129,131,2,,190,1,,,,0,,,3,0,0,0,,,,,,,,,,,456,1,45,502,792
1,32,ZACATECAS,14,TLALTENANGO,3,ATOLINGA,23,1,49,41,3,,103,0,,,,0,,,0,0,0,0,,,,,,,,,,,196,0,30,226,349
1,32,ZACATECAS,14,TLALTENANGO,3,ATOLINGA,24,1,80,42,0,,126,1,,,,2,,,2,1,0,0,,,,,,,,,,,254,1,34,289,438
1,32,ZACATECAS,14,TLALTENANGO,3,ATOLINGA,26,1,52,44,0,,75,0,,,,0,,,1,1,0,0,,,,,,,,,,,173,0,30,203,309
1,32,ZACATECAS,14,TLALTENANGO,3,ATOLINGA,27,1,54,18,6,,45,0,,,,0,,,0,0,0,0,,,,,,,,,,,123,1,7,131,177
1,32,ZACATECAS,14,TLALTENANGO,3,ATOLINGA,28,1,29,29,2,,32,3,,,,0,,,0,1,0,0,,,,,,,,,,,96,0,2,98,131
1,32,ZACATECAS,14,TLALTENANGO,3,ATOLINGA,29,1,17,11,0,,46,2,,,,0,,,0,1,0,0,,,,,,,,,,,77,0,6,83,110
1,32,ZACATECAS,14,TLALTENANGO,3,ATOLINGA,30,1,15,12,4,,39,0,,,,0,,,0,0,0,0,,,,,,,,,,,70,0,6,76,107
1,32,ZACATECAS,14,TLALTENANGO,4,BENITO JUAREZ,31,1,115,55,2,9,,1,9,85,4,1,,,0,2,1,0,2,0,0,0,,,,,,,286,0,13,299,395
1,32,ZACATECAS,14,TLALTENANGO,4,BENITO JUAREZ,32,1,169,74,6,11,,4,14,61,5,1,,,0,2,1,0,1,0,0,1,,,,,,,350,0,10,360,500
1,32,ZACATECAS,14,TLALTENANGO,4,BENITO JUAREZ,33,1,125,67,0,6,,0,10,48,7,0,,,0,0,0,0,0,1,0,0,,,,,,,264,0,1,265,387
1,32,ZACATECAS,14,TLALTENANGO,4,BENITO JUAREZ,34,1,164,56,3,7,,1,16,57,10,0,,,2,0,0,0,0,1,0,2,,,,,,,319,0,2,321,450
1,32,ZACATECAS,14,TLALTENANGO,4,BENITO JUAREZ,35,1,160,99,10,6,,1,25,68,3,1,,,1,3,0,0,3,0,0,0,,,,,,,380,0,5,385,585
1,32,ZACATECAS,14,TLALTENANGO,4,BENITO JUAREZ,36,1,143,53,3,5,,1,8,37,4,0,,,0,1,0,0,0,1,0,0,,,,,,,256,0,3,259,374
1,32,ZACATECAS,14,TLALTENANGO,4,BENITO JUAREZ,37,1,98,27,0,2,,0,6,25,1,1,,,1,0,1,0,1,0,0,0,,,,,,,163,0,5,168,246
1,32,ZACATECAS,14,TLALTENANGO,4,BENITO JUAREZ,38,1,83,109,1,4,,0,2,28,12,0,,,0,1,0,0,1,1,1,2,,,,,,,245,0,3,248,350
1,32,ZACATECAS,14,TLALTENANGO,4,BENITO JUAREZ,39,1,93,40,1,2,,1,4,17,2,0,,,0,2,0,0,1,1,0,0,,,,,,,164,0,0,164,191
1,32,ZACATECAS,2,ZACATECAS,5,CALERA,40,5,926,234,41,40,153,20,15,330,10,81,2,41,28,8,2,0,4,3,1,2,,,,,,,1941,0,61,2002,3318
1,32,ZACATECAS,2,ZACATECAS,5,CALERA,41,3,557,127,40,14,101,5,2,205,5,79,3,13,9,10,0,0,3,0,0,1,,,,,,,1174,1,22,1197,1901
1,32,ZACATECAS,2,ZACATECAS,5,CALERA,42,1,146,62,7,11,24,4,1,63,4,25,2,7,2,2,0,0,1,0,0,0,,,,,,,361,0,13,374,583
1,32,ZACATECAS,2,ZACATECAS,5,CALERA,43,2,287,77,7,7,35,6,15,67,3,16,1,6,10,3,1,0,0,1,0,0,,,,,,,542,0,14,556,840
1,32,ZACATECAS,2,ZACATECAS,5,CALERA,44,2,280,140,6,15,29,7,10,98,7,18,0,13,2,4,0,0,2,3,1,0,,,,,,,635,0,24,659,1160
1,32,ZACATECAS,2,ZACATECAS,5,CALERA,45,2,268,64,9,5,38,2,3,86,9,14,2,5,3,3,1,0,2,1,0,0,,,,,,,515,0,10,525,857
1,32,ZACATECAS,2,ZACATECAS,5,CALERA,46,2,251,65,16,9,29,1,4,60,3,20,0,6,5,1,0,0,1,0,0,0,,,,,,,471,0,14,485,826
1,32,ZACATECAS,2,ZACATECAS,5,CALERA,47,2,244,57,9,7,71,6,2,95,0,31,1,14,10,1,0,0,3,2,1,0,,,,,,,554,0,19,573,804
1,32,ZACATECAS,2,ZACATECAS,5,CALERA,48,6,980,319,46,36,133,33,33,368,18,77,3,81,9,14,3,0,9,3,0,1,,,,,,,2166,0,69,2235,3765
1,32,ZACATECAS,2,ZACATECAS,5,CALERA,49,1,174,52,7,6,29,4,2,46,3,17,0,2,5,1,0,0,0,1,0,0,,,,,,,349,0,11,360,574
1,32,ZACATECAS,2,ZACATECAS,5,CALERA,50,3,334,76,15,16,87,6,3,95,9,39,0,5,4,2,0,0,2,1,0,1,,,,,,,695,0,19,714,1062
1,32,ZACATECAS,2,ZACATECAS,5,CALERA,51,2,267,75,12,8,55,10,3,80,1,15,1,5,2,5,1,0,1,0,0,0,,,,,,,541,1,9,551,834
1,32,ZACATECAS,2,ZACATECAS,5,CALERA,52,1,204,68,6,10,14,5,5,43,4,5,1,6,1,5,0,0,0,1,0,0,,,,,,,378,0,14,392,605
1,32,ZACATECAS,2,ZACATECAS,5,CALERA,53,3,614,131,38,22,67,13,8,195,21,19,0,38,10,16,2,1,8,6,0,3,,,,,,,1212,1,36,1249,2061
1,32,ZACATECAS,2,ZACATECAS,5,CALERA,54,5,907,387,48,22,72,28,10,245,11,44,3,79,18,17,5,1,8,2,1,1,,,,,,,1909,0,49,1958,3331
1,32,ZACATECAS,2,ZACATECAS,5,CALERA,55,2,428,167,14,14,34,18,6,109,6,24,0,16,6,4,0,1,2,1,0,1,,,,,,,851,0,21,872,1400
1,32,ZACATECAS,2,ZACATECAS,5,CALERA,56,2,459,189,85,21,23,15,5,89,5,12,1,19,26,17,2,0,6,2,1,2,,,,,,,979,0,36,1015,1469
1,32,ZACATECAS,2,ZACATECAS,5,CALERA,57,2,337,225,79,19,49,10,18,76,8,23,3,10,20,17,1,0,2,3,0,2,,,,,,,902,0,33,935,1496
1,32,ZACATECAS,2,ZACATECAS,5,CALERA,58,2,185,113,31,13,11,6,3,84,3,7,1,9,5,9,1,0,4,1,0,0,,,,,,,486,0,17,503,821
1,32,ZACATECAS,2,ZACATECAS,5,CALERA,59,1,140,34,13,11,18,1,1,87,2,6,1,1,1,0,0,0,1,1,0,1,,,,,,,319,0,12,331,527
1,32,ZACATECAS,2,ZACATECAS,5,CALERA,60,1,31,34,5,2,7,1,2,2,1,0,0,0,0,1,0,0,0,0,0,1,,,,,,,87,0,8,95,126
1,32,ZACATECAS,16,RIO GRANDE,6,CAÑITAS ,61,2,8,104,5,5,205,4,134,23,8,56,0,14,0,1,0,0,1,0,0,0,,,,,,,568,0,32,600,822
1,32,ZACATECAS,16,RIO GRANDE,6,CAÑITAS ,62,1,9,96,2,3,119,2,117,23,1,41,1,25,0,0,0,0,0,0,0,0,,,,,,,439,0,21,460,634
1,32,ZACATECAS,16,RIO GRANDE,6,CAÑITAS ,63,1,11,111,3,1,150,1,124,9,2,55,1,9,0,1,0,0,0,0,0,0,,,,,,,478,0,27,505,729
1,32,ZACATECAS,16,RIO GRANDE,6,CAÑITAS ,64,2,8,91,1,6,232,1,186,22,4,50,1,17,0,0,0,0,0,4,0,0,,,,,,,623,0,40,663,923
1,32,ZACATECAS,16,RIO GRANDE,6,CAÑITAS ,65,1,1,83,0,1,125,1,39,14,1,40,0,11,0,0,0,0,0,0,0,0,,,,,,,316,0,10,326,439
1,32,ZACATECAS,16,RIO GRANDE,6,CAÑITAS ,66,1,3,105,1,3,186,2,132,22,2,40,0,7,0,0,0,0,0,0,0,0,,,,,,,503,0,23,526,692
1,32,ZACATECAS,16,RIO GRANDE,6,CAÑITAS ,67,1,4,57,1,2,113,2,73,6,1,10,0,3,0,0,0,0,0,0,0,0,,,,,,,272,0,13,285,384
1,32,ZACATECAS,16,RIO GRANDE,6,CAÑITAS ,68,1,0,11,1,0,33,1,76,7,4,6,0,7,0,0,0,0,0,0,0,1,,,,,,,147,0,13,160,214
1,32,ZACATECAS,16,RIO GRANDE,6,CAÑITAS ,69,1,8,120,1,4,140,2,220,27,2,11,0,6,0,0,0,0,0,1,0,0,,,,,,,542,0,15,557,745
1,32,ZACATECAS,16,RIO GRANDE,6,CAÑITAS ,70,1,0,76,1,2,126,2,53,6,5,10,1,1,0,1,0,0,0,0,0,1,,,,,,,285,0,14,299,420
1,32,ZACATECAS,12,VILLA DE COS,7,CONCEPCION DEL ORO,73,1,3,101,1,4,74,3,209,32,0,5,,1,0,0,1,0,1,0,0,0,,,,,,,435,0,20,455,658
1,32,ZACATECAS,12,VILLA DE COS,7,CONCEPCION DEL ORO,74,1,3,90,4,0,135,2,93,11,0,3,,2,0,0,0,0,1,0,0,0,,,,,,,344,0,13,357,504
1,32,ZACATECAS,12,VILLA DE COS,7,CONCEPCION DEL ORO,75,1,5,100,6,4,54,2,101,38,2,5,,0,0,0,0,0,0,0,0,0,,,,,,,317,0,11,328,459
1,32,ZACATECAS,12,VILLA DE COS,7,CONCEPCION DEL ORO,76,3,15,247,13,11,120,3,256,83,2,9,,4,0,0,0,0,0,0,0,0,,,,,,,763,0,28,791,1131
1,32,ZACATECAS,12,VILLA DE COS,7,CONCEPCION DEL ORO,77,1,9,123,6,4,110,2,180,33,1,15,,4,0,1,0,1,1,0,0,1,,,,,,,491,0,18,509,706
1,32,ZACATECAS,12,VILLA DE COS,7,CONCEPCION DEL ORO,78,1,12,143,4,1,69,1,141,33,0,0,,5,0,1,0,0,2,0,0,0,,,,,,,412,0,12,424,554
1,32,ZACATECAS,12,VILLA DE COS,7,CONCEPCION DEL ORO,79,2,8,178,4,6,127,3,218,50,1,3,,3,0,0,0,0,2,3,0,0,,,,,,,606,0,30,636,956
1,32,ZACATECAS,12,VILLA DE COS,7,CONCEPCION DEL ORO,80,2,11,145,3,2,118,1,200,44,0,8,,2,1,0,0,0,2,1,0,0,,,,,,,538,0,16,554,781
1,32,ZACATECAS,12,VILLA DE COS,7,CONCEPCION DEL ORO,82,1,3,59,14,1,52,1,74,19,1,7,,3,0,2,0,0,1,0,0,0,,,,,,,237,0,13,250,382
1,32,ZACATECAS,12,VILLA DE COS,7,CONCEPCION DEL ORO,83,1,0,148,4,5,75,0,6,11,0,23,,0,0,0,0,0,0,1,0,0,,,,,,,273,0,18,291,393
1,32,ZACATECAS,12,VILLA DE COS,7,CONCEPCION DEL ORO,84,1,5,113,3,4,83,2,176,49,1,20,,2,0,0,0,0,0,0,0,0,,,,,,,458,0,15,473,694
1,32,ZACATECAS,12,VILLA DE COS,7,CONCEPCION DEL ORO,85,1,3,24,2,1,29,0,32,9,1,11,,0,0,0,0,0,2,0,0,0,,,,,,,114,0,4,118,199
1,32,ZACATECAS,12,VILLA DE COS,7,CONCEPCION DEL ORO,86,1,0,40,0,3,41,1,58,6,0,3,,1,0,0,0,0,0,0,0,0,,,,,,,153,0,11,164,225
1,32,ZACATECAS,12,VILLA DE COS,7,CONCEPCION DEL ORO,87,1,0,32,2,2,55,0,5,4,1,11,,0,0,0,0,0,2,1,0,0,,,,,,,115,0,8,123,178
1,32,ZACATECAS,12,VILLA DE COS,7,CONCEPCION DEL ORO,89,1,0,25,1,0,26,0,2,3,0,8,,1,0,0,0,0,0,0,0,0,,,,,,,66,0,1,67,102
1,32,ZACATECAS,12,VILLA DE COS,7,CONCEPCION DEL ORO,91,1,1,110,2,1,20,1,14,6,1,14,,1,0,0,0,0,0,0,0,0,,,,,,,171,0,9,180,247
1,32,ZACATECAS,12,VILLA DE COS,7,CONCEPCION DEL ORO,92,1,1,96,1,1,23,1,7,6,0,21,,0,0,0,0,0,0,0,0,0,,,,,,,157,0,20,177,264
1,32,ZACATECAS,12,VILLA DE COS,7,CONCEPCION DEL ORO,94,1,1,44,1,1,16,0,77,9,0,0,,0,1,0,0,0,0,0,0,0,,,,,,,150,0,11,161,213
1,32,ZACATECAS,12,VILLA DE COS,7,CONCEPCION DEL ORO,95,1,0,20,1,0,20,0,55,1,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,97,0,4,101,127
1,32,ZACATECAS,12,VILLA DE COS,7,CONCEPCION DEL ORO,96,1,4,110,2,3,44,1,1,18,0,12,,0,0,0,0,0,0,0,0,1,,,,,,,196,0,10,206,267
1,32,ZACATECAS,12,VILLA DE COS,7,CONCEPCION DEL ORO,98,1,1,63,0,0,11,1,17,2,0,12,,0,0,0,0,0,0,0,0,0,,,,,,,107,0,8,115,135
1,32,ZACATECAS,12,VILLA DE COS,7,CONCEPCION DEL ORO,99,1,1,62,1,3,13,4,70,10,0,9,,0,0,0,0,0,0,0,0,0,,,,,,,173,0,4,177,266
1,32,ZACATECAS,11,VILLANUEVA,8,CUAUHTEMOC,103,2,8,332,16,22,199,4,5,29,16,1,0,13,4,1,0,0,2,0,0,0,,,,,,,652,0,28,680,942
1,32,ZACATECAS,11,VILLANUEVA,8,CUAUHTEMOC,104,2,6,388,24,27,232,5,1,43,18,0,4,14,0,1,0,0,3,0,0,1,,,,,,,767,1,23,791,1038
1,32,ZACATECAS,11,VILLANUEVA,8,CUAUHTEMOC,105,2,19,431,41,55,280,4,4,35,30,0,2,16,2,6,0,1,4,0,0,1,,,,,,,931,0,31,962,1331
1,32,ZACATECAS,11,VILLANUEVA,8,CUAUHTEMOC,106,2,9,388,30,34,133,3,0,34,28,0,0,10,0,1,0,0,3,0,0,1,,,,,,,674,0,17,691,888
1,32,ZACATECAS,11,VILLANUEVA,8,CUAUHTEMOC,107,2,7,248,19,27,205,6,4,36,8,1,1,8,0,0,0,1,2,1,0,1,,,,,,,575,0,28,603,803
1,32,ZACATECAS,11,VILLANUEVA,8,CUAUHTEMOC,108,2,14,443,47,34,438,3,1,24,6,2,0,7,3,1,0,0,0,0,0,0,,,,,,,1023,0,28,1051,1366
1,32,ZACATECAS,11,VILLANUEVA,8,CUAUHTEMOC,109,1,8,88,34,7,106,2,3,10,1,0,0,1,1,3,0,0,2,1,0,0,,,,,,,267,0,6,273,382
1,32,ZACATECAS,11,VILLANUEVA,8,CUAUHTEMOC,110,1,14,108,91,13,60,2,3,4,3,0,0,0,4,5,0,0,0,0,0,0,,,,,,,307,0,12,319,496
1,32,ZACATECAS,11,VILLANUEVA,8,CUAUHTEMOC,111,1,4,80,70,7,57,1,1,2,1,0,0,2,2,1,0,0,0,1,0,0,,,,,,,229,1,16,246,342
1,32,ZACATECAS,11,VILLANUEVA,8,CUAUHTEMOC,112,2,10,441,32,34,283,1,1,18,12,0,0,2,0,0,0,0,2,0,2,0,,,,,,,838,0,50,888,1042
1,32,ZACATECAS,11,VILLANUEVA,8,CUAUHTEMOC,113,1,17,97,12,12,64,1,1,7,6,0,0,0,0,0,0,0,0,0,0,0,,,,,,,217,0,27,244,338
1,32,ZACATECAS,17,SOMBRERETE,9,CHALCHIHUITES,114,1,91,230,0,24,2,1,6,10,3,0,0,0,0,1,1,0,0,0,0,0,,,,,,,369,0,11,380,581
1,32,ZACATECAS,17,SOMBRERETE,9,CHALCHIHUITES,115,1,88,200,1,17,2,1,22,12,1,2,1,0,2,0,0,0,2,2,0,0,,,,,,,353,0,9,362,554
1,32,ZACATECAS,17,SOMBRERETE,9,CHALCHIHUITES,116,1,99,199,4,34,2,1,10,19,1,1,0,0,1,3,0,0,0,1,0,0,,,,,,,375,0,14,389,577
1,32,ZACATECAS,17,SOMBRERETE,9,CHALCHIHUITES,117,1,78,128,3,10,0,0,10,15,1,0,0,0,1,0,0,0,0,2,0,0,,,,,,,248,0,5,253,370
1,32,ZACATECAS,17,SOMBRERETE,9,CHALCHIHUITES,118,1,71,172,4,17,1,0,4,6,1,0,2,0,0,0,0,0,0,0,0,0,,,,,,,278,0,9,287,401
1,32,ZACATECAS,17,SOMBRERETE,9,CHALCHIHUITES,119,1,81,260,2,26,6,1,17,15,1,2,0,2,0,1,0,0,0,0,0,0,,,,,,,414,0,12,426,668
1,32,ZACATECAS,17,SOMBRERETE,9,CHALCHIHUITES,120,1,23,127,6,12,2,0,4,8,0,1,1,1,0,1,0,0,2,0,0,0,,,,,,,188,0,5,193,299
1,32,ZACATECAS,17,SOMBRERETE,9,CHALCHIHUITES,121,2,19,106,1,10,1,0,5,7,1,1,1,0,0,1,0,0,0,0,0,0,,,,,,,153,0,14,167,254
1,32,ZACATECAS,17,SOMBRERETE,9,CHALCHIHUITES,122,1,16,156,3,18,2,0,3,13,1,0,0,0,0,0,0,0,1,2,0,0,,,,,,,215,0,5,220,347
1,32,ZACATECAS,17,SOMBRERETE,9,CHALCHIHUITES,123,1,41,177,6,21,2,2,2,16,1,0,0,1,1,1,0,0,0,2,0,0,,,,,,,273,0,19,292,436
1,32,ZACATECAS,17,SOMBRERETE,9,CHALCHIHUITES,124,2,22,187,5,10,5,0,4,17,1,2,2,0,0,0,0,0,0,0,0,0,,,,,,,255,0,10,265,422
1,32,ZACATECAS,17,SOMBRERETE,9,CHALCHIHUITES,125,2,45,216,2,39,1,0,2,15,0,2,0,1,0,0,0,0,0,1,0,0,,,,,,,324,0,9,333,500
1,32,ZACATECAS,17,SOMBRERETE,9,CHALCHIHUITES,126,1,21,38,3,7,2,1,3,7,0,0,0,0,2,1,0,0,0,0,0,0,,,,,,,85,0,2,87,137
1,32,ZACATECAS,17,SOMBRERETE,9,CHALCHIHUITES,127,1,54,183,8,13,1,2,0,7,1,1,0,0,3,0,0,0,0,2,0,0,,,,,,,275,0,7,282,537
1,32,ZACATECAS,17,SOMBRERETE,9,CHALCHIHUITES,128,1,47,216,6,13,9,3,3,16,1,1,0,0,1,3,0,0,1,1,0,0,,,,,,,321,0,16,337,509
1,32,ZACATECAS,17,SOMBRERETE,9,CHALCHIHUITES,129,1,61,146,7,11,12,0,2,28,1,0,0,0,1,0,0,0,1,0,0,0,,,,,,,270,0,5,275,405
1,32,ZACATECAS,17,SOMBRERETE,9,CHALCHIHUITES,130,1,50,149,3,4,11,1,1,8,0,1,0,0,2,0,0,0,0,0,0,0,,,,,,,230,1,7,238,416
1,32,ZACATECAS,17,SOMBRERETE,9,CHALCHIHUITES,131,2,23,59,1,4,7,0,1,4,0,0,1,0,1,0,0,0,0,0,0,0,,,,,,,101,0,5,106,174
1,32,ZACATECAS,17,SOMBRERETE,9,CHALCHIHUITES,132,1,49,134,1,8,2,1,6,5,0,0,0,1,0,0,0,0,0,0,1,0,,,,,,,208,0,7,215,362
1,32,ZACATECAS,17,SOMBRERETE,9,CHALCHIHUITES,133,1,22,121,0,2,7,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,,,,,,,157,0,10,167,230
1,32,ZACATECAS,17,SOMBRERETE,9,CHALCHIHUITES,134,1,22,100,6,12,4,1,1,8,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,156,0,5,161,245
1,32,ZACATECAS,7,FRESNILLO,10,FRESNILLO,135,4,109,228,41,186,52,14,40,560,23,32,16,48,5,3,0,0,11,17,1,4,,,,,,,1390,2,44,1436,2779
1,32,ZACATECAS,7,FRESNILLO,10,FRESNILLO,136,4,68,164,39,184,55,24,58,594,24,30,8,24,4,1,1,0,21,12,1,0,,,,,,,1312,1,36,1349,2638
1,32,ZACATECAS,5,FRESNILLO,10,FRESNILLO,137,5,125,288,41,209,61,18,43,762,33,38,11,20,1,1,0,0,11,28,1,1,,,,,,,1692,1,44,1737,3310
1,32,ZACATECAS,5,FRESNILLO,10,FRESNILLO,138,1,23,68,5,50,5,11,7,191,10,8,8,2,0,0,0,0,2,8,0,0,,,,,,,398,0,11,409,669
1,32,ZACATECAS,5,FRESNILLO,10,FRESNILLO,139,4,88,258,28,129,32,15,39,647,25,38,9,28,4,0,0,0,22,14,1,2,,,,,,,1379,0,26,1405,2371
1,32,ZACATECAS,5,FRESNILLO,10,FRESNILLO,140,8,236,489,152,385,77,40,98,1556,49,75,27,67,3,2,3,1,38,23,2,5,,,,,,,3328,1,72,3401,5729
1,32,ZACATECAS,5,FRESNILLO,10,FRESNILLO,141,2,35,86,17,52,19,5,22,264,6,8,10,8,0,0,0,0,3,2,0,1,,,,,,,538,2,12,552,943
1,32,ZACATECAS,5,FRESNILLO,10,FRESNILLO,142,2,35,78,12,61,12,8,20,267,7,11,4,11,0,0,0,0,9,1,0,0,,,,,,,536,0,5,541,887
1,32,ZACATECAS,5,FRESNILLO,10,FRESNILLO,143,1,33,82,11,36,8,10,16,199,11,5,6,4,0,0,0,0,4,4,0,0,,,,,,,429,0,16,445,688
1,32,ZACATECAS,5,FRESNILLO,10,FRESNILLO,144,2,36,122,14,66,22,3,27,251,5,9,7,13,1,0,2,0,4,7,0,0,,,,,,,589,0,9,598,984
1,32,ZACATECAS,5,FRESNILLO,10,FRESNILLO,145,1,21,67,4,38,9,3,6,161,4,4,2,6,1,0,0,0,2,3,0,0,,,,,,,331,0,7,338,539
1,32,ZACATECAS,5,FRESNILLO,10,FRESNILLO,146,2,46,81,15,53,9,7,22,277,12,10,3,6,1,0,0,0,7,1,1,1,,,,,,,552,0,12,564,928
1,32,ZACATECAS,5,FRESNILLO,10,FRESNILLO,147,2,27,76,9,62,13,3,14,259,8,14,4,13,0,0,0,0,8,3,0,0,,,,,,,513,0,17,530,846
1,32,ZACATECAS,7,FRESNILLO,10,FRESNILLO,148,5,108,208,48,169,54,23,60,610,20,32,7,17,3,1,1,0,22,11,1,0,,,,,,,1395,0,33,1428,2290
1,32,ZACATECAS,6,FRESNILLO,10,FRESNILLO,149,2,129,130,14,85,21,20,21,296,17,20,6,17,2,0,0,0,7,1,0,1,,,,,,,787,0,17,804,1176
1,32,ZACATECAS,6,FRESNILLO,10,FRESNILLO,150,2,74,87,14,59,7,7,26,325,12,11,5,8,1,1,0,0,6,5,0,0,,,,,,,648,0,17,665,889
1,32,ZACATECAS,6,FRESNILLO,10,FRESNILLO,151,2,38,89,14,73,23,11,15,351,6,13,3,15,0,2,0,0,2,8,0,1,,,,,,,664,0,11,675,1001
1,32,ZACATECAS,6,FRESNILLO,10,FRESNILLO,152,2,76,68,18,62,11,8,20,236,2,12,4,9,0,0,0,0,5,0,0,1,,,,,,,532,0,20,552,785
1,32,ZACATECAS,5,FRESNILLO,10,FRESNILLO,153,1,27,48,6,28,4,5,12,120,3,9,2,1,0,0,0,0,2,0,0,0,,,,,,,267,0,5,272,383
1,32,ZACATECAS,5,FRESNILLO,10,FRESNILLO,154,2,65,111,17,93,22,7,31,465,16,14,16,14,1,1,0,0,9,10,1,1,,,,,,,894,1,15,910,1467
1,32,ZACATECAS,5,FRESNILLO,10,FRESNILLO,155,3,74,238,30,156,27,10,38,527,12,13,8,11,0,1,0,0,11,7,8,2,,,,,,,1173,0,36,1209,2152
1,32,ZACATECAS,6,FRESNILLO,10,FRESNILLO,156,3,102,174,34,168,29,19,29,544,18,22,22,22,1,3,2,0,7,15,0,5,,,,,,,1216,0,30,1246,2071
1,32,ZACATECAS,5,FRESNILLO,10,FRESNILLO,157,3,92,178,18,132,20,12,37,692,16,33,21,26,1,0,0,1,23,12,1,4,,,,,,,1319,1,31,1351,2076
