municipality,section,PAN,PRI,PRD,PartCardenista,PT,total,uniqueid,valid,year,month,PVEM,listanominal,turnout,PRD_PT_PC_PVEM_PAS_PSN,PRI_PVEM,PC,PANAL,PAS,PRD_PT,PRD_PT_PC,PRD_PC,PAN_PRI,PAN_PRI_PVEM,PAN_PVEM,PAN_PVEM_PANAL,PAN_PANAL,PRI_PVEM_PANAL,PAN_PRI_PVEM_PANAL,PAN_PRI_PANAL,PRI_PRD_PVEM_PC_PANAL,PT_PC,PRD_PT_PMC,MC,MORENA,PES,PAN_PRD_MC,PAN_MC,PAN_PRD,PRD_MC,PRD_PVEM,PT_MORENA,CI_1,CI_2,PH,PRD_PT_PANAL,PRD_PT_PANAL_PES,PRD_PANAL,PRD_PANAL_PES,PT_PANAL_PH,PAN_PH,PAN_PRD_PT,PRD_PES,PRD_PT_PES,PT_PES_PH,PT_PES,PRD_PT_PANAL_PH,PRD_PT_PH,PT_MC,PT_PH,PAN_PT,PAN_PRI_PRD_PANAL_PH_PES,PAN_PRD_PT_PANAL_PES,PAN_PRD_PT_PANAL_PH,PAN_PRD_PANAL,PRI_PT_PVEM
AGUILILLA,12,27,0,0,NA,0,762,16002,741,2015,June,0,1358,0.561119318008423,NA,217,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,0,NA,0,0,NA,NA,NA,0,NA,0,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
ALVARO OBREGON,28,63,0,51,NA,0,1383,16003,1359,2015,June,0,1949,0.709594666957855,NA,570,NA,41,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20,0,NA,0,0,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,614,0,0,0,0,0,0,0,0,NA,NA
ALVARO OBREGON,31,47,0,241,NA,0,972,16003,944,2015,June,0,1379,0.704858601093292,NA,255,NA,31,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10,0,NA,0,0,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,360,0,0,0,0,0,0,0,0,NA,NA
ALVARO OBREGON,36,35,0,69,NA,0,790,16003,775,2015,June,0,1270,0.622047245502472,NA,205,NA,136,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12,0,NA,0,0,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,318,0,0,0,0,0,0,0,0,NA,NA
ALVARO OBREGON,34,78,0,76,NA,0,728,16003,716,2015,June,0,1094,0.665447890758514,NA,223,NA,16,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,0,NA,0,0,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,319,0,0,0,0,0,0,0,0,NA,NA
ALVARO OBREGON,32,96,0,127,NA,0,1188,16003,1151,2015,June,0,1662,0.71480143070221,NA,400,NA,26,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,0,NA,0,0,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,499,0,0,0,0,0,0,0,0,NA,NA
ALVARO OBREGON,35,29,0,86,NA,0,796,16003,770,2015,June,0,1181,0.674005091190338,NA,280,NA,17,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,0,NA,0,0,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,349,0,0,0,0,0,0,0,0,NA,NA
ALVARO OBREGON,37,8,0,94,NA,0,423,16003,409,2015,June,0,732,0.5778688788414,NA,126,NA,4,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12,0,NA,0,0,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,165,0,0,0,0,0,0,0,0,NA,NA
ALVARO OBREGON,27,81,0,30,NA,0,1156,16003,1125,2015,June,0,1774,0.651634752750397,NA,359,NA,39,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,21,0,NA,0,0,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,595,0,0,0,0,0,0,0,0,NA,NA
ALVARO OBREGON,26,68,0,39,NA,0,1034,16003,1005,2015,June,0,1540,0.671428561210632,NA,311,NA,43,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12,0,NA,0,0,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,532,0,0,0,0,0,0,0,0,NA,NA
ALVARO OBREGON,29,25,0,23,NA,0,634,16003,617,2015,June,0,981,0.646279335021973,NA,261,NA,29,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,0,NA,0,0,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,272,0,0,0,0,0,0,0,0,NA,NA
ALVARO OBREGON,30,16,0,135,NA,0,639,16003,628,2015,June,0,1007,0.634558081626892,NA,222,NA,17,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,NA,0,0,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,236,0,0,0,0,0,0,0,0,NA,NA
ALVARO OBREGON,33,46,0,107,NA,0,762,16003,737,2015,June,0,1089,0.699724495410919,NA,295,NA,8,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,0,NA,0,0,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,277,0,0,0,0,0,0,0,0,NA,NA
ANGAMACUTIRO,41,37,0,0,NA,40,843,16004,820,2015,June,0,1290,0.653488397598267,NA,220,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,22,0,NA,0,0,NA,NA,NA,0,NA,0,0,0,486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
ANGAMACUTIRO,49,3,0,0,NA,39,326,16004,312,2015,June,0,485,0.672164976596832,NA,107,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,1,0,NA,0,0,NA,NA,NA,0,NA,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
ANGAMACUTIRO,45,28,0,0,NA,27,1446,16004,1419,2015,June,0,2221,0.651058077812195,NA,321,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,4,0,NA,0,0,NA,NA,NA,0,NA,0,0,0,1011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
ANGAMACUTIRO,42,26,0,0,NA,8,456,16004,439,2015,June,0,769,0.59297788143158,NA,91,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,1,0,NA,0,0,NA,NA,NA,0,NA,0,0,0,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
ANGAMACUTIRO,51,14,0,0,NA,14,581,16004,561,2015,June,0,972,0.597736597061157,NA,180,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,4,0,NA,0,0,NA,NA,NA,0,NA,0,0,0,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
ANGAMACUTIRO,44,38,0,0,NA,21,496,16004,488,2015,June,0,688,0.720930218696594,NA,75,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,4,0,NA,0,0,NA,NA,NA,0,NA,0,0,0,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
ANGAMACUTIRO,40,96,0,0,NA,35,894,16004,875,2015,June,0,1300,0.687692284584045,NA,259,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,19,0,NA,0,0,NA,NA,NA,0,NA,0,0,0,437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
ANGAMACUTIRO,43,27,0,0,NA,44,561,16004,548,2015,June,0,938,0.598081052303314,NA,102,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,5,0,NA,0,0,NA,NA,NA,0,NA,0,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
ANGAMACUTIRO,48,7,0,0,NA,5,285,16004,283,2015,June,0,398,0.7160804271698,NA,90,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,11,0,NA,0,0,NA,NA,NA,0,NA,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
ANGAMACUTIRO,47,5,0,0,NA,7,63,16004,60,2015,June,0,106,0.594339609146118,NA,18,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
ANGAMACUTIRO,50,6,0,0,NA,13,486,16004,469,2015,June,0,734,0.6621253490448,NA,172,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,0,NA,0,0,NA,NA,NA,0,NA,0,0,0,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
ANGAMACUTIRO,46,8,0,0,NA,20,511,16004,505,2015,June,0,663,0.770739078521729,NA,134,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,0,NA,0,0,NA,NA,NA,0,NA,0,0,0,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
ANGAMACUTIRO,39,54,0,0,NA,8,619,16004,608,2015,June,0,844,0.733412325382233,NA,285,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,7,0,NA,0,0,NA,NA,NA,0,NA,0,0,0,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
ANGAMACUTIRO,38,55,0,0,NA,13,638,16004,629,2015,June,0,882,0.723356008529663,NA,253,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,13,0,NA,0,0,NA,NA,NA,0,NA,0,0,0,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
ANGANGUEO,56,0,331,0,NA,283,899,16005,859,2015,June,136,1177,0.763806283473969,NA,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12,0,NA,0,74,NA,NA,NA,0,NA,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
ANGANGUEO,57,0,732,0,NA,394,1422,16005,1381,2015,June,87,1893,0.751188576221466,NA,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,27,0,NA,0,123,NA,NA,NA,0,NA,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
ANGANGUEO,55,0,430,0,NA,513,1473,16005,1429,2015,June,258,1979,0.744315326213837,NA,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,69,0,NA,0,103,NA,NA,NA,0,NA,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
ANGANGUEO,53,0,249,0,NA,161,512,16005,502,2015,June,16,732,0.69945353269577,NA,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,33,0,NA,0,40,NA,NA,NA,0,NA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
ANGANGUEO,54,0,234,0,NA,140,540,16005,525,2015,June,29,761,0.709592640399933,NA,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,33,0,NA,0,74,NA,NA,NA,0,NA,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
ANGANGUEO,52,0,291,0,NA,257,772,16005,752,2015,June,85,1022,0.75538158416748,NA,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,38,0,NA,0,60,NA,NA,NA,0,NA,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
APATZINGAN,122,41,0,105,NA,0,226,16006,203,2015,June,0,855,0.264327496290207,NA,0,NA,2,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,40,9,NA,0,0,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
APATZINGAN,124,30,0,57,NA,0,102,16006,102,2015,June,0,536,0.190298512578011,NA,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,2,NA,0,0,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
APATZINGAN,61,106,0,94,NA,0,508,16006,483,2015,June,0,1356,0.374631255865097,NA,142,NA,5,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,17,33,NA,0,0,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,NA,NA
APATZINGAN,62,125,0,107,NA,0,574,16006,556,2015,June,0,1470,0.390476197004318,NA,184,NA,6,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,18,37,NA,0,0,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,NA,NA
APATZINGAN,105,177,0,239,NA,0,764,16006,711,2015,June,0,2686,0.284437835216522,NA,0,NA,6,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,119,154,NA,0,0,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
APATZINGAN,120,140,0,130,NA,0,357,16006,347,2015,June,0,1311,0.272311210632324,NA,0,NA,2,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,41,24,NA,0,0,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
APATZINGAN,72,91,0,76,NA,0,473,16006,451,2015,June,0,971,0.487126678228378,NA,152,NA,7,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,16,35,NA,0,0,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,NA,NA
APATZINGAN,73,131,0,277,NA,0,909,16006,866,2015,June,0,1897,0.47917765378952,NA,238,NA,6,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,14,80,NA,0,0,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,NA,NA
APATZINGAN,119,186,0,93,NA,0,442,16006,386,2015,June,0,1646,0.268529772758484,NA,0,NA,7,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,59,18,NA,0,0,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
APATZINGAN,118,64,0,58,NA,0,169,16006,153,2015,June,0,665,0.254135340452194,NA,0,NA,5,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,18,NA,0,0,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
APATZINGAN,77,271,0,136,NA,0,895,16006,865,2015,June,0,1711,0.52308589220047,NA,230,NA,11,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,24,59,NA,0,0,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,NA,NA
APATZINGAN,125,97,0,108,NA,0,288,16006,268,2015,June,0,866,0.332563519477844,NA,0,NA,1,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,31,13,NA,0,0,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
APATZINGAN,87,180,0,82,NA,0,554,16006,544,2015,June,0,959,0.577685117721558,NA,148,NA,6,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,22,25,NA,0,0,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,NA,NA
APATZINGAN,114,161,0,74,NA,0,359,16006,333,2015,June,0,944,0.380296617746353,NA,0,NA,4,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,13,72,NA,0,0,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
APATZINGAN,82,185,0,106,NA,0,674,16006,657,2015,June,0,1414,0.476661950349808,NA,213,NA,5,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,16,53,NA,0,0,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,NA,NA
APATZINGAN,91,105,0,43,NA,0,270,16006,261,2015,June,0,469,0.57569295167923,NA,76,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,12,NA,0,0,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,NA,NA
APATZINGAN,117,63,0,144,NA,0,255,16006,243,2015,June,0,829,0.307599514722824,NA,0,NA,4,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,12,5,NA,0,0,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
APATZINGAN,81,194,0,87,NA,0,496,16006,483,2015,June,0,844,0.587677717208862,NA,116,NA,6,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,10,26,NA,0,0,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,NA,NA
APATZINGAN,107,93,0,70,NA,0,285,16006,277,2015,June,0,816,0.349264711141586,NA,0,NA,1,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,13,96,NA,0,0,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
