ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PRI_PVEM_PT_NVA_ALIANZA,PRI_PVEM_PT,PRI_PVEM_NVA_ALIANZA,PRI_PT_NVA_ALIANZA,PVEM_PT_NVA_ALIANZA,PRI_PVEM,PRI_PT,PRI_NVA_ALIANZA,PVEM_PT,PVEM_NVA_ALIANZA,PT_NVA_ALIANZA,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
8,CHIHUAHUA,28,GUADALUPE,8,12,759,1063,48,17,14,22,46,188,23,3,8,0,0,9,1,3,0,0,0,112,1,2316,80,2397,5296,0.4526
8,CHIHUAHUA,29,GUADALUPE Y CALVO,31,57,1976,7964,86,249,139,125,920,172,51,8,34,9,3,86,13,63,1,7,3,113,8,12022,685,12715,29607,0.4295
8,CHIHUAHUA,30,GUAZAPARES,14,18,1611,1380,20,21,18,551,21,85,13,3,4,1,0,24,6,5,0,0,0,16,1,3779,254,4034,6758,0.5969
8,CHIHUAHUA,31,GUERRERO,68,82,5620,5938,525,143,70,69,470,180,46,4,26,1,2,75,6,27,1,1,3,1239,11,14446,562,15019,30026,0.5002
8,CHIHUAHUA,32,HIDALGO DEL PARRAL,86,157,14102,15562,204,295,207,568,592,608,91,15,37,0,4,95,19,21,14,3,4,13923,102,46364,1345,47811,83776,0.5707
8,CHIHUAHUA,33,HUEJOTITAN,2,2,599,426,4,1,0,2,4,1,1,0,0,0,0,0,1,1,0,0,0,47,0,1087,15,1102,1402,0.786
8,CHIHUAHUA,34,IGNACIO ZARAGOZA,14,16,1547,701,31,21,22,463,27,135,6,1,4,1,0,7,1,1,0,1,0,223,4,3192,171,3367,6097,0.5522
8,CHIHUAHUA,35,JANOS,12,18,774,1239,15,12,17,1210,26,5,5,2,1,0,0,10,1,1,0,0,1,187,0,3506,86,3592,7325,0.4904
8,CHIHUAHUA,36,JIMENEZ,36,58,4863,4896,963,102,918,743,264,867,143,6,9,2,0,46,14,7,3,2,2,2386,3,16236,485,16724,29522,0.5665
8,CHIHUAHUA,37,JUAREZ,1174,1935,132511,104340,5280,7063,4096,16652,9762,16447,992,174,272,91,43,939,131,240,36,72,112,98479,2997,397732,17321,418050,1023228,0.4086
8,CHIHUAHUA,38,JULIMES,6,9,1322,1005,68,14,5,1,69,32,3,1,5,1,0,7,2,7,1,1,1,276,2,2821,58,2881,4656,0.6188
8,CHIHUAHUA,39,LOPEZ,6,8,848,666,50,14,197,7,20,107,12,11,2,2,0,3,23,1,0,0,0,371,1,2334,94,2429,3484,0.6972
8,CHIHUAHUA,40,MADERA,47,59,6616,3495,349,79,62,81,155,35,21,4,5,1,3,28,6,9,1,1,0,1257,24,12208,351,12583,22370,0.5625
8,CHIHUAHUA,41,MAGUARICHI,5,5,136,562,1,7,1,5,13,5,2,0,0,1,0,8,1,1,0,1,0,10,0,754,23,777,1414,0.5495
8,CHIHUAHUA,42,MANUEL BENAVIDES,5,5,354,630,29,31,218,1,6,4,0,1,1,0,0,2,1,0,1,0,0,29,2,1308,55,1365,1927,0.7084
8,CHIHUAHUA,43,MATACHI,7,8,766,446,7,7,7,154,37,9,3,0,1,0,1,2,0,0,0,1,0,137,2,1578,76,1656,2636,0.6282
8,CHIHUAHUA,44,MATAMOROS,8,10,1290,760,6,12,35,123,25,17,14,2,1,1,0,7,9,2,2,0,0,168,0,2474,72,2546,3959,0.6431
8,CHIHUAHUA,45,MEOQUI,35,64,6047,3554,768,108,117,1049,602,428,31,8,14,1,5,24,8,32,2,4,1,2739,124,15542,561,16227,33726,0.4811
8,CHIHUAHUA,46,MORELOS,8,11,1011,1632,731,18,23,4,27,5,12,4,9,3,2,43,5,5,0,1,0,82,0,3617,207,3824,5331,0.7173
8,CHIHUAHUA,47,MORIS,8,11,1089,1091,7,14,1,192,7,1,1,0,9,0,0,9,4,0,0,0,0,12,1,2437,88,2526,4012,0.6296
8,CHIHUAHUA,48,NAMIQUIPA,44,51,4402,2460,493,108,20,31,104,111,5,0,1,1,0,26,0,6,1,2,1,383,2,8155,346,8503,18913,0.4496
8,CHIHUAHUA,49,NONOAVA,5,7,1110,854,3,6,3,5,15,1,12,2,4,2,0,7,0,4,0,0,0,22,0,2050,16,2066,2547,0.8112
8,CHIHUAHUA,50,NVO. CASAS GRANDES,64,90,7039,6025,2403,241,750,328,497,512,47,17,16,6,2,28,39,11,6,1,6,4103,14,22077,670,22761,47026,0.484
8,CHIHUAHUA,51,OCAMPO,14,16,1345,1167,135,491,14,138,26,25,0,0,0,0,0,7,0,1,1,3,0,263,0,3616,197,3813,5813,0.6559
8,CHIHUAHUA,52,OJINAGA,26,42,5257,4484,55,31,58,48,136,87,9,0,11,2,0,41,5,10,1,0,0,926,3,11161,580,11744,21390,0.549
8,CHIHUAHUA,53,PRAXEDIS G. GUERRERO,9,12,906,1108,365,9,20,100,30,45,4,1,3,0,0,9,2,2,0,1,0,241,7,2846,132,2985,6141,0.4861
8,CHIHUAHUA,54,RIVA PALACIO,8,15,1430,1057,20,6,1,2,8,7,6,0,2,0,0,16,0,0,0,1,0,69,1,2625,63,2689,7330,0.3668
8,CHIHUAHUA,55,ROSALES,16,26,2742,2589,325,36,64,64,152,117,20,4,10,1,0,19,1,8,0,1,0,1036,3,7189,222,7414,13135,0.5644
8,CHIHUAHUA,56,ROSARIO,4,4,798,727,3,1,1,0,1,0,1,1,0,0,0,2,0,0,0,0,0,50,0,1585,5,1590,2007,0.7922
8,CHIHUAHUA,57,SAN FRANCISCO DE BORJA,7,7,859,635,0,8,5,20,14,3,3,1,0,0,0,4,2,3,0,0,0,54,0,1611,31,1642,2358,0.6964
8,CHIHUAHUA,58,SAN FRANCISCO DE CONCHOS,5,5,811,547,241,2,9,32,22,21,3,0,1,1,0,3,1,3,0,1,0,102,0,1800,30,1830,2590,0.7066
8,CHIHUAHUA,59,SAN FRANCISCO DEL ORO,11,12,634,1240,437,19,19,46,60,12,4,1,3,1,1,12,2,6,0,0,0,369,1,2866,81,2948,4295,0.6864
8,CHIHUAHUA,60,SANTA BARBARA,20,22,1716,1353,474,28,73,601,88,98,10,4,3,1,1,7,3,1,1,1,0,1034,7,5497,166,5670,8584,0.6605
8,CHIHUAHUA,61,SATEVO,13,13,1549,1105,3,3,2,1,12,4,7,0,2,2,0,19,2,1,0,0,0,85,2,2797,63,2862,4088,0.7001
8,CHIHUAHUA,62,SAUCILLO,32,45,4783,3736,1207,64,81,59,393,162,21,3,14,1,0,21,2,12,0,1,0,1851,3,12411,303,12717,24234,0.5248
8,CHIHUAHUA,63,TEMOSACHIC,13,16,1535,1067,17,19,16,23,28,26,9,0,3,0,1,15,0,3,0,0,0,181,0,2943,107,3050,5315,0.5738
8,CHIHUAHUA,64,EL TULE,6,6,835,751,0,3,0,2,2,0,0,0,0,0,0,6,0,0,0,0,0,50,0,1649,20,1669,2210,0.7552
8,CHIHUAHUA,65,URIQUE,16,28,3151,3122,132,48,30,30,67,7,139,2,5,4,5,44,8,21,0,1,1,96,0,6913,450,7363,13291,0.554
8,CHIHUAHUA,66,URUACHI,11,15,1238,1333,303,31,13,7,34,2,9,2,16,2,1,31,3,5,1,1,1,10,0,3043,156,3199,5462,0.5857
8,CHIHUAHUA,67,VALLE DE ZARAGOZA,13,15,871,1301,300,8,16,21,18,4,14,2,7,0,0,12,1,1,0,1,0,128,1,2705,99,2805,4346,0.6454
