Municipio,Sección,Lista Nominal,Total,PAN,PRI,PRD,PT,PVEM,PC,PSN
CADEREYTA DE MONTES,60,1162,545,89,215,91,9,2,9,0
CADEREYTA DE MONTES,61,1248,879,445,100,36,30,10,30,0
CADEREYTA DE MONTES,62,326,201,134,36,9,1,1,1,0
CADEREYTA DE MONTES,63,604,352,72,90,6,8,3,8,0
CADEREYTA DE MONTES,64,553,386,188,106,13,4,29,4,0
CADEREYTA DE MONTES,65,1102,657,185,345,25,4,8,4,0
CADEREYTA DE MONTES,66,1867,1309,658,301,200,11,24,11,0
CADEREYTA DE MONTES,67,678,310,62,108,57,1,5,1,0
CADEREYTA DE MONTES,68,444,240,52,136,16,3,4,3,0
CADEREYTA DE MONTES,69,1387,914,362,219,88,5,28,5,0
CADEREYTA DE MONTES,70,1864,1149,790,185,44,5,17,5,0
CADEREYTA DE MONTES,71,1297,835,134,193,16,2,7,2,0
CADEREYTA DE MONTES,72,909,645,301,167,75,6,23,6,0
CADEREYTA DE MONTES,73,1586,858,161,102,55,4,7,4,0
CADEREYTA DE MONTES,74,518,328,169,82,32,1,3,1,0
CADEREYTA DE MONTES,75,1178,706,213,201,43,4,54,4,0
COLÓN,76,1093,812,363,379,0,25,23,25,0
COLÓN,77,1061,743,386,312,0,7,15,7,0
COLÓN,78,939,706,381,280,0,9,23,9,0
COLÓN,79,1587,1127,581,432,0,45,46,45,0
COLÓN,80,443,322,28,272,0,15,1,15,0
COLÓN,81,942,692,232,440,0,4,3,4,0
COLÓN,82,762,489,129,328,0,14,7,14,0
COLÓN,83,1529,1124,292,801,0,9,7,9,0
COLÓN,84,765,506,100,370,0,14,5,14,0
COLÓN,85,660,443,209,199,0,17,8,17,0
COLÓN,86,868,499,95,377,0,15,8,15,0
COLÓN,87,1110,745,270,429,0,24,5,24,0
COLÓN,88,1467,956,342,573,0,17,7,17,0
COLÓN,89,1624,1055,492,439,0,22,37,22,0
COLÓN,90,750,552,75,448,0,19,2,19,0
COLÓN,91,867,610,112,432,0,36,4,36,0
COLÓN,92,2069,1216,478,627,0,52,13,52,0
COLÓN,93,1672,1050,412,576,0,15,12,15,0
COLÓN,94,1395,883,285,555,0,6,11,6,0
COLÓN,95,1096,732,348,355,0,8,8,8,0
COLÓN,96,1463,974,403,507,0,23,11,23,0
CORREGIDORA,97,1433,999,487,218,98,22,17,22,0
CORREGIDORA,98,1662,1186,605,314,115,28,13,28,0
CORREGIDORA,99,1558,1113,494,280,205,25,15,25,0
CORREGIDORA,100,1741,1337,817,237,87,17,27,17,0
CORREGIDORA,101,1338,1019,479,239,157,22,14,22,0
CORREGIDORA,102,1315,1016,496,302,101,13,17,13,0
CORREGIDORA,103,1764,1271,617,363,152,28,10,28,0
CORREGIDORA,104,1414,1008,508,257,97,27,10,27,0
CORREGIDORA,105,1807,1311,602,418,161,41,18,41,0
CORREGIDORA,106,1458,1014,552,195,141,22,15,22,0
CORREGIDORA,107,1360,955,565,201,88,18,11,18,0
CORREGIDORA,108,1396,917,549,177,84,16,11,16,0
CORREGIDORA,109,1409,1000,573,182,95,17,10,17,0
CORREGIDORA,110,1428,988,535,236,136,14,25,14,0
CORREGIDORA,111,1336,954,515,211,136,29,15,29,0
CORREGIDORA,112,3638,2787,1988,387,176,24,65,24,0
CORREGIDORA,113,3879,3083,2215,336,137,20,136,20,0
CORREGIDORA,114,1605,1102,546,375,84,52,8,52,0
CORREGIDORA,115,2361,1748,1134,388,56,55,13,55,0
CORREGIDORA,116,1053,737,305,215,59,24,7,24,0
CORREGIDORA,117,589,437,170,174,17,7,9,7,0
CORREGIDORA,118,1249,763,156,414,57,13,3,13,0
CORREGIDORA,119,692,514,117,321,32,4,0,4,0
CORREGIDORA,120,1546,1103,205,502,231,15,4,15,0
CORREGIDORA,121,1743,1213,392,428,264,20,2,20,0
EZEQUIEL MONTES,122,1220,804,212,321,0,23,8,23,0
EZEQUIEL MONTES,123,822,553,162,213,0,49,3,49,0
EZEQUIEL MONTES,124,1141,820,220,294,0,60,5,60,0
EZEQUIEL MONTES,125,1008,704,188,253,0,24,9,24,0
EZEQUIEL MONTES,126,1135,817,227,417,0,34,1,34,0
EZEQUIEL MONTES,127,1061,766,226,322,0,35,8,35,0
EZEQUIEL MONTES,128,1549,1098,203,388,0,112,1,112,0
EZEQUIEL MONTES,129,846,637,211,195,0,118,3,118,0
EZEQUIEL MONTES,130,929,660,183,194,0,139,4,139,0
EZEQUIEL MONTES,131,751,562,180,184,0,45,1,45,0
EZEQUIEL MONTES,132,667,452,196,131,0,11,3,11,0
EZEQUIEL MONTES,133,963,604,86,94,0,10,4,10,0
EZEQUIEL MONTES,134,790,553,103,127,0,19,0,19,0
EZEQUIEL MONTES,135,913,630,100,244,0,5,0,5,0
EZEQUIEL MONTES,136,893,594,67,106,0,9,2,9,0
EZEQUIEL MONTES,137,811,596,133,212,0,102,2,102,0
EZEQUIEL MONTES,138,371,300,112,129,0,7,0,7,0
HUIMILPAN,139,1310,801,419,292,14,0,0,0,0
HUIMILPAN,140,978,648,289,264,5,0,0,0,0
HUIMILPAN,141,1331,886,178,474,35,0,0,0,0
HUIMILPAN,142,555,363,108,160,11,0,0,0,0
HUIMILPAN,143,1049,625,212,348,23,0,0,0,0
HUIMILPAN,144,1166,664,168,418,41,0,0,0,0
HUIMILPAN,145,1119,791,136,515,25,0,0,0,0
HUIMILPAN,146,667,398,140,197,5,0,0,0,0
HUIMILPAN,147,1584,1007,256,623,48,0,0,0,0
HUIMILPAN,148,838,525,135,341,11,0,0,0,0
HUIMILPAN,149,782,512,250,211,10,0,0,0,0
HUIMILPAN,150,1132,642,212,393,8,0,0,0,0
HUIMILPAN,151,760,448,220,167,23,0,0,0,0
HUIMILPAN,152,1359,894,535,239,30,0,0,0,0
JALPAN DE SERRA,153,1373,907,338,472,38,12,27,0,0
JALPAN DE SERRA,154,1298,878,332,469,28,18,8,0,0
JALPAN DE SERRA,155,929,577,232,277,25,5,14,0,0
JALPAN DE SERRA,156,1096,750,294,399,21,8,15,0,0
JALPAN DE SERRA,157,724,442,151,255,6,2,3,0,0
JALPAN DE SERRA,158,961,543,155,329,13,3,4,0,0
JALPAN DE SERRA,159,387,232,66,150,2,3,1,0,0
JALPAN DE SERRA,160,449,322,113,178,9,6,6,0,0
JALPAN DE SERRA,161,828,519,161,318,8,3,2,0,0
JALPAN DE SERRA,162,546,324,106,183,16,3,4,0,0
JALPAN DE SERRA,163,811,461,126,309,1,2,3,0,0
JALPAN DE SERRA,164,679,391,121,229,7,2,5,0,0
JALPAN DE SERRA,165,464,284,43,197,19,3,5,0,0
JALPAN DE SERRA,166,502,297,116,125,34,5,3,0,0
JALPAN DE SERRA,167,1093,638,133,448,10,8,6,0,0
LANDA DE MATAMOROS,168,1230,764,355,356,14,3,0,0,0
LANDA DE MATAMOROS,169,628,374,152,202,5,0,0,0,0
LANDA DE MATAMOROS,170,571,345,77,252,6,1,0,0,0
LANDA DE MATAMOROS,171,1116,739,245,449,18,2,0,0,0
LANDA DE MATAMOROS,172,566,355,95,243,12,1,0,0,0
LANDA DE MATAMOROS,173,462,309,165,137,2,0,0,0,0
LANDA DE MATAMOROS,174,848,515,188,282,18,5,0,0,0
LANDA DE MATAMOROS,175,658,472,166,288,10,0,0,0,0
LANDA DE MATAMOROS,176,1259,875,315,487,52,1,0,0,0
LANDA DE MATAMOROS,177,448,298,47,208,36,0,0,0,0
LANDA DE MATAMOROS,178,421,252,85,156,3,2,0,0,0
LANDA DE MATAMOROS,179,287,207,97,95,6,2,0,0,0
LANDA DE MATAMOROS,180,1080,761,235,480,25,5,0,0,0
LANDA DE MATAMOROS,181,329,234,51,175,5,2,0,0,0
EL MARQUÉS,182,1500,1079,207,253,0,0,5,0,0
EL MARQUÉS,183,1666,1209,272,265,0,0,4,0,0
EL MARQUÉS,184,1213,892,129,248,0,0,7,0,0
EL MARQUÉS,185,1418,1018,226,318,0,0,8,0,0
EL MARQUÉS,186,377,266,27,210,0,0,1,0,0
EL MARQUÉS,187,530,318,100,104,0,0,2,0,0
EL MARQUÉS,188,1818,1127,177,650,0,0,10,0,0
EL MARQUÉS,189,1387,890,179,398,0,0,7,0,0
EL MARQUÉS,190,1539,949,178,515,0,0,14,0,0
EL MARQUÉS,191,1922,1098,247,400,0,0,19,0,0
EL MARQUÉS,192,1314,779,195,346,0,0,5,0,0
EL MARQUÉS,193,945,590,182,290,0,0,8,0,0
EL MARQUÉS,194,833,560,58,247,0,0,3,0,0
EL MARQUÉS,195,1463,1050,141,530,0,0,15,0,0
EL MARQUÉS,196,1550,1049,267,481,0,0,10,0,0
EL MARQUÉS,197,1195,606,221,274,0,0,10,0,0
EL MARQUÉS,198,1248,795,330,345,0,0,15,0,0
EL MARQUÉS,199,1469,928,251,327,0,0,16,0,0
EL MARQUÉS,200,1044,732,234,244,0,0,25,0,0
EL MARQUÉS,201,1701,1228,321,571,0,0,25,0,0
EL MARQUÉS,202,1813,1059,282,376,0,0,25,0,0
EL MARQUÉS,203,1873,1248,408,375,0,0,83,0,0
EL MARQUÉS,204,1474,1029,165,493,0,0,22,0,0
EL MARQUÉS,205,1889,1275,457,330,0,0,14,0,0
EL MARQUÉS,206,1137,828,284,222,0,0,4,0,0
EL MARQUÉS,207,1371,961,311,249,0,0,6,0,0
EL MARQUÉS,208,1550,921,310,224,0,0,23,0,0
EL MARQUÉS,209,1034,767,208,407,0,0,10,0,0
PEDRO ESCOBEDO,210,1097,821,418,344,27,0,19,0,0
PEDRO ESCOBEDO,211,1030,786,402,336,34,0,8,0,0
PEDRO ESCOBEDO,212,1051,813,344,429,20,0,8,0,0
PEDRO ESCOBEDO,213,1029,775,481,255,10,0,8,0,0
PEDRO ESCOBEDO,214,1117,747,345,342,26,0,15,0,0
PEDRO ESCOBEDO,215,1137,720,329,350,12,0,14,0,0
PEDRO ESCOBEDO,216,1473,1071,587,301,21,0,149,0,0
PEDRO ESCOBEDO,217,1140,808,304,464,17,0,5,0,0
PEDRO ESCOBEDO,218,788,555,209,326,6,0,4,0,0
PEDRO ESCOBEDO,219,982,732,352,344,14,0,15,0,0
PEDRO ESCOBEDO,220,1132,770,377,341,29,0,10,0,0
PEDRO ESCOBEDO,221,1187,756,405,294,27,0,12,0,0
PEDRO ESCOBEDO,222,1556,1100,519,520,41,0,11,0,0
PEDRO ESCOBEDO,223,1282,987,614,326,21,0,12,0,0
PEDRO ESCOBEDO,224,1536,1245,691,434,91,0,17,0,0
PEDRO ESCOBEDO,225,1110,863,403,412,25,0,12,0,0
PEDRO ESCOBEDO,226,1286,946,363,524,32,0,6,0,0
PEDRO ESCOBEDO,227,1441,1066,557,462,11,0,6,0,0
PEDRO ESCOBEDO,228,1197,841,424,369,8,0,4,0,0
PEDRO ESCOBEDO,229,577,397,132,236,18,0,2,0,0
PEDRO ESCOBEDO,230,2134,1473,627,770,30,0,13,0,0
PEDRO ESCOBEDO,231,1586,1123,431,598,61,0,4,0,0
PEDRO ESCOBEDO,232,464,317,95,203,8,0,3,0,0
PEDRO ESCOBEDO,233,1073,840,399,395,21,0,13,0,0
PEÑAMILLER,234,925,664,24,260,366,0,3,0,0
PEÑAMILLER,235,323,255,10,115,108,0,3,0,0
PEÑAMILLER,236,276,177,1,142,27,0,2,0,0
PEÑAMILLER,237,1207,827,48,446,305,0,1,0,0
PEÑAMILLER,238,448,287,22,125,129,0,4,0,0
PEÑAMILLER,239,400,213,6,149,46,0,0,0,0
PEÑAMILLER,240,879,627,55,280,263,0,0,0,0
PEÑAMILLER,241,806,472,27,326,108,0,1,0,0
PEÑAMILLER,242,746,444,83,311,32,0,7,0,0
PEÑAMILLER,243,493,335,14,106,208,0,1,0,0
PEÑAMILLER,244,329,215,13,73,121,0,0,0,0
PEÑAMILLER,245,1244,916,32,583,286,0,3,0,0
PEÑAMILLER,246,94,78,1,66,9,0,1,0,0
PEÑAMILLER,247,1124,782,28,314,409,0,18,0,0
PINAL DE AMOLES,248,1098,751,156,434,14,0,0,0,0
PINAL DE AMOLES,249,741,490,112,240,19,0,0,0,0
PINAL DE AMOLES,250,1104,705,203,170,7,0,0,0,0
PINAL DE AMOLES,251,1049,659,139,267,61,0,0,0,0
PINAL DE AMOLES,252,500,345,106,101,5,0,0,0,0
PINAL DE AMOLES,253,1382,893,353,102,8,0,0,0,0
PINAL DE AMOLES,254,875,559,65,234,1,0,0,0,0
PINAL DE AMOLES,255,277,142,7,101,0,0,0,0,0
PINAL DE AMOLES,256,618,356,67,225,2,0,0,0,0
PINAL DE AMOLES,257,290,199,27,128,2,0,0,0,0
PINAL DE AMOLES,258,896,586,91,328,20,0,0,0,0
PINAL DE AMOLES,259,783,502,114,254,10,0,0,0,0
PINAL DE AMOLES,260,983,552,274,135,9,0,0,0,0
PINAL DE AMOLES,261,965,533,184,273,2,0,0,0,0
PINAL DE AMOLES,262,1149,685,135,375,14,0,0,0,0
PINAL DE AMOLES,263,508,317,57,142,10,0,0,0,0
PINAL DE AMOLES,264,503,291,122,75,3,0,0,0,0
PINAL DE AMOLES,265,218,114,43,59,4,0,0,0,0
QUERÉTARO,266,1925,1252,629,540,40,40,12,40,0
QUERÉTARO,267,1249,861,595,223,22,22,3,22,0
QUERÉTARO,268,1407,1098,856,179,32,32,18,32,0
QUERÉTARO,269,1373,1043,818,168,29,29,13,29,0
QUERÉTARO,270,1988,1248,730,371,83,83,30,83,0
QUERÉTARO,271,10640,7041,3521,2445,598,598,137,598,0
QUERÉTARO,272,1461,913,476,308,70,70,25,70,0
QUERÉTARO,273,2739,1693,1047,428,135,135,54,135,0
QUERÉTARO,274,1635,1115,688,310,44,44,23,44,0
QUERÉTARO,275,1171,730,336,271,53,53,13,53,0
QUERÉTARO,276,2067,890,418,364,72,72,8,72,0
QUERÉTARO,277,2627,1340,790,372,106,106,17,106,0
QUERÉTARO,278,1573,939,480,324,85,85,18,85,0
QUERÉTARO,279,833,655,380,194,35,35,14,35,0
QUERÉTARO,280,1275,958,577,279,37,37,13,37,0
QUERÉTARO,281,1468,1073,625,355,39,39,18,39,0
QUERÉTARO,282,2652,1900,1279,414,86,86,35,86,0
QUERÉTARO,283,1122,869,512,276,40,40,16,40,0
QUERÉTARO,284,1147,899,545,247,41,41,16,41,0
QUERÉTARO,285,1286,677,304,293,55,55,8,55,0
QUERÉTARO,286,1108,667,254,312,49,49,6,49,0
QUERÉTARO,287,1288,838,435,269,83,83,11,83,0
QUERÉTARO,288,1910,1307,762,377,101,101,32,101,0
QUERÉTARO,289,1025,744,490,181,34,34,13,34,0
QUERÉTARO,290,929,686,433,170,30,30,16,30,0
QUERÉTARO,291,1010,792,437,237,62,62,24,62,0
QUERÉTARO,292,1312,973,604,278,27,27,31,27,0
QUERÉTARO,293,4473,3026,2038,718,116,116,36,116,0
QUERÉTARO,294,935,648,410,164,34,34,16,34,0
QUERÉTARO,295,1526,883,374,422,47,47,9,47,0
QUERÉTARO,296,1082,746,393,269,41,41,6,41,0
QUERÉTARO,297,1401,1041,628,320,33,33,19,33,0
QUERÉTARO,298,1039,765,507,174,36,36,11,36,0
QUERÉTARO,299,1067,764,497,204,24,24,9,24,0
QUERÉTARO,300,1003,702,447,195,29,29,10,29,0
QUERÉTARO,301,1025,711,454,182,26,26,14,26,0
QUERÉTARO,302,1262,947,570,286,36,36,14,36,0
QUERÉTARO,303,1655,1140,569,326,163,163,25,163,0
QUERÉTARO,304,1588,999,441,407,91,91,13,91,0
QUERÉTARO,305,1773,785,454,246,43,43,14,43,0
QUERÉTARO,306,922,698,416,202,40,40,12,40,0
QUERÉTARO,307,884,643,412,169,21,21,13,21,0
QUERÉTARO,308,2619,1935,1374,361,93,93,36,93,0
QUERÉTARO,309,858,634,425,148,31,31,3,31,0
QUERÉTARO,310,975,714,460,159,41,41,13,41,0
QUERÉTARO,311,749,523,339,121,18,18,7,18,0
QUERÉTARO,312,956,707,401,224,22,22,10,22,0
QUERÉTARO,313,1225,939,667,202,38,38,10,38,0
QUERÉTARO,314,881,643,414,154,30,30,8,30,0
QUERÉTARO,315,821,610,385,169,22,22,11,22,0
QUERÉTARO,316,1490,1078,698,262,36,36,18,36,0
QUERÉTARO,317,793,564,376,126,28,28,9,28,0
QUERÉTARO,318,2742,1846,1064,577,90,90,48,90,0
QUERÉTARO,319,3070,2205,1295,653,137,137,39,137,0
QUERÉTARO,320,1785,1177,659,385,65,65,11,65,0
QUERÉTARO,321,881,638,408,168,28,28,9,28,0
QUERÉTARO,322,795,614,392,156,20,20,11,20,0
QUERÉTARO,323,3351,2449,1633,567,88,88,41,88,0
QUERÉTARO,324,1006,745,473,198,36,36,12,36,0
QUERÉTARO,325,1096,831,499,261,31,31,11,31,0
QUERÉTARO,326,1487,913,500,313,52,52,18,52,0
QUERÉTARO,327,1410,954,653,186,64,64,23,64,0
QUERÉTARO,328,1986,1359,856,373,62,62,31,62,0
QUERÉTARO,329,1713,1217,790,321,37,37,18,37,0
QUERÉTARO,330,976,670,427,176,32,32,7,32,0
QUERÉTARO,331,1764,1176,735,330,60,60,16,60,0
QUERÉTARO,332,1402,891,460,329,41,41,13,41,0
QUERÉTARO,333,1235,1005,695,228,29,29,19,29,0
QUERÉTARO,334,1239,946,691,163,50,50,16,50,0
QUERÉTARO,335,1151,761,443,244,18,18,22,18,0
QUERÉTARO,336,1254,817,475,243,49,49,6,49,0
QUERÉTARO,337,1109,823,535,196,36,36,23,36,0
QUERÉTARO,338,2210,1093,707,286,52,52,15,52,0
QUERÉTARO,339,845,617,380,176,21,21,12,21,0
QUERÉTARO,340,1793,1191,718,335,76,76,21,76,0
QUERÉTARO,341,1018,773,479,233,23,23,13,23,0
QUERÉTARO,342,715,516,320,134,22,22,12,22,0
QUERÉTARO,343,1548,1155,786,262,49,49,23,49,0
QUERÉTARO,344,2903,2068,1270,565,82,82,41,82,0
QUERÉTARO,345,1578,1119,669,314,74,74,22,74,0
QUERÉTARO,346,1470,985,534,337,57,57,17,57,0
QUERÉTARO,347,1174,860,549,227,31,31,17,31,0
QUERÉTARO,348,1142,825,504,187,69,69,9,69,0
QUERÉTARO,349,1300,987,689,225,44,44,12,44,0
QUERÉTARO,350,1133,837,467,269,35,35,9,35,0
QUERÉTARO,351,1321,1037,764,205,38,38,18,38,0
QUERÉTARO,352,908,578,333,194,22,22,10,22,0
QUERÉTARO,353,1567,1208,852,225,72,72,21,72,0
QUERÉTARO,354,1171,809,468,248,40,40,12,40,0
QUERÉTARO,355,1190,814,502,222,50,50,15,50,0
QUERÉTARO,356,1522,755,486,191,36,36,13,36,0
QUERÉTARO,357,1453,1064,684,253,66,66,17,66,0
QUERÉTARO,358,730,555,380,107,37,37,13,37,0
QUERÉTARO,359,1656,1249,760,334,69,69,26,69,0
QUERÉTARO,360,1493,969,559,310,61,61,19,61,0
QUERÉTARO,361,952,681,393,210,41,41,11,41,0
QUERÉTARO,362,1005,700,408,209,37,37,13,37,0
QUERÉTARO,363,1204,814,446,280,35,35,11,35,0
QUERÉTARO,364,1139,915,607,230,47,47,22,47,0
QUERÉTARO,365,882,588,317,210,25,25,10,25,0
QUERÉTARO,366,658,435,233,159,21,21,6,21,0
QUERÉTARO,367,655,476,287,132,21,21,5,21,0
QUERÉTARO,368,1189,837,490,270,35,35,17,35,0
QUERÉTARO,369,895,734,498,173,26,26,17,26,0
QUERÉTARO,370,868,639,392,192,27,27,10,27,0
QUERÉTARO,371,769,538,326,137,35,35,12,35,0
QUERÉTARO,372,1332,1026,682,258,51,51,12,51,0
QUERÉTARO,373,1264,888,469,321,58,58,18,58,0
QUERÉTARO,374,1001,784,543,163,34,34,26,34,0
QUERÉTARO,375,1302,996,614,280,41,41,24,41,0
QUERÉTARO,376,1201,837,492,262,37,37,17,37,0
QUERÉTARO,377,1196,848,484,281,34,34,16,34,0
QUERÉTARO,378,751,505,295,156,26,26,6,26,0
QUERÉTARO,379,850,672,429,190,27,27,14,27,0
QUERÉTARO,380,1343,959,621,264,38,38,13,38,0
QUERÉTARO,381,1062,695,426,190,35,35,20,35,0
QUERÉTARO,382,1446,1151,725,297,69,69,23,69,0
QUERÉTARO,383,976,760,485,218,26,26,16,26,0
QUERÉTARO,384,712,553,369,132,19,19,7,19,0
QUERÉTARO,385,661,440,276,114,27,27,8,27,0
QUERÉTARO,386,1237,926,586,269,29,29,8,29,0
QUERÉTARO,387,1030,784,477,234,53,53,10,53,0
QUERÉTARO,388,1188,890,529,285,34,34,16,34,0
QUERÉTARO,389,1182,908,647,192,37,37,13,37,0
QUERÉTARO,390,630,451,282,131,19,19,7,19,0
QUERÉTARO,391,617,453,300,108,21,21,6,21,0
QUERÉTARO,392,1138,909,560,255,26,26,19,26,0
QUERÉTARO,393,1635,1230,798,319,46,46,27,46,0
QUERÉTARO,394,1187,823,513,235,29,29,13,29,0
QUERÉTARO,395,1160,724,439,206,25,25,22,25,0
QUERÉTARO,396,1025,663,424,189,20,20,7,20,0
QUERÉTARO,397,960,661,415,185,28,28,5,28,0
QUERÉTARO,398,702,490,280,164,16,16,18,16,0
QUERÉTARO,399,1095,827,536,220,41,41,10,41,0
QUERÉTARO,400,649,456,290,121,24,24,8,24,0
QUERÉTARO,401,1043,801,514,218,35,35,18,35,0
QUERÉTARO,402,1043,831,563,211,33,33,10,33,0
QUERÉTARO,403,1114,874,569,245,29,29,19,29,0
QUERÉTARO,404,1316,1029,754,211,26,26,16,26,0
QUERÉTARO,405,933,732,491,189,20,20,23,20,0
QUERÉTARO,406,782,579,341,187,29,29,11,29,0
QUERÉTARO,407,1434,1050,652,317,39,39,18,39,0
QUERÉTARO,408,1168,817,519,208,47,47,19,47,0
QUERÉTARO,409,537,359,211,117,22,22,3,22,0
QUERÉTARO,410,1248,909,592,232,41,41,11,41,0
QUERÉTARO,411,623,440,311,85,19,19,13,19,0
QUERÉTARO,412,699,494,316,124,14,14,8,14,0
QUERÉTARO,413,879,663,412,175,35,35,13,35,0
QUERÉTARO,414,831,605,360,187,19,19,11,19,0
QUERÉTARO,415,898,696,456,171,26,26,14,26,0
QUERÉTARO,416,2594,1376,630,612,58,58,20,58,0
QUERÉTARO,417,846,632,394,162,32,32,12,32,0
QUERÉTARO,418,1013,787,493,219,33,33,9,33,0
QUERÉTARO,419,711,507,328,141,12,12,14,12,0
QUERÉTARO,420,1135,908,661,192,26,26,10,26,0
QUERÉTARO,421,1099,785,479,230,34,34,15,34,0
QUERÉTARO,422,955,711,426,217,34,34,17,34,0
QUERÉTARO,423,792,601,367,177,32,32,12,32,0
QUERÉTARO,424,881,655,400,201,24,24,10,24,0
QUERÉTARO,425,1103,813,508,225,45,45,18,45,0
QUERÉTARO,426,1304,978,634,280,23,23,13,23,0
QUERÉTARO,427,792,629,405,154,28,28,19,28,0
QUERÉTARO,428,1037,768,496,201,29,29,12,29,0
QUERÉTARO,429,905,696,423,208,25,25,12,25,0
QUERÉTARO,430,1282,938,582,272,38,38,25,38,0
QUERÉTARO,431,807,544,320,159,41,41,9,41,0
QUERÉTARO,432,706,532,333,158,13,13,14,13,0
QUERÉTARO,433,685,490,315,141,15,15,4,15,0
QUERÉTARO,434,954,685,397,231,31,31,5,31,0
QUERÉTARO,435,1485,1101,665,259,36,36,23,36,0
QUERÉTARO,436,851,641,388,165,17,17,7,17,0
QUERÉTARO,437,1199,891,578,228,48,48,18,48,0
QUERÉTARO,438,898,273,179,76,10,10,2,10,0
QUERÉTARO,439,1135,884,582,232,22,22,25,22,0
QUERÉTARO,440,1294,992,721,176,38,38,16,38,0
QUERÉTARO,441,595,464,301,128,16,16,7,16,0
QUERÉTARO,442,1208,950,625,209,69,69,21,69,0
QUERÉTARO,443,1006,801,485,237,26,26,19,26,0
QUERÉTARO,444,1596,1223,769,338,41,41,24,41,0
