SECCION,NOMBRE,DISTRITO,LISTANOMINAL,PAN,PRI,PRD,Convergencia,NA,PSD,PT,PVEM,NULOS,VALIDOS,TOTAL
60,CADEREYTA DE MONTES,14,1392,229,158,28,10,,4,103,23,35,555,590
61,CADEREYTA DE MONTES,14,1711,471,316,4,271,,3,32,14,34,1111,1145
62,CADEREYTA DE MONTES,14,513,235,32,3,11,,0,5,4,24,290,314
63,CADEREYTA DE MONTES,14,952,303,146,18,6,,0,10,5,66,488,554
64,CADEREYTA DE MONTES,14,787,251,166,1,28,,0,44,5,19,495,514
65,CADEREYTA DE MONTES,14,1582,374,283,22,16,,5,53,15,35,768,803
66,CADEREYTA DE MONTES,14,2640,1015,375,35,17,,7,210,22,79,1681,1760
67,CADEREYTA DE MONTES,14,865,180,118,12,2,,0,19,10,13,341,354
68,CADEREYTA DE MONTES,14,705,169,177,0,8,,1,3,3,13,361,374
69,CADEREYTA DE MONTES,14,1742,482,452,7,26,,1,90,14,49,1072,1121
70,CADEREYTA DE MONTES,14,2488,730,424,20,23,,9,117,11,41,1334,1375
71,CADEREYTA DE MONTES,14,1767,592,424,4,6,,1,52,32,28,1111,1139
72,CADEREYTA DE MONTES,14,1530,347,175,20,195,,3,118,26,46,884,930
73,CADEREYTA DE MONTES,14,2141,636,440,8,18,,0,14,12,46,1128,1174
74,CADEREYTA DE MONTES,14,732,187,221,15,1,,1,21,6,0,452,452
75,CADEREYTA DE MONTES,14,1643,524,335,22,19,,1,27,13,65,941,1006
76,COLÓN,13,1329,270,216,25,337,27,4,10,9,27,898,925
77,COLÓN,13,1420,327,149,33,382,21,10,16,6,25,944,969
78,COLÓN,13,1219,298,221,27,252,32,4,7,2,31,843,874
79,COLÓN,13,2476,568,350,81,509,75,37,23,15,53,1658,1711
80,COLÓN,13,445,30,120,5,75,6,8,5,5,24,254,278
81,COLÓN,13,1213,250,221,20,172,14,12,8,23,82,720,802
82,COLÓN,13,992,178,126,17,230,3,19,15,8,50,596,646
83,COLÓN,13,2222,383,334,28,470,17,78,18,31,92,1359,1451
84,COLÓN,13,1029,133,198,23,197,7,12,9,9,48,588,636
85,COLÓN,13,911,287,113,6,24,2,30,19,63,20,544,564
86,COLÓN,13,1012,122,292,12,73,3,82,5,12,27,601,628
87,COLÓN,13,1473,328,112,3,585,6,1,2,9,27,1046,1073
88,COLÓN,13,2020,465,162,7,741,11,5,5,17,69,1413,1482
89,COLÓN,13,2258,428,237,13,214,3,98,14,37,88,1044,1132
90,COLÓN,13,1157,256,156,4,98,5,18,15,183,41,735,776
91,COLÓN,13,1198,385,184,8,46,9,37,3,51,36,723,759
92,COLÓN,13,2872,626,488,33,110,12,252,14,44,74,1579,1653
93,COLÓN,13,2385,482,680,11,92,16,83,9,38,45,1411,1456
94,COLÓN,13,2017,402,306,18,108,4,86,7,21,73,952,1025
95,COLÓN,13,1566,239,424,18,47,5,74,9,14,56,830,886
96,COLÓN,13,2174,413,592,22,37,10,80,6,41,36,1201,1237
97,CORREGIDORA,7,2412,491,756,19,24,14,21,12,71,43,1408,1451
98,CORREGIDORA,7,2657,557,783,31,20,15,38,15,67,69,1526,1595
99,CORREGIDORA,7,3438,835,949,38,30,29,32,27,99,73,2039,2112
100,CORREGIDORA,7,2625,844,700,9,18,10,26,23,83,85,1713,1798
101,CORREGIDORA,7,1821,407,576,8,12,10,53,9,40,38,1115,1153
102,CORREGIDORA,7,1553,337,576,7,8,8,31,8,34,40,1009,1049
103,CORREGIDORA,7,3086,645,898,41,18,14,39,20,84,50,1759,1809
104,CORREGIDORA,7,1606,247,484,8,8,2,143,9,38,18,939,957
105,CORREGIDORA,7,4167,715,1331,37,33,7,86,17,141,40,2367,2407
106,CORREGIDORA,7,1878,275,482,11,12,13,172,4,81,29,1050,1079
107,CORREGIDORA,7,1692,277,424,8,12,5,155,6,65,29,952,981
108,CORREGIDORA,7,1886,295,398,17,11,7,139,8,72,30,947,977
109,CORREGIDORA,7,1773,282,429,11,15,2,179,22,60,38,1000,1038
110,CORREGIDORA,7,2463,589,714,15,11,23,20,13,106,64,1491,1555
111,CORREGIDORA,7,1984,389,666,24,12,18,11,15,77,38,1212,1250
112,CORREGIDORA,7,14697,4281,2554,145,177,204,101,149,605,329,8216,8545
113,CORREGIDORA,7,6666,2175,1251,81,46,52,52,54,257,238,3968,4206
114,CORREGIDORA,7,2742,509,834,30,46,12,14,15,95,44,1555,1599
115,CORREGIDORA,7,4596,852,1762,35,49,11,22,36,75,82,2842,2924
116,CORREGIDORA,7,1800,306,638,19,12,4,35,19,82,37,1115,1152
117,CORREGIDORA,7,1120,243,429,3,6,6,10,5,24,32,726,758
118,CORREGIDORA,7,1792,231,568,17,12,5,21,8,18,33,880,913
119,CORREGIDORA,7,1043,114,489,2,9,4,6,2,13,20,639,659
120,CORREGIDORA,7,2221,342,919,26,5,0,18,42,15,43,1367,1410
121,CORREGIDORA,7,2394,367,853,21,13,4,18,9,32,55,1317,1372
688,CORREGIDORA,7,826,279,167,7,8,4,3,14,23,19,505,524
689,CORREGIDORA,7,425,58,99,4,6,6,6,1,13,6,193,199
690,CORREGIDORA,7,269,59,67,3,2,2,4,1,5,5,143,148
694,CORREGIDORA,7,753,116,205,13,9,7,9,2,22,9,383,392
695,CORREGIDORA,7,754,184,182,10,6,1,1,18,23,7,425,432
122,EZEQUIEL MONTES,14,1777,265,243,43,20,14,,47,416,43,1048,1091
123,EZEQUIEL MONTES,14,1212,157,150,9,10,13,,24,429,13,792,805
124,EZEQUIEL MONTES,14,1695,292,222,53,17,19,,36,420,25,1059,1084
125,EZEQUIEL MONTES,14,1322,300,156,17,30,10,,33,294,27,840,867
126,EZEQUIEL MONTES,14,1609,409,310,13,24,21,,25,311,15,1113,1128
127,EZEQUIEL MONTES,14,1687,351,284,29,19,22,,39,359,22,1103,1125
128,EZEQUIEL MONTES,14,2724,491,311,43,21,15,,73,686,72,1640,1712
129,EZEQUIEL MONTES,14,1124,229,217,17,11,5,,17,220,28,716,744
130,EZEQUIEL MONTES,14,1451,275,233,40,12,11,,21,323,39,915,954
131,EZEQUIEL MONTES,14,1211,348,120,10,18,8,,35,257,30,796,826
132,EZEQUIEL MONTES,14,1029,181,84,8,11,14,,73,246,33,617,650
133,EZEQUIEL MONTES,14,1365,346,148,25,23,9,,15,216,34,782,816
134,EZEQUIEL MONTES,14,1147,178,154,14,36,12,,24,288,25,706,731
135,EZEQUIEL MONTES,14,1282,241,211,27,34,18,,17,253,35,801,836
136,EZEQUIEL MONTES,14,1369,235,142,18,46,61,,18,245,39,765,804
137,EZEQUIEL MONTES,14,1147,403,130,9,7,9,,36,174,45,768,813
138,EZEQUIEL MONTES,14,453,90,127,5,6,4,,19,70,8,321,329
139,HUIMILPAN,8,1946,237,498,61,109,44,,,75,59,1024,1083
140,HUIMILPAN,8,1289,159,378,27,103,25,,,21,36,713,749
141,HUIMILPAN,8,1856,409,548,64,134,22,,,42,32,1219,1251
142,HUIMILPAN,8,850,110,202,68,52,9,,,25,15,466,481
143,HUIMILPAN,8,1434,140,333,75,44,7,,,27,32,626,658
144,HUIMILPAN,8,1804,410,376,162,35,21,,,31,45,1035,1080
145,HUIMILPAN,8,1572,101,347,181,110,6,,,51,17,796,813
146,HUIMILPAN,8,905,54,154,37,74,9,,,109,28,437,465
147,HUIMILPAN,8,2284,369,524,93,201,15,,,49,83,1251,1334
148,HUIMILPAN,8,1206,97,329,106,41,4,,,27,25,604,629
149,HUIMILPAN,8,1136,154,273,63,33,18,,,34,32,575,607
150,HUIMILPAN,8,1658,185,333,46,62,9,,,119,34,754,788
151,HUIMILPAN,8,1121,174,117,41,122,8,,,36,34,498,532
152,HUIMILPAN,8,1993,327,326,53,203,34,,,71,82,1014,1096
153,JALPAN DE SERRA,15,2509,750,839,38,,,,,66,33,1693,1726
154,JALPAN DE SERRA,15,1831,648,521,26,,,,,19,28,1214,1242
155,JALPAN DE SERRA,15,1868,636,546,10,,,,,38,15,1230,1245
156,JALPAN DE SERRA,15,1628,591,444,10,,,,,33,19,1078,1097
157,JALPAN DE SERRA,15,970,318,281,3,,,,,7,29,609,638
158,JALPAN DE SERRA,15,1210,334,277,6,,,,,13,23,630,653
159,JALPAN DE SERRA,15,440,114,115,3,,,,,1,8,233,241
160,JALPAN DE SERRA,15,603,218,179,7,,,,,12,18,416,434
161,JALPAN DE SERRA,15,1174,384,344,3,,,,,9,28,740,768
162,JALPAN DE SERRA,15,621,130,171,8,,,,,7,13,316,329
163,JALPAN DE SERRA,15,927,227,203,2,,,,,9,27,441,468
164,JALPAN DE SERRA,15,868,250,193,4,,,,,13,30,460,490
165,JALPAN DE SERRA,15,546,138,130,14,,,,,12,21,294,315
166,JALPAN DE SERRA,15,612,182,143,12,,,,,7,13,344,357
167,JALPAN DE SERRA,15,1397,399,398,4,,,,,12,45,813,858
168,LANDA DE MATAMOROS,15,1859,312,558,67,137,,,5,,45,1079,1124
169,LANDA DE MATAMOROS,15,788,231,115,13,69,,,5,,29,433,462
170,LANDA DE MATAMOROS,15,822,235,194,6,78,,,4,,25,517,542
171,LANDA DE MATAMOROS,15,1463,383,250,42,145,,,23,,47,843,890
172,LANDA DE MATAMOROS,15,791,167,101,11,124,,,8,,26,411,437
173,LANDA DE MATAMOROS,15,681,160,109,5,165,,,1,,35,440,475
174,LANDA DE MATAMOROS,15,1242,177,214,45,237,,,8,,31,681,712
175,LANDA DE MATAMOROS,15,885,222,69,22,161,,,29,,52,503,555
176,LANDA DE MATAMOROS,15,1543,465,122,21,331,,,27,,46,966,1012
177,LANDA DE MATAMOROS,15,581,124,48,20,126,,,20,,32,338,370
178,LANDA DE MATAMOROS,15,499,76,146,13,42,,,3,,15,280,295
179,LANDA DE MATAMOROS,15,422,103,57,5,89,,,6,,19,260,279
180,LANDA DE MATAMOROS,15,1487,384,284,13,206,,,3,,40,890,930
181,LANDA DE MATAMOROS,15,442,11,226,5,37,,,2,,7,281,288
182,EL MARQUÉS,12,2259,779,701,29,23,5,2,11,27,20,1577,1597
183,EL MARQUÉS,12,2219,677,748,14,18,8,1,12,30,33,1508,1541
184,EL MARQUÉS,12,1644,508,498,21,15,6,1,9,19,31,1077,1108
185,EL MARQUÉS,12,1651,456,571,12,9,2,2,7,22,31,1081,1112
186,EL MARQUÉS,12,568,161,185,3,2,5,0,1,2,11,359,370
187,EL MARQUÉS,12,710,210,233,10,3,8,2,13,10,11,489,500
188,EL MARQUÉS,12,2608,687,724,17,29,11,7,5,26,68,1506,1574
189,EL MARQUÉS,12,1964,441,624,31,19,60,2,51,27,36,1255,1291
190,EL MARQUÉS,12,2169,629,735,22,21,18,3,13,33,48,1474,1522
191,EL MARQUÉS,12,2624,610,1081,29,19,23,2,8,21,38,1793,1831
192,EL MARQUÉS,12,1986,559,490,15,5,145,7,12,16,52,1249,1301
193,EL MARQUÉS,12,1305,268,484,21,10,19,2,2,10,36,816,852
194,EL MARQUÉS,12,1181,207,357,9,10,10,0,130,14,40,737,777
195,EL MARQUÉS,12,2714,647,985,29,23,13,8,16,41,50,1762,1812
196,EL MARQUÉS,12,2332,500,1119,7,22,7,6,8,18,48,1687,1735
197,EL MARQUÉS,12,1644,386,627,15,7,12,0,3,24,27,1074,1101
198,EL MARQUÉS,12,1833,584,647,8,11,10,3,4,16,30,1283,1313
199,EL MARQUÉS,12,1942,586,591,16,13,28,7,7,22,46,1270,1316
200,EL MARQUÉS,12,2049,530,701,17,23,17,9,11,31,29,1339,1368
201,EL MARQUÉS,12,2466,621,1011,26,20,30,9,11,39,25,1767,1792
202,EL MARQUÉS,12,2782,417,1023,27,32,20,7,34,22,46,1582,1628
203,EL MARQUÉS,12,2945,698,1100,23,63,34,4,8,67,43,1997,2040
204,EL MARQUÉS,12,2125,499,893,9,20,16,7,9,52,26,1505,1531
205,EL MARQUÉS,12,3155,972,968,19,12,18,10,10,90,47,2099,2146
206,EL MARQUÉS,12,1525,486,474,15,15,2,3,5,21,21,1021,1042
207,EL MARQUÉS,12,1949,524,634,15,13,9,4,4,48,22,1251,1273
208,EL MARQUÉS,12,2072,540,757,18,12,19,2,4,32,27,1384,1411
209,EL MARQUÉS,12,1393,311,605,7,3,4,1,7,24,17,962,979
555,EL MARQUÉS,12,896,129,356,12,4,4,1,4,32,25,542,567
760,EL MARQUÉS,12,670,134,266,5,8,4,1,4,11,14,433,447
761,EL MARQUÉS,12,102,29,33,2,0,0,0,0,2,1,66,67
762,EL MARQUÉS,12,1117,276,367,12,6,6,3,2,20,11,692,703
763,EL MARQUÉS,12,1083,195,459,18,0,4,1,7,20,26,704,730
210,PEDRO ESCOBEDO,11,1515,313,534,61,16,16,2,5,24,29,971,1000
211,PEDRO ESCOBEDO,11,1192,295,360,30,13,35,1,5,27,21,766,787
212,PEDRO ESCOBEDO,11,1401,310,551,63,8,14,4,3,31,15,984,999
213,PEDRO ESCOBEDO,11,1302,351,433,16,24,15,2,7,21,23,869,892
214,PEDRO ESCOBEDO,11,1819,312,483,74,37,75,2,6,34,28,1023,1051
215,PEDRO ESCOBEDO,11,1510,324,304,110,38,35,1,7,20,26,839,865
216,PEDRO ESCOBEDO,11,1965,358,366,415,24,33,9,20,43,38,1268,1306
217,PEDRO ESCOBEDO,11,1615,280,571,88,18,13,2,15,26,18,1013,1031
218,PEDRO ESCOBEDO,11,1067,275,309,45,4,16,3,1,16,10,669,679
219,PEDRO ESCOBEDO,11,1263,285,488,81,11,15,3,1,12,7,896,903
220,PEDRO ESCOBEDO,11,1468,295,354,77,10,38,1,10,36,29,821,850
221,PEDRO ESCOBEDO,11,1574,373,366,50,9,20,5,5,28,32,856,888
222,PEDRO ESCOBEDO,11,2184,658,614,100,5,20,2,8,19,40,1426,1466
223,PEDRO ESCOBEDO,11,1660,460,580,65,24,19,1,14,36,29,1199,1228
224,PEDRO ESCOBEDO,11,1869,527,416,141,58,41,10,21,48,31,1262,1293
225,PEDRO ESCOBEDO,11,1369,494,354,43,27,16,3,13,21,30,971,1001
226,PEDRO ESCOBEDO,11,1768,417,663,50,15,16,4,9,36,23,1210,1233
227,PEDRO ESCOBEDO,11,1913,386,473,150,26,41,3,45,24,39,1148,1187
228,PEDRO ESCOBEDO,11,1768,365,446,155,20,14,3,16,9,31,1028,1059
229,PEDRO ESCOBEDO,11,883,151,289,42,18,12,20,7,10,13,549,562
230,PEDRO ESCOBEDO,11,2866,617,971,157,22,17,10,15,37,44,1846,1890
231,PEDRO ESCOBEDO,11,2125,570,565,29,33,11,11,7,32,30,1258,1288
232,PEDRO ESCOBEDO,11,531,114,202,6,4,8,3,2,8,17,347,364
233,PEDRO ESCOBEDO,11,1500,554,311,40,26,13,4,22,17,33,987,1020
234,PEÑAMILLER,13,1204,91,257,5,454,32,,,12,48,851,899
235,PEÑAMILLER,13,375,20,155,1,76,5,,,1,20,258,278
236,PEÑAMILLER,13,336,36,49,0,114,0,,,1,15,200,215
237,PEÑAMILLER,13,1544,273,441,8,199,41,,,9,71,971,1042
238,PEÑAMILLER,13,554,66,108,7,101,5,,,3,17,290,307
239,PEÑAMILLER,13,470,52,48,0,98,8,,,0,14,206,220
240,PEÑAMILLER,13,1038,211,365,9,108,30,,,5,28,728,756
241,PEÑAMILLER,13,1010,136,175,8,230,33,,,8,25,590,615
242,PEÑAMILLER,13,914,134,213,5,124,23,,,9,15,508,523
243,PEÑAMILLER,13,643,29,107,2,182,75,,,11,23,406,429
244,PEÑAMILLER,13,451,79,139,2,73,22,,,0,7,315,322
245,PEÑAMILLER,13,1814,115,389,46,650,96,,,12,48,1308,1356
246,PEÑAMILLER,13,99,16,20,0,38,1,,,1,2,76,78
247,PEÑAMILLER,13,1370,83,292,35,490,40,,,9,31,949,980
248,PINAL DE AMOLES,15,1510,485,488,30,14,,,,,39,1017,1056
249,PINAL DE AMOLES,15,836,278,275,6,9,,,,,9,568,577
250,PINAL DE AMOLES,15,1428,490,273,5,8,,,,,42,776,818
251,PINAL DE AMOLES,15,1284,449,337,8,1,,,,,22,795,817
252,PINAL DE AMOLES,15,646,250,124,3,1,,,,,11,378,389
253,PINAL DE AMOLES,15,1924,765,351,12,47,,,,,55,1175,1230
254,PINAL DE AMOLES,15,1100,336,265,8,5,,,,,33,614,647
255,PINAL DE AMOLES,15,317,68,83,1,1,,,,,10,153,163
256,PINAL DE AMOLES,15,723,186,222,2,1,,,,,8,411,419
257,PINAL DE AMOLES,15,354,139,73,5,4,,,,,11,221,232
258,PINAL DE AMOLES,15,1103,406,208,18,3,,,,,53,635,688
259,PINAL DE AMOLES,15,959,267,222,30,17,,,,,44,536,580
260,PINAL DE AMOLES,15,1191,467,146,10,10,,,,,39,633,672
261,PINAL DE AMOLES,15,1209,259,339,12,3,,,,,37,613,650
262,PINAL DE AMOLES,15,1352,405,363,5,6,,,,,25,779,804
263,PINAL DE AMOLES,15,499,136,144,7,12,,,,,9,299,308
264,PINAL DE AMOLES,15,590,173,144,4,0,,,,,19,321,340
265,PINAL DE AMOLES,15,285,89,63,1,1,,,,,9,154,163
333,QUERÉTARO,1,1473,612,182,11,31,,3,27,38,57,904,961
338,QUERÉTARO,1,2825,953,514,29,72,,10,47,54,87,1679,1766
347,QUERÉTARO,1,1404,402,281,23,31,,4,30,18,36,789,825
348,QUERÉTARO,1,1197,330,285,19,24,,5,39,30,21,732,753
349,QUERÉTARO,1,1648,546,239,13,36,,17,23,42,54,916,970
350,QUERÉTARO,1,1187,310,294,14,25,,3,11,19,21,676,697
351,QUERÉTARO,1,1367,522,200,14,20,,2,11,52,77,821,898
354,QUERÉTARO,1,1166,323,314,10,21,,2,14,22,13,706,719
361,QUERÉTARO,1,1019,249,283,14,17,,6,19,31,9,619,628
362,QUERÉTARO,1,1007,232,239,18,24,,4,22,20,14,559,573
363,QUERÉTARO,1,1281,272,357,11,20,,7,12,22,12,701,713
364,QUERÉTARO,1,1551,620,264,25,34,,9,31,44,62,1027,1089
365,QUERÉTARO,1,920,203,232,9,15,,1,9,18,13,487,500
366,QUERÉTARO,1,640,132,181,6,8,,3,6,13,10,349,359
367,QUERÉTARO,1,691,179,164,7,7,,0,7,13,23,377,400
368,QUERÉTARO,1,1224,304,307,7,34,,6,16,31,297,705,1002
369,QUERÉTARO,1,1015,392,196,10,18,,4,23,16,28,659,687
370,QUERÉTARO,1,842,280,171,2,21,,5,21,20,24,520,544
371,QUERÉTARO,1,891,249,206,11,19,,6,12,15,29,518,547
375,QUERÉTARO,1,1447,519,267,16,77,,6,18,59,40,962,1002
376,QUERÉTARO,1,1309,358,296,14,18,,7,18,23,30,734,764
377,QUERÉTARO,1,1256,310,329,14,36,,3,13,22,21,727,748
378,QUERÉTARO,1,761,179,186,10,20,,2,14,21,11,432,443
379,QUERÉTARO,1,865,269,189,9,19,,5,18,27,26,536,562
380,QUERÉTARO,1,1344,397,332,12,25,,5,20,26,28,817,845
382,QUERÉTARO,1,1404,479,317,19,44,,9,23,35,43,926,969
383,QUERÉTARO,1,944,340,204,14,23,,6,31,18,29,636,665
384,QUERÉTARO,1,771,245,186,5,11,,5,12,21,16,485,501
385,QUERÉTARO,1,662,171,130,5,32,,9,13,12,17,372,389
390,QUERÉTARO,1,675,194,118,8,31,,8,18,18,17,395,412
391,QUERÉTARO,1,591,177,128,5,12,,0,13,15,12,350,362
392,QUERÉTARO,1,1087,351,239,12,37,,6,14,22,28,681,709
393,QUERÉTARO,1,1627,531,373,29,41,,10,29,35,36,1048,1084
394,QUERÉTARO,1,1214,252,353,14,16,,3,12,25,30,675,705
398,QUERÉTARO,1,681,137,227,9,9,,4,6,13,20,405,425
399,QUERÉTARO,1,1160,366,225,11,23,,2,24,24,36,675,711
400,QUERÉTARO,1,662,159,119,4,13,,7,8,21,17,331,348
401,QUERÉTARO,1,1007,379,195,4,24,,4,16,20,38,642,680
402,QUERÉTARO,1,1045,414,182,7,50,,2,13,43,34,711,745
410,QUERÉTARO,1,1228,434,206,14,12,,6,23,17,38,712,750
411,QUERÉTARO,1,638,190,93,4,18,,2,18,14,32,339,371
412,QUERÉTARO,1,619,183,126,1,5,,3,14,7,26,339,365
413,QUERÉTARO,1,895,267,157,14,22,,11,24,18,17,513,530
414,QUERÉTARO,1,776,220,190,7,18,,7,13,14,19,469,488
415,QUERÉTARO,1,901,336,161,6,12,,4,17,25,21,561,582
417,QUERÉTARO,1,870,259,188,8,27,,8,10,31,28,531,559
418,QUERÉTARO,1,970,312,191,8,31,,7,14,25,40,588,628
419,QUERÉTARO,1,657,206,128,4,17,,3,11,16,12,385,397
426,QUERÉTARO,1,1214,359,247,7,33,,13,19,37,43,715,758
428,QUERÉTARO,1,1063,345,213,10,30,,7,16,22,35,643,678
315,QUERÉTARO,2,1096,265,284,18,27,,3,10,43,21,650,671
316,QUERÉTARO,2,2106,542,481,21,53,,6,17,41,37,1161,1198
317,QUERÉTARO,2,1011,252,280,12,20,,8,14,30,17,616,633
321,QUERÉTARO,2,1422,384,351,21,23,,7,11,48,16,845,861
322,QUERÉTARO,2,1049,265,275,21,25,,1,6,24,11,617,628
323,QUERÉTARO,2,6909,1830,1547,100,123,,37,101,216,89,3954,4043
329,QUERÉTARO,2,2209,575,525,33,24,,5,23,69,30,1254,1284
330,QUERÉTARO,2,1328,304,375,22,24,,9,19,33,12,786,798
331,QUERÉTARO,2,2268,454,551,40,27,,5,31,51,21,1159,1180
340,QUERÉTARO,2,2175,468,598,32,24,,9,45,40,32,1216,1248
341,QUERÉTARO,2,1266,282,351,21,11,,11,29,46,12,751,763
342,QUERÉTARO,2,917,252,210,5,22,,3,17,22,18,531,549
343,QUERÉTARO,2,2746,811,579,37,54,,17,46,81,48,1625,1673
344,QUERÉTARO,2,4075,1000,985,67,68,,13,58,117,55,2308,2363
345,QUERÉTARO,2,2045,389,532,41,35,,13,28,37,32,1075,1107
346,QUERÉTARO,2,1721,344,489,28,22,,6,21,35,33,945,978
355,QUERÉTARO,2,1315,275,350,19,22,,6,17,36,18,725,743
356,QUERÉTARO,2,1942,474,442,28,33,,10,32,48,26,1067,1093
357,QUERÉTARO,2,2069,602,429,23,37,,6,36,64,43,1197,1240
358,QUERÉTARO,2,791,233,145,14,8,,4,20,39,28,463,491
359,QUERÉTARO,2,2416,721,539,34,40,,11,53,61,58,1459,1517
360,QUERÉTARO,2,1829,396,459,37,30,,9,40,34,14,1005,1019
381,QUERÉTARO,2,2247,593,440,27,35,,10,37,63,54,1205,1259
395,QUERÉTARO,2,1417,283,319,15,14,,8,15,25,8,679,687
396,QUERÉTARO,2,1235,220,290,18,20,,4,13,17,17,582,599
397,QUERÉTARO,2,1251,284,301,15,25,,7,9,33,17,674,691
416,QUERÉTARO,2,2870,416,621,30,37,,5,20,58,37,1187,1224
427,QUERÉTARO,2,1868,708,312,28,35,,12,42,67,74,1204,1278
517,QUERÉTARO,2,2135,828,440,34,10,,2,15,29,66,1358,1424
