Municipio,Sección,Lista Nominal,Total,PAN,PRI,PRD,PT,PVEM
PINAL DE AMOLES,262,1014,570,11,236,21,37,0
PINAL DE AMOLES,263,479,302,13,150,47,6,0
PINAL DE AMOLES,264,467,243,6,108,28,28,0
PINAL DE AMOLES,265,218,115,11,41,40,1,0
QUERÉTARO,266,1598,727,356,288,31,13,14
QUERÉTARO,267,1095,803,547,199,19,5,13
QUERÉTARO,268,1175,894,717,109,27,3,24
QUERÉTARO,269,1160,827,623,125,39,4,20
QUERÉTARO,270,1463,876,347,254,120,38,34
QUERÉTARO,271,5721,3555,1500,968,497,253,107
QUERÉTARO,272,1164,731,288,240,94,30,32
QUERÉTARO,273,2051,1250,541,313,287,21,38
QUERÉTARO,274,1472,976,448,282,98,41,30
QUERÉTARO,275,993,613,261,201,83,25,12
QUERÉTARO,276,1455,914,333,354,118,32,17
QUERÉTARO,277,1909,1357,743,329,126,43,62
QUERÉTARO,278,1082,689,322,198,68,18,16
QUERÉTARO,279,739,549,289,163,44,14,23
QUERÉTARO,280,1211,870,442,238,98,19,27
QUERÉTARO,281,1365,977,477,340,69,15,38
QUERÉTARO,282,1637,1144,631,307,89,38,43
QUERÉTARO,283,1042,770,377,257,60,13,27
QUERÉTARO,284,1045,782,449,202,55,18,27
QUERÉTARO,285,1119,1253,518,511,147,27,20
QUERÉTARO,286,893,541,205,224,50,25,12
QUERÉTARO,287,1082,726,367,192,89,28,20
QUERÉTARO,288,1484,1008,502,278,104,44,31
QUERÉTARO,289,953,657,349,179,44,30,25
QUERÉTARO,290,823,603,325,151,75,11,20
QUERÉTARO,291,882,661,326,182,78,15,16
QUERÉTARO,292,1177,892,474,282,64,21,23
QUERÉTARO,293,1787,1170,649,318,101,30,31
QUERÉTARO,294,822,565,328,130,60,11,10
QUERÉTARO,295,1112,693,282,248,69,33,28
QUERÉTARO,296,928,640,333,186,55,21,15
QUERÉTARO,297,1228,880,462,263,59,44,18
QUERÉTARO,298,883,642,355,149,64,33,17
QUERÉTARO,299,956,690,396,155,56,35,18
QUERÉTARO,300,901,621,345,179,42,15,26
QUERÉTARO,301,921,635,359,158,50,20,20
QUERÉTARO,302,1130,802,422,206,76,20,28
QUERÉTARO,303,1153,758,316,209,139,17,15
QUERÉTARO,304,1368,892,356,302,73,90,15
QUERÉTARO,305,1312,909,450,320,63,17,20
QUERÉTARO,306,898,662,350,189,71,11,18
QUERÉTARO,307,816,558,305,166,39,9,17
QUERÉTARO,308,1869,1306,772,295,127,38,43
QUERÉTARO,309,821,539,321,133,44,12,13
QUERÉTARO,310,853,595,335,147,60,20,15
QUERÉTARO,311,743,498,260,146,32,27,14
QUERÉTARO,312,881,600,337,146,35,36,21
QUERÉTARO,313,1025,764,549,130,41,4,22
QUERÉTARO,314,854,418,212,134,32,18,15
QUERÉTARO,315,713,468,252,137,26,17,19
QUERÉTARO,316,1281,883,491,250,75,22,21
QUERÉTARO,317,712,522,283,136,53,9,18
QUERÉTARO,318,2024,1399,793,352,99,27,54
QUERÉTARO,319,2418,1642,855,453,117,47,61
QUERÉTARO,320,1381,922,484,270,64,35,21
QUERÉTARO,321,645,459,263,131,30,11,14
QUERÉTARO,322,720,498,268,141,38,17,13
QUERÉTARO,323,1667,1145,668,276,93,23,47
QUERÉTARO,324,1012,716,403,193,42,22,32
QUERÉTARO,325,1147,843,431,263,60,32,23
QUERÉTARO,326,1470,926,486,252,81,31,16
QUERÉTARO,327,911,613,401,141,30,16,14
QUERÉTARO,328,1581,1020,553,275,85,23,23
QUERÉTARO,329,1669,1009,581,262,54,28,34
QUERÉTARO,330,925,623,363,153,41,25,16
QUERÉTARO,331,1504,1018,610,218,86,29,18
QUERÉTARO,332,1293,805,369,290,41,27,19
QUERÉTARO,333,1049,785,560,153,34,2,14
QUERÉTARO,334,1104,778,580,117,45,4,13
QUERÉTARO,335,1085,761,337,211,74,19,32
QUERÉTARO,336,1201,808,309,248,86,26,26
QUERÉTARO,337,973,655,377,170,44,3,21
QUERÉTARO,338,1798,1274,785,316,49,30,38
QUERÉTARO,339,823,579,322,166,40,9,22
QUERÉTARO,340,1486,1000,661,187,59,32,20
QUERÉTARO,341,920,638,363,169,35,27,21
QUERÉTARO,342,702,470,272,116,37,17,12
QUERÉTARO,343,1159,816,519,162,74,22,22
QUERÉTARO,344,2670,1840,1041,498,124,49,62
QUERÉTARO,345,1383,931,543,233,64,30,18
QUERÉTARO,346,1295,924,484,283,52,26,22
QUERÉTARO,347,1091,740,426,200,47,16,22
QUERÉTARO,348,1153,816,445,201,97,21,15
QUERÉTARO,349,1114,797,523,180,48,8,18
QUERÉTARO,350,1121,786,432,264,21,14,18
QUERÉTARO,351,1148,914,670,137,49,2,31
QUERÉTARO,352,835,549,284,149,24,13,22
QUERÉTARO,353,1166,859,575,152,70,12,33
QUERÉTARO,354,1112,764,381,227,50,36,25
QUERÉTARO,355,1122,732,448,169,55,10,22
QUERÉTARO,356,1410,1011,592,244,89,11,35
QUERÉTARO,357,1263,663,423,135,48,9,30
QUERÉTARO,358,693,492,334,82,23,11,24
QUERÉTARO,359,1262,918,549,212,67,19,32
QUERÉTARO,360,1391,890,498,236,75,20,18
QUERÉTARO,361,973,666,357,178,50,24,16
QUERÉTARO,362,1010,705,371,224,24,14,25
QUERÉTARO,363,1167,792,403,254,70,20,14
QUERÉTARO,364,1015,782,500,183,52,6,15
QUERÉTARO,365,872,589,305,194,17,12,19
QUERÉTARO,366,646,435,197,155,34,13,5
QUERÉTARO,367,663,472,262,136,30,8,10
QUERÉTARO,368,1226,939,557,265,32,23,22
QUERÉTARO,369,844,680,450,138,50,4,16
QUERÉTARO,370,838,605,336,183,29,13,24
QUERÉTARO,371,736,511,282,141,41,14,16
QUERÉTARO,372,1244,918,563,213,68,5,30
QUERÉTARO,373,1107,775,359,249,70,10,45
QUERÉTARO,374,925,681,488,120,34,11,12
QUERÉTARO,375,1160,881,550,218,39,11,22
QUERÉTARO,376,1092,732,399,198,42,20,22
QUERÉTARO,377,1178,801,397,288,42,17,17
QUERÉTARO,378,751,504,283,152,25,15,12
QUERÉTARO,379,867,653,408,145,37,18,20
QUERÉTARO,380,1359,946,549,240,76,9,27
QUERÉTARO,381,957,624,315,189,38,41,19
QUERÉTARO,382,1376,1072,625,308,46,11,43
QUERÉTARO,383,862,686,392,180,59,4,19
QUERÉTARO,384,697,513,309,145,21,4,16
QUERÉTARO,385,609,379,197,107,38,3,13
QUERÉTARO,386,1169,839,509,201,41,12,42
QUERÉTARO,387,997,757,435,181,51,9,37
QUERÉTARO,388,1136,831,497,233,37,7,33
QUERÉTARO,389,1050,754,545,133,34,4,17
QUERÉTARO,390,586,394,243,108,16,2,10
QUERÉTARO,391,579,407,239,104,27,7,11
QUERÉTARO,392,1095,860,449,308,33,6,25
QUERÉTARO,393,1557,1138,699,299,73,7,22
QUERÉTARO,394,1093,782,413,218,42,35,19
QUERÉTARO,395,1049,628,303,197,39,45,18
QUERÉTARO,396,1004,610,270,203,52,35,19
QUERÉTARO,397,799,512,255,143,52,26,15
QUERÉTARO,398,667,449,231,154,22,5,8
QUERÉTARO,399,1038,699,424,188,29,5,19
QUERÉTARO,400,573,424,272,104,18,2,9
QUERÉTARO,401,962,729,472,179,34,3,27
QUERÉTARO,402,944,741,493,166,30,3,21
QUERÉTARO,403,1010,764,516,172,21,3,23
QUERÉTARO,404,1044,807,602,146,27,1,13
QUERÉTARO,405,886,690,492,124,22,4,28
QUERÉTARO,406,730,519,277,123,41,23,13
QUERÉTARO,407,1342,930,532,258,51,14,34
QUERÉTARO,408,1089,757,444,189,46,22,25
QUERÉTARO,409,503,348,186,109,29,4,10
QUERÉTARO,410,1172,827,553,188,33,2,21
QUERÉTARO,411,632,436,257,110,26,5,13
QUERÉTARO,412,659,453,255,141,16,4,13
QUERÉTARO,413,872,627,384,155,34,10,16
QUERÉTARO,414,819,569,302,171,38,9,13
QUERÉTARO,415,841,641,374,186,31,2,16
QUERÉTARO,416,1952,1015,374,431,83,46,27
QUERÉTARO,417,810,587,316,191,32,4,16
QUERÉTARO,418,958,716,428,192,30,7,20
QUERÉTARO,419,647,462,265,131,15,4,18
QUERÉTARO,420,1068,849,642,144,21,7,13
QUERÉTARO,421,1106,766,448,206,38,20,29
QUERÉTARO,422,893,608,317,191,34,7,22
QUERÉTARO,423,741,530,314,146,20,7,21
QUERÉTARO,424,815,600,365,152,20,13,12
QUERÉTARO,425,1047,745,446,208,30,6,28
QUERÉTARO,426,1211,841,500,212,39,4,26
QUERÉTARO,427,736,574,357,128,38,5,18
QUERÉTARO,428,945,721,442,166,42,6,22
QUERÉTARO,429,838,647,356,215,21,8,22
QUERÉTARO,430,1221,911,514,248,32,13,37
QUERÉTARO,431,717,496,281,143,0,16,20
QUERÉTARO,432,641,443,282,116,15,2,8
QUERÉTARO,433,683,512,256,171,23,12,11
QUERÉTARO,434,910,625,345,194,31,12,18
QUERÉTARO,435,1248,887,507,249,60,26,19
QUERÉTARO,436,819,584,365,139,34,2,11
QUERÉTARO,437,1074,752,441,217,42,5,24
QUERÉTARO,438,830,588,362,153,40,3,15
QUERÉTARO,439,1038,804,509,204,28,11,25
QUERÉTARO,440,1240,452,295,103,20,1,14
QUERÉTARO,441,522,407,244,116,21,0,13
QUERÉTARO,442,1162,866,579,169,66,6,22
QUERÉTARO,443,899,687,401,201,35,11,28
QUERÉTARO,444,1544,1164,665,348,64,9,31
QUERÉTARO,445,1362,1085,699,240,69,6,37
QUERÉTARO,446,1007,899,545,156,28,2,20
QUERÉTARO,447,487,329,209,50,34,2,22
QUERÉTARO,448,949,737,463,181,43,6,15
QUERÉTARO,449,891,669,442,139,37,6,22
QUERÉTARO,450,834,651,448,115,45,5,15
QUERÉTARO,451,712,548,379,117,18,0,16
QUERÉTARO,452,1132,797,466,241,26,8,25
QUERÉTARO,453,919,678,472,141,22,3,23
QUERÉTARO,454,1224,947,665,203,23,3,26
QUERÉTARO,455,1101,837,486,230,48,11,35
QUERÉTARO,456,1041,752,570,103,31,1,24
QUERÉTARO,457,1068,815,560,169,36,2,14
QUERÉTARO,458,1209,927,522,295,34,11,40
QUERÉTARO,459,715,507,350,114,20,2,11
QUERÉTARO,460,1075,810,582,144,34,3,26
QUERÉTARO,461,1119,811,452,244,43,15,23
QUERÉTARO,462,970,706,369,219,39,20,18
QUERÉTARO,463,1149,869,567,207,35,3,28
QUERÉTARO,464,1120,812,497,207,42,8,30
QUERÉTARO,465,998,744,407,255,20,7,20
QUERÉTARO,466,1247,922,635,193,38,2,27
QUERÉTARO,467,1042,721,429,188,46,10,21
QUERÉTARO,468,1112,791,538,159,43,3,18
QUERÉTARO,469,883,701,513,103,38,2,22
QUERÉTARO,470,945,711,451,172,18,4,23
QUERÉTARO,471,924,610,332,172,45,14,22
QUERÉTARO,472,1255,424,240,107,33,12,15
QUERÉTARO,473,973,659,375,172,39,14,14
QUERÉTARO,474,882,665,446,143,32,0,16
QUERÉTARO,475,3067,2198,1396,405,251,19,62
QUERÉTARO,476,1123,812,526,185,48,2,27
QUERÉTARO,477,1264,823,478,221,47,13,21
QUERÉTARO,478,1102,701,382,184,58,18,21
QUERÉTARO,479,1225,793,429,226,61,22,19
QUERÉTARO,480,1051,686,345,213,46,19,16
QUERÉTARO,481,1733,1295,817,263,130,7,41
QUERÉTARO,482,914,724,462,153,59,6,16
QUERÉTARO,483,518,417,270,96,25,4,11
QUERÉTARO,484,994,793,548,134,45,7,21
QUERÉTARO,485,603,481,340,97,13,1,15
QUERÉTARO,486,1302,818,439,248,64,17,15
QUERÉTARO,487,1254,849,471,246,57,24,24
QUERÉTARO,488,1740,1161,563,362,124,30,27
QUERÉTARO,489,1174,783,436,219,60,29,22
QUERÉTARO,490,1050,750,398,214,56,14,19
QUERÉTARO,491,1919,1454,1060,237,70,9,40
QUERÉTARO,492,1196,805,415,215,103,16,28
QUERÉTARO,493,1256,864,410,259,100,32,17
QUERÉTARO,494,1236,768,398,205,88,18,8
QUERÉTARO,495,1907,1245,627,303,187,42,47
QUERÉTARO,496,1349,846,413,231,100,31,28
QUERÉTARO,497,1273,800,417,205,99,20,17
QUERÉTARO,498,1271,860,426,276,59,24,31
QUERÉTARO,499,1142,717,375,214,46,26,23
QUERÉTARO,500,1218,842,419,264,54,32,34
QUERÉTARO,501,1025,685,370,184,52,31,19
QUERÉTARO,502,1146,771,492,202,18,22,15
QUERÉTARO,503,1114,707,386,186,63,28,21
QUERÉTARO,504,1122,736,398,174,77,40,17
QUERÉTARO,505,1206,814,384,263,77,16,23
QUERÉTARO,506,887,628,353,162,61,5,21
QUERÉTARO,507,897,605,353,164,44,14,15
QUERÉTARO,508,1202,750,417,189,81,13,18
QUERÉTARO,509,1048,718,423,192,61,9,24
QUERÉTARO,510,1452,944,480,240,126,34,25
QUERÉTARO,511,1122,715,370,229,36,40,16
QUERÉTARO,512,1016,691,395,183,27,34,18
QUERÉTARO,513,1790,1109,560,215,183,103,17
QUERÉTARO,514,929,652,356,166,62,19,19
QUERÉTARO,515,932,637,358,166,64,11,23
QUERÉTARO,516,780,511,54,355,20,15,8
QUERÉTARO,517,1258,931,256,488,70,27,14
QUERÉTARO,518,1510,1097,532,387,73,25,22
