CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,MC,NVA_ALIANZA,PVEM,ES,MORENA,PH,PT,PRI_NVA_ALIANZA_PVEM_PT,PRI_NVA_ALIANZA_PVEM,PRI_PVEM_PT,PRI_NVA_ALIANZA_PT,NVA_ALIANZA_PVEM_PT,PRI_NVA_ALIANZA,PRI_PVEM,PRI_PT,NVA_ALIANZA_PVEM,NVA_ALIANZA_PT,PVEM_PT,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,PAN_PRD,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,22,QUERETARO,8,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,11,3,469,294,9,12,22,16,9,8,,6,,,,,,,,1,,,,,,,,,,,,1,846,22,869,1296
2,22,QUERETARO,8,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,12,2,205,244,2,1,3,19,52,5,,4,,,,,,,,2,,,,,,,,,,,,0,537,23,560,777
2,22,QUERETARO,8,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,13,4,590,362,8,11,6,15,13,3,,4,,,,,,,,0,,,,,,,,,,,,0,1012,37,1049,1518
2,22,QUERETARO,8,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,14,4,664,597,94,9,22,19,8,2,,5,,,,,,,,0,,,,,,,,,,,,0,1420,79,1499,2081
2,22,QUERETARO,8,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,15,3,478,547,14,6,13,26,12,6,,3,,,,,,,,0,,,,,,,,,,,,0,1105,79,1184,1777
2,22,QUERETARO,8,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,16,2,429,174,6,8,7,7,5,4,,1,,,,,,,,1,,,,,,,,,,,,1,642,21,664,1008
2,22,QUERETARO,8,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,17,2,454,373,4,5,5,10,4,3,,3,,,,,,,,2,,,,,,,,,,,,0,863,40,903,1268
2,22,QUERETARO,8,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,18,1,207,207,15,1,1,5,0,1,,1,,,,,,,,2,,,,,,,,,,,,0,440,15,455,612
2,22,QUERETARO,8,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,19,6,1133,716,40,4,25,46,14,24,,3,,,,,,,,4,,,,,,,,,,,,0,2009,109,2118,3095
2,22,QUERETARO,8,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,20,2,279,182,9,4,6,13,2,2,,2,,,,,,,,1,,,,,,,,,,,,0,500,24,524,772
2,22,QUERETARO,8,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,21,1,178,162,15,0,3,15,6,0,,3,,,,,,,,1,,,,,,,,,,,,4,383,10,397,538
2,22,QUERETARO,8,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,22,4,497,530,16,3,11,27,11,21,,7,,,,,,,,1,,,,,,,,,,,,0,1124,58,1182,1735
2,22,QUERETARO,8,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,23,3,553,650,10,2,6,17,12,3,,0,,,,,,,,4,,,,,,,,,,,,0,1257,45,1302,1767
2,22,QUERETARO,8,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,24,3,757,640,11,4,2,2,1,2,,0,,,,,,,,6,,,,,,,,,,,,0,1425,47,1472,1863
2,22,QUERETARO,8,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,25,3,454,455,6,5,3,8,11,0,,1,,,,,,,,1,,,,,,,,,,,,5,944,25,974,1325
2,22,QUERETARO,8,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,26,3,511,322,4,2,9,3,2,10,,0,,,,,,,,0,,,,,,,,,,,,0,863,34,897,1228
2,22,QUERETARO,8,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,27,2,285,267,2,2,4,2,1,3,,1,,,,,,,,0,,,,,,,,,,,,0,567,34,601,916
2,22,QUERETARO,8,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,28,2,343,217,6,2,0,7,1,0,,1,,,,,,,,0,,,,,,,,,,,,0,577,12,589,824
2,22,QUERETARO,8,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,29,2,183,228,8,0,12,4,2,2,,2,,,,,,,,0,,,,,,,,,,,,0,441,34,475,810
2,22,QUERETARO,8,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,30,3,415,327,7,2,8,20,3,4,,2,,,,,,,,0,,,,,,,,,,,,0,788,44,832,1164
2,22,QUERETARO,8,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,31,1,180,228,1,1,5,6,5,0,,2,,,,,,,,2,,,,,,,,,,,,0,430,28,458,702
2,22,QUERETARO,8,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,32,2,281,277,5,1,10,12,2,6,,3,,,,,,,,0,,,,,,,,,,,,0,597,35,632,1023
2,22,QUERETARO,8,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,33,3,618,447,30,2,13,22,6,11,,4,,,,,,,,2,,,,,,,,,,,,1,1155,84,1240,1977
2,22,QUERETARO,8,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,34,1,243,220,3,5,3,2,2,0,,2,,,,,,,,0,,,,,,,,,,,,0,480,12,492,667
2,22,QUERETARO,15,JALPAN DE SERRA,2,ARROYO SECO,35,3,667,417,51,,3,3,,29,,2,,,,,,,,1,0,,,,,,,,,,,0,1173,34,1207,1646
2,22,QUERETARO,15,JALPAN DE SERRA,2,ARROYO SECO,36,1,300,131,23,,2,1,,0,,1,,,,,,,,1,0,,,,,,,,,,,0,459,17,476,729
2,22,QUERETARO,15,JALPAN DE SERRA,2,ARROYO SECO,37,1,110,51,9,,1,2,,1,,1,,,,,,,,0,0,,,,,,,,,,,0,175,3,178,271
2,22,QUERETARO,15,JALPAN DE SERRA,2,ARROYO SECO,38,1,118,31,1,,0,0,,1,,0,,,,,,,,0,0,,,,,,,,,,,0,151,2,153,199
2,22,QUERETARO,15,JALPAN DE SERRA,2,ARROYO SECO,39,3,767,464,85,,10,4,,78,,2,,,,,,,,0,1,,,,,,,,,,,0,1411,29,1440,1987
2,22,QUERETARO,15,JALPAN DE SERRA,2,ARROYO SECO,40,1,104,51,26,,1,0,,2,,0,,,,,,,,0,0,,,,,,,,,,,0,184,7,191,268
2,22,QUERETARO,15,JALPAN DE SERRA,2,ARROYO SECO,41,3,287,192,120,,3,0,,28,,2,,,,,,,,0,0,,,,,,,,,,,0,632,21,653,961
2,22,QUERETARO,15,JALPAN DE SERRA,2,ARROYO SECO,42,2,452,137,54,,3,3,,24,,1,,,,,,,,1,0,,,,,,,,,,,0,675,12,687,958
2,22,QUERETARO,15,JALPAN DE SERRA,2,ARROYO SECO,43,2,248,369,2,,1,4,,2,,0,,,,,,,,1,0,,,,,,,,,,,0,627,15,642,876
2,22,QUERETARO,15,JALPAN DE SERRA,2,ARROYO SECO,44,1,71,93,61,,20,1,,0,,0,,,,,,,,0,1,,,,,,,,,,,0,247,12,259,329
2,22,QUERETARO,15,JALPAN DE SERRA,2,ARROYO SECO,45,4,835,702,43,,5,3,,36,,2,,,,,,,,2,1,,,,,,,,,,,0,1629,34,1663,2255
2,22,QUERETARO,14,CADEREYTA DE MONTES,3,CADEREYTA DE MONTES,46,4,497,341,9,39,25,77,18,28,60,5,,,,,,,,2,,,,,,,671,,,,,0,1772,52,1824,2773
2,22,QUERETARO,14,CADEREYTA DE MONTES,3,CADEREYTA DE MONTES,47,3,344,283,4,5,70,64,11,17,30,7,,,,,,,,2,,,,,,,464,,,,,4,1301,52,1357,1916
2,22,QUERETARO,14,CADEREYTA DE MONTES,3,CADEREYTA DE MONTES,48,4,540,231,10,7,23,43,9,5,5,8,,,,,,,,1,,,,,,,335,,,,,1,1217,28,1246,1266
2,22,QUERETARO,14,CADEREYTA DE MONTES,3,CADEREYTA DE MONTES,49,3,403,274,5,8,37,27,9,16,10,13,,,,,,,,2,,,,,,,564,,,,,1,1368,33,1402,2097
2,22,QUERETARO,14,CADEREYTA DE MONTES,3,CADEREYTA DE MONTES,50,4,404,297,28,19,42,34,20,21,26,9,,,,,,,,6,,,,,,,667,,,,,0,1573,54,1627,2501
2,22,QUERETARO,14,CADEREYTA DE MONTES,3,CADEREYTA DE MONTES,51,3,300,227,7,119,41,14,19,15,19,2,,,,,,,,5,,,,,,,418,,,,,0,1186,38,1224,1842
2,22,QUERETARO,14,CADEREYTA DE MONTES,3,CADEREYTA DE MONTES,52,2,114,126,6,1,10,84,2,0,1,2,,,,,,,,0,,,,,,,1,,,,,0,347,23,370,1178
2,22,QUERETARO,14,CADEREYTA DE MONTES,3,CADEREYTA DE MONTES,53,2,94,87,10,8,8,137,1,4,4,3,,,,,,,,1,,,,,,,47,,,,,2,404,34,440,953
2,22,QUERETARO,14,CADEREYTA DE MONTES,3,CADEREYTA DE MONTES,54,2,229,161,6,5,7,39,6,0,0,1,,,,,,,,0,,,,,,,64,,,,,0,518,23,541,829
2,22,QUERETARO,14,CADEREYTA DE MONTES,3,CADEREYTA DE MONTES,55,2,261,284,1,1,5,32,3,17,2,3,,,,,,,,3,,,,,,,143,,,,,0,755,18,773,1170
2,22,QUERETARO,14,CADEREYTA DE MONTES,3,CADEREYTA DE MONTES,56,2,369,110,16,1,2,18,3,25,0,4,,,,,,,,2,,,,,,,10,,,,,0,560,40,600,1011
2,22,QUERETARO,14,CADEREYTA DE MONTES,3,CADEREYTA DE MONTES,57,1,188,82,0,1,10,53,12,7,2,4,,,,,,,,1,,,,,,,36,,,,,0,396,5,401,686
2,22,QUERETARO,14,CADEREYTA DE MONTES,3,CADEREYTA DE MONTES,58,2,200,192,4,2,13,174,1,4,2,3,,,,,,,,0,,,,,,,29,,,,,0,624,43,667,1081
2,22,QUERETARO,14,CADEREYTA DE MONTES,3,CADEREYTA DE MONTES,59,2,99,215,6,5,16,17,17,2,23,3,,,,,,,,1,,,,,,,27,,,,,0,431,59,490,884
2,22,QUERETARO,14,CADEREYTA DE MONTES,3,CADEREYTA DE MONTES,60,3,196,131,14,7,13,215,4,12,3,4,,,,,,,,0,,,,,,,99,,,,,0,698,40,738,1590
2,22,QUERETARO,14,CADEREYTA DE MONTES,3,CADEREYTA DE MONTES,61,3,504,263,3,6,35,72,0,10,7,5,,,,,,,,2,,,,,,,385,,,,,0,1292,75,1367,2009
2,22,QUERETARO,14,CADEREYTA DE MONTES,3,CADEREYTA DE MONTES,62,1,82,59,4,1,10,62,3,0,2,3,,,,,,,,0,,,,,,,59,,,,,0,285,27,312,600
2,22,QUERETARO,14,CADEREYTA DE MONTES,3,CADEREYTA DE MONTES,63,2,138,157,10,5,6,40,1,8,6,3,,,,,,,,4,,,,,,,73,,,,,1,451,47,499,1086
2,22,QUERETARO,14,CADEREYTA DE MONTES,3,CADEREYTA DE MONTES,64,2,244,141,1,9,6,24,3,3,5,1,,,,,,,,3,,,,,,,139,,,,,0,579,31,610,885
2,22,QUERETARO,14,CADEREYTA DE MONTES,3,CADEREYTA DE MONTES,65,3,345,241,9,9,10,164,10,11,10,6,,,,,,,,3,,,,,,,194,,,,,0,1012,86,1098,1883
2,22,QUERETARO,14,CADEREYTA DE MONTES,3,CADEREYTA DE MONTES,66,5,689,441,8,14,66,132,29,16,124,10,,,,,,,,5,,,,,,,401,,,,,1,1935,92,2028,3133
2,22,QUERETARO,14,CADEREYTA DE MONTES,3,CADEREYTA DE MONTES,67,2,93,131,1,3,15,84,7,0,3,0,,,,,,,,1,,,,,,,77,,,,,0,415,11,426,860
2,22,QUERETARO,14,CADEREYTA DE MONTES,3,CADEREYTA DE MONTES,68,2,275,130,1,2,2,22,1,1,0,3,,,,,,,,1,,,,,,,4,,,,,0,442,14,456,792
2,22,QUERETARO,14,CADEREYTA DE MONTES,3,CADEREYTA DE MONTES,69,3,406,295,6,25,36,49,13,15,24,7,,,,,,,,2,,,,,,,452,,,,,0,1330,55,1385,2014
2,22,QUERETARO,14,CADEREYTA DE MONTES,3,CADEREYTA DE MONTES,70,4,383,244,3,6,15,320,21,8,70,5,,,,,,,,2,,,,,,,371,,,,,3,1448,62,1513,2678
2,22,QUERETARO,14,CADEREYTA DE MONTES,3,CADEREYTA DE MONTES,71,4,465,365,1,10,13,97,5,12,6,3,,,,,,,,3,,,,,,,213,,,,,2,1193,28,1223,2014
2,22,QUERETARO,14,CADEREYTA DE MONTES,3,CADEREYTA DE MONTES,72,3,342,220,8,31,24,55,12,30,33,12,,,,,,,,3,,,,,,,388,,,,,0,1158,50,1208,1844
2,22,QUERETARO,14,CADEREYTA DE MONTES,3,CADEREYTA DE MONTES,73,4,643,582,7,3,6,16,7,8,8,1,,,,,,,,4,,,,,,,49,,,,,0,1334,43,1377,2314
2,22,QUERETARO,14,CADEREYTA DE MONTES,3,CADEREYTA DE MONTES,74,2,266,250,3,0,3,8,0,0,0,3,,,,,,,,2,,,,,,,67,,,,,0,602,21,623,881
2,22,QUERETARO,14,CADEREYTA DE MONTES,3,CADEREYTA DE MONTES,75,3,473,334,26,10,18,38,14,3,11,6,,,,,,,,1,,,,,,,212,,,,,0,1146,83,1229,1854
2,22,QUERETARO,13,TOLIMAN,4,COLON,76,2,298,338,20,234,,66,6,12,12,4,,,,,,,,,,,,,,,,,,,,0,990,32,1022,1356
2,22,QUERETARO,13,TOLIMAN,4,COLON,77,3,371,308,28,241,,73,17,19,40,7,,,,,,,,,,,,,,,,,,,,2,1104,31,1137,1594
2,22,QUERETARO,13,TOLIMAN,4,COLON,78,2,322,405,14,155,,79,16,24,16,2,,,,,,,,,,,,,,,,,,,,0,1033,29,1062,1368
2,22,QUERETARO,13,TOLIMAN,4,COLON,79,5,620,575,65,500,,155,28,44,27,11,,,,,,,,,,,,,,,,,,,,3,2025,67,2095,3107
2,22,QUERETARO,13,TOLIMAN,4,COLON,80,1,43,147,2,24,,19,4,7,5,5,,,,,,,,,,,,,,,,,,,,0,256,14,270,449
2,22,QUERETARO,13,TOLIMAN,4,COLON,81,2,285,479,14,22,,33,2,6,11,1,,,,,,,,,,,,,,,,,,,,0,853,52,905,1343
2,22,QUERETARO,13,TOLIMAN,4,COLON,82,2,425,314,2,28,,15,13,2,5,1,,,,,,,,,,,,,,,,,,,,0,805,23,828,1060
2,22,QUERETARO,13,TOLIMAN,4,COLON,83,4,616,897,26,205,,73,17,24,23,10,,,,,,,,,,,,,,,,,,,,1,1891,74,1966,2761
2,22,QUERETARO,13,TOLIMAN,4,COLON,84,2,284,241,39,66,,29,14,24,13,17,,,,,,,,,,,,,,,,,,,,0,727,57,784,1265
2,22,QUERETARO,13,TOLIMAN,4,COLON,85,2,292,161,65,47,,18,5,29,8,15,,,,,,,,,,,,,,,,,,,,0,640,35,675,980
2,22,QUERETARO,13,TOLIMAN,4,COLON,86,2,275,280,103,51,,41,13,4,3,3,,,,,,,,,,,,,,,,,,,,0,773,33,806,1232
2,22,QUERETARO,13,TOLIMAN,4,COLON,87,3,225,203,1,608,,56,5,2,6,4,,,,,,,,,,,,,,,,,,,,1,1110,28,1139,1691
2,22,QUERETARO,13,TOLIMAN,4,COLON,88,4,269,300,7,787,,88,11,7,10,4,,,,,,,,,,,,,,,,,,,,1,1483,54,1538,2277
2,22,QUERETARO,13,TOLIMAN,4,COLON,89,5,667,388,18,399,,97,21,15,13,35,,,,,,,,,,,,,,,,,,,,0,1653,114,1767,2811
2,22,QUERETARO,13,TOLIMAN,4,COLON,90,2,493,293,3,172,,42,5,7,6,1,,,,,,,,,,,,,,,,,,,,0,1022,33,1055,1393
2,22,QUERETARO,13,TOLIMAN,4,COLON,91,2,584,303,14,56,,27,6,5,11,10,,,,,,,,,,,,,,,,,,,,0,1016,41,1057,1410
2,22,QUERETARO,13,TOLIMAN,4,COLON,92,6,941,697,37,199,,124,26,25,21,24,,,,,,,,,,,,,,,,,,,,2,2094,90,2186,3513
2,22,QUERETARO,13,TOLIMAN,4,COLON,93,5,753,533,36,152,,110,23,23,13,17,,,,,,,,,,,,,,,,,,,,0,1660,48,1708,2813
2,22,QUERETARO,13,TOLIMAN,4,COLON,94,4,402,271,19,176,,37,112,3,7,6,,,,,,,,,,,,,,,,,,,,0,1033,48,1081,2505
2,22,QUERETARO,13,TOLIMAN,4,COLON,95,3,611,343,25,61,,35,58,9,8,38,,,,,,,,,,,,,,,,,,,,0,1188,44,1232,1936
2,22,QUERETARO,13,TOLIMAN,4,COLON,96,4,906,312,25,78,,78,11,8,15,82,,,,,,,,,,,,,,,,,,,,1,1515,42,1558,2626
2,22,QUERETARO,7,CORREGIDORA,5,CORREGIDORA,97,6,1320,564,56,11,28,39,52,83,53,27,,22,,,,4,10,,2,,,,,,,,161,,,0,2432,71,2503,4436
2,22,QUERETARO,7,CORREGIDORA,5,CORREGIDORA,98,5,1116,450,29,14,23,37,28,60,51,11,,13,,,,2,7,,0,,,,,,,,142,,,1,1983,51,2035,3507
2,22,QUERETARO,7,CORREGIDORA,5,CORREGIDORA,99,12,2582,923,81,44,61,42,73,228,110,20,,20,,,,2,12,,0,,,,,,,,308,,,10,4506,129,4645,8371
2,22,QUERETARO,7,CORREGIDORA,5,CORREGIDORA,100,6,1324,410,28,12,16,20,37,51,43,13,,1,,,,1,2,,1,,,,,,,,104,,,3,2063,67,2133,3141
2,22,QUERETARO,7,CORREGIDORA,5,CORREGIDORA,101,4,718,322,31,7,15,18,21,43,19,20,,9,,,,1,8,,0,,,,,,,,132,,,6,1364,40,1410,2382
2,22,QUERETARO,7,CORREGIDORA,5,CORREGIDORA,102,3,423,328,16,2,35,15,15,21,20,10,,12,,,,3,2,,0,,,,,,,,68,,,0,970,22,992,1594
2,22,QUERETARO,7,CORREGIDORA,5,CORREGIDORA,103,6,1111,480,41,17,40,37,54,95,40,13,,11,,,,1,9,,0,,,,,,,,196,,,0,2145,64,2209,4147
2,22,QUERETARO,7,CORREGIDORA,5,CORREGIDORA,104,3,392,261,13,12,15,10,20,26,16,4,,6,,,,1,8,,0,,,,,,,,122,,,0,906,21,927,1661
2,22,QUERETARO,7,CORREGIDORA,5,CORREGIDORA,105,10,1406,1081,112,37,67,66,86,116,63,46,,28,,,,2,19,,1,,,,,,,,209,,,2,3339,106,3447,6939
2,22,QUERETARO,7,CORREGIDORA,5,CORREGIDORA,106,3,438,265,32,5,17,12,53,51,16,9,,8,,,,3,1,,0,,,,,,,,114,,,0,1024,38,1062,1929
2,22,QUERETARO,7,CORREGIDORA,5,CORREGIDORA,107,3,420,237,25,1,14,12,35,21,23,5,,6,,,,2,10,,0,,,,,,,,91,,,0,902,42,944,1823
2,22,QUERETARO,7,CORREGIDORA,5,CORREGIDORA,108,3,479,212,22,4,12,9,36,47,22,4,,9,,,,0,7,,0,,,,,,,,112,,,1,975,403,1379,2046
2,22,QUERETARO,7,CORREGIDORA,5,CORREGIDORA,109,3,493,249,27,6,20,17,18,28,18,9,,8,,,,1,4,,0,,,,,,,,45,,,0,943,51,994,1925
2,22,QUERETARO,7,CORREGIDORA,5,CORREGIDORA,110,4,781,398,32,19,26,29,45,72,32,14,,14,,,,0,8,,0,,,,,,,,68,,,3,1538,60,1601,2779
2,22,QUERETARO,7,CORREGIDORA,5,CORREGIDORA,111,4,665,346,15,12,22,26,36,72,31,17,,7,,,,2,5,,0,,,,,,,,39,,,0,1295,55,1350,2445
2,22,QUERETARO,7,CORREGIDORA,5,CORREGIDORA,113,13,3449,901,76,38,22,45,114,288,88,33,,15,,,,0,7,,0,,,,,,,,85,,,10,5161,177,5348,8439
2,22,QUERETARO,7,CORREGIDORA,5,CORREGIDORA,114,6,911,658,55,17,40,48,76,85,73,20,,20,,,,3,10,,0,,,,,,,,51,,,0,2067,68,2135,4053
2,22,QUERETARO,7,CORREGIDORA,5,CORREGIDORA,115,10,2156,912,100,31,36,45,52,112,60,73,,22,,,,11,20,,9,,,,,,,,63,,,2,3702,126,3830,7140
2,22,QUERETARO,7,CORREGIDORA,5,CORREGIDORA,116,5,659,484,43,6,26,52,56,48,38,31,,20,,,,0,21,,1,,,,,,,,88,,,1,1573,76,1650,2877
2,22,QUERETARO,7,CORREGIDORA,5,CORREGIDORA,117,4,861,284,35,3,13,21,18,50,26,9,,4,,,,0,5,,0,,,,,,,,42,,,5,1371,51,1427,2189
2,22,QUERETARO,7,CORREGIDORA,5,CORREGIDORA,118,3,313,474,267,1,12,23,3,14,6,4,,19,,,,5,14,,2,,,,,,,,7,,,0,1164,52,1216,2164
2,22,QUERETARO,7,CORREGIDORA,5,CORREGIDORA,119,2,223,420,52,5,26,5,10,5,13,2,,4,,,,4,3,,0,,,,,,,,14,,,0,786,30,816,1264
2,22,QUERETARO,7,CORREGIDORA,5,CORREGIDORA,120,4,876,705,79,1,17,28,4,13,10,13,,12,,,,3,16,,0,,,,,,,,23,,,1,1800,42,1843,2668
2,22,QUERETARO,7,CORREGIDORA,5,CORREGIDORA,121,5,589,678,81,1,91,46,5,30,14,8,,23,,,,14,8,,0,,,,,,,,41,,,0,1629,83,1712,2878
2,22,QUERETARO,7,CORREGIDORA,5,CORREGIDORA,688,3,832,224,16,15,18,18,29,93,36,7,,2,,,,0,1,,1,,,,,,,,29,,,0,1321,51,1372,2083
2,22,QUERETARO,7,CORREGIDORA,5,CORREGIDORA,689,1,105,81,5,2,7,14,2,11,4,4,,3,,,,1,4,,0,,,,,,,,5,,,0,248,7,255,498
2,22,QUERETARO,7,CORREGIDORA,5,CORREGIDORA,690,1,150,57,16,9,8,8,8,15,10,13,,1,,,,0,4,,0,,,,,,,,4,,,0,303,11,314,697
2,22,QUERETARO,7,CORREGIDORA,5,CORREGIDORA,694,2,295,131,24,3,7,12,7,23,8,12,,1,,,,0,3,,0,,,,,,,,8,,,0,534,13,547,1195
2,22,QUERETARO,7,CORREGIDORA,5,CORREGIDORA,695,2,208,154,22,10,20,32,8,36,11,33,,2,,,,3,9,,0,,,,,,,,8,,,0,556,15,571,1023
2,22,QUERETARO,7,CORREGIDORA,5,CORREGIDORA,764,2,281,159,20,3,15,7,13,16,17,2,,1,,,,0,6,,0,,,,,,,,22,,,0,562,19,581,1095
2,22,QUERETARO,7,CORREGIDORA,5,CORREGIDORA,765,2,317,90,12,4,2,10,20,33,13,4,,2,,,,0,0,,0,,,,,,,,16,,,0,523,15,538,915
2,22,QUERETARO,7,CORREGIDORA,5,CORREGIDORA,766,1,171,60,7,5,4,3,9,30,10,0,,1,,,,0,1,,0,,,,,,,,17,,,1,318,17,336,565
2,22,QUERETARO,7,CORREGIDORA,5,CORREGIDORA,767,2,329,75,11,8,6,5,21,21,10,1,,0,,,,0,3,,0,,,,,,,,7,,,2,497,15,514,897
2,22,QUERETARO,7,CORREGIDORA,5,CORREGIDORA,768,1,208,39,3,2,6,5,5,24,6,3,,0,,,,1,1,,0,,,,,,,,5,,,0,308,10,318,505
2,22,QUERETARO,7,CORREGIDORA,5,CORREGIDORA,769,1,149,55,11,2,4,12,2,12,3,4,,0,,,,0,0,,0,,,,,,,,3,,,1,257,6,264,518
2,22,QUERETARO,7,CORREGIDORA,5,CORREGIDORA,770,2,304,93,21,12,8,7,34,35,11,5,,2,,,,1,3,,0,,,,,,,,6,,,2,542,17,561,1056
2,22,QUERETARO,7,CORREGIDORA,5,CORREGIDORA,771,1,204,55,9,9,3,2,5,24,11,1,,0,,,,0,0,,0,,,,,,,,5,,,0,328,20,348,560
2,22,QUERETARO,7,CORREGIDORA,5,CORREGIDORA,772,2,384,96,16,10,6,12,13,48,14,8,,1,,,,0,1,,0,,,,,,,,14,,,0,623,27,650,1073
2,22,QUERETARO,7,CORREGIDORA,5,CORREGIDORA,773,1,98,49,2,1,2,4,15,10,4,3,,6,,,,0,1,,0,,,,,,,,5,,,0,200,4,204,350
2,22,QUERETARO,7,CORREGIDORA,5,CORREGIDORA,774,1,226,62,6,6,7,5,5,12,10,4,,0,,,,0,0,,0,,,,,,,,11,,,1,354,9,364,553
2,22,QUERETARO,7,CORREGIDORA,5,CORREGIDORA,775,2,292,76,9,5,2,6,20,25,14,3,,3,,,,0,1,,0,,,,,,,,14,,,2,470,14,486,825
2,22,QUERETARO,7,CORREGIDORA,5,CORREGIDORA,776,2,337,89,11,10,5,7,15,32,12,3,,0,,,,0,0,,0,,,,,,,,13,,,1,534,7,542,905
2,22,QUERETARO,7,CORREGIDORA,5,CORREGIDORA,777,2,280,71,9,7,6,2,16,28,8,9,,2,,,,0,0,,0,,,,,,,,13,,,1,451,20,472,771
2,22,QUERETARO,7,CORREGIDORA,5,CORREGIDORA,778,2,355,95,14,3,7,13,14,42,21,10,,1,,,,0,0,,0,,,,,,,,12,,,2,587,8,597,1019
