CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,PAN,PRI,PRD,PT,PVEM,MC,NA,MORENA,ES,C_COMUN_PAN_PRD,C_COMUN_PAN_MC,C_COMUN_PRD_PVEM,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA,CAND_IND36,CAND_IND37,CAND_IND38,CAND_IND39,CAND_IND40,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
5,16,MICHOACAN,1,LA PIEDAD,87,TANHUATO,1939,B,1,0,B,45,27,31,43,39,15,13,109,7,0,,,,,,,,,,,,,329,4,83,416,655,Acta casilla,,,http://iem.org.mx/actas/D1939B.pdf
5,16,MICHOACAN,1,LA PIEDAD,87,TANHUATO,1939,C,1,0,C01,64,25,33,65,46,12,18,109,4,0,,,,,,,,,,,,,376,0,48,424,655,Acta casilla,,,http://iem.org.mx/actas/D1939C01.pdf
5,16,MICHOACAN,1,LA PIEDAD,87,TANHUATO,1939,C,2,0,C02,34,23,35,43,22,14,12,122,7,0,,,,,,,,,,,,,312,0,0,312,654,Acta casilla,,,http://iem.org.mx/actas/D1939C02.pdf
5,16,MICHOACAN,1,LA PIEDAD,87,TANHUATO,1940,B,1,0,B,60,26,55,33,37,7,20,145,14,0,,,,,,,,,,,,,397,0,45,442,684,Acta casilla,,,http://iem.org.mx/actas/D1940B.pdf
5,16,MICHOACAN,1,LA PIEDAD,87,TANHUATO,1941,B,1,0,B,59,11,27,10,19,10,14,112,3,1,,,,,,,,,,,,,266,1,29,296,467,Acta casilla,,,http://iem.org.mx/actas/D1941B.pdf
5,16,MICHOACAN,1,LA PIEDAD,87,TANHUATO,1941,C,1,0,C01,62,19,25,18,26,2,14,103,5,0,,,,,,,,,,,,,274,0,21,295,466,Acta casilla,,,http://iem.org.mx/actas/D1941C01.pdf
5,16,MICHOACAN,1,LA PIEDAD,87,TANHUATO,1942,B,1,0,B,39,17,49,37,31,7,13,94,8,0,,,,,,,,,,,,,295,0,37,332,514,Acta casilla,,,http://iem.org.mx/actas/D1942B.pdf
5,16,MICHOACAN,1,LA PIEDAD,87,TANHUATO,1942,C,1,0,C01,34,23,42,32,24,8,7,107,10,1,,,,,,,,,,,,,288,1,40,329,514,Acta casilla,,,http://iem.org.mx/actas/D1942C01.pdf
5,16,MICHOACAN,1,LA PIEDAD,87,TANHUATO,1942,C,2,0,C02,36,15,33,32,33,12,6,108,7,0,,,,,,,,,,,,,282,0,40,322,513,Acta casilla,,,http://iem.org.mx/actas/D1942C02.pdf
5,16,MICHOACAN,1,LA PIEDAD,87,TANHUATO,1943,B,1,0,B,41,21,31,26,34,6,7,77,5,0,,,,,,,,,,,,,248,0,0,248,422,Acta casilla,,,http://iem.org.mx/actas/D1943B.pdf
5,16,MICHOACAN,1,LA PIEDAD,87,TANHUATO,1943,C,1,0,C01,39,27,22,19,31,11,12,78,7,0,,,,,,,,,,,,,246,0,33,279,422,Acta casilla,,,http://iem.org.mx/actas/D1943C01.pdf
5,16,MICHOACAN,1,LA PIEDAD,87,TANHUATO,1944,B,1,0,B,30,10,27,42,18,6,3,118,7,0,,,,,,,,,,,,,261,0,44,305,438,Acta casilla,,,http://iem.org.mx/actas/D1944B.pdf
5,16,MICHOACAN,1,LA PIEDAD,87,TANHUATO,1944,C,1,0,C01,33,17,42,33,21,8,7,140,8,1,,,,,,,,,,,,,310,1,29,340,437,Acta casilla,,,http://iem.org.mx/actas/D1944C01.pdf
5,16,MICHOACAN,1,LA PIEDAD,87,TANHUATO,1944,E,1,0,E01,24,6,44,84,30,4,3,136,6,0,,,,,,,,,,,,,337,0,16,353,539,Acta casilla,,,http://iem.org.mx/actas/D1944E01.pdf
5,16,MICHOACAN,1,LA PIEDAD,87,TANHUATO,1945,B,1,0,B,12,6,41,19,25,6,15,187,11,0,,,,,,,,,,,,,322,0,31,353,571,Acta casilla,,,http://iem.org.mx/actas/D1945B.pdf
5,16,MICHOACAN,1,LA PIEDAD,87,TANHUATO,1945,C,1,0,C01,11,11,24,21,14,6,6,217,8,0,,,,,,,,,,,,,318,0,24,342,571,Acta casilla,,,http://iem.org.mx/actas/D1945C01.pdf
5,16,MICHOACAN,1,LA PIEDAD,87,TANHUATO,1946,B,1,0,B,25,17,41,20,12,6,4,105,10,3,,,,,,,,,,,,,243,0,42,285,460,Acta casilla,,,http://iem.org.mx/actas/D1946B.pdf
5,16,MICHOACAN,1,LA PIEDAD,87,TANHUATO,1946,C,1,0,C01,32,4,43,17,18,10,6,88,9,0,,,,,,,,,,,,,227,1,34,262,459,Acta casilla,,,http://iem.org.mx/actas/D1946C01.pdf
5,16,MICHOACAN,1,LA PIEDAD,87,TANHUATO,1947,B,1,0,B,8,13,27,24,8,3,7,228,4,0,,,,,,,,,,,,,322,0,16,338,525,Acta casilla,,,http://iem.org.mx/actas/D1947B.pdf
5,16,MICHOACAN,1,LA PIEDAD,87,TANHUATO,1947,C,1,0,C01,4,3,49,13,14,7,2,190,0,0,,,,,,,,,,,,,282,1,24,307,525,Acta casilla,,,http://iem.org.mx/actas/D1947C01.pdf
5,16,MICHOACAN,1,LA PIEDAD,87,TANHUATO,1948,B,1,0,B,39,6,55,90,10,5,5,74,6,4,,,,,,,,,,,,,294,0,51,345,616,Acta casilla,,,http://iem.org.mx/actas/D1948B.pdf
5,16,MICHOACAN,1,LA PIEDAD,87,TANHUATO,1949,B,1,0,B,62,5,36,11,11,5,4,59,1,1,,,,,,,,,,,,,195,0,5,200,301,Acta casilla,,,http://iem.org.mx/actas/D1949B.pdf
5,16,MICHOACAN,1,LA PIEDAD,107,YURÉCUARO,2370,B,1,0,B,41,43,26,4,35,19,79,106,29,0,,,,,,,,,,,,,382,0,18,400,419,Acta casilla,,,http://iem.org.mx/actas/D2370B.pdf
