uniqueid,year,state,mun,section
15028,2016,MEXICO,CHIAUTLA EXTRAORDINARIO,1108
16096,2005,MICHOACAN,TUMBISCATIO EXTRAORDINARIO,2065
16096,2005,MICHOACAN,TUMBISCATIO EXTRAORDINARIO,2066
16096,2005,MICHOACAN,TUMBISCATIO EXTRAORDINARIO,2067
16096,2005,MICHOACAN,TUMBISCATIO EXTRAORDINARIO,2068
16096,2005,MICHOACAN,TUMBISCATIO EXTRAORDINARIO,2069
16096,2005,MICHOACAN,TUMBISCATIO EXTRAORDINARIO,2070
16096,2005,MICHOACAN,TUMBISCATIO EXTRAORDINARIO,2071
16096,2005,MICHOACAN,TUMBISCATIO EXTRAORDINARIO,2072
16096,2005,MICHOACAN,TUMBISCATIO EXTRAORDINARIO,2073
16096,2005,MICHOACAN,TUMBISCATIO EXTRAORDINARIO,2074
16106,2008,MICHOACAN,Yurécuaro EXTRAORDINARIO,2370
16106,2008,MICHOACAN,Yurécuaro EXTRAORDINARIO,2371
16106,2008,MICHOACAN,Yurécuaro EXTRAORDINARIO,2372
16106,2008,MICHOACAN,Yurécuaro EXTRAORDINARIO,2373
16106,2008,MICHOACAN,Yurécuaro EXTRAORDINARIO,2374
16106,2008,MICHOACAN,Yurécuaro EXTRAORDINARIO,2375
16106,2008,MICHOACAN,Yurécuaro EXTRAORDINARIO,2376
16106,2008,MICHOACAN,Yurécuaro EXTRAORDINARIO,2377
16106,2008,MICHOACAN,Yurécuaro EXTRAORDINARIO,2378
16106,2008,MICHOACAN,Yurécuaro EXTRAORDINARIO,2379
16106,2008,MICHOACAN,Yurécuaro EXTRAORDINARIO,2380
16106,2008,MICHOACAN,Yurécuaro EXTRAORDINARIO,2381
16106,2008,MICHOACAN,Yurécuaro EXTRAORDINARIO,2382
16106,2008,MICHOACAN,Yurécuaro EXTRAORDINARIO,2383
16106,2008,MICHOACAN,Yurécuaro EXTRAORDINARIO,2384
16106,2008,MICHOACAN,Yurécuaro EXTRAORDINARIO,2385
16106,2008,MICHOACAN,Yurécuaro EXTRAORDINARIO,2386
16106,2008,MICHOACAN,Yurécuaro EXTRAORDINARIO,2387
16106,2008,MICHOACAN,Yurécuaro EXTRAORDINARIO,2388
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,941
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,942
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,943
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,944
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,945
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,946
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,947
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,948
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,949
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,950
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,951
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,952
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,953
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,954
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,955
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,956
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,957
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,958
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,959
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,960
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,961
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,962
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,963
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,964
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,965
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,966
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,967
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,968
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,969
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,970
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,971
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,972
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,973
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,974
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,975
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,976
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,977
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,978
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,979
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,980
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,981
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,982
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,983
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,984
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,985
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,986
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,987
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,988
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,989
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,990
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,991
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,992
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,993
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,994
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,995
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,996
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,997
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,998
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,999
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1000
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1001
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1002
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1003
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1004
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1005
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1006
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1007
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1008
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1009
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1010
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1011
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1012
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1013
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1014
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1015
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1016
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1017
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1018
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1019
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1020
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1021
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1022
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1023
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1024
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1025
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1026
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1027
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1028
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1029
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1030
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1031
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1032
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1033
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1034
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1035
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1036
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1037
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1038
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1039
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1040
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1041
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1042
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1043
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1044
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1045
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1046
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1047
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1048
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1049
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1050
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1051
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1052
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1053
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1054
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1055
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1056
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1057
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1058
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1059
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1060
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1061
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1062
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1063
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1064
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1065
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1066
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1067
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1068
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1069
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1070
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1071
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1072
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1073
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1074
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1075
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1076
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1077
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1078
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1079
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1080
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1081
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1082
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1083
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1084
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1085
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1086
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1087
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1088
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1089
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1090
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1091
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1092
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1093
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1094
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1095
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1096
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1097
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1098
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1099
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1100
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1101
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1102
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1103
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1104
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1105
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1106
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1107
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1108
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1109
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1110
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1111
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1112
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1113
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1114
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1115
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1116
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1117
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1118
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1119
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1120
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1121
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1122
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1123
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1124
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1125
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1126
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1127
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1128
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1129
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1130
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1131
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1132
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1133
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1134
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1135
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1136
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1137
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1138
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1139
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1140
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1141
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1142
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1143
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1144
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1145
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1146
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1147
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1148
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1149
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1150
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1151
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1152
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1153
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1154
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1155
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1156
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1157
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1158
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1159
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1160
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1161
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1162
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1163
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1164
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1165
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1166
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1167
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1168
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1169
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1170
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1171
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1172
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1173
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1174
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1175
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1176
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1177
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1178
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1179
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1180
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1181
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1182
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1183
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1184
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1185
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1186
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1187
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1188
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1189
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1190
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1191
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1192
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1193
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1194
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1195
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1196
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1197
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1198
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1199
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1200
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1201
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1202
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1203
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1204
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1205
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1206
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1207
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1208
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1209
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1210
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1211
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1212
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1213
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1214
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1215
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1216
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1217
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1218
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1219
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1220
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1221
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1222
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1223
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1224
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1225
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1226
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1227
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1228
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1229
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1230
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1231
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1232
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1233
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1234
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1235
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1236
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1237
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1238
16053,2012,MICHOACAN,MORELIA EXTRAORDINARIO,1239
