CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,C_COMUN_PAN_PRD_PD,PRI,PVEM,PT,MC,NA,MORENA,ES,PT_MORENA,CAND_IND1,CAND_IND2,CAND_IND3,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
,10,DURANGO,5,DURANGO,5,DURANGO,305,B,1,0,B,75,38,15,24,19,11,36,3,3,,,,224,1,3,228,391,ACTA CASILLA,,,
,10,DURANGO,5,DURANGO,5,DURANGO,305,C,1,0,C01,65,28,9,27,20,7,58,6,1,,,,221,1,7,229,390,GRUPO DE RECUENTO,,,
,10,DURANGO,5,DURANGO,5,DURANGO,306,B,1,0,B,121,43,20,25,25,14,87,6,4,,,,345,0,15,360,515,GRUPO DE RECUENTO,,,
,10,DURANGO,5,DURANGO,5,DURANGO,306,C,1,0,C01,124,56,21,25,21,17,53,7,1,,,,325,0,19,344,515,GRUPO DE RECUENTO,,,
,10,DURANGO,5,DURANGO,5,DURANGO,307,B,1,0,B,79,45,14,27,29,9,67,3,1,,,,274,0,10,284,434,GRUPO DE RECUENTO,,,
,10,DURANGO,5,DURANGO,5,DURANGO,307,C,1,0,C01,92,44,15,20,25,5,54,5,6,,,,266,0,13,279,433,GRUPO DE RECUENTO,,,
,10,DURANGO,5,DURANGO,5,DURANGO,308,B,1,0,B,109,48,16,35,24,5,55,3,4,,,,299,1,10,310,487,ACTA CASILLA,,,
,10,DURANGO,5,DURANGO,5,DURANGO,308,C,1,0,C01,97,61,16,28,23,8,64,3,3,,,,303,0,19,322,487,GRUPO DE RECUENTO,,,
,10,DURANGO,5,DURANGO,5,DURANGO,309,B,1,0,B,147,71,21,31,4,14,102,11,5,,,,406,0,18,424,668,GRUPO DE RECUENTO,,,
,10,DURANGO,5,DURANGO,5,DURANGO,309,C,1,0,C01,155,67,20,33,28,11,104,5,5,,,,428,0,20,448,667,GRUPO DE RECUENTO,,,
,10,DURANGO,5,DURANGO,5,DURANGO,310,B,1,0,B,110,80,18,30,24,19,78,5,1,,,,365,0,12,377,539,GRUPO DE RECUENTO,,,
,10,DURANGO,5,DURANGO,5,DURANGO,310,C,1,0,C01,89,62,17,28,22,11,86,8,2,,,,325,2,0,327,539,GRUPO DE RECUENTO,,,
,10,DURANGO,5,DURANGO,5,DURANGO,311,B,1,0,B,149,57,19,29,32,18,81,12,2,,,,399,0,13,412,590,ACTA CASILLA,,,
,10,DURANGO,5,DURANGO,5,DURANGO,311,C,1,0,C01,110,49,25,27,37,21,94,9,3,,,,375,0,20,395,590,GRUPO DE RECUENTO,,,
,10,DURANGO,5,DURANGO,5,DURANGO,312,B,1,0,B,125,77,25,38,39,19,80,9,3,,,,415,0,19,434,594,GRUPO DE RECUENTO,,,
,10,DURANGO,5,DURANGO,5,DURANGO,312,C,1,0,C01,105,69,19,39,34,20,113,9,1,,,,409,1,19,429,593,ACTA CASILLA,,,
,10,DURANGO,5,DURANGO,5,DURANGO,312,C,2,0,C02,112,80,18,40,24,30,93,11,2,,,,410,2,9,421,593,GRUPO DE RECUENTO,,,
,10,DURANGO,5,DURANGO,5,DURANGO,313,B,1,0,B,126,75,15,74,27,7,102,7,4,,,,437,0,23,460,726,ACTA CASILLA,,,
,10,DURANGO,5,DURANGO,5,DURANGO,314,B,1,0,B,70,37,10,29,13,2,59,6,4,,,,230,0,9,239,398,ACTA CASILLA,,,
,10,DURANGO,5,DURANGO,5,DURANGO,314,C,1,0,C01,79,37,8,36,10,5,43,10,2,,,,230,0,9,239,397,GRUPO DE RECUENTO,,,
,10,DURANGO,5,DURANGO,5,DURANGO,315,B,1,0,B,154,65,18,35,32,10,84,3,7,,,,408,0,21,429,684,GRUPO DE RECUENTO,,,
,10,DURANGO,5,DURANGO,5,DURANGO,315,C,1,0,C01,155,69,17,66,25,6,91,9,5,,,,443,0,15,458,684,GRUPO DE RECUENTO,,,
,10,DURANGO,5,DURANGO,5,DURANGO,316,B,1,0,B,125,39,24,37,27,14,104,12,7,,,,389,1,17,407,584,GRUPO DE RECUENTO,,,
,10,DURANGO,5,DURANGO,5,DURANGO,316,C,1,0,C01,135,58,19,24,26,14,99,10,4,,,,389,0,21,410,584,GRUPO DE RECUENTO,,,
,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,1,B,1,0,B,96,90,14,40,12,13,111,9,2,,,,387,0,23,410,632,ACTA CASILLA,,,
,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,2,B,1,0,B,71,47,6,23,8,11,76,3,2,,,,247,0,5,252,402,ACTA CASILLA,,,
,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,2,C,1,0,C01,80,53,12,28,12,7,52,6,2,,,,252,0,18,270,402,GRUPO DE RECUENTO,,,
,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,3,B,1,0,B,99,84,27,48,10,7,125,4,3,,,,407,0,15,422,673,ACTA CASILLA,,,
,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,3,C,1,0,C01,101,72,13,52,12,15,121,15,5,,,,406,0,18,424,673,ACTA CASILLA,,,
,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,3,C,2,0,C02,102,98,8,53,18,11,118,9,2,,,,419,1,14,434,672,ACTA CASILLA,,,
,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,4,B,1,0,B,82,67,13,44,9,8,91,6,4,,,,324,0,9,333,584,ACTA CASILLA,,,
,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,4,C,1,0,C01,91,64,9,35,5,7,82,13,5,,,,311,0,17,328,584,ACTA CASILLA,,,
,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,5,B,1,0,B,97,61,17,40,11,6,79,8,1,,,,320,0,23,343,559,GRUPO DE RECUENTO,,,
,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,5,C,1,0,C01,78,72,16,32,15,12,110,7,3,,,,345,0,19,364,559,ACTA CASILLA,,,
,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,6,B,1,0,B,61,83,14,29,9,27,83,7,1,,,,314,0,17,331,537,GRUPO DE RECUENTO,,,
,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,6,C,1,0,C01,88,75,14,40,12,17,63,7,3,,,,319,2,14,335,537,ACTA CASILLA,,,
,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,6,C,2,0,C02,78,55,8,40,9,16,70,12,2,,,,290,0,18,308,536,GRUPO DE RECUENTO,,,
,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,7,B,1,0,B,115,66,15,38,11,16,102,3,1,,,,367,0,20,387,699,ACTA CASILLA,,,
,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,8,B,1,0,B,74,52,6,25,2,3,33,2,4,,,,201,0,7,208,382,GRUPO DE RECUENTO,,,
,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,8,C,1,0,C01,70,43,3,24,2,4,37,0,4,,,,187,0,16,203,381,GRUPO DE RECUENTO,,,
,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,9,B,1,0,B,115,119,8,33,5,6,52,10,2,,,,350,0,19,369,672,GRUPO DE RECUENTO,,,
,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,10,B,1,0,B,48,40,2,5,0,2,15,0,1,,,,113,0,10,123,187,GRUPO DE RECUENTO,,,
,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,12,B,1,0,B,9,27,2,10,1,2,21,1,0,,,,73,0,4,77,146,ACTA CASILLA,,,
,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,13,B,1,0,B,147,88,6,24,5,13,63,3,0,,,,349,0,26,375,700,ACTA CASILLA,,,
,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,14,B,1,0,B,63,63,4,38,3,0,37,2,5,,,,215,0,21,236,442,GRUPO DE RECUENTO,,,
,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,15,B,1,0,B,128,74,7,59,8,6,139,7,6,,,,434,0,13,447,729,GRUPO DE RECUENTO,,,
,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,16,B,1,0,B,51,10,0,0,0,1,0,4,12,,,,78,0,1,79,113,ACTA CASILLA,,,
,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,16,E,1,0,E01,8,25,1,8,0,0,10,0,0,,,,52,0,0,52,126,GRUPO DE RECUENTO,,,
,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,16,E,2,0,E02,8,25,1,9,0,0,9,0,0,,,,52,0,0,52,96,ACTA CASILLA,,,
,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,17,B,1,0,B,53,14,0,5,0,0,10,4,1,,,,87,0,6,93,164,ACTA CASILLA,,,
,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,19,B,1,0,B,30,19,1,11,1,2,13,0,0,,,,77,0,5,82,156,ACTA CASILLA,,,
,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,20,B,1,0,B,48,22,6,19,0,1,36,0,3,,,,135,0,9,144,262,ACTA CASILLA,,,
,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,21,B,1,0,B,23,15,0,7,2,0,17,0,1,,,,65,0,4,69,124,GRUPO DE RECUENTO,,,
,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,22,B,1,0,B,117,37,15,27,8,5,89,5,0,,,,303,0,10,313,501,GRUPO DE RECUENTO,,,
,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,22,C,1,0,C01,89,69,14,33,4,12,51,3,2,,,,277,0,26,303,501,GRUPO DE RECUENTO,,,
,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,23,B,1,0,B,74,110,20,40,5,10,78,7,1,,,,345,0,14,359,554,GRUPO DE RECUENTO,,,
,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,24,B,1,0,B,105,60,2,12,4,4,17,1,0,,,,205,0,16,221,345,ACTA CASILLA,,,
,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,25,B,1,0,B,125,43,12,40,5,23,85,4,2,,,,339,0,22,361,636,GRUPO DE RECUENTO,,,
,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,26,B,1,0,B,75,60,3,60,2,12,63,4,2,,,,281,0,22,303,601,ACTA CASILLA,,,
,10,DURANGO,6,PUEBLO NUEVO,1,CANATLAN,26,C,1,0,C01,124,53,2,54,3,11,63,4,4,,,,318,0,17,335,601,GRUPO DE RECUENTO,,,
