CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PVEM,PT,NVA_ALIANZA,MORENA,ES,PAN_PRD,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,45,B,89,89,25,53,3,1,60,13,9,4,5,1,0,0,352,7,359,672,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G1021-G1022.JPG
1,23,QUINTANA ROO,11,COZUMEL,2,COZUMEL,183,C02,180,148,7,2,1,1,12,2,24,3,3,0,0,0,383,4,387,695,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G2673-G2674.JPG
1,23,QUINTANA ROO,6,CANCÚN,1,BENITO JUÁREZ,15,C03,75,61,22,44,2,4,65,20,19,0,3,0,0,2,315,10,327,688,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G1281-G1282.JPG
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,45,C01,78,80,32,59,6,2,61,6,12,0,5,1,0,0,342,16,358,672,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G1023-G1024.JPG
1,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUÁREZ,85,C01,28,41,8,47,2,2,17,7,4,1,2,0,0,0,159,12,171,464,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G0003-G0004.JPG
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,57,B,85,55,18,25,5,2,39,11,9,0,4,0,1,2,254,8,264,519,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G1025-G1026.JPG
1,23,QUINTANA ROO,14,CHETUMAL,7,OTHÓN P. BLANCO,307,B,251,88,10,3,2,5,35,3,48,4,3,0,0,1,452,11,464,744,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G3335-G3336.JPG
1,23,QUINTANA ROO,7,CANCÚN,1,BENITO JUÁREZ,151,C01,114,64,19,21,6,3,53,17,12,0,2,0,0,0,311,15,326,669,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G1505-G1506.JPG
1,23,QUINTANA ROO,8,CANCÚN,1,BENITO JUÁREZ,156,B,75,40,20,59,3,4,53,14,8,1,6,0,0,0,283,8,291,681,GRUPO DE RECUENTO,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G1795-G1796.JPG
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,57,C01,82,49,17,19,4,3,32,10,8,1,5,0,0,0,230,8,238,519,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G1027-G1028.JPG
1,23,QUINTANA ROO,6,CANCÚN,1,BENITO JUÁREZ,16,B,95,49,31,29,4,2,57,24,8,1,3,0,0,1,303,10,314,683,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G1283-G1284.JPG
1,23,QUINTANA ROO,14,CHETUMAL,7,OTHÓN P. BLANCO,307,C01,241,98,15,2,2,1,36,3,48,1,1,0,0,0,448,7,455,744,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G3337-G3338.JPG
1,23,QUINTANA ROO,11,COZUMEL,2,COZUMEL,184,B,218,135,9,16,3,5,9,3,16,1,4,0,0,0,419,8,427,635,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G2675-G2676.JPG
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,57,C02,80,65,18,17,2,1,30,16,10,1,8,0,0,1,248,6,255,518,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G1029-G1030.JPG
1,23,QUINTANA ROO,14,CHETUMAL,7,OTHÓN P. BLANCO,307,C02,243,78,11,3,4,0,43,1,39,2,0,1,0,0,425,12,437,744,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G3339-G3340.JPG
1,23,QUINTANA ROO,7,CANCÚN,1,BENITO JUÁREZ,151,C02,119,45,18,23,0,4,45,11,6,3,4,0,0,2,278,13,293,669,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G1507-G1508.JPG
1,23,QUINTANA ROO,6,CANCÚN,1,BENITO JUÁREZ,16,C01,105,56,29,38,3,1,59,16,10,3,7,0,0,0,327,11,338,682,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G1285-G1286.JPG
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,58,B,139,56,23,40,2,5,77,19,10,2,5,0,0,1,378,9,388,714,GRUPO DE RECUENTO,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G1031-G1032.JPG
1,23,QUINTANA ROO,14,CHETUMAL,7,OTHÓN P. BLANCO,307,C03,242,70,11,1,5,1,35,1,31,5,5,1,0,1,408,11,420,744,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G3341-G3342.JPG
1,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUÁREZ,86,B,44,52,17,50,1,4,28,3,11,6,14,0,0,0,230,2,232,513,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G0005-G0006.JPG
1,23,QUINTANA ROO,11,COZUMEL,2,COZUMEL,184,C01,199,111,5,5,1,9,14,7,13,2,3,0,0,0,369,9,378,634,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G2677-G2678.JPG
1,23,QUINTANA ROO,14,CHETUMAL,7,OTHÓN P. BLANCO,307,C04,245,94,20,1,4,4,35,5,40,2,6,0,0,0,456,15,471,743,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G3343-G3344.JPG
1,23,QUINTANA ROO,9,TULUM,8,SOLIDARIDAD,206,B,78,68,26,9,3,2,34,6,21,2,1,0,0,0,250,13,263,710,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G1977-G1978.JPG
1,23,QUINTANA ROO,7,CANCÚN,1,BENITO JUÁREZ,151,C03,114,51,27,27,6,4,42,21,8,2,3,0,0,1,305,6,312,669,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G1509-G1510.JPG
1,23,QUINTANA ROO,15,CHETUMAL,7,OTHÓN P. BLANCO,300,B,300,115,16,2,3,2,25,6,46,2,0,0,0,0,517,9,526,737,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G3551-G3552.JPG
1,23,QUINTANA ROO,6,CANCÚN,1,BENITO JUÁREZ,16,C02,72,51,29,48,6,2,72,10,6,2,5,0,0,0,303,11,314,682,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G1287-G1288.JPG
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,59,B,82,46,16,19,4,4,51,12,10,1,3,0,0,0,248,10,258,572,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G1033-G1034.JPG
1,23,QUINTANA ROO,14,CHETUMAL,7,OTHÓN P. BLANCO,307,C05,232,75,23,1,4,3,42,4,44,6,2,0,0,0,436,8,444,743,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G3345-G3346.JPG
1,23,QUINTANA ROO,11,COZUMEL,2,COZUMEL,184,C02,235,113,10,9,0,1,13,2,18,3,3,0,0,0,407,5,412,634,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G2679-G2680.JPG
1,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUÁREZ,86,C01,47,32,11,55,4,3,28,6,6,3,0,1,0,0,196,10,206,512,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G0007-G0008.JPG
1,23,QUINTANA ROO,14,CHETUMAL,7,OTHÓN P. BLANCO,307,C06,247,68,15,6,3,3,33,6,38,2,2,0,0,1,423,16,440,743,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G3347-G3348.JPG
1,23,QUINTANA ROO,12,FELIPE CARRILLO PUERTO,3,FELIPE CARRILLO PUERTO,216,B,92,114,60,1,5,3,25,2,27,2,1,0,0,0,332,9,341,502,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G2863-G2864.JPG
1,23,QUINTANA ROO,6,CANCÚN,1,BENITO JUÁREZ,16,C03,93,74,26,47,3,1,51,11,10,4,7,0,0,0,327,11,338,682,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G1289-G1290.JPG
1,23,QUINTANA ROO,7,CANCÚN,1,BENITO JUÁREZ,151,C04,126,36,20,23,6,3,54,21,14,0,2,0,0,0,305,9,314,669,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G1511-G1512.JPG
1,23,QUINTANA ROO,15,CHETUMAL,7,OTHÓN P. BLANCO,300,C01,216,104,20,14,8,11,50,47,37,0,0,0,0,6,507,10,523,737,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G3553-G3554.JPG
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,59,C01,83,39,16,21,8,1,66,14,10,0,3,0,0,0,261,7,268,572,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G1035-G1036.JPG
1,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUÁREZ,87,B,52,53,13,99,3,2,41,12,11,2,16,0,0,0,304,6,310,742,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G0009-G0010.JPG
1,23,QUINTANA ROO,15,CHETUMAL,7,OTHÓN P. BLANCO,300,E01,156,93,12,5,4,1,28,2,39,3,0,0,0,0,343,7,350,537,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G3555-G3556.JPG
1,23,QUINTANA ROO,6,CANCÚN,1,BENITO JUÁREZ,16,C04,68,59,33,36,4,3,43,19,12,1,5,0,0,0,283,17,300,682,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G1291-G1292.JPG
1,23,QUINTANA ROO,14,CHETUMAL,7,OTHÓN P. BLANCO,307,C07,246,87,17,4,3,0,44,3,41,3,6,0,0,0,454,6,460,743,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G3349-G3350.JPG
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,60,B,60,46,28,34,6,1,47,11,6,3,2,0,0,0,244,5,249,526,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G1037-G1038.JPG
1,23,QUINTANA ROO,7,CANCÚN,1,BENITO JUÁREZ,151,C05,120,41,22,19,3,6,53,19,11,3,3,0,0,0,300,12,312,669,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G1513-G1514.JPG
1,23,QUINTANA ROO,11,COZUMEL,2,COZUMEL,185,B,238,183,13,12,1,1,16,3,25,0,13,0,0,1,505,12,518,745,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G2681-G2682.JPG
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,60,C01,56,54,29,39,1,3,48,14,4,0,5,0,0,0,253,5,258,526,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G1039-G1040.JPG
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,60,C02,55,50,26,39,3,4,46,15,14,3,8,0,0,1,263,3,267,525,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G1041-G1042.JPG
1,23,QUINTANA ROO,9,TULUM,8,SOLIDARIDAD,206,C01,84,67,30,5,3,5,35,7,19,2,3,0,0,0,260,8,268,710,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G1979-G1980.JPG
1,23,QUINTANA ROO,15,CHETUMAL,7,OTHÓN P. BLANCO,300,E01C01,176,87,8,1,1,3,24,5,22,3,2,0,0,0,332,4,336,537,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G3557-G3558.JPG
1,23,QUINTANA ROO,6,CANCÚN,1,BENITO JUÁREZ,16,C05,76,64,27,27,4,3,68,26,6,0,6,0,0,0,307,13,320,682,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G1293-G1294.JPG
1,23,QUINTANA ROO,14,CHETUMAL,7,OTHÓN P. BLANCO,315,B,204,75,21,1,1,1,17,4,41,5,4,0,0,1,374,8,383,541,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G3351-G3352.JPG
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,61,B,75,36,29,54,4,0,46,11,16,3,5,0,0,0,279,6,285,487,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G1043-G1044.JPG
1,23,QUINTANA ROO,10,PLAYA DEL CARMEN,8,SOLIDARIDAD,668,B,54,42,34,0,2,0,38,6,0,0,0,0,0,0,176,5,181,434,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G2385-G2386.JPG
1,23,QUINTANA ROO,11,COZUMEL,2,COZUMEL,185,C01,229,173,9,7,1,0,16,1,15,7,3,0,0,0,461,10,471,745,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G2683-G2684.JPG
1,23,QUINTANA ROO,14,CHETUMAL,7,OTHÓN P. BLANCO,315,C01,198,89,17,5,3,5,40,1,32,1,0,0,0,0,391,5,396,541,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G3353-G3354.JPG
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,61,C01,72,42,20,42,5,1,43,14,13,1,12,0,0,0,265,12,277,487,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G1045-G1046.JPG
1,23,QUINTANA ROO,7,CANCÚN,1,BENITO JUÁREZ,151,C06,123,40,16,41,7,4,51,12,13,4,2,1,0,0,314,15,329,669,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G1515-G1516.JPG
1,23,QUINTANA ROO,12,FELIPE CARRILLO PUERTO,3,FELIPE CARRILLO PUERTO,217,B,88,189,73,2,3,8,26,7,26,6,5,1,0,0,434,13,447,670,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G2867-G2868.JPG
1,23,QUINTANA ROO,15,CHETUMAL,7,OTHÓN P. BLANCO,301,B,118,55,8,0,1,3,12,2,34,3,1,0,0,0,237,3,240,319,ACTA CASILLA,,,http://www.ieqroo.org.mx/estadistico/resultados2016/actas_digitalizadas/G3559-G3560.JPG
