CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
1,14,JALISCO,1,TEQUILA,63,MEZQUITIC,1833,B,1,0,B,66,30,1,1,0,5,0,2,0,0,0,0,0,105,0,5,110,181,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,63,MEZQUITIC,1834,B,1,0,B,140,114,1,1,4,38,1,13,0,0,0,0,0,312,0,15,327,503,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,63,MEZQUITIC,1835,B,1,0,B,183,61,0,0,0,46,2,14,1,0,0,0,0,307,0,22,329,474,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,63,MEZQUITIC,1838,B,1,0,B,116,22,0,0,0,6,0,0,0,0,0,0,0,144,0,5,149,340,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,63,MEZQUITIC,1838,E,1,0,E01,237,109,0,3,1,133,0,16,0,2,0,0,0,501,0,33,534,756,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,63,MEZQUITIC,1838,E,2,0,E02,94,111,3,3,1,109,0,30,1,0,0,0,0,352,0,30,382,553,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,63,MEZQUITIC,1838,E,2,1,E02C01,70,127,1,4,1,99,1,16,3,0,0,0,0,322,0,28,350,552,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,63,MEZQUITIC,1839,B,1,0,B,249,158,0,1,2,70,1,12,0,0,2,0,0,495,0,15,510,717,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,63,MEZQUITIC,1839,C,1,0,C01,261,166,1,1,0,58,1,14,0,0,0,0,0,502,4,12,518,716,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,63,MEZQUITIC,1839,C,2,0,C02,211,188,0,2,1,56,2,24,1,0,0,0,0,485,0,25,510,716,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,63,MEZQUITIC,1839,E,1,0,E01,233,160,2,4,4,73,1,24,1,4,0,0,0,506,0,18,524,655,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,63,MEZQUITIC,1839,E,1,1,E01C01,249,167,3,0,10,58,2,24,2,4,1,1,2,523,0,22,545,655,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,63,MEZQUITIC,1839,E,1,2,E01C02,223,165,2,2,6,97,1,30,0,0,0,0,0,526,0,18,544,655,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,63,MEZQUITIC,1839,E,2,0,E02,178,34,1,0,1,21,0,7,0,0,0,0,0,242,0,21,263,379,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,73,SAN CRISTOBAL DE LA BARRANCA,2050,B,1,0,B,141,99,3,22,5,68,3,52,5,0,0,0,0,398,0,24,422,625,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,73,SAN CRISTOBAL DE LA BARRANCA,2050,C,1,0,C01,110,84,4,10,10,98,4,64,6,2,1,0,0,393,1,16,410,624,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,73,SAN CRISTOBAL DE LA BARRANCA,2051,B,1,0,B,81,62,4,13,1,42,2,33,1,0,0,0,0,239,0,22,261,370,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,73,SAN CRISTOBAL DE LA BARRANCA,2052,B,1,0,B,115,49,2,18,4,120,4,20,1,0,1,0,0,334,0,28,362,481,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,73,SAN CRISTOBAL DE LA BARRANCA,2052,E,1,0,E01,51,49,1,13,2,62,1,17,3,0,0,0,0,199,0,14,213,278,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,73,SAN CRISTOBAL DE LA BARRANCA,2053,B,1,0,B,38,22,2,6,3,32,4,24,0,1,1,0,0,133,0,4,137,246,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,73,SAN CRISTOBAL DE LA BARRANCA,2054,B,1,0,B,35,62,1,4,3,78,1,17,0,1,0,0,0,202,0,5,207,283,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,77,SAN MARCOS,2107,B,1,0,B,23,86,3,2,10,266,43,82,1,1,0,0,1,518,0,9,527,690,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,77,SAN MARCOS,2107,C,1,0,C01,14,76,7,6,9,272,39,84,1,2,0,0,0,510,0,29,539,689,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,77,SAN MARCOS,2108,B,1,0,B,5,78,3,3,5,216,26,61,2,0,0,0,0,399,0,10,409,533,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,77,SAN MARCOS,2108,C,1,0,C01,10,62,5,2,7,217,39,49,4,0,0,0,2,397,0,2,399,533,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,77,SAN MARCOS,2108,C,2,0,C02,5,82,0,1,4,226,24,63,3,0,0,0,0,408,0,12,420,533,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,78,SAN MARTIN DE BOLAÑOS,2110,B,1,0,B,59,85,1,0,6,129,1,23,1,0,1,0,0,306,0,5,311,456,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,78,SAN MARTIN DE BOLAÑOS,2110,C,1,0,C01,63,78,2,2,5,130,0,32,2,0,0,0,0,314,0,12,326,455,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,78,SAN MARTIN DE BOLAÑOS,2111,B,1,0,B,73,79,1,0,2,186,1,27,1,0,0,0,0,370,0,14,384,609,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,78,SAN MARTIN DE BOLAÑOS,2111,C,1,0,C01,75,87,1,2,6,197,1,32,2,0,0,0,1,404,0,20,424,608,ACTA CASILLA,,,
