ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_PRD_MC,PT_MORENA_ES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND24,CAND_IND25,CAND_IND27,CAND_IND28,CAND_IND29,CAND_IND30,CAND_IND32,CAND_IND34,CAND_IND35,CAND_IND36,CAND_IND37,CAND_IND38,CAND_IND40,CAND_IND41,CAND_IND42,CAND_IND43,CAND_IND44,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
14,JALISCO,20,CABO CORRIENTES,6,18,,2506,,,,,,,,2413,1205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6124,2,147,6864,9006,
14,JALISCO,117,CAÑADAS DE OBREGON,7,9,,48,,1002,,,,,,1063,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2166,28,1002,28504,3755,
14,JALISCO,21,CASIMIRO CASTILLO,14,27,862,2240,84,264,,3687,,,,,1570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8707,1,51,1699,15977,
14,JALISCO,31,CHAPALA,19,62,6766,4974,,289,,6813,221,,,,2879,,,,,,,,,,,,,,,,,,,,1179,,,,,,,,,,,,,,,,,,,23121,,209,6330,37393,
14,JALISCO,32,CHIMALTITAN,3,5,950,1004,,,,278,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2241,9,402,9118,2812,
14,JALISCO,33,CHIQUILISTLAN,4,8,,1267,,2,,,17,,,1095,538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2919,71,788,15987,4346,
14,JALISCO,22,CIHUATLAN,17,45,411,4485,5928,288,,,1111,,,,1733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1172,,,15128,80,1266,50867,26588,
14,JALISCO,25,COCULA,17,38,1608,1990,240,1681,,3581,,,,,4050,,,,,,,,,,,,146,,,,,,,,,,,,,,,,,,,,,,,,,,,13296,11,276,8066,22749,
14,JALISCO,26,COLOTLAN,15,29,,2016,,61,,,,,,3258,859,,,,,,,,,,,,,,,,,,,,,,,2551,,,,,,,,,,,,,,,,8745,2,394,13692,14727,
14,JALISCO,27,CONCEPCION DE BUENOS AIRES,5,9,358,606,,1529,,993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3486,5,324,9074,4955,
14,JALISCO,28,CUAUTITLAN DE GARCIA BARRAGAN,9,24,4460,1417,,,,3935,,,,,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10032,,75,3561,13082,
14,JALISCO,29,CUAUTLA,4,5,919,346,,,,179,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1472,,458,10490,2172,
14,JALISCO,30,CUQUIO,12,26,129,1094,,,,2565,,,,,5413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9201,1,21,1494,14066,
14,JALISCO,34,DEGOLLADO,16,34,,4336,,1243,,,394,,,2666,632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9271,4,309,9514,18356,
14,JALISCO,35,EJUTLA,2,4,,394,528,,,296,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1254,5,632,23758,1924,
14,JALISCO,9,EL ARENAL,5,22,2454,1068,,216,,2951,1936,,,,518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9143,,53,2294,14243,
14,JALISCO,39,EL GRULLO,12,31,,2615,,68,,,463,,,4797,1743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9686,1,93,3013,19541,
14,JALISCO,56,EL LIMON,6,10,,991,,11,,,,,,512,1545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3059,17,343,9631,5459,
14,JALISCO,72,EL SALTO,26,170,,13352,,1302,,,666,,,31537,14116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60973,,25,1279,116230,
14,JALISCO,36,ENCARNACION DE DIAZ,31,66,,6174,,,,,272,,,13182,1531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21159,106,592,21857,37578,
14,JALISCO,37,ETZATLAN,11,25,2485,764,17,167,,4546,935,,,,329,,,,,,,,,,,,,,,,,,,,,,,,,,,,468,,,,,,,,,,,9711,,269,9980,14700,
14,JALISCO,38,GOMEZ FARIAS,8,19,,3391,,294,,,192,,,2423,896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7196,3,252,7451,11914,
14,JALISCO,40,GUACHINANGO,8,11,238,648,169,763,,602,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2429,12,306,10004,3604,
14,JALISCO,41,GUADALAJARA,982,2185,95611,106938,10458,22410,,285663,12451,,,,217940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,751471,,109,2538,1263338,
14,JALISCO,42,HOSTOTIPAQUILLO,11,16,,1659,,,,,114,,,2484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4257,913,24572,776956,6649,
14,JALISCO,43,HUEJUCAR,5,10,400,974,,,,1684,,,,,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3508,,140,4397,5270,
14,JALISCO,44,HUEJUQUILLA EL ALTO,7,16,1963,1329,,,,587,,,,,593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4472,,120,3628,7162,
14,JALISCO,46,IXTLAHUACAN DE LOS MEMBRILLOS,11,51,,8310,,642,,,328,,,5324,2623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17227,,137,4609,33413,
14,JALISCO,47,IXTLAHUACAN DEL RIO,11,26,530,3341,,343,,4036,210,,,,760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9220,,3,11501,15159,
14,JALISCO,48,JALOSTOTITLAN,22,45,4177,3874,73,,,4120,349,,,,698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13291,17,490,17734,24185,
14,JALISCO,49,JAMAY,12,31,,5857,,1107,,,41,,,3222,893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11120,2,356,9578,18745,
14,JALISCO,50,JESUS MARIA,14,26,4391,503,,237,,3414,,,,,281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8826,4,249,13544,16340,
14,JALISCO,51,JILOTLAN DE LOS DOLORES,10,16,,1081,,24,,,,,,3271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4376,3,299,11422,6460,
14,JALISCO,52,JOCOTEPEC,18,55,,4776,,1770,,,645,,,7736,3225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18152,1,327,9154,33165,
14,JALISCO,53,JUANACATLAN,7,21,2197,1657,20,827,,2778,58,,,,878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8415,1,89,4466,12853,
14,JALISCO,54,JUCHITLAN,6,10,,766,,585,,,,,,1855,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3314,7,595,18754,5064,
14,JALISCO,18,LA BARCA,36,93,,5955,,1131,,,5432,,,6967,7441,,,,,,,,,,,,,,,,,,,,,,,,,514,,,,,,,,,,,,,,27440,3,239,8657,54321,
14,JALISCO,45,LA HUERTA,18,32,,4428,,45,,,,,,5790,1235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11498,1,77,3392,18148,
14,JALISCO,59,LA MANZANILLA DE LA PAZ,5,7,,101,,1551,,,,,,774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2426,36,2025,67615,3265,
14,JALISCO,55,LAGOS DE MORENO,72,212,,14095,,776,,,432,,,41387,7230,,,,,,,,,,,,,747,,,,,,,,,,,,,,887,,,,,,,,,,,,65554,,96,3155,120622,
14,JALISCO,57,MAGDALENA,10,25,,3294,,,,,127,,,2479,1522,,,,,,,,,,,,,,,,1512,,,,,,,,,,,,,,,,,,,,,,,8934,15,231,9180,15218,
14,JALISCO,60,MASCOTA,13,23,830,2303,,37,,2374,90,,,,1535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7169,,,1393,11035,
14,JALISCO,61,MAZAMITLA,9,20,84,2069,,3236,,1453,111,,,,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7302,,57,2483,10515,
14,JALISCO,62,MEXTICACAN,7,10,817,658,,,,536,35,,,,620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2666,187,2,7358,4872,
14,JALISCO,63,MEZQUITIC,7,18,3582,2270,,,,703,33,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6749,,369,7671,10018,
14,JALISCO,64,MIXTLAN,4,7,,1004,,,,1009,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2308,,84,2750,3136,
14,JALISCO,65,OCOTLAN,42,124,8224,4562,563,524,,16098,1125,,,,10278,,689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42063,1,291,7041,76185,
14,JALISCO,66,OJUELOS DE JALISCO,15,38, ,1854, ,1525, , ,, , ,7402,2062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12843,,35,2343,22271,
14,JALISCO,67,PIHUAMO,12,21, ,344, ,2144, , ,, , ,509,2820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5817,12,1153,43228,8988,
14,JALISCO,68,PONCITLAN,20,60, ,5289, ,530, , , , , ,9366,4376, ,,,,,,,,,,,,,,,,,,373,,,,,,,,,,,,,,,,,,,,19934,7,516,13366,36552,
14,JALISCO,69,PUERTO VALLARTA,78,331,5427,8215,1022,1720, ,49269,2105, , ,,30862,1333,,,,,,,,,,,,,,,,,1622,,,,1303,,,,,,,,,,,,,,,846,437,104161,4,252,6073,212485,
14,JALISCO,71,QUITUPAN,12,18, ,2015, ,, , ,, , ,2509,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4620,1,741,20676,8485,
14,JALISCO,73,SAN CRISTOBAL DE LA BARRANCA,5,7,705,153,,104, ,273,, , ,,88,,,,,,,587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1910,81,3310,107552,2907,
14,JALISCO,74,SAN DIEGO DE ALEJANDRIA,7,12,,1282,,381,,,3,,,1736,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3485,1,260,6429,5208,
14,JALISCO,24,SAN GABRIEL,10,20, ,2937, ,59, , ,, , ,3558,1225, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7779,2,167,4789,11960,
14,JALISCO,125,SAN IGNACIO CERRO GORDO,8,23,1428,2856,107,, ,2561,180, , ,,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7361,11,1519,62503,14426,
14,JALISCO,75,SAN JUAN DE LOS LAGOS,34,87, ,2683, ,7228, , ,8032, , ,5741,3291,,,,,,,,,,,,,,,,,795, ,,,,,,,,,,,,,,,,,,,,,27770,,81,1991,51379,
14,JALISCO,7,SAN JUANITO DE ESCOBEDO,8,15,691,891,,268, ,1565,227, , ,,1105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4747,5,121,3611,7377,
14,JALISCO,76,SAN JULIAN,9,21,2172,1830,,44, ,3661,44, , ,,290, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8041,33,864,28667,12704,
14,JALISCO,77,SAN MARCOS,2,5, ,511, ,, , ,292, , ,1176,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2229,3,225,8269,2978,
14,JALISCO,78,SAN MARTIN DE BOLAÑOS,5,7,453,606,,, ,648,, , ,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1767,,65,2294,2598,
14,JALISCO,79,SAN MARTIN HIDALGO,17,41, ,4573, ,73, , ,, , ,5659,2211,,,,,,,,,,,,,,,,,,,,,,,,1364,,,,,,,,,,,,,,,13880,,53,1820,24014,
14,JALISCO,80,SAN MIGUEL EL ALTO,17,43, ,1813, ,1768, , ,2644, , ,5472,2405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14102,7,408,14295,24743,
14,JALISCO,99,SAN PEDRO TLAQUEPAQUE,199,737, ,48381, ,9019, , ,4107, , ,84327,70683,,,,7517,,,,,,,17511,,,,6172,,,,,,,,,,,,,,,,,,,,,,,,247717,2,478,14582,472765,
14,JALISCO,81,SAN SEBASTIAN DEL OESTE,7,10, ,16, ,1310, , ,15, , ,1209,858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3408,1,100,3509,4628,
14,JALISCO,82,SANTA MARIA DE LOS ANGELES,5,7,,878, ,, , ,, , ,1288,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2203,1,59,2263,3276,
14,JALISCO,58,SANTA MARIA DEL ORO,4,5,325,630,,,,422,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1377,329,446,16144,2012,
14,JALISCO,83,SAYULA,18,43, ,2709, ,161, , ,335, , ,3420,2595,,,,,,,,,,,,,,6149,,,,,,,,,,,,,,,,,,,,,,,,,15369,27,690,30504,26405,
14,JALISCO,84,TALA,31,88, ,8700, ,1452, , ,729, , ,11250,6740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,916,,,,,29787,,183,8006,52877,
14,JALISCO,85,TALPA DE ALLENDE,10,21, ,4143, ,,, ,,,,3680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7823,19,811,19144,11206,
14,JALISCO,86,TAMAZULA DE GORDIANO,35,65,,3624,,5101,,,1147,,,6017,2425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18314,,302,10540,34083,
14,JALISCO,87,TAPALPA,9,25,,2397,,2882,,,467,,,3786,706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10238,2,279,8416,13919,
14,JALISCO,88,TECALITLAN,16,26,467,2595,603,,,3462,,,,,1008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8135,1,331,9284,12901,
14,JALISCO,90,TECHALUTA DE MONTENEGRO,3,6,,12,,856,,,,,,1258,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2191,,71,2262,3112,
14,JALISCO,89,TECOLOTLAN,13,26,1281,3718,,81,,3593,,,,,279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8952,2,146,4193,13432,
14,JALISCO,91,TENAMAXTLAN,6,13,,1721,,,,,24,,,2121,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4045,5,756,16030,6266,
14,JALISCO,92,TEOCALTICHE,23,52,,4911,,291,,,706,,,6273,3088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15269,,165,6142,30433,
14,JALISCO,93,TEOCUITATLAN DE CORONA,10,18,,1361,,574,,,,,,3863,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5977,37,2074,62405,9438,
14,JALISCO,94,TEPATITLAN DE MORELOS,54,183,19344,4491,293,7071,,19742,1154,,,,3392,,,,,,,,4807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60294,5,601,17160,115678,
14,JALISCO,95,TEQUILA,22,55,,2796,,1682,,,1008,,,4833,2903,,,,,,,,,,,,,,,,,,,,,,,,,,3332,,,,,,,,,,,,,16554,,116,5560,30803,
14,JALISCO,96,TEUCHITLAN,6,13,37,461,21,757,,1781,360,,,,2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5444,2,353,9102,7847,
14,JALISCO,97,TIZAPAN EL ALTO,14,31,1737,5394,,162,,505,31,,,,918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8747,250,4354,175000,16686,
14,JALISCO,98,TLAJOMULCO DE ZUÑIGA,129,518,13347,10379,3087,3532,,83223,2272,,,,47484,,,,,,,,,,,,,,,,,,,,,7072,,,,,,,,,,,,,,,,,,170396,525,7478,255720,332408,
14,JALISCO,100,TOLIMAN,7,15,,2924,,,,,,,,2427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5351,7,109,5467,7671,
14,JALISCO,101,TOMATLAN,17,46,,3295,,669,,,,,,8263,2067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14294,112,1079,15485,25466,
14,JALISCO,102,TONALA,81,497,,31280,,6423,,,7324,,,65099,48402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4327,,,,,,,,,,162855,32,3605,166492,333899,
14,JALISCO,103,TONAYA,5,9,,1637,1461,,6,332,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3513,,99,3612,5195,
14,JALISCO,104,TONILA,7,12,417,1004,,915,,1306,297,,,,421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4360,,117,4477,5758,
14,JALISCO,105,TOTATICHE,6,9,1178,846,,,,499,,,,,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2647,,70,2717,3954,
14,JALISCO,106,TOTOTLAN,14,32,,2848,,622,,,157,,,6571,382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10580,11,310,10901,18009,
14,JALISCO,107,TUXCACUESCO,5,8,,1354,,,,,,,,1207,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2695,,111,2806,3862,
14,JALISCO,108,TUXCUECA,4,10,879,1363,87,15,,1013,76,,,,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3593,,106,3699,5327,
14,JALISCO,109,TUXPAN,23,48,,1865,,,,,4931,,,3246,4330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1814,,,,16186,,556,16742,27191,
14,JALISCO,110,UNION DE SAN ANTONIO,10,24,,1999,,35,,,,,,6910,311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9255,,268,9523,13778,
14,JALISCO,111,UNION DE TULA,12,21,,2686,,30,,,33,,,3677,407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6833,,265,7098,11588,
14,JALISCO,112,VALLE DE GUADALUPE,7,12,2139,799,,23,,582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3543,2,83,3628,5972,
14,JALISCO,113,VALLE DE JUAREZ,5,11,2014,1516,,33,,18,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3585,,92,3767,5449,
14,JALISCO,114,VILLA CORONA,10,25,360,596,269,800,,1407,1547,,,,836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2374,,,,,,8189,18,256,8463,14823,
14,JALISCO,115,VILLA GUERRERO,8,11,1766,1154,,,,313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3233,,67,3300,4537,
14,JALISCO,116,VILLA HIDALGO,8,26,,463,,,,,3061,693,51,3077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7345,208,476,8029,15092,
14,JALISCO,70,VILLA PURIFICACION,9,18,1413,1456,,,,2752,,,,,547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6168,1,120,2287,9983,
14,JALISCO,118,YAHUALICA DE GONZALEZ GALLO,20,38,4185,4669,35,67, ,1374,, , ,,1238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11568,3,481,12052,19506,
14,JALISCO,119,ZACOALCO DE TORRES,16,39,,4830,,2128,,,173,,,3773,2865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13769,3,405,14177,23029,
14,JALISCO,120,ZAPOPAN,447,1588,92244,65599,6574,16871,,257048,8779,,,,131076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578191,431,16901,595523,1018948,
14,JALISCO,121,ZAPOTILTIC,21,43,3436,2172,,1248,,2891,187,,,,2753,,,,,,,,,2214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14901,2,411,15314,24251,
14,JALISCO,122,ZAPOTITLAN DE VADILLO,6,11,,839,,601,,,,,,1895,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3465,1,126,3592,4986,
14,JALISCO,123,ZAPOTLAN DEL REY,13,27,,871,,3411,,,,,,1663,2468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8413,16,295,8724,14284,
14,JALISCO,23,ZAPOTLAN EL GRANDE,51,135,3513,4493,,703,,18431,459,,,,15482,,,6440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49521,5,1078,26924,84693,
14,JALISCO,124,ZAPOTLANEJO,32,86,1708,4659,293,918,,13555,,,,,4708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25841,3,273,7637,52119,
