CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN_PRS,PRI_PVEM,PRI_PVEM_NVA_ALIANZA,PRD_PT_MC,NVA_ALIANZA,MORENA,PH,ES,MHTG,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,137,C01,104,,71,43,,7,10,11,,0,246,14,260,408,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,138,B,152,,87,69,,14,8,17,,0,347,17,364,654,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,139,B,89,,81,70,,35,4,9,,3,291,10,301,555,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,140,B,78,,49,51,,12,11,14,,1,216,10,226,504,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,141,B,68,,50,32,,22,4,7,,0,183,8,191,385,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,141,C01,74,,37,35,,11,4,8,,0,169,10,179,384,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,142,B,72,,89,53,,9,2,17,,0,242,10,252,512,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,142,C01,75,,103,31,,16,5,10,,1,241,6,247,511,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,143,B,91,,93,38,,12,7,7,,0,248,13,261,572,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,143,C01,118,,89,27,,12,3,15,,1,265,5,270,572,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,143,C02,85,,94,46,,21,9,10,,0,265,3,268,571,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,144,B,111,,138,47,,20,9,7,,0,332,10,342,704,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,144,C01,123,,91,55,,18,4,11,,2,304,14,318,703,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,145,B,70,,43,29,,10,5,21,,0,178,4,182,376,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,145,C01,63,,35,30,,14,2,20,,0,164,4,168,376,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,146,B,113,,72,65,,22,6,19,,0,297,8,305,637,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,147,B,112,,89,81,,32,8,30,,0,352,16,368,688,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,148,B,125,,76,57,,17,7,27,,1,310,13,323,541,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,149,B,100,,89,70,,25,7,20,,1,312,12,324,597,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,150,B,74,,79,65,,26,8,28,,1,281,9,290,499,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,151,B,105,,82,51,,19,5,19,,0,281,11,292,636,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,152,B,60,,51,31,,11,10,18,,0,181,8,189,437,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,152,C01,71,,66,30,,15,4,11,,1,198,4,202,437,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,153,B,76,,123,77,,21,4,23,,4,328,11,339,658,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,153,C01,73,,102,69,,25,7,18,,0,294,9,303,658,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,154,B,70,,87,78,,23,5,19,,2,284,7,291,570,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,154,C01,92,,68,43,,23,9,25,,3,263,16,279,569,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,155,B,88,,73,36,,28,12,16,,1,254,10,264,490,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,155,C01,97,,102,42,,27,4,14,,3,289,7,296,490,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,156,B,81,,67,35,,15,7,16,,0,221,6,227,458,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,156,C01,67,,75,52,,22,3,16,,0,235,4,239,458,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,156,E01,132,,114,58,,17,3,11,,0,335,14,349,747,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,156,E01C01,138,,101,50,,15,11,17,,0,332,7,339,747,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,156,E01C02,130,,91,61,,21,9,21,,0,333,16,349,747,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,157,B,96,,60,35,,10,6,9,,0,216,6,222,410,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,157,C01,92,,59,27,,15,3,0,,0,196,4,200,409,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,158,B,76,,56,37,,9,9,18,,0,205,5,210,398,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,158,C01,89,,44,17,,14,13,14,,0,191,11,202,397,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,159,B,122,,80,31,,28,2,10,,5,278,5,283,502,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,160,B,126,,96,30,,28,12,13,,1,306,7,313,488,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,161,B,197,,112,46,,27,7,30,,1,420,12,432,667,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,162,B,102,,86,42,,10,11,9,,3,263,8,271,427,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,162,C01,101,,106,34,,18,4,11,,3,277,11,288,427,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,163,B,195,,130,50,,21,13,16,,0,425,9,434,662,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,164,B,92,,102,33,,13,9,8,,0,257,8,265,432,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,164,C01,97,,106,25,,9,9,11,,0,257,9,266,432,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,165,B,106,,79,58,,18,5,12,,2,280,9,289,450,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,165,C01,104,,86,67,,16,9,12,,1,295,7,302,449,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,166,B,179,,162,56,,43,13,7,,1,461,13,474,686,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,167,B,125,,102,47,,23,8,5,,0,310,9,319,537,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,167,C01,127,,107,53,,14,17,11,,3,332,5,337,536,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,168,B,133,,63,49,,28,4,5,,1,283,4,287,496,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,168,C01,144,,77,39,,24,7,9,,2,302,8,310,495,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,169,B,65,,47,35,,4,4,10,,0,165,9,174,382,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,169,C01,73,,38,26,,5,5,1,,0,148,5,153,381,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,170,B,153,,87,42,,13,11,8,,0,314,7,321,528,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,171,B,180,,84,50,,20,9,15,,0,358,7,365,598,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,172,B,167,,110,65,,28,15,10,,1,396,19,415,694,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,173,B,116,,84,52,,20,6,13,,1,292,14,306,505,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,173,C01,127,,60,40,,32,5,19,,0,283,7,290,504,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,174,B,143,,70,38,,0,11,11,,3,276,7,283,491,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,174,C01,123,,66,45,,9,5,12,,2,262,10,272,491,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,175,B,143,,100,60,,11,11,17,,0,342,8,350,652,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,175,C01,117,,100,57,,27,14,25,,2,342,9,351,652,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,176,B,142,,66,76,,19,8,12,,2,325,13,338,552,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,177,B,163,,57,58,,18,8,12,,1,317,6,323,532,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,178,B,92,,69,79,,16,9,14,,1,280,9,289,505,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,179,B,79,,63,41,,21,6,10,,0,220,15,235,430,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,179,C01,116,,44,37,,17,3,6,,1,224,5,229,430,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,180,B,105,,57,32,,9,8,15,,1,227,12,239,455,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,180,C01,94,,65,45,,18,7,9,,0,238,12,250,455,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,181,B,131,,66,66,,27,6,7,,1,304,9,313,596,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,181,C01,123,,76,82,,23,10,10,,1,325,8,333,595,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,182,B,103,,59,59,,9,4,3,,1,238,13,251,416,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,182,C01,95,,61,49,,4,3,5,,0,217,5,222,415,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,2,LA PAZ,3,LA PAZ,183,B,173,,88,67,,21,23,7,,2,381,8,389,663,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,184,B,86,,76,33,,12,1,1,,0,209,3,212,327,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,185,B,153,,110,57,,32,6,17,,4,379,6,385,681,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,186,B,106,,101,35,,18,8,7,,0,275,5,280,435,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,186,C01,95,,94,41,,28,4,13,,2,277,6,283,435,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,187,B,122,,84,43,,17,5,3,,2,276,5,281,412,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,187,C01,98,,86,40,,23,12,8,,0,267,6,273,412,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,188,B,96,,77,42,,16,10,9,,0,250,13,263,378,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,188,C01,91,,80,30,,19,2,14,,2,238,11,249,378,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,189,B,118,,105,36,,15,6,23,,3,306,13,319,487,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,189,C01,107,,103,45,,22,5,14,,4,300,6,306,486,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,190,B,149,,90,43,,31,4,13,,1,331,11,342,567,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,190,C01,158,,99,46,,24,5,14,,1,347,6,353,567,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,191,B,120,,82,30,,21,7,18,,1,279,9,288,472,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,191,C01,125,,104,31,,15,10,22,,1,308,7,315,471,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,192,B,164,,132,76,,41,12,31,,2,458,15,473,735,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,193,B,86,,105,45,,28,6,14,,0,284,9,293,448,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,193,C01,92,,128,56,,21,6,13,,2,318,10,328,448,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,194,B,117,,120,33,,37,14,26,,4,351,9,360,552,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,195,B,112,,110,77,,37,14,14,,1,365,10,375,651,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,196,B,104,,70,44,,16,6,18,,1,259,3,262,454,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,196,C01,119,,86,30,,13,19,12,,0,279,0,279,454,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,197,B,106,,112,55,,28,8,21,,3,333,6,339,522,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,197,C01,108,,87,57,,18,13,15,,1,299,8,307,522,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,197,C02,132,,81,47,,25,9,19,,1,314,9,323,521,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,198,B,194,,79,75,,14,13,12,,0,387,17,404,681,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,199,B,144,,111,71,,17,10,19,,0,372,7,379,600,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,200,B,129,,121,45,,35,16,27,,3,376,14,390,633,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,201,B,110,,54,70,,20,6,8,,0,268,10,278,506,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,202,B,158,,134,61,,40,13,32,,0,438,8,446,670,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,202,C01,155,,134,50,,33,16,26,,0,414,16,430,669,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,203,B,79,,61,41,,11,9,17,,0,218,6,224,409,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,203,C01,108,,50,43,,17,6,13,,0,237,3,240,409,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,204,B,98,,49,38,,19,8,16,,1,229,13,242,433,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,204,C01,105,,54,42,,16,5,12,,0,234,8,242,432,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,205,B,153,,68,71,,24,14,24,,1,355,12,367,667,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,206,B,132,,84,75,,32,18,25,,0,366,9,375,666,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,206,E01,115,,72,63,,12,3,20,,0,285,5,290,610,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,206,E01C01,103,,70,45,,15,4,15,,0,252,0,252,609,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,3,LA PAZ,3,LA PAZ,206,E01C02,109,,72,59,,19,7,15,,0,281,11,292,609,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,226,B,142,,82,57,,29,11,16,,4,341,2,343,530,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,226,C01,156,,89,63,,30,3,10,,1,352,6,358,530,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,227,B,173,,84,50,,36,12,15,,0,370,7,377,641,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,227,C01,152,,94,50,,31,7,19,,0,353,12,365,640,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,228,B,168,,102,67,,33,17,15,,2,404,8,412,733,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,228,C01,154,,101,74,,38,12,13,,2,394,10,404,732,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,229,B,168,,105,82,,43,11,23,,3,435,13,448,737,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,230,B,183,,101,113,,25,11,28,,1,462,13,475,738,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,231,B,142,,64,59,,34,14,11,,0,324,1,325,502,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,232,B,101,,53,34,,19,8,13,,2,230,3,233,399,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,232,C01,105,,54,41,,23,7,9,,0,239,5,244,399,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,233,B,157,,70,70,,30,9,20,,0,356,4,360,599,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,234,B,118,,76,47,,20,12,10,,2,285,6,291,437,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,234,C01,108,,80,43,,16,10,16,,1,274,6,280,437,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,235,B,108,,66,45,,29,9,15,,0,272,8,280,455,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,235,C01,113,,57,34,,20,17,17,,0,258,11,269,454,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,236,B,124,,49,38,,15,6,8,,1,241,3,244,417,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,237,B,98,,75,54,,19,14,14,,0,274,9,283,461,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,237,C01,104,,77,45,,31,10,18,,0,285,10,295,461,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,238,B,95,,87,37,,19,11,9,,0,258,8,266,394,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,238,C01,94,,61,27,,15,8,9,,0,214,3,217,393,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,239,B,132,,55,46,,20,13,19,,0,285,4,289,507,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,239,C01,127,,65,47,,17,12,25,,1,294,1,295,506,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,240,B,104,,54,40,,25,20,10,,0,253,3,256,522,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,241,B,109,,64,42,,28,12,17,,1,273,4,277,524,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,242,B,133,,88,32,,14,18,14,,1,300,9,309,626,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,242,S01,75,,47,29,,11,3,6,,0,171,4,175,0,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,243,B,128,,129,67,,25,13,15,,2,379,6,385,650,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,244,B,124,,130,84,,28,22,25,,1,414,11,425,690,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,245,B,135,,126,49,,29,12,18,,4,373,10,383,584,Grupo de Recuento,,,
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,246,B,91,,67,35,,7,8,8,,1,217,10,227,444,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,246,C01,94,,51,39,,20,8,11,,1,224,9,233,444,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,247,B,86,,54,38,,11,10,5,,0,204,4,208,407,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,247,C01,82,,52,36,,14,3,6,,0,193,7,200,406,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,4,LA PAZ,3,LA PAZ,248,B,158,,118,80,,20,18,26,,3,423,4,427,699,Acta casilla,,,
