ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,RED,PRI_PVEM,PT_MORENA_ES, CAND_IND41, CAND_IND42, CAND_IND43, CAND_IND44, CAND_IND45, CAND_IND46, CAND_IND47, CAND_IND48, CAND_IND49, CAND_IND50, CAND_IND51, CAND_IND52, CAND_IND53, CAND_IND54, CAND_IND55, CAND_IND56, CAND_IND57, CAND_IND58, CAND_IND59, CAND_IND60, CAND_IND61, CAND_IND62, CAND_IND63, CAND_IND64, CAND_IND65, CAND_IND66, CAND_IND67, CAND_IND68, CAND_IND69, CAND_IND70, CAND_IND71, CAND_IND72, CAND_IND73, CAND_IND74, CAND_IND75, CAND_IND76, CAND_IND77, CAND_IND78, CAND_IND79, CAND_IND80, CAND_IND81, CAND_IND82, CAND_IND83, CAND_IND84, CAND_IND85, CAND_IND86, CAND_IND87, CAND_IND88, CAND_IND89, CAND_IND90, CAND_IND91, CAND_IND92, CAND_IND93,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
19,NUEVO LEON,12,CIENEGA DE FLORES,5,48,777,733,132,3247,,482,1218,343,,1635,,,,,,,,,5872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14439,1,451,14891,31320,
19,NUEVO LEON,13,CHINA,11,18,1534,1038,,164,,,1765,,,,,,,,,,,,,1677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6178,0,148,6326,9483,
19,NUEVO LEON,14,DR. ARROYO,37,56,7553,11403,135,22,,21,68,,,379,,,,,,,,,,,1180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20761,14,860,21635,28105,
19,NUEVO LEON,15,DR. COSS,5,6,437,660,,14,,,613,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1752,0,32,1784,2717,
19,NUEVO LEON,16,DR. GONZALEZ,4,6,284,,99,,,56,60,84,505,452,,,,,,,,,,,,,368,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2117,0,70,2187,3153,
19,NUEVO LEON,17,GALEANA,37,64,725,9408,,516,,206,1048,17,,3703,,,,,,,,,,,,,,,2751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18374,10,971,19355,30138,
19,NUEVO LEON,18,GARCIA,114,269,7877,6780,1405,1368,,3516,1085,473,,16760,,,,,,,,,,,,,,,,24009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63273,25,1546,64844,157626,
19,NUEVO LEON,19,SAN PEDRO GARZA GARCIA,62,176,25169,2554,,478,,,679,98,,3077,,,,,,,,,,,,,,,,,3619,32326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68000,9,936,68945,103718,
19,NUEVO LEON,20,GRAL. BRAVO,6,9,1836,125,,14,,,21,,,73,,,,,,,,,,,,,,,,,,,1530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3599,0,160,3759,5665,
19,NUEVO LEON,21,GRAL. ESCOBEDO,125,461,33002,51910,1054,10036,,5114,1339,458,,26114,,,,,,,,,,,,,,,,,,,,1299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130326,54,6268,136648,292794,
19,NUEVO LEON,22,GRAL. TERAN,15,24,306,2564,,667,,1004,167,,,778,,,,,,,,,,,,,,,,,,,,,1104,943,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7663,0,366,8029,13007,
19,NUEVO LEON,23,GRAL. TREVINO,2,4,739,186,,,,,479,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1434,0,28,1462,1892,
19,NUEVO LEON,24,GRAL. ZARAGOZA,5,11,48,1039,,22,,1,1164,,,1690,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3984,0,62,4046,4977,
19,NUEVO LEON,25,GRAL. ZUAZUA,45,70,3779,2994,939,3224,,732,210,,,3814,,,,,,,,,,,,,,,,,,,,,,,,,996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16688,0,317,17005,37967,
19,NUEVO LEON,26,GUADALUPE,295,882,69354,,3324,,,10591,4050,583,69717,41685,,,,,,,,,,,,,,,,,,,,,,,,,,45267,841,4305,1907,837,1370,,,,,,,,,,,,,,,,,,,,,,,253831,123,8408,262362,540971,
19,NUEVO LEON,27,LOS HERRERAS,6,6,639,30,,753,,27,327,,,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1908,0,59,1967,2686,
19,NUEVO LEON,28,HIDALGO,9,22,1095,,649,,,533,621,1483,1974,487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,918,815,,,,,,,,,,,,,,,,,,,,,8575,1,251,8827,12798,
19,NUEVO LEON,29,HIGUERAS,2,3,234,28,433,52,,,59,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,816,0,22,838,1438,
19,NUEVO LEON,30,HUALAHUISES,8,12,665,2413,2,60,,,316,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,653,,,,,,,,,,,,,,,,,,,,4177,1,78,4256,6147,
19,NUEVO LEON,31,ITURBIDE,4,6,40,1242,,837,,,2,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,,,,,,,,,,,,,,,,,,,2533,0,97,2630,3013,
19,NUEVO LEON,32,JUAREZ,151,359,8365,,1915,,,5967,3419,2831,29109,14584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25591,,,,,,,,,,,,,,,,,,91781,15,2205,94001,209923,
19,NUEVO LEON,33,LAMPAZOS DE NARANJO,4,9,2541,,,,,,5,10,931,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3517,0,65,3582,4754,
19,NUEVO LEON,34,LINARES,47,110,15518,8732,198,635,,244,4434,36,,2854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32651,1,1207,33859,63409,
19,NUEVO LEON,35,MARIN,3,8,1116,,,1185,,19,9,32,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2383,0,56,2439,4575,
19,NUEVO LEON,36,MELCHOR OCAMPO,2,3,19,,,3,541,,812,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1386,0,31,1417,1698,
19,NUEVO LEON,37,MIER Y NORIEGA,9,13,42,,25,,,1,10,,2064,433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2159,,,,,,,,,,,,,,,,,4734,0,94,4828,6215,
19,NUEVO LEON,38,MINA,7,11,46,1701,,126,,120,28,899,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451,,,,,,,,,,,,,,,,3410,0,113,3523,4709,
19,NUEVO LEON,39,MONTEMORELOS,42,91,3058,8884,,357,,912,1179,243,,10693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429,,,,,,,,,,,,,,,25755,5,775,26535,51570,
19,NUEVO LEON,40,MONTERREY ,715,1606,121505,127171,580,3101,44894,1600,1995,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,896,,,,,,,,,,,,,301992,79,6649,308720,939568,
19,NUEVO LEON,41,PARAS,3,4,847,623,,7,,,13,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,0,26,1526,1851,
19,NUEVO LEON,42,PESQUERIA,14,75,1128,8522,,1815,,508,175,,,3919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4095,,,,,,,,,,,,20162,12,747,20921,50678,
19,NUEVO LEON,43,LOS RAMONES,12,13,1026,,,,,3,26,,960,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,922,,,,,,,,,,,2968,0,116,3084,5290,
19,NUEVO LEON,44,RAYONES,5,7,1751,880,,,,,43,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,2741,0,52,2793,3277,
19,NUEVO LEON,45,SABINAS HIDALGO,24,50,9410,2901,84,1356,,587,191,,,1639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179,,,,,,,,,16347,0,381,16728,27700,
19,NUEVO LEON,46,SALINAS VICTORIA,9,60,9980,,491,,,613,160,,5983,2072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,985,,,,,,,,20284,1,591,20876,39283,
19,NUEVO LEON,47,SAN NICOLAS DE LOS GARZA,239,616,107265,21226,2108,4941,,12791,3771,977,,36900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13080,4241,9749,,,,,217049,303,4563,221915,365168,
19,NUEVO LEON,48,SANTA CATARINA,87,331,53637,7197,545,2523,,3712,2116,574,,12677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17340,,,,100321,51,2512,102884,212885,
19,NUEVO LEON,49,SANTIAGO,25,64,6561,7637,,434,,759,231,11,,2147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,865,273,,18918,2,389,19309,37516,
19,NUEVO LEON,50,VALLECILLO,6,6,26,300,283,3,,232,14,,,536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291,1685,0,51,1736,2287,
19,NUEVO LEON,51,VILLALDAMA,5,7,1201,,13,,,1237,93,,32,277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2853,0,83,2936,3672,
