ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,UDC,MC,NVA_ALIANZA,SI,PPC,PJ,PRC,PCP,MORENA,ES,PAN_UDC_PPC_ES,PAN_UDC_PPC,PAN_UDC_ES,PAN_PPC_ES,UDC_PPC_ES,PAN_UDC,PAN_PPC,PAN_ES,UDC_PPC,UDC_ES,PPC_ES,CAND_IND3,CAND_IND4,CAND_IND5,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
5,COAHUILA,27,RAMOS ARIZPE,35,100,7641,13918,1240,499,984,132,203,632,373,55,1723,48,473,2565,625,9,1,1,1,0,3,0,4,0,0,0,,,,15,31130,1132,32277,62617,0.5155
5,COAHUILA,28,SABINAS,37,85,7273,10678,145,162,581,6466,74,561,115,63,267,28,21,907,77,55,40,31,9,2,296,21,7,2,4,0,179,,,31,28064,566,28661,51028,0.5617
5,COAHUILA,29,SACRAMENTO,2,4,299,676,7,49,8,60,11,46,56,149,69,5,3,73,15,0,1,0,0,0,1,3,0,0,0,0,,,,0,1531,47,1578,1984,0.7954
5,COAHUILA,30,SALTILLO,378,923,94185,116443,5112,4880,8988,1214,2334,7260,2439,708,13215,915,3985,39504,4980,170,36,18,10,0,74,22,71,3,1,2,,2018,1749,245,310336,8860,319441,579755,0.5510
5,COAHUILA,31,SAN BUENAVENTURA,17,31,2839,4288,93,253,81,50,103,1014,73,63,245,10,7,1813,67,0,1,0,0,0,0,1,1,0,0,0,,,,4,11002,237,11243,18207,0.6175
5,COAHUILA,32,SAN JUAN DE SABINAS,33,63,9583,7066,123,227,111,555,178,593,57,58,310,9,14,1601,46,23,7,3,4,1,34,7,8,0,0,0,79,,,6,20697,399,21102,35176,0.5999
5,COAHUILA,33,SAN PEDRO,75,133,10357,14994,1211,666,1938,5892,1809,869,640,1126,1732,298,191,3297,582,51,129,12,5,1,177,53,12,18,8,2,,,,17,46070,1406,47493,75444,0.6295
5,COAHUILA,34,SIERRA MOJADA,5,9,318,861,7,9,11,12,239,3,3,407,18,4,3,162,3,3,1,0,0,0,1,10,0,1,0,0,,,,0,2076,54,2130,4140,0.5145
5,COAHUILA,35,TORREON,367,819,117555,95933,7172,5237,7817,602,2638,5008,3379,1591,2329,1577,773,35341,1308,222,84,22,23,0,87,45,31,3,1,0,,,,124,288778,6337,295239,509526,0.5794
5,COAHUILA,36,VIESCA,22,30,1033,4403,557,45,89,207,12,294,43,1747,480,596,36,444,15,2,17,0,1,0,2,53,0,2,0,0,,,,2,10078,238,10318,15628,0.6602
5,COAHUILA,37,VILLA UNION,7,10,1007,1189,279,16,22,82,16,28,4,8,53,10,2,131,6,5,0,0,0,0,3,0,1,0,0,0,,,,1,2862,168,3031,5317,0.5701
5,COAHUILA,38,ZARAGOZA,13,20,2056,2325,928,44,20,173,15,125,28,8,107,10,6,267,12,4,4,1,0,0,30,0,1,0,0,0,,,,1,6164,228,6393,10695,0.5978
