CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,NVA_ALIANZA,MORENA,ES,PRD_PAN,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,CAND_IND1,CAND_IND2,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
2,32,ZACATECAS,17,SOMBRERETE,43,SOMBRERETE,1290,C02,85,29,23,29,5,5,70,80,10,0,2,0,0,0,3,0,341,9,350,563,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,6,FRESNILLO,13,FRESNILLO,175,B,44,101,12,6,6,3,146,25,2,0,1,0,0,4,6,0,356,5,361,561,ACTA CASILLA,,,
2,32,ZACATECAS,11,VILLANUEVA,57,VILLANUEVA,1711,C02,8,120,88,0,6,7,52,17,11,4,1,2,0,1,1,0,318,6,324,523,ACTA CASILLA,,,
2,32,ZACATECAS,13,JALPA,34,NOCHISTLAN DE MEJIA,979,C01,32,78,7,25,2,2,77,23,1,1,1,0,0,0,5,0,254,7,261,443,ACTA CASILLA,,,
2,32,ZACATECAS,7,FRESNILLO,13,FRESNILLO,260,B,16,88,9,13,12,3,143,47,3,0,3,0,0,5,2,0,344,9,353,557,ACTA CASILLA,,,
2,32,ZACATECAS,4,GUADALUPE,16,GUADALUPE,549,C03,15,77,22,10,8,3,113,24,1,0,2,0,0,5,5,0,285,2,287,732,ACTA CASILLA,,,
2,32,ZACATECAS,7,FRESNILLO,13,FRESNILLO,263,B,5,70,9,8,4,5,115,29,0,0,0,1,0,1,0,0,247,6,253,426,ACTA CASILLA,,,
2,32,ZACATECAS,6,FRESNILLO,13,FRESNILLO,177,B,62,90,12,10,0,2,179,21,7,0,2,0,0,6,7,0,398,14,412,740,ACTA CASILLA,,,
2,32,ZACATECAS,11,VILLANUEVA,57,VILLANUEVA,1743,B,3,54,30,2,1,7,3,3,4,4,1,1,0,0,0,0,113,2,115,202,ACTA CASILLA,,,
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1820,C05,18,82,30,3,2,5,153,18,0,0,0,0,0,6,6,1,323,5,329,642,ACTA CASILLA,,,
2,32,ZACATECAS,3,GUADALUPE,16,GUADALUPE,461,B,17,97,25,10,14,7,129,27,3,2,4,0,0,9,7,0,351,10,361,679,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,15,PINOS,39,PINOS,1108,B,3,201,7,15,1,2,163,13,0,0,0,0,0,4,5,0,414,20,434,646,ACTA CASILLA,,,
2,32,ZACATECAS,8,OJOCALIENTE,50,TRANCOSO,548,B,2,28,25,4,1,1,6,1,2,0,0,1,0,1,1,1,73,7,81,105,ACTA CASILLA,,,
2,32,ZACATECAS,11,VILLANUEVA,57,VILLANUEVA,1745,B,5,70,187,2,4,9,2,0,7,7,1,0,0,0,0,0,294,14,308,440,ACTA CASILLA,,,
2,32,ZACATECAS,7,FRESNILLO,13,FRESNILLO,282,B,15,161,38,12,3,9,36,71,0,0,0,0,0,2,0,0,347,11,358,545,ACTA CASILLA,,,
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1821,B,15,88,15,3,6,0,125,18,3,0,1,0,0,6,7,0,287,4,291,524,ACTA CASILLA,,,
2,32,ZACATECAS,4,GUADALUPE,16,GUADALUPE,1885,B,12,46,11,5,9,0,89,24,1,0,0,1,0,3,6,0,207,2,209,408,ACTA CASILLA,,,
2,32,ZACATECAS,11,VILLANUEVA,57,VILLANUEVA,1746,B,3,77,43,0,12,6,4,6,2,8,3,1,1,0,0,0,166,4,170,271,ACTA CASILLA,,,
2,32,ZACATECAS,8,OJOCALIENTE,36,OJOCALIENTE,1036,B,18,98,12,50,14,7,59,65,0,5,3,1,0,2,1,0,335,13,348,582,ACTA CASILLA,,,
2,32,ZACATECAS,6,FRESNILLO,13,FRESNILLO,180,C01,13,54,9,6,2,1,75,27,0,0,4,1,0,8,3,0,203,4,207,442,ACTA CASILLA,,,
2,32,ZACATECAS,5,FRESNILLO,13,FRESNILLO,141,C01,15,61,12,5,4,1,59,23,1,2,0,0,0,6,2,0,191,6,197,454,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,4,GUADALUPE,16,GUADALUPE,1886,B,17,73,22,6,7,2,137,17,0,0,0,0,0,5,2,0,288,9,297,524,ACTA CASILLA,,,
2,32,ZACATECAS,15,PINOS,39,PINOS,1109,C01,7,177,13,14,3,0,147,16,0,0,0,0,0,2,2,0,381,8,389,631,ACTA CASILLA,,,
2,32,ZACATECAS,11,VILLANUEVA,57,VILLANUEVA,1749,B,19,83,147,7,2,18,37,16,12,1,1,2,0,1,2,0,348,7,355,602,ACTA CASILLA,,,
2,32,ZACATECAS,15,PINOS,39,PINOS,1111,B,2,247,12,1,7,2,117,10,0,2,1,1,0,0,1,0,403,10,413,510,ACTA CASILLA,,,
2,32,ZACATECAS,4,GUADALUPE,16,GUADALUPE,1891,B,18,61,18,3,0,2,99,10,1,0,1,0,0,2,7,0,222,4,226,408,ACTA CASILLA,,,
2,32,ZACATECAS,2,ZACATECAS,5,CALERA,59,B,10,93,10,8,4,7,143,29,2,0,2,0,0,14,7,1,329,13,343,534,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,8,OJOCALIENTE,36,OJOCALIENTE,1038,C01,21,109,14,15,3,4,93,38,3,1,1,0,0,4,1,1,307,21,329,505,ACTA CASILLA,,,
2,32,ZACATECAS,11,VILLANUEVA,57,VILLANUEVA,1755,B,21,34,56,3,2,2,5,8,6,1,0,0,0,0,2,0,140,5,145,232,ACTA CASILLA,,,
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1823,C01,18,77,32,3,7,0,92,32,7,1,1,0,0,3,5,0,278,7,285,484,ACTA CASILLA,,,
2,32,ZACATECAS,2,ZACATECAS,5,CALERA,40,C01,57,96,19,4,5,2,61,58,13,0,1,0,0,3,6,0,325,8,333,624,ACTA CASILLA,,,
2,32,ZACATECAS,7,FRESNILLO,13,FRESNILLO,291,B,7,157,21,5,19,3,83,32,2,1,1,0,1,4,1,0,337,10,347,565,ACTA CASILLA,,,
2,32,ZACATECAS,11,VILLANUEVA,57,VILLANUEVA,1757,B,10,43,26,3,8,2,24,2,3,0,0,0,1,1,1,0,124,1,125,184,ACTA CASILLA,,,
2,32,ZACATECAS,6,FRESNILLO,13,FRESNILLO,186,B,22,96,20,6,2,6,136,34,1,0,1,0,0,11,6,2,341,4,347,647,ACTA CASILLA,,,
2,32,ZACATECAS,8,OJOCALIENTE,36,OJOCALIENTE,1039,B,18,95,18,8,7,7,81,33,2,1,2,1,0,0,3,0,276,7,283,460,ACTA CASILLA,,,
2,32,ZACATECAS,4,GUADALUPE,16,GUADALUPE,1897,B,13,47,13,10,10,1,81,26,2,0,2,0,0,0,4,0,209,2,211,471,ACTA CASILLA,,,
2,32,ZACATECAS,7,FRESNILLO,13,FRESNILLO,292,B,18,121,27,4,15,7,87,41,2,0,2,1,0,7,8,0,340,18,358,563,ACTA CASILLA,,,
2,32,ZACATECAS,18,JUAN ALDAMA,40,RIO GRANDE,1200,B,70,128,13,6,4,6,130,33,9,0,0,0,0,5,0,0,404,10,414,745,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,2,ZACATECAS,5,CALERA,45,B,45,64,19,4,1,4,56,23,7,0,0,0,0,2,7,0,232,6,238,406,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,2,ZACATECAS,5,CALERA,40,B,61,79,12,2,4,6,67,60,5,1,0,0,0,6,6,0,309,2,311,624,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,6,FRESNILLO,13,FRESNILLO,187,B,15,61,6,2,5,2,99,26,0,0,0,0,0,4,3,0,223,1,224,476,ACTA CASILLA,,,
2,32,ZACATECAS,15,PINOS,39,PINOS,1111,C01,1,205,17,3,6,1,120,5,0,0,4,0,0,0,2,0,364,12,376,509,ACTA CASILLA,,,
2,32,ZACATECAS,5,FRESNILLO,13,FRESNILLO,144,B,15,91,6,7,5,5,64,49,0,0,1,0,0,7,5,0,255,11,266,495,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,4,GUADALUPE,16,GUADALUPE,1899,B,11,71,24,5,5,5,94,9,1,0,2,0,0,5,3,0,235,7,242,421,ACTA CASILLA,,,
2,32,ZACATECAS,7,FRESNILLO,13,FRESNILLO,293,B,13,176,20,10,9,2,58,45,2,1,3,0,1,4,4,0,348,14,362,603,ACTA CASILLA,,,
2,32,ZACATECAS,5,FRESNILLO,13,FRESNILLO,144,C01,14,108,7,5,7,3,65,42,0,0,0,0,0,2,1,0,254,4,258,494,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,4,GUADALUPE,16,GUADALUPE,470,C09,12,112,25,27,6,0,123,21,4,3,1,0,0,3,4,0,341,12,353,724,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1825,B,14,74,13,6,5,1,103,20,3,0,1,0,0,3,12,0,255,5,260,440,ACTA CASILLA,,,
2,32,ZACATECAS,4,GUADALUPE,16,GUADALUPE,1900,C01,25,64,22,3,1,2,123,7,2,0,0,0,0,10,10,0,269,9,278,436,ACTA CASILLA,,,
2,32,ZACATECAS,4,GUADALUPE,16,GUADALUPE,465,C01,29,112,27,2,12,2,140,17,2,0,1,0,0,0,5,0,349,6,355,618,ACTA CASILLA,,,
2,32,ZACATECAS,11,VILLANUEVA,57,VILLANUEVA,1728,B,50,103,117,0,10,44,7,8,6,4,0,4,2,0,0,0,355,6,361,574,ACTA CASILLA,,,
2,32,ZACATECAS,10,JEREZ,19,JEREZ,607,B,68,139,28,11,3,9,57,29,1,0,0,0,0,3,14,0,362,12,374,637,ACTA CASILLA,,,
2,32,ZACATECAS,16,RIO GRANDE,6,CAÑITAS DE FELIPE PESCADOR,61,B,97,41,6,2,33,11,48,69,1,0,4,0,0,1,6,0,319,11,330,411,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,5,FRESNILLO,13,FRESNILLO,137,C04,18,95,13,8,5,5,86,53,2,0,1,0,0,1,5,0,292,1,293,601,ACTA CASILLA,,,
2,32,ZACATECAS,11,VILLANUEVA,57,VILLANUEVA,1723,B,21,97,70,4,3,17,23,35,3,1,0,4,0,1,0,0,279,9,288,446,ACTA CASILLA,,,
2,32,ZACATECAS,5,FRESNILLO,13,FRESNILLO,226,B,2,45,4,7,1,2,156,17,0,0,1,0,0,1,1,0,237,7,244,328,ACTA CASILLA,,,
2,32,ZACATECAS,7,FRESNILLO,13,FRESNILLO,148,B,22,90,21,5,2,9,122,32,3,0,0,0,0,3,4,0,313,8,321,674,ACTA CASILLA,,,
2,32,ZACATECAS,7,FRESNILLO,13,FRESNILLO,148,C01,32,82,16,12,2,4,118,46,2,0,0,0,0,3,6,0,323,13,336,674,ACTA CASILLA,,,
2,32,ZACATECAS,8,OJOCALIENTE,37,GENERAL PANFILO NATERA,436,B,16,58,53,40,35,26,36,34,4,0,1,1,0,2,1,0,307,13,320,467,ACTA CASILLA,,,
2,32,ZACATECAS,11,VILLANUEVA,57,VILLANUEVA,1716,C01,16,126,81,2,8,12,48,11,12,3,0,4,0,0,0,0,323,3,326,507,ACTA CASILLA,,,
2,32,ZACATECAS,11,VILLANUEVA,57,VILLANUEVA,1717,B,9,162,75,0,5,10,30,10,5,5,4,3,0,0,3,0,321,5,326,516,ACTA CASILLA,,,
2,32,ZACATECAS,8,OJOCALIENTE,37,GENERAL PANFILO NATERA,437,B,10,58,100,53,61,31,38,46,2,0,3,3,0,2,0,0,407,9,416,580,ACTA CASILLA,,,
2,32,ZACATECAS,5,FRESNILLO,13,FRESNILLO,229,C01,18,158,10,12,13,4,219,40,2,2,2,0,0,0,8,0,488,19,507,743,ACTA CASILLA,,,
2,32,ZACATECAS,4,GUADALUPE,16,GUADALUPE,466,C01,23,120,43,2,13,3,137,18,2,0,1,0,0,11,13,0,386,7,393,716,ACTA CASILLA,,,
2,32,ZACATECAS,5,FRESNILLO,13,FRESNILLO,138,B,24,121,9,11,8,5,106,41,0,0,0,0,0,5,7,1,337,12,350,652,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,7,FRESNILLO,13,FRESNILLO,163,C01,34,81,17,2,5,3,105,41,0,1,1,0,0,4,5,0,299,9,308,604,ACTA CASILLA,,,
2,32,ZACATECAS,16,RIO GRANDE,6,CAÑITAS DE FELIPE PESCADOR,61,C01,69,38,6,2,25,5,56,87,2,0,1,0,0,5,0,0,296,0,296,411,ACTA CASILLA,,,
2,32,ZACATECAS,7,FRESNILLO,13,FRESNILLO,163,C02,17,96,10,8,5,4,126,30,3,0,2,0,0,6,7,1,314,5,320,603,ACTA CASILLA,,,
2,32,ZACATECAS,4,GUADALUPE,16,GUADALUPE,468,B,6,110,23,7,10,0,67,24,0,2,4,1,0,2,5,0,261,9,270,529,ACTA CASILLA,,,
2,32,ZACATECAS,15,PINOS,39,PINOS,1094,B,6,121,5,1,3,2,157,16,0,0,0,0,0,0,2,0,313,14,327,423,ACTA CASILLA,,,
2,32,ZACATECAS,8,OJOCALIENTE,37,GENERAL PANFILO NATERA,441,C01,6,50,31,55,35,68,33,37,1,1,2,15,7,5,1,0,347,15,362,524,ACTA CASILLA,,,
2,32,ZACATECAS,4,GUADALUPE,16,GUADALUPE,469,C01,16,98,27,12,12,2,95,26,0,2,3,0,0,8,7,0,308,11,319,625,ACTA CASILLA,,,
2,32,ZACATECAS,10,JEREZ,19,JEREZ,611,B,45,115,7,12,7,9,52,35,0,0,0,3,0,2,12,0,299,13,312,535,ACTA CASILLA,,,
2,32,ZACATECAS,10,JEREZ,19,JEREZ,611,C01,47,106,9,5,6,7,46,32,3,0,0,0,0,6,10,0,277,11,288,534,ACTA CASILLA,,,
2,32,ZACATECAS,11,VILLANUEVA,8,CUAUHT?OC,109,B,8,99,32,8,20,2,57,23,3,0,0,0,0,0,0,0,252,11,263,369,ACTA CASILLA,,,
2,32,ZACATECAS,8,OJOCALIENTE,37,GENERAL PANFILO NATERA,441,C02,3,46,35,47,56,57,48,35,2,1,3,4,1,2,3,0,343,14,357,523,ACTA CASILLA,,,
2,32,ZACATECAS,15,PINOS,39,PINOS,1094,C01,4,145,6,11,4,0,155,16,0,0,0,0,0,3,1,0,345,6,351,423,ACTA CASILLA,,,
2,32,ZACATECAS,4,GUADALUPE,16,GUADALUPE,469,C02,19,106,21,12,17,5,105,27,1,0,6,0,0,9,3,0,331,5,336,625,ACTA CASILLA,,,
2,32,ZACATECAS,4,GUADALUPE,16,GUADALUPE,470,C03,18,112,32,22,11,4,101,28,2,1,2,0,0,0,7,0,340,14,354,725,ACTA CASILLA,,,
2,32,ZACATECAS,15,PINOS,39,PINOS,1095,C01,9,106,14,3,8,1,162,10,0,0,0,0,0,0,3,0,316,1,317,413,ACTA CASILLA,,,
2,32,ZACATECAS,16,RIO GRANDE,40,RIO GRANDE,1205,C01,35,72,25,8,4,1,57,0,5,0,1,0,1,1,1,0,211,6,217,387,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,8,OJOCALIENTE,37,GENERAL PANFILO NATERA,444,B,3,61,39,41,29,9,22,15,0,2,7,2,1,0,0,1,231,9,241,351,ACTA CASILLA,,,
2,32,ZACATECAS,8,OJOCALIENTE,50,TRANCOSO,532,C01,8,103,72,32,3,13,96,36,4,0,0,2,0,3,3,0,375,9,384,532,ACTA CASILLA,,,
2,32,ZACATECAS,10,JEREZ,19,JEREZ,612,C01,76,88,8,8,3,8,58,24,4,2,0,0,0,4,10,0,293,6,299,472,ACTA CASILLA,,,
2,32,ZACATECAS,10,JEREZ,19,JEREZ,613,B,69,138,9,17,7,5,54,33,5,1,1,0,0,6,9,0,354,13,367,615,ACTA CASILLA,,,
2,32,ZACATECAS,15,PINOS,39,PINOS,1096,B,4,109,14,5,1,0,121,20,0,2,1,0,0,2,4,0,283,11,294,398,ACTA CASILLA,,,
2,32,ZACATECAS,16,RIO GRANDE,40,RIO GRANDE,1214,B,23,86,38,9,7,3,64,27,5,2,0,1,0,0,0,0,265,0,265,498,ACTA CASILLA,,,
2,32,ZACATECAS,4,GUADALUPE,16,GUADALUPE,470,C07,22,102,21,13,6,5,144,23,2,0,3,0,0,3,4,0,348,4,352,725,ACTA CASILLA,,,
2,32,ZACATECAS,4,GUADALUPE,52,VETAGRANDE,1608,C01,21,163,88,7,2,1,96,53,20,0,2,1,0,3,1,0,458,9,467,600,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,4,GUADALUPE,16,GUADALUPE,463,B,50,140,38,10,5,2,188,7,8,0,0,0,0,6,6,1,460,6,467,710,ACTA CASILLA,,,
2,32,ZACATECAS,11,VILLANUEVA,57,VILLANUEVA,1739,B,6,102,158,1,6,20,29,15,9,8,1,0,0,0,0,0,355,13,368,571,ACTA CASILLA,,,
2,32,ZACATECAS,11,VILLANUEVA,57,VILLANUEVA,1718,B,26,222,63,0,3,15,91,15,3,6,2,1,0,1,2,0,450,12,462,694,ACTA CASILLA,,,
2,32,ZACATECAS,4,GUADALUPE,16,GUADALUPE,463,C02,53,141,34,6,4,3,164,20,2,2,2,0,0,14,9,0,454,8,462,709,ACTA CASILLA,,,
2,32,ZACATECAS,11,VILLANUEVA,57,VILLANUEVA,1719,B,18,149,74,0,12,22,48,12,1,3,0,2,0,2,6,0,349,35,384,619,ACTA CASILLA,,,
2,32,ZACATECAS,4,GUADALUPE,16,GUADALUPE,464,C01,44,180,31,6,12,2,132,3,3,2,0,0,0,2,7,1,424,7,432,711,ACTA CASILLA,,,
2,32,ZACATECAS,4,GUADALUPE,16,GUADALUPE,465,B,37,130,22,7,8,2,124,16,6,1,4,0,0,7,9,0,373,7,380,618,ACTA CASILLA,,,
2,32,ZACATECAS,8,OJOCALIENTE,37,GENERAL PANFILO NATERA,438,C01,1,58,53,34,28,23,20,29,4,3,8,0,0,2,2,0,265,5,270,385,ACTA CASILLA,,,
2,32,ZACATECAS,13,JALPA,45,TABASCO,1402,B,110,144,17,4,2,4,44,18,11,0,1,0,0,3,1,0,359,14,373,601,ACTA CASILLA,,,
2,32,ZACATECAS,7,FRESNILLO,13,FRESNILLO,136,B,18,101,14,6,9,3,92,42,1,1,1,0,1,2,3,0,294,7,301,606,ACTA CASILLA,,,
2,32,ZACATECAS,6,FRESNILLO,13,FRESNILLO,176,B,43,70,14,7,4,5,116,22,0,0,0,0,0,5,6,0,292,13,305,533,ACTA CASILLA,,,
2,32,ZACATECAS,7,FRESNILLO,13,FRESNILLO,136,C01,16,95,9,11,9,5,57,40,2,2,2,0,0,6,5,0,259,14,273,606,ACTA CASILLA,,,
2,32,ZACATECAS,11,VILLANUEVA,57,VILLANUEVA,1721,B,33,192,120,0,12,21,51,26,5,9,0,0,0,1,2,0,472,13,485,745,ACTA CASILLA,,,
2,32,ZACATECAS,7,FRESNILLO,13,FRESNILLO,290,C01,18,123,22,7,8,5,115,60,1,0,1,0,0,4,3,0,367,9,376,579,ACTA CASILLA,,,
2,32,ZACATECAS,4,GUADALUPE,16,GUADALUPE,467,C02,23,111,27,5,6,2,152,13,4,0,0,0,0,7,10,0,360,7,367,613,ACTA CASILLA,,,
2,32,ZACATECAS,5,FRESNILLO,13,FRESNILLO,230,C01,11,134,8,4,2,0,56,22,0,0,0,0,0,1,1,0,239,5,244,378,ACTA CASILLA,,,
2,32,ZACATECAS,4,GUADALUPE,16,GUADALUPE,549,C01,19,99,17,8,5,2,123,23,2,1,1,0,0,8,9,0,317,7,324,733,ACTA CASILLA,,,
2,32,ZACATECAS,4,GUADALUPE,16,GUADALUPE,468,C02,5,101,22,12,11,4,52,26,0,0,3,0,0,6,6,1,248,12,261,529,ACTA CASILLA,,,
2,32,ZACATECAS,6,FRESNILLO,13,FRESNILLO,166,B,60,110,19,10,4,3,142,22,2,1,1,0,0,10,10,0,394,10,404,656,ACTA CASILLA,,,
