ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,NVA_ALIANZA,MORENA,ES,PRD_PAN,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,CAND_IND1,CAND_IND2,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
32,ZACATECAS,47,TEPETONGO,20,20,233,2106,429,20,32,51,496,171,18,12,7,4,4,14,18,0,3615,118,3733,6270,0.5954
32,ZACATECAS,48,TEUL DE GONZALEZ ORTEGA,11,14,117,1376,61,36,52,11,895,140,19,1,7,2,0,9,14,2,2740,63,2805,4377,0.6408
32,ZACATECAS,49,TLALTENANGO DE SANCHEZ ROMAN,37,49,2408,3238,430,137,935,159,3129,451,155,84,88,9,14,298,99,2,11634,399,12035,19731,0.61
32,ZACATECAS,50,TRANCOSO,11,23,292,2371,1643,490,154,199,1979,735,106,22,32,15,7,22,31,1,8098,307,8406,12466,0.6743
32,ZACATECAS,51,VALPARAISO,67,75,771,7066,3735,118,179,69,2776,1236,252,21,64,8,4,34,45,2,16378,471,16851,26737,0.6303
32,ZACATECAS,52,VETAGRANDE,8,15,240,1904,926,184,28,29,1317,443,159,6,25,4,1,65,19,2,5350,124,5476,7307,0.7494
32,ZACATECAS,53,VILLA DE COS,47,62,423,5110,3798,962,417,115,2748,1497,324,21,98,5,3,317,338,9,16176,524,16709,24517,0.6815
32,ZACATECAS,54,VILLA GARCIA,16,25,241,2903,235,373,276,473,3021,855,11,38,13,24,2,63,56,1,8584,275,8860,12340,0.718
32,ZACATECAS,55,VILLA GONZALEZ ORTEGA,12,19,153,733,1103,428,270,831,1993,395,71,18,19,34,18,33,33,5,6132,282,6419,9900,0.6484
32,ZACATECAS,56,VILLA HIDALGO,23,29,103,4037,2834,111,48,24,1474,353,70,10,22,5,2,24,16,0,9133,215,9348,13162,0.7102
32,ZACATECAS,57,VILLANUEVA,50,61,751,5572,4318,105,341,997,1595,689,322,283,33,100,23,35,72,1,15236,509,15746,24935,0.6315
32,ZACATECAS,58,ZACATECAS,111,197,4545,19066,3764,1126,1145,583,25439,3498,545,111,160,30,8,1154,1348,57,62522,1413,63992,105842,0.6046
32,ZACATECAS,0,VOTO EN EXTRANJERO,0,0,13,23,11,1,4,1,18,0,0,3,0,0,0,4,2,0,80,0,80,357,0.2241
