state,mun,uniqueid,section,year,incumbent_party_magar,incumbent_candidate_magar,incumbent_party_JL,incumbent_candidate_JL,runnerup_party_magar,runnerup_candidate_magar,margin,PRI,PAN,PRD,PT,PVEM,Partido_Democrata,PSN,PC,PAS,PCDT,PJS,total,valid,listanominal,PRI_PVEM,PT_PCDT_PJS,PCDT_PJS,PT_PCDT,PT_PJS,PAN_PAC,PANAL,PS,PRI_PVEM_PS,PAN_PANAL,PRI_PST,PRD_PT_PC,PRD_PC,PRD_PT,PT_PC,PST,PAC,PP,PLT,PPT,type,MC,no registrados,PAC_PS,PT_PAC,CASILLA,MORENA,PES,PRI_PANAL,PRI_PVEM_PANAL_PS,CI_1,CI_2,CI_3,PRI_PANAL_PS,PRI_PS,CI_4,PRI_PT,PRI_PVEM_PANAL,PVEM_PS,PEST,PISS,RSP,FXM,CI_5,CI_6,CI_7,CI_8,CI_9,CI_10,CI_11,CI_12,CI_13,CI_14,CI_15,CI_16,CI_17,CI_18,CI_19,CI_20,CI_21,CI_22,CI_23,CI_24,CI_25,CI_26,CI_27,CI_28,CI_29,CI_30,CI_31,CI_32,CI_33,CI_34,CI_35,PAN_PRI,MORENA_RSP_PANAL,MORENA_PANAL,MORENA_RSP,RSP_PANAL,extra,manipulated_year
TLAXCALA,ATLTZAYANCA,29004,65,2001,PRI,JOSE DE JESUS RODRIGUEZ RODRIGUEZ,PRI,JOSE DE JESUS RODRIGUEZ RODRIGUEZ,PRD,,0.3409669211,30,60,5,24,0,0,0,2,0,0,0,123,121,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2001
TLAXCALA,ATLTZAYANCA,29004,66,2001,PRI,JOSE DE JESUS RODRIGUEZ RODRIGUEZ,PRI,JOSE DE JESUS RODRIGUEZ RODRIGUEZ,PRD,,0.3409669211,41,105,24,21,0,0,0,4,0,0,2,206,197,327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2001
TLAXCALA,ATLTZAYANCA,29004,67,2001,PRI,JOSE DE JESUS RODRIGUEZ RODRIGUEZ,PRI,JOSE DE JESUS RODRIGUEZ RODRIGUEZ,PRD,,0.3409669211,9,27,47,30,0,0,0,4,0,0,3,124,120,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2001
TLAXCALA,ATLTZAYANCA,29004,68,2001,PRI,JOSE DE JESUS RODRIGUEZ RODRIGUEZ,PRI,JOSE DE JESUS RODRIGUEZ RODRIGUEZ,PRD,,0.3409669211,87,220,42,100,0,0,0,176,0,3,0,691,628,1183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2001
TLAXCALA,ATLTZAYANCA,29004,69,2001,PRI,JOSE DE JESUS RODRIGUEZ RODRIGUEZ,PRI,JOSE DE JESUS RODRIGUEZ RODRIGUEZ,PRD,,0.3409669211,93,106,54,15,0,0,0,69,0,32,4,389,373,569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2001
TLAXCALA,ATLTZAYANCA,29004,70,2001,PRI,JOSE DE JESUS RODRIGUEZ RODRIGUEZ,PRI,JOSE DE JESUS RODRIGUEZ RODRIGUEZ,PRD,,0.3409669211,52,137,28,18,0,0,0,13,0,5,0,276,253,399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2001
TLAXCALA,ATLTZAYANCA,29004,71,2001,PRI,JOSE DE JESUS RODRIGUEZ RODRIGUEZ,PRI,JOSE DE JESUS RODRIGUEZ RODRIGUEZ,PRD,,0.3409669211,17,148,111,42,0,0,0,7,0,6,1,345,332,581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2001
TLAXCALA,ATLTZAYANCA,29004,72,2001,PRI,JOSE DE JESUS RODRIGUEZ RODRIGUEZ,PRI,JOSE DE JESUS RODRIGUEZ RODRIGUEZ,PRD,,0.3409669211,53,83,31,19,0,0,0,18,0,0,1,236,205,385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2001
TLAXCALA,ATLTZAYANCA,29004,73,2001,PRI,JOSE DE JESUS RODRIGUEZ RODRIGUEZ,PRI,JOSE DE JESUS RODRIGUEZ RODRIGUEZ,PRD,,0.3409669211,11,36,11,43,0,0,0,1,0,2,1,109,105,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2001
TLAXCALA,ATLTZAYANCA,29004,74,2001,PRI,JOSE DE JESUS RODRIGUEZ RODRIGUEZ,PRI,JOSE DE JESUS RODRIGUEZ RODRIGUEZ,PRD,,0.3409669211,77,133,50,40,0,0,0,43,0,1,1,358,345,620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2001
TLAXCALA,ATLTZAYANCA,29004,75,2001,PRI,JOSE DE JESUS RODRIGUEZ RODRIGUEZ,PRI,JOSE DE JESUS RODRIGUEZ RODRIGUEZ,PRD,,0.3409669211,18,45,56,13,0,0,0,20,0,0,1,163,153,242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2001
TLAXCALA,ATLTZAYANCA,29004,76,2001,PRI,JOSE DE JESUS RODRIGUEZ RODRIGUEZ,PRI,JOSE DE JESUS RODRIGUEZ RODRIGUEZ,PRD,,0.3409669211,6,44,47,6,0,0,0,1,0,0,0,112,104,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2001
TLAXCALA,ATLTZAYANCA,29004,77,2001,PRI,JOSE DE JESUS RODRIGUEZ RODRIGUEZ,PRI,JOSE DE JESUS RODRIGUEZ RODRIGUEZ,PRD,,0.3409669211,194,262,44,6,0,0,0,14,0,13,0,561,533,867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2001
TLAXCALA,AMAXAC DE GUERRERO,29001,1,2001,PRI,MARIO HERNANDEZ RAMIREZ,PRI,MARIO HERNANDEZ RAMIREZ,PRD,,0.0484685291,66,110,229,34,0,0,0,6,0,0,0,455,445,639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2001
TLAXCALA,AMAXAC DE GUERRERO,29001,2,2001,PRI,MARIO HERNANDEZ RAMIREZ,PRI,MARIO HERNANDEZ RAMIREZ,PRD,,0.0484685291,375,388,414,36,0,0,0,62,0,0,0,1304,1275,1972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2001
TLAXCALA,AMAXAC DE GUERRERO,29001,3,2001,PRI,MARIO HERNANDEZ RAMIREZ,PRI,MARIO HERNANDEZ RAMIREZ,PRD,,0.0484685291,302,418,420,85,0,0,0,35,0,0,0,1275,1260,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2001
TLAXCALA,AMAXAC DE GUERRERO,29001,4,2001,PRI,MARIO HERNANDEZ RAMIREZ,PRI,MARIO HERNANDEZ RAMIREZ,PRD,,0.0484685291,20,103,99,31,0,0,0,0,0,0,0,260,253,357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2001
TLAXCALA,APETATITLAN DE ANTONIO CARVAJAL,29002,5,2001,PRI,PANTALEON SALVADOR CALDERON RIVEROL,PRI,PANTALEON SALVADOR CALDERON RIVEROLL,PRD,,0.4567928731,223,420,353,7,0,0,0,0,0,20,0,1051,1023,1567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2001
TLAXCALA,APETATITLAN DE ANTONIO CARVAJAL,29002,6,2001,PRI,PANTALEON SALVADOR CALDERON RIVEROL,PRI,PANTALEON SALVADOR CALDERON RIVEROLL,PRD,,0.4567928731,159,154,46,2,0,0,0,0,0,30,0,405,391,758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2001
TLAXCALA,APETATITLAN DE ANTONIO CARVAJAL,29002,7,2001,PRI,PANTALEON SALVADOR CALDERON RIVEROL,PRI,PANTALEON SALVADOR CALDERON RIVEROLL,PRD,,0.4567928731,57,56,8,3,0,0,0,0,0,12,0,137,136,277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2001
TLAXCALA,APETATITLAN DE ANTONIO CARVAJAL,29002,8,2001,PRI,PANTALEON SALVADOR CALDERON RIVEROL,PRI,PANTALEON SALVADOR CALDERON RIVEROLL,PRD,,0.4567928731,373,309,151,15,0,0,0,0,0,88,0,955,936,1655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2001
TLAXCALA,APETATITLAN DE ANTONIO CARVAJAL,29002,9,2001,PRI,PANTALEON SALVADOR CALDERON RIVEROL,PRI,PANTALEON SALVADOR CALDERON RIVEROLL,PRD,,0.4567928731,303,276,148,26,0,0,0,0,0,71,0,853,824,1325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2001
TLAXCALA,APETATITLAN DE ANTONIO CARVAJAL,29002,10,2001,PRI,PANTALEON SALVADOR CALDERON RIVEROL,PRI,PANTALEON SALVADOR CALDERON RIVEROLL,PRD,,0.4567928731,765,173,69,13,0,0,0,0,0,6,0,1045,1026,1516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2001
TLAXCALA,APETATITLAN DE ANTONIO CARVAJAL,29002,11,2001,PRI,PANTALEON SALVADOR CALDERON RIVEROL,PRI,PANTALEON SALVADOR CALDERON RIVEROLL,PRD,,0.4567928731,115,173,48,6,0,0,0,0,0,11,0,364,353,515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2001
