CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA _ALIANZA,MORENA,ES,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
5,13,HIDALGO,9,METEPEC,1,ACATLAN,12,3,223,300,47,35,3,27,44,37,133,12,5,2,0,0,868,38,906,1401
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,13,3,190,525,82,20,26,195,51,173,26,0,0,0,0,1,1288,69,1358,2080
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,14,3,148,438,107,11,20,93,35,172,20,0,0,0,0,1,1044,70,1115,1605
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,15,1,10,112,23,8,23,19,20,16,21,0,0,0,0,0,252,23,275,451
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,16,1,90,136,15,17,25,112,13,23,15,0,0,0,0,0,446,38,484,722
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,17,2,70,161,13,7,22,46,9,37,7,0,0,0,0,0,372,76,448,787
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,18,1,6,52,2,2,2,5,3,7,0,0,0,0,0,0,79,7,86,146
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,19,2,42,256,70,2,13,14,11,117,2,0,0,0,0,0,527,26,553,1072
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,20,2,82,209,20,44,23,20,15,40,5,0,0,0,0,0,458,69,527,1133
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,21,3,120,336,24,58,54,27,21,54,12,0,0,0,0,4,706,105,815,1908
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,22,3,127,269,204,56,25,26,24,59,17,0,0,0,0,0,807,47,854,1508
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,23,3,183,570,71,48,35,47,37,75,38,0,0,0,0,2,1104,79,1185,2041
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,24,3,107,482,92,64,68,186,73,178,61,0,0,0,0,1,1311,104,1416,2222
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,25,3,143,309,64,31,37,97,48,115,34,0,0,0,0,1,878,33,912,1472
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,26,1,49,123,26,11,8,48,21,53,7,0,0,0,0,0,346,17,363,743
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,27,4,219,446,90,55,53,86,45,589,15,0,0,0,0,0,1598,168,1766,2833
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,28,2,22,190,20,44,13,27,14,255,6,0,0,0,0,4,591,35,630,970
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,29,3,82,416,176,74,86,80,27,105,14,0,0,0,0,0,1060,76,1136,1675
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,30,3,114,271,76,87,66,51,32,401,32,0,0,0,0,1,1130,123,1254,2227
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,31,2,75,118,45,52,33,13,19,197,21,0,0,0,0,2,573,96,671,1194
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,32,2,100,335,58,19,23,78,31,153,12,0,0,0,0,0,809,43,852,1422
5,13,HIDALGO,10,APAN,2,ACAXOCHITLAN,33,2,44,216,162,11,18,15,13,24,17,0,0,0,0,3,520,36,559,909
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,34,6,114,712,133,27,34,133,281,181,410,0,0,0,0,6,2025,85,2116,3981
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,35,3,98,405,61,19,14,64,78,75,300,0,0,0,0,0,1114,44,1158,2224
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,36,2,41,213,44,4,16,35,54,61,117,0,0,0,0,0,585,27,612,1226
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,37,3,77,344,43,13,29,74,102,101,247,0,0,0,0,3,1030,38,1071,1937
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,38,2,41,265,39,11,5,88,61,102,137,0,0,0,0,0,749,34,783,1382
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,39,3,76,325,59,19,14,89,129,105,210,0,0,0,0,0,1026,30,1056,1733
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,40,3,83,366,72,15,17,90,130,127,199,0,0,0,0,1,1099,49,1149,1964
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,41,2,37,210,61,22,11,74,57,65,180,0,0,0,0,0,717,24,741,1447
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,42,2,37,230,31,16,7,47,34,53,132,0,0,0,0,0,587,20,607,1118
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,43,2,64,252,36,4,12,51,70,87,158,0,0,0,0,1,734,27,762,1246
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,44,3,111,382,34,10,27,86,100,102,194,0,0,0,0,0,1046,35,1081,1745
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,45,2,35,220,46,8,13,41,62,42,74,0,0,0,0,0,541,12,553,1277
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,46,4,77,311,68,16,17,51,99,98,208,0,0,0,0,0,945,35,980,1663
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,47,2,43,226,43,10,21,39,91,67,108,0,0,0,0,2,648,24,674,1119
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,48,1,4,79,3,6,0,17,7,6,12,0,0,0,0,0,134,7,141,226
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,49,1,1,71,51,2,0,3,0,1,15,0,0,0,0,0,144,9,153,255
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,51,1,4,80,22,4,4,3,18,3,20,0,0,0,0,0,158,2,160,269
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,52,2,9,126,54,4,2,10,22,32,53,0,0,0,0,0,312,5,317,956
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,53,1,10,51,12,4,3,15,10,54,73,0,0,0,0,0,232,10,242,473
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,54,2,13,174,123,10,3,67,23,33,109,0,0,0,0,2,555,17,574,1429
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,55,2,20,479,32,11,3,13,52,33,144,0,0,0,0,2,787,29,818,1214
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,56,1,2,81,7,6,0,11,14,25,48,0,0,0,0,0,194,11,205,320
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,57,1,2,240,19,16,5,14,21,7,82,0,0,0,0,0,406,26,432,737
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,58,1,11,117,61,6,1,10,10,12,76,0,0,0,0,0,304,9,313,513
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,59,2,29,191,18,9,8,19,27,45,83,0,0,0,0,0,429,18,447,824
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,60,3,246,340,127,8,35,38,96,100,270,0,0,0,0,2,1260,40,1302,2004
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,61,1,49,186,6,5,1,23,38,35,50,0,0,0,0,0,393,19,412,694
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,62,3,33,418,89,9,9,57,53,126,327,0,0,0,0,1,1121,50,1172,2072
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,63,1,9,74,16,5,3,6,17,41,56,0,0,0,0,0,227,6,233,342
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,64,1,7,149,39,3,5,28,62,35,64,0,0,0,0,0,392,18,410,584
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,65,3,11,406,123,4,5,11,241,118,140,0,0,0,0,0,1059,50,1109,2088
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,66,2,33,317,27,12,5,28,64,61,204,0,0,0,0,0,751,68,819,1286
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,67,2,39,341,35,9,8,39,30,137,154,0,0,0,0,2,792,48,842,1355
5,13,HIDALGO,8,ACTOPAN,3,ACTOPAN,68,2,28,293,31,5,9,33,40,133,145,0,0,0,0,0,717,35,752,1318
5,13,HIDALGO,9,METEPEC,4,AGUA BLANCA DE ITURBIDE,69,3,364,233,145,32,7,29,170,48,265,10,1,11,0,4,1315,40,1359,2212
5,13,HIDALGO,9,METEPEC,4,AGUA BLANCA DE ITURBIDE,70,1,26,23,4,6,1,1,27,2,4,0,1,0,0,0,95,9,104,146
5,13,HIDALGO,9,METEPEC,4,AGUA BLANCA DE ITURBIDE,71,1,48,38,0,2,0,3,27,3,15,3,0,0,0,0,139,14,153,136
5,13,HIDALGO,9,METEPEC,4,AGUA BLANCA DE ITURBIDE,72,2,151,107,6,9,1,25,84,15,63,2,0,2,1,0,466,27,493,492
5,13,HIDALGO,9,METEPEC,4,AGUA BLANCA DE ITURBIDE,73,1,76,91,84,4,4,5,7,11,11,1,0,0,0,1,294,7,302,261
5,13,HIDALGO,9,METEPEC,4,AGUA BLANCA DE ITURBIDE,74,1,210,98,8,8,3,8,43,13,170,0,0,0,0,0,561,59,620,367
5,13,HIDALGO,9,METEPEC,4,AGUA BLANCA DE ITURBIDE,75,1,40,23,2,2,1,5,35,3,22,2,0,1,0,0,136,5,141,167
5,13,HIDALGO,9,METEPEC,4,AGUA BLANCA DE ITURBIDE,76,1,144,71,3,11,0,9,55,38,83,2,1,0,0,0,417,20,437,131
5,13,HIDALGO,9,METEPEC,4,AGUA BLANCA DE ITURBIDE,77,1,118,65,5,12,4,12,63,24,58,3,1,4,0,0,369,12,381,744
5,13,HIDALGO,9,METEPEC,4,AGUA BLANCA DE ITURBIDE,78,2,119,112,11,9,6,9,63,20,73,3,1,2,1,0,429,21,450,952
5,13,HIDALGO,9,METEPEC,4,AGUA BLANCA DE ITURBIDE,79,1,117,139,105,3,2,4,17,27,8,0,1,0,0,0,423,8,431,709
5,13,HIDALGO,9,METEPEC,4,AGUA BLANCA DE ITURBIDE,80,1,29,23,0,2,0,0,5,3,41,3,0,0,0,0,106,9,115,544
5,13,HIDALGO,7,MIXQUIAHUALA DE JUAREZ,5,AJACUBA,81,3,169,289,184,100,109,17,29,57,26,1,2,0,0,0,983,40,1023,1530
5,13,HIDALGO,7,MIXQUIAHUALA DE JUAREZ,5,AJACUBA,82,3,204,215,199,83,161,25,31,72,23,0,2,0,0,0,1015,48,1063,1559
5,13,HIDALGO,7,MIXQUIAHUALA DE JUAREZ,5,AJACUBA,83,2,103,248,177,86,128,12,40,49,25,2,3,0,0,0,873,44,917,1274
5,13,HIDALGO,7,MIXQUIAHUALA DE JUAREZ,5,AJACUBA,84,2,78,282,154,74,206,30,34,46,17,0,0,0,0,1,921,39,961,1314
5,13,HIDALGO,7,MIXQUIAHUALA DE JUAREZ,5,AJACUBA,85,2,85,165,141,310,51,20,33,64,49,4,0,0,0,0,922,33,955,1380
5,13,HIDALGO,7,MIXQUIAHUALA DE JUAREZ,5,AJACUBA,86,3,104,208,189,314,72,19,80,95,21,0,11,1,0,0,1114,55,1169,1899
5,13,HIDALGO,7,MIXQUIAHUALA DE JUAREZ,5,AJACUBA,87,1,33,32,31,24,6,2,3,4,9,1,0,0,0,0,145,2,147,195
5,13,HIDALGO,7,MIXQUIAHUALA DE JUAREZ,5,AJACUBA,88,3,124,273,259,227,128,18,45,159,28,1,2,1,0,0,1265,40,1305,1921
5,13,HIDALGO,7,MIXQUIAHUALA DE JUAREZ,5,AJACUBA,89,2,109,169,231,181,78,24,23,105,11,1,1,0,0,0,933,28,961,1387
5,13,HIDALGO,7,MIXQUIAHUALA DE JUAREZ,5,AJACUBA,90,1,30,61,56,47,8,3,19,17,3,0,0,1,0,0,245,3,248,325
5,13,HIDALGO,7,MIXQUIAHUALA DE JUAREZ,5,AJACUBA,91,1,18,111,10,52,5,0,1,1,0,0,1,0,0,0,199,4,203,237
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,92,3,143,321,288,200,7,15,36,75,25,0,0,0,0,0,1110,40,1150,1676
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,93,1,25,116,152,93,2,3,13,42,9,0,0,0,0,0,455,12,467,682
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,94,1,11,73,42,52,1,7,11,10,3,0,0,0,0,0,210,15,225,361
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,95,2,32,133,105,160,4,3,15,58,10,0,0,0,0,0,520,37,557,980
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,96,1,74,69,51,55,3,3,6,21,2,0,0,0,0,0,284,20,304,491
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,97,2,78,72,84,104,6,5,17,24,5,0,0,0,0,0,395,29,424,788
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,98,1,28,88,36,54,2,0,4,15,1,0,0,0,0,0,228,11,239,328
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,99,2,70,117,116,204,3,4,16,44,8,0,0,0,0,0,582,23,605,1310
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,100,2,45,68,101,154,6,5,15,20,4,0,0,0,0,0,418,15,433,833
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,101,2,33,97,161,101,6,15,28,32,9,0,0,0,0,0,482,22,504,979
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,102,1,13,65,7,60,4,5,6,6,3,0,0,0,0,0,169,6,175,226
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,103,3,105,154,230,202,3,14,21,48,16,0,0,0,0,0,793,17,810,1262
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,104,2,48,75,81,143,4,13,10,32,12,0,0,0,0,0,418,25,443,774
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,105,1,6,36,216,48,3,0,5,6,3,0,0,0,0,0,323,7,330,510
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,106,2,29,126,203,108,3,5,30,22,10,0,0,0,0,0,536,15,551,840
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,107,1,28,70,55,137,6,17,8,37,4,0,0,0,0,0,362,8,370,532
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,108,1,42,54,24,104,3,1,7,2,4,0,0,0,0,0,241,13,254,339
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,109,1,19,42,32,106,1,3,13,11,6,0,0,0,0,1,233,5,239,359
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,110,1,6,35,16,101,3,2,5,20,5,0,0,0,0,0,193,11,204,259
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,111,2,19,135,208,156,4,1,12,31,11,0,0,0,0,0,577,14,591,850
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,112,1,11,32,13,30,3,0,9,4,2,0,0,0,0,0,104,8,112,162
5,13,HIDALGO,1,ZIMAPAN,6,ALFAJAYUCAN,113,1,9,58,52,40,0,0,3,1,2,0,0,0,0,0,165,8,173,278
5,13,HIDALGO,10,APAN,7,ALMOLOYA,114,4,236,474,50,24,249,196,186,62,29,0,0,0,0,1,1506,46,1553,2388
5,13,HIDALGO,10,APAN,7,ALMOLOYA,115,2,126,289,32,5,183,111,59,32,20,0,0,0,0,0,857,28,885,1363
5,13,HIDALGO,10,APAN,7,ALMOLOYA,116,1,9,54,25,0,10,1,7,1,1,0,0,0,0,0,108,4,112,195
5,13,HIDALGO,10,APAN,7,ALMOLOYA,117,1,31,116,46,2,26,9,7,4,2,0,0,0,0,0,243,2,245,390
5,13,HIDALGO,10,APAN,7,ALMOLOYA,118,1,50,53,5,0,30,15,13,1,1,0,0,0,0,0,168,3,171,272
5,13,HIDALGO,10,APAN,7,ALMOLOYA,119,1,44,117,3,6,59,35,19,4,3,0,0,0,0,0,290,3,293,446
5,13,HIDALGO,10,APAN,7,ALMOLOYA,120,1,29,41,3,0,28,3,4,3,0,0,0,0,0,0,111,2,113,179
5,13,HIDALGO,10,APAN,7,ALMOLOYA,121,2,53,191,11,5,109,59,60,8,7,0,0,0,0,1,503,16,520,797
5,13,HIDALGO,10,APAN,7,ALMOLOYA,122,1,42,170,11,4,100,53,31,25,7,0,0,0,0,0,443,11,454,679
5,13,HIDALGO,10,APAN,7,ALMOLOYA,123,1,16,90,24,0,66,20,24,4,3,0,0,0,0,0,247,4,251,374
5,13,HIDALGO,10,APAN,7,ALMOLOYA,124,1,15,69,30,1,43,20,14,20,4,0,0,0,0,0,216,6,222,351
5,13,HIDALGO,10,APAN,7,ALMOLOYA,125,1,26,92,20,0,51,43,16,9,5,0,0,0,0,0,262,4,266,388
5,13,HIDALGO,10,APAN,7,ALMOLOYA,126,1,43,143,15,8,71,61,14,17,3,0,0,0,0,0,375,9,384,647
5,13,HIDALGO,10,APAN,8,APAN,127,5,467,261,132,30,170,176,77,99,27,0,0,0,0,0,1439,39,1478,2506
5,13,HIDALGO,10,APAN,8,APAN,128,5,513,315,176,20,222,140,64,121,37,0,0,0,0,1,1608,37,1646,3013
5,13,HIDALGO,10,APAN,8,APAN,129,4,631,263,183,23,173,177,70,129,29,0,0,0,0,3,1678,27,1708,2916
5,13,HIDALGO,10,APAN,8,APAN,130,3,414,195,104,16,123,179,32,76,18,0,0,0,0,1,1157,22,1180,2019
5,13,HIDALGO,10,APAN,8,APAN,131,2,158,130,22,13,73,97,39,44,9,0,0,0,0,0,585,13,598,990
5,13,HIDALGO,10,APAN,8,APAN,132,2,169,120,29,3,54,68,29,33,8,0,0,0,0,2,513,6,521,857
5,13,HIDALGO,10,APAN,8,APAN,133,2,144,171,20,8,85,57,20,31,13,0,0,0,0,0,549,15,564,912
5,13,HIDALGO,10,APAN,8,APAN,134,3,322,215,109,17,145,165,35,106,27,0,0,0,0,0,1141,26,1167,1873
5,13,HIDALGO,10,APAN,8,APAN,135,3,313,257,68,7,126,130,60,104,49,0,0,0,0,0,1114,28,1142,1902
5,13,HIDALGO,10,APAN,8,APAN,136,2,231,212,50,12,98,135,47,102,17,0,0,0,0,1,904,26,931,1468
5,13,HIDALGO,10,APAN,8,APAN,137,3,344,128,57,17,122,149,78,81,22,0,0,0,0,0,998,26,1024,1813
5,13,HIDALGO,10,APAN,8,APAN,138,2,149,131,27,13,61,54,14,22,8,0,0,0,0,0,479,17,496,800
5,13,HIDALGO,10,APAN,8,APAN,139,1,88,147,25,5,7,58,8,7,4,0,0,0,0,0,349,12,361,572
5,13,HIDALGO,10,APAN,8,APAN,140,1,4,99,29,1,3,8,4,0,1,0,0,0,0,0,149,6,155,258
5,13,HIDALGO,10,APAN,8,APAN,141,1,41,82,12,2,3,11,14,2,10,0,0,0,0,0,177,6,183,290
5,13,HIDALGO,10,APAN,8,APAN,142,1,45,124,17,1,65,45,8,18,4,0,0,0,0,0,327,13,340,604
5,13,HIDALGO,10,APAN,8,APAN,143,3,340,268,104,9,68,64,45,51,12,0,0,0,0,1,961,21,983,1906
5,13,HIDALGO,10,APAN,8,APAN,144,1,88,68,91,5,15,39,24,20,4,0,0,0,0,0,354,8,362,653
5,13,HIDALGO,10,APAN,8,APAN,145,2,88,96,99,6,31,57,11,31,4,0,0,0,0,0,423,12,435,804
5,13,HIDALGO,10,APAN,8,APAN,146,3,158,301,85,9,42,72,20,33,15,0,0,0,0,0,735,31,766,1406
5,13,HIDALGO,10,APAN,8,APAN,147,2,116,191,64,7,35,38,28,52,20,0,0,0,0,0,551,21,572,1321
5,13,HIDALGO,10,APAN,8,APAN,148,2,143,168,59,4,25,58,7,45,6,0,0,0,0,0,515,16,531,1144
5,13,HIDALGO,10,APAN,8,APAN,149,1,34,64,26,3,13,40,7,3,4,0,0,0,0,0,194,4,198,308
5,13,HIDALGO,10,APAN,8,APAN,150,1,85,94,16,10,22,43,12,11,3,0,0,0,0,0,296,12,308,571
5,13,HIDALGO,10,APAN,8,APAN,151,1,79,122,21,10,9,75,19,88,4,0,0,0,0,1,427,15,443,739
5,13,HIDALGO,15,TEPEJI DEL RIO,9,ATITALAQUIA,152,3,453,308,99,22,8,47,29,156,29,3,0,0,0,2,1154,50,1206,1961
5,13,HIDALGO,15,TEPEJI DEL RIO,9,ATITALAQUIA,153,4,484,407,129,42,33,66,48,171,145,5,1,0,0,1,1531,55,1587,2731
5,13,HIDALGO,15,TEPEJI DEL RIO,9,ATITALAQUIA,154,3,343,290,247,9,17,52,30,117,22,4,0,2,0,0,1133,28,1161,1874
5,13,HIDALGO,15,TEPEJI DEL RIO,9,ATITALAQUIA,155,3,318,316,127,5,11,24,32,172,38,1,0,0,0,0,1044,39,1083,1641
5,13,HIDALGO,15,TEPEJI DEL RIO,9,ATITALAQUIA,156,3,359,369,88,18,13,51,41,155,32,0,1,1,1,0,1129,44,1173,1854
5,13,HIDALGO,15,TEPEJI DEL RIO,9,ATITALAQUIA,157,5,571,570,138,22,18,64,46,279,29,7,0,0,1,1,1745,42,1788,3284
5,13,HIDALGO,15,TEPEJI DEL RIO,9,ATITALAQUIA,158,4,336,403,92,16,12,54,11,191,18,3,1,0,0,2,1137,43,1182,2266
5,13,HIDALGO,15,TEPEJI DEL RIO,9,ATITALAQUIA,159,2,64,123,34,6,7,14,9,104,22,0,0,0,0,1,383,20,404,811
5,13,HIDALGO,15,TEPEJI DEL RIO,9,ATITALAQUIA,160,2,135,116,133,9,11,49,22,165,10,4,0,2,2,4,658,17,679,804
5,13,HIDALGO,15,TEPEJI DEL RIO,9,ATITALAQUIA,161,4,128,364,357,30,47,165,47,253,144,9,0,3,0,0,1547,35,1582,2365
5,13,HIDALGO,3,SAN FELIPE ORIZATLAN,10,ATLAPEXCO,162,3,123,856,229,11,15,18,149,50,88,0,0,0,0,1,1539,53,1593,2117
5,13,HIDALGO,3,SAN FELIPE ORIZATLAN,10,ATLAPEXCO,163,3,9,547,74,4,6,5,42,47,7,0,0,0,0,0,741,38,779,973
5,13,HIDALGO,3,SAN FELIPE ORIZATLAN,10,ATLAPEXCO,164,1,4,159,38,2,1,1,68,4,8,0,0,0,0,0,285,15,300,357
5,13,HIDALGO,3,SAN FELIPE ORIZATLAN,10,ATLAPEXCO,165,2,10,337,144,13,17,24,237,65,28,0,0,0,0,0,875,64,939,1205
5,13,HIDALGO,3,SAN FELIPE ORIZATLAN,10,ATLAPEXCO,166,2,24,233,168,7,13,2,96,38,25,0,0,0,0,0,606,45,651,912
5,13,HIDALGO,3,SAN FELIPE ORIZATLAN,10,ATLAPEXCO,167,1,5,172,106,0,4,2,13,22,7,0,0,0,0,0,331,27,358,496
5,13,HIDALGO,3,SAN FELIPE ORIZATLAN,10,ATLAPEXCO,168,1,38,182,81,1,2,3,5,22,12,0,0,0,0,1,346,31,378,499
5,13,HIDALGO,3,SAN FELIPE ORIZATLAN,10,ATLAPEXCO,169,2,19,415,96,2,9,10,16,176,9,0,0,0,0,0,752,44,796,1066
5,13,HIDALGO,3,SAN FELIPE ORIZATLAN,10,ATLAPEXCO,170,2,16,259,238,1,4,7,44,22,3,0,0,0,0,0,594,53,647,831
5,13,HIDALGO,3,SAN FELIPE ORIZATLAN,10,ATLAPEXCO,171,2,77,326,416,6,10,1,121,40,21,0,0,0,0,0,1018,52,1070,1346
5,13,HIDALGO,3,SAN FELIPE ORIZATLAN,10,ATLAPEXCO,172,1,9,174,102,1,2,2,18,15,3,0,0,0,0,0,326,12,338,458
5,13,HIDALGO,3,SAN FELIPE ORIZATLAN,10,ATLAPEXCO,173,1,1,165,104,0,2,11,6,15,3,0,0,0,0,0,307,13,320,429
5,13,HIDALGO,3,SAN FELIPE ORIZATLAN,10,ATLAPEXCO,174,1,9,198,154,0,3,32,38,23,4,0,0,0,0,0,461,20,481,632
5,13,HIDALGO,3,SAN FELIPE ORIZATLAN,10,ATLAPEXCO,175,1,22,175,158,5,7,8,5,18,5,0,0,0,0,0,403,34,437,656
5,13,HIDALGO,3,SAN FELIPE ORIZATLAN,10,ATLAPEXCO,176,2,8,323,206,5,11,5,66,20,100,0,0,0,0,1,744,54,799,985
5,13,HIDALGO,3,SAN FELIPE ORIZATLAN,10,ATLAPEXCO,177,2,5,386,257,3,8,6,24,36,14,0,0,0,0,0,739,52,791,953
5,13,HIDALGO,8,ACTOPAN,11,ATOTONILCO EL GRANDE,178,3,382,462,81,15,32,27,133,46,42,0,0,0,0,0,1220,56,1276,2195
5,13,HIDALGO,8,ACTOPAN,11,ATOTONILCO EL GRANDE,179,3,232,483,55,9,24,20,107,32,32,0,0,0,0,0,994,25,1019,1573
5,13,HIDALGO,8,ACTOPAN,11,ATOTONILCO EL GRANDE,180,2,230,364,61,15,42,24,122,34,39,0,0,0,0,0,931,27,958,1423
5,13,HIDALGO,8,ACTOPAN,11,ATOTONILCO EL GRANDE,181,2,232,272,50,15,12,20,128,27,26,0,0,0,0,1,782,21,804,1193
5,13,HIDALGO,8,ACTOPAN,11,ATOTONILCO EL GRANDE,182,1,2,19,126,1,2,0,4,1,0,0,0,0,0,0,155,5,160,195
5,13,HIDALGO,8,ACTOPAN,11,ATOTONILCO EL GRANDE,183,1,52,88,8,3,3,1,11,2,1,0,0,0,0,0,169,13,182,350
