Distrito,Municipio,CC1,CC2,CC3,ALIANZA
10,LAS MINAS,PRI-PARM-PSN,,,
10,RAFAEL LUCIO,PRI-PARM-PSN-DSPPN,,,
10,LAS VIGAS DE RAMIREZ,PRI-DSPPN,,,
10,TATATILA,PRI-PARM-PSN,,,
10,TLACOLULAN,PRI-PSN,,,
10,VILLA ALDAMA,PRI-PARM-PSN,,,
,,,,,
11,XALAPA,PRD-PARM-PCD,PT-PVEM-CDPPN-PAS-DSPPN,,
11,BANDERILLA,PRD-PVEM,PT-CDPPN,,
11,JILOTEPEC,,,,
11,TLALNELHUAYOCAN,PRI-PARM-PSN-DSPPN,,,
,,,,,
12,COATEPEC,PRI-PSN-PAS,PAN-PVEM,PARM-DSPPN,
12,ACTOPAN,PRI-PSN-DSPPN-PAS,,,
12,LA ANTIGUA,PT-PVEM,PRI-PARM-PSN-DSPPN,,
12,APAZAPAN,PRI-PARM-PSN,PAN-PVEM,,
12,COSAUTLAN DE CARVAJAL,PRD-CDPPN,PRI-PARM-PSN ,,
12,EMILIANO ZAPATA,PRI-PSN,,,
12,JALCOMULCO,PRI-PARM-PSN,,,
12,PASO DE OVEJAS,PRI-PARM-PSN-DSPPN-PAS ,,,
12,PUENTE NACIONAL,PRI-PARM-PSN-PAS,,,
12,TEOCELO,PRI-PSN,,,
12,URSULO GALVAN,PRI-PARM-PSN-DSPPN,PAN-PVEM,,
12,XICO,PRI-PARM,PAN-PVEM,PT-CDPPN,
,,,,,
13,PASO DEL MACHO,PRI-PAS,PAN-PRD,,
13,CAMARON DE TEJEDA,PAN-PRD,,,
13,ALPATLAHUAC,,,,
13,ATOYAC,PRD-PT,,,
13,TLALTETELA,,,,
13,CALCAHUALCO,,,,
13,CARRILLO PUERTO,,,,
13,COMAPA,,,,
13,COSCOMATEPEC,,,,PAN-PRD
13,COTAXTLA,,,,
13,CHOCAMAN,,,,
13,HUATUSCO,,,,
13,IXHUATLAN DEL CAFÉ,PT-PVEM,,,
13,SOCHIAPA,,,,
13,SOLEDAD DE DOBLADO,PAS-CDPPN ,,,
13,TENAMPA,,,,
13,TEPATLAXCO,,,,
13,TLACOTEPEC DE MEJIA,PAN-PVEM,,,
13,TOMATLAN,,,,
13,TOTUTLA,,,,
13,ZENTLA,PAN-PRD-PVEM,,,
,,,,,
14,ORIZABA,,,,
14,ACULTZINGO,,,,
14,AQUILA,,,,
14,ATZACAN,,,,
14,CAMERINO Z. MENDOZA,PRD-CDPPN,,,
14,HUILOAPAN DE CUAUHTEMOC,PVEM-CDPPN,,,
14,IXHUATLANCILLO,PT-CDPPN-PSN ,,,
14,MALTRATA,,,,
14,MARIANO ESCOBEDO,PT-CDPPN,,,
14,NOGALES,,,,
14,LA PERLA,,,,
14,RAFAEL DELGADO,,,,
14,RIO BLANCO ,PRI-DSPPN,,,
,,,,,
15,CORDOBA,,,,
15,AMATLAN DE LOS REYES,PRI-PSN-DSPPN ,,,
15,COETZALA,,,,
15,CUICHAPA,,,,
15,CUITLAHUAC,,,,
15,FORTIN,,,,
15,IXTACZOQUITLAN,,,,
15,NARANJAL,,,,
15,OMEALCA,,,,
15,TEZONAPA,,,,
15,YANGA,,,,
,,,,,
16,ZONGOLICA,PRD-PT,PRI-PSN-DSPPN-PAS,,
16,ASTACINGA,PRI-PARM-PSN,,,
16,ATLAHUILCO,,,,
16,MAGDALENA,PRI-PARM-PSN,,,
16,MIXTLA DE ALTAMIRANO,PRI-PARM-PSN-DSPPN,,,
16,LOS REYES,PRI-PARM-PSN,,,
16,SAN ANDRES TENEJAPAN ,PRI-PARM-PSN,,,
16,SOLEDAD ATZOMPA,PRI-PARM-PSN,PRD-PT,,
16,TEHUIPANGO,PRI-PARM-PSN,,,
16,TEQUILA,PRI-PARM-PSN,,,
16,TEXHUACAN,PRI-PARM-PSN,,,
16,TLAQUILPAN,,,,
16,TLILAPAN,PRI-PARM-PSN-DSPPN,,,
16,XOXOCOTLA,PAN-PRD,PRI-PARM-PSN,,
,,,,,
17,VERACRUZ,PRI-PARM ,,,
,,,,,
18,BOCA DEL RIO,PT-CDPPN ,,,
18,IGNACIO DE LA LLAVE,PRI-PARM-PSN-DSPPN,PRD-CDPPN ,,
18,JAMAPA,PRI-PARM-PSN-DSPPN ,,,
18,MANLIO FABIO ALTAMIRANO,PRI-PSN-DSPPN ,,,
18,MEDELLIN,PRI-PSN-DSPPN ,,,
18,TLALIXCOYAN,PAN-PRD ,PRI-PARM-PSN-DSPPN,PT-CDPPN ,
,,,,,
19,COSAMALOAPAN,PRI-DSPPN ,PRD-PVEM ,,
19,ACULA,,,,
19,ALVARADO,PRD-CDPPN ,PT-DSPPN ,,
19,AMATITLAN,PT-PVEM ,,,
19,CHACALTIANGUIS,PAN-PRD ,,,
19,IXMATLAHUACAN,,,,
19,OTATITLAN,,,,
19,TIERRA BLANCA,PT-CDPPN ,PRI-DSPPN,,
19,TLACOJALPAN,PRI-PARM-PSN,,,
19,TLACOTALPAN,PT-PVEM,PRI-PSN-DSPPN ,,
19,TUXTILLA,PRD-CDPPN,,,
19,TRES VALLES,PRD-PT-CDPPN-PAS,,,
19,CARLOS A. CARRILLO,,,,
,,,,,
20,SAN ANDRES TUXTLA,PT-PVEM-PARM-DSPPN,,,
20,ANGEL R. CABADA,PRI-PSN-DSPPN,,,
20,CATEMACO,PRI-PSN-DSPPN,,,
20,ISLA,PRI-PARM-PSN-DSPPN,,,
20,LERDO DE TEJADA,PRI-PSN,,,
20,PLAYA VICENTE,PRI-PARM-PSN-DSPPN ,,,
20,SALTABARRANCA,PRI-PARM-PSN,,,
20,SANTIAGO TUXTLA,PT-CDPPN,PRI-PSN ,,
20,JOSE AZUETA,PRI-DSPPN,,,
,,,,,
21,ACAYUCAN,PAS-CDPPN,PAN-DSPPN,PRD-PT-PVEM-PCD ,
21,HUEYAPAN DE OCAMPO,PRD-CDPPN,PRI-PSN,,
21,JESUS CARRANZA,PRD-PT-CDPPN,PRI-PSN-DSPPN,,
21,JUAN RODRIGUEZ CLARA,PRD-CDPPN,PRI-PSN-DSPPN,,
21,OLUTA,PRI-DSPPN,PVEM-PSN,,
21,SAN JUAN EVANGELISTA,PRI-PSN-DSPPN,,,
21,SAYULA DE ALEMAN,PRD-PVEM-CDPPN-PAS,PRI-PSN-DSPPN,,
21,SOCONUSCO,PRI-PARM-PSN-DSPPN,,,
,,,,,
22,COSOLEACAQUE,PARM-PAS,,,
22,CHINAMECA,PARM-PAS,,,
22,HIDALGOTITLAN,,,,
22,JALTIPAN,,,,
22,MECAYAPAN,,,,
22,OTEAPAN,PVEM-CDPPN,PARM-PAS,,
22,PAJAPAN,PARM-PAS,,,
22,SOTEAPAN,,,,
22,TEXISTEPEC,,,,
22,ZARAGOZA,,,,
22,UXPANAPA,,,,
22,TATAHUICAPAN,,,,
,,,,,
23,MINATITLAN,PRI-PARM,,,
23,LAS CHOAPAS,PRI-PSN-DSPPN,,,
,,,,,
24,COATZACOALCOS ,CDPPN-PCD ,PRI-DSPPN ,,
24,IXHUATLAN DEL SURESTE,PRI-PARM-DSPPN ,,,
24,MOLOACAN,PRI-PARM-PSN-DSPPN,,,
24,NANCHITAL DE L.C. DEL RIO,PRI-PARM-PSN-DSPPN ,,,
24,AGUA DULCE,PT-CDPPN ,PRI-PARM-PSN-DSPPN,,
