Municipio,Seccion,Tipo,PAN,PRI,PRD,PT,PVEM,CDPPN,PCD,PSN,PARM,PAS,DSPPN,No Registrados,Nulos,Total
CARDENAS,55,BA,59,75,114,3,0,0,1,1,0,1,0,0,6,260
CARDENAS,55,C1,57,77,96,2,0,0,0,5,0,0,0,0,12,249
CARDENAS,56,BA,52,75,85,4,0,0,0,2,0,0,0,0,5,223
CARDENAS,56,C1*,56,73,108,3,1,0,0,0,0,0,1,0,9,251
CARDENAS,57,BA*,44,39,56,5,0,1,0,0,0,0,2,0,5,152
CARDENAS,57,C1,40,42,60,6,0,0,2,0,0,0,3,0,0,153
CARDENAS,58,BA,37,68,93,27,1,0,1,0,0,0,2,0,7,236
CARDENAS,58,C1,45,82,88,10,1,0,0,1,0,0,0,0,2,229
CARDENAS,59,BA,48,85,94,5,1,0,1,0,0,0,0,0,2,236
CARDENAS,59,C1,66,39,128,6,2,1,2,0,0,0,1,0,2,247
CARDENAS,60,BA*,36,64,125,9,2,0,0,0,1,0,1,0,3,241
CARDENAS,60,C1,43,69,110,9,2,0,0,0,0,0,1,0,4,238
CARDENAS,61,BA*,49,64,63,10,1,1,0,0,0,0,0,1,4,193
CARDENAS,61,C1*,46,57,68,4,0,0,1,0,0,0,2,0,6,184
CARDENAS,62,BA,57,83,87,3,0,0,0,0,0,0,0,0,5,235
CARDENAS,62,C1,68,75,78,0,1,0,2,0,0,0,0,0,1,225
CARDENAS,63,BA,60,77,120,10,2,0,1,1,0,0,1,0,5,277
CARDENAS,63,C1,67,68,117,17,0,1,0,0,0,0,0,0,8,278
CARDENAS,64,BA,121,109,82,5,2,0,0,0,1,0,0,0,6,326
CARDENAS,64,C1*,111,89,97,9,1,2,0,1,0,0,0,1,5,316
CARDENAS,65,BA,109,104,78,4,2,0,0,1,0,1,0,0,9,308
CARDENAS,65,C1,99,121,96,8,3,1,1,0,0,0,1,0,8,338
CARDENAS,66,BA*,74,92,55,8,1,0,1,1,0,0,1,1,6,240
CARDENAS,66,C1,70,63,83,5,0,0,1,2,0,0,3,0,4,231
CARDENAS,67,BA,56,95,34,5,1,0,1,0,0,0,0,0,0,192
CARDENAS,67,C1,61,77,68,5,1,0,0,0,0,0,0,0,1,213
CARDENAS,68,BA,27,76,80,4,0,0,2,0,0,0,0,0,11,200
CARDENAS,68,C1,49,66,83,6,1,0,0,0,1,0,0,0,3,209
CARDENAS,69,BA,79,107,153,17,1,1,3,1,0,0,3,0,12,377
CARDENAS,70,BA*,49,77,91,10,1,0,3,0,0,0,0,0,5,236
CARDENAS,70,C1,38,81,97,15,0,0,5,0,1,0,4,0,3,244
CARDENAS,71,BA,85,93,130,9,0,0,3,0,2,0,3,0,10,335
,,,,,,,,,,,,,,,,
CARDENAS,71,C1*,83,111,158,5,2,1,2,0,0,0,1,0,4,367
CARDENAS,72,BA*,64,86,93,10,1,0,0,0,0,0,0,0,7,261
CARDENAS,72,C1*,64,115,112,15,0,0,1,0,0,0,0,0,6,313
CARDENAS,73,BA,72,48,97,6,2,0,0,0,0,0,2,0,8,235
CARDENAS,73,C1,65,81,91,7,2,0,2,1,0,0,1,0,11,261
CARDENAS,74,BA,71,97,52,0,2,0,1,0,0,0,0,0,6,229
CARDENAS,74,C1,77,65,64,3,2,0,0,0,0,0,1,0,7,219
CARDENAS,75,BA,112,110,107,3,1,0,2,0,0,0,1,0,7,343
CARDENAS,75,C1,104,84,112,3,0,0,0,0,0,0,5,0,4,312
CARDENAS,76,BA,111,102,140,7,3,0,2,0,0,0,1,0,9,375
CARDENAS,77,BA,50,75,100,8,0,4,0,0,0,0,2,0,4,243
CARDENAS,77,C1*,74,82,98,3,0,0,0,0,0,0,1,0,5,263
CARDENAS,78,BA,79,89,99,7,2,1,1,0,0,0,0,0,1,279
CARDENAS,78,C1,69,77,108,8,5,0,0,0,0,0,0,0,8,275
CARDENAS,79,BA,72,80,92,7,0,1,3,0,0,0,3,0,7,265
CARDENAS,79,C1,63,82,112,8,3,0,1,2,0,0,0,0,4,275
CARDENAS,80,BA,103,90,123,12,3,0,1,1,0,0,0,0,0,333
CARDENAS,81,BA,79,87,156,13,4,0,7,0,0,0,1,0,7,354
CARDENAS,81,C1,99,67,159,12,1,0,3,0,0,0,2,0,3,346
CARDENAS,82,BA,85,91,79,2,3,2,0,0,0,0,1,0,13,276
CARDENAS,82,C1,59,61,101,9,1,0,0,0,2,0,3,0,2,238
CARDENAS,83,BA,73,97,114,6,2,0,1,2,0,0,2,0,5,302
CARDENAS,83,C1,74,77,120,7,3,0,1,0,0,0,0,0,9,291
CARDENAS,84,BA,74,93,102,9,0,1,0,0,0,1,0,0,7,287
CARDENAS,84,C1,69,71,92,5,1,0,0,1,0,0,1,0,5,245
CARDENAS,85,BA*,113,68,104,3,1,0,0,0,0,0,8,0,2,299
CARDENAS,85,C1,121,93,82,5,1,0,1,0,0,0,5,0,3,311
CARDENAS,86,BA,76,89,94,12,0,0,0,0,1,1,5,0,4,282
CARDENAS,86,C1,81,86,88,10,2,0,0,0,0,0,1,0,4,272
CARDENAS,86,C2*,88,92,96,10,1,0,0,0,0,0,1,0,4,292
CARDENAS,87,BA,87,78,112,8,0,0,1,2,1,0,1,0,9,299
CARDENAS,87,C1*,76,74,118,11,2,2,0,1,1,0,6,0,9,300
CARDENAS,88,BA*,91,101,120,7,3,0,2,1,1,0,2,0,6,334
CARDENAS,88,C1,78,92,130,2,1,0,3,0,0,0,0,0,6,312
CARDENAS,89,BA,73,72,117,9,1,1,1,0,1,1,4,0,12,292
CARDENAS,89,C1*,85,48,129,5,1,0,0,0,0,0,1,0,12,281
CARDENAS,90,BA,13,130,101,2,1,0,0,0,0,0,5,0,9,261
CARDENAS,90,C1,37,108,92,3,0,0,0,0,3,0,1,0,8,252
CARDENAS,91,BA,7,123,128,6,0,1,0,0,0,0,1,0,10,276
CARDENAS,91,C1*,7,129,140,2,2,0,1,0,2,0,1,0,7,291
CARDENAS,92,BA,27,100,264,2,0,0,0,0,1,0,6,0,6,406
CARDENAS,92,C1,25,138,215,3,0,0,1,0,1,0,0,6,15,404
CARDENAS,93,BA,48,119,191,1,1,1,0,0,0,0,9,0,4,374
CARDENAS,93,C1*,39,136,194,1,0,0,0,0,0,1,5,0,0,376
CARDENAS,94,BA*,19,146,89,6,0,0,2,0,0,0,4,0,5,271
CARDENAS,94,C1,25,108,114,2,1,0,0,0,0,0,6,0,7,263
CARDENAS,95,BA*,15,112,105,3,0,0,0,0,0,0,27,0,4,266
CARDENAS,95,C1*,19,137,96,3,1,0,0,0,0,0,17,0,6,279
CARDENAS,96,BA,9,142,111,7,1,1,0,0,0,0,19,6,16,312
CARDENAS,97,BA*,6,121,153,42,0,0,1,0,2,0,17,0,12,354
,,,,,,,,,,,,,,,,
CARDENAS,98,BA*,9,156,113,0,0,0,0,0,0,0,0,0,0,278
CARDENAS,98,C1*,11,133,132,3,0,1,0,0,2,0,1,0,6,289
CARDENAS,99,BA*,1,119,118,5,2,0,0,1,1,0,3,0,11,261
CARDENAS,99,C1*,4,85,148,4,0,1,0,0,1,0,4,0,6,253
CARDENAS,100,BA,9,208,183,10,1,0,0,2,0,0,15,0,7,435
CARDENAS,100,C1,9,206,191,13,0,0,0,0,2,2,11,0,7,441
CARDENAS,101,BA*,38,81,96,13,3,0,0,3,1,0,11,0,4,250
CARDENAS,101,C1,25,112,92,5,1,3,2,0,0,0,14,0,8,262
CARDENAS,102,BA*,10,113,207,2,0,1,0,1,1,0,4,1,11,351
CARDENAS,103,BA,2,129,115,12,1,0,0,0,0,0,0,0,8,267
CARDENAS,103,C1*,4,130,105,9,0,0,0,0,0,0,0,0,6,254
CARDENAS,104,BA,10,188,168,1,0,0,0,0,1,1,1,0,18,388
CARDENAS,105,BA*,7,116,81,44,0,2,0,2,1,0,46,0,26,325
CARDENAS,105,C1*,19,112,76,30,1,1,0,0,0,0,31,0,2,272
CARDENAS,106,BA,12,161,108,119,2,0,0,1,2,1,1,0,0,407
CARDENAS,106,EX,0,38,34,9,2,0,0,0,2,0,0,0,4,89
CARDENAS,107,BA,8,78,165,10,0,0,0,0,1,1,0,0,0,263
CARDENAS,107,C1,14,83,146,7,4,2,1,0,0,0,1,0,0,258
CARDENAS,108,BA*,8,130,78,51,0,0,0,0,0,0,9,0,12,288
CARDENAS,109,BA,6,105,115,2,0,0,0,0,2,0,0,0,4,234
CARDENAS,109,C1,4,107,113,3,1,1,1,0,0,0,1,0,2,233
CARDENAS,110,BA*,45,129,107,65,6,5,0,2,4,1,3,0,19,386
CARDENAS,110,C1*,36,166,125,47,2,7,0,1,4,0,0,0,11,399
CARDENAS,111,BA,6,149,147,3,1,0,0,0,0,0,0,0,5,311
CARDENAS,112,BA*,22,100,135,1,1,0,0,0,1,1,0,0,1,262
CARDENAS,112,C1*,18,100,140,0,0,0,0,0,0,0,0,0,2,260
CARDENAS,113,BA,7,66,110,3,1,0,0,0,0,0,0,0,6,193
CARDENAS,113,C1,12,49,127,11,0,0,2,0,0,0,0,0,4,205
CARDENAS,114,BA*,17,70,139,5,0,1,1,0,0,0,1,0,1,235
CARDENAS,114,C1,22,71,118,7,0,2,0,0,0,0,1,0,6,227
CARDENAS,115,BA,11,121,150,11,1,0,2,0,1,0,2,0,9,308
CARDENAS,116,BA*,20,141,164,6,1,0,1,0,2,0,1,0,4,340
CARDENAS,117,BA*,12,105,111,21,2,0,1,0,0,0,1,0,1,254
CARDENAS,118,BA,35,163,134,44,1,0,0,0,2,1,2,0,10,392
CARDENAS,119,BA,11,164,75,41,2,0,0,1,0,0,0,0,10,304
CARDENAS,119,C1,11,111,83,31,3,1,0,0,2,0,1,0,10,253
CARDENAS,120,BA,6,117,194,12,1,0,0,0,0,0,0,0,1,331
CARDENAS,120,C1,16,125,139,15,3,0,0,1,0,0,1,1,10,311
CARDENAS,121,BA,15,112,201,16,1,0,0,0,0,0,0,0,5,350
CARDENAS,121,C1*,0,115,146,16,1,0,0,0,1,0,1,0,0,280
CARDENAS,122,BA,20,185,218,5,0,0,0,0,0,0,0,0,0,428
CARDENAS,122,C1,7,174,288,8,2,0,0,0,0,0,0,0,9,488
CARDENAS,123,BA,10,73,147,26,0,0,0,0,0,0,0,0,8,264
CARDENAS,123,C1,8,85,158,12,1,0,1,0,0,0,0,0,4,269
CARDENAS,124,BA,60,156,148,27,1,0,0,0,1,1,0,0,14,408
CARDENAS,125,BA,45,134,93,9,0,1,0,0,2,0,0,0,6,290
CARDENAS,125,C1,49,144,108,8,0,0,0,0,0,0,0,0,11,320
CARDENAS,126,BA*,42,182,126,10,0,0,0,0,0,0,0,0,0,360
CARDENAS,127,BA,11,109,66,1,1,0,0,1,2,0,0,0,11,202
CARDENAS,127,C1,24,92,69,3,0,0,0,0,1,0,0,0,4,193
,,,,,,,,,,,,,,,,
CARDENAS,128,BA,21,194,154,7,1,0,0,0,2,0,2,0,6,387
CARDENAS,129,BA*,38,179,124,0,0,0,0,0,0,0,0,0,13,354
CARDENAS,129,C1,22,152,136,4,1,0,0,0,0,0,0,0,10,325
CARDENAS,130,BA,49,212,116,9,1,0,0,0,0,0,0,0,8,395
CARDENAS,130,C1,33,189,132,7,0,1,1,0,2,0,0,0,10,375
CARDENAS,131,BA*,15,134,125,24,0,4,0,0,1,0,0,0,11,314
CARDENAS,131,C1*,21,127,97,10,0,0,0,1,2,0,1,0,6,265
CARDENAS,132,BA,36,126,127,10,0,0,0,0,4,0,2,0,10,315
CARDENAS,132,C1,44,88,130,12,2,0,0,0,2,0,2,0,14,294
CARDENAS,133,BA,28,162,101,11,1,0,1,0,2,0,0,0,13,319
CARDENAS,133,C1,51,120,129,2,1,1,0,0,2,0,2,0,9,317
CARDENAS,134,BA*,48,285,56,4,4,0,1,0,1,1,4,0,9,413
CARDENAS,134,C1,56,267,80,5,1,1,0,0,2,0,2,0,16,430
CARDENAS,135,BA*,17,70,78,16,0,0,1,0,0,0,1,0,8,191
CARDENAS,136,BA*,34,195,96,7,2,1,0,0,1,0,0,1,12,349
CARDENAS,137,BA,36,128,126,5,0,8,0,1,1,1,0,0,10,316
CARDENAS,137,C1,38,146,116,8,4,3,0,4,0,0,1,0,9,329
CARDENAS,138,BA,65,127,118,1,3,0,0,0,1,0,0,0,4,319
CARDENAS,138,C1*,56,120,118,3,0,2,3,0,3,0,0,0,16,321
CARDENAS,139,BA,19,92,148,3,1,0,0,3,0,0,0,0,9,275
CARDENAS,139,C1,18,93,146,4,0,0,0,2,0,0,0,0,0,263
CARDENAS,140,BA*,28,118,152,4,0,20,1,1,0,0,0,0,8,332
CARDENAS,141,BA,7,91,98,19,0,0,0,0,0,0,0,0,5,220
CARDENAS,141,C1,13,81,100,15,1,0,0,1,1,0,0,0,3,215
CARDENAS,142,BA,8,74,125,14,0,0,0,0,0,0,0,0,6,227
CARDENAS,142,C1,11,93,107,18,0,0,0,0,1,0,0,0,2,232
CARDENAS,143,BA,22,123,170,19,1,0,1,0,0,0,0,0,11,347
CARDENAS,143,C1,20,147,150,29,0,0,0,0,0,0,0,0,11,357
CARDENAS,144,BA,73,210,127,6,2,0,0,0,1,1,1,0,10,431
CARDENAS,144,C1,77,194,159,5,1,0,0,1,0,0,0,0,9,446
CARDENAS,145,BA,81,98,68,8,0,0,0,0,1,1,1,0,8,266
CARDENAS,145,C1*,116,104,66,5,1,0,0,0,1,1,0,1,4,299
CARDENAS,146,BA,58,178,122,1,0,10,0,0,3,0,1,1,7,381
CARDENAS,146,C1*,77,149,133,4,1,3,1,0,0,0,4,0,3,375
CARDENAS,147,BA*,31,116,96,5,5,0,0,8,0,0,0,0,2,263
CARDENAS,147,C1*,28,113,107,1,2,1,0,2,2,1,0,0,9,266
CARDENAS,148,BA,61,82,106,25,0,1,0,0,0,0,1,0,10,286
CARDENAS,148,C1,61,93,106,12,0,0,0,1,0,0,0,0,11,284
CARDENAS,148,C2,104,72,107,16,0,0,0,0,2,0,2,0,7,310
CARDENAS,149,BA,88,78,76,6,0,0,0,0,1,0,0,0,11,260
CARDENAS,149,C1,88,116,65,1,0,2,0,0,1,0,0,0,6,279
CARDENAS,150,BA*,14,72,71,2,2,1,0,0,0,0,1,0,8,171
CARDENAS,150,C1*,14,59,78,9,2,1,2,0,1,0,1,0,5,172
CARDENAS,151,BA,35,62,95,1,0,0,0,1,1,0,0,0,8,203
CARDENAS,151,C1,32,61,97,18,0,1,0,1,0,0,0,0,6,216
CARDENAS,152,BA*,44,70,113,10,0,0,1,0,0,0,4,0,3,245
CARDENAS,152,C1,40,72,131,7,2,0,0,0,0,0,3,0,5,260
CARDENAS,152,C2,43,76,109,7,0,0,1,0,0,0,2,0,11,249
CARDENAS,153,BA,31,40,53,3,0,1,0,0,0,0,0,0,3,131
CARDENAS,154,BA*,37,128,162,4,1,0,7,0,0,0,0,0,0,339
CARDENAS,154,C1,33,111,160,7,0,0,5,0,1,0,1,0,8,326
CARDENAS,155,BA,64,98,101,12,3,1,1,0,0,0,0,0,9,289
CARDENAS,155,C1,72,127,111,7,0,0,0,0,2,1,0,0,3,323
CARDENAS,155,C2,68,124,90,10,2,0,1,0,1,1,0,0,13,310
CARDENAS,156,BA,74,111,74,18,1,0,2,0,2,0,0,0,7,289
CARDENAS,156,C1,79,100,63,11,2,0,0,0,1,0,0,0,6,262
CARDENAS,157,BA,67,162,170,10,0,0,10,0,3,0,0,0,10,432
CARDENAS,157,C1*,40,178,186,3,2,0,3,0,1,0,0,0,10,423
CARDENAS,158,BA,41,69,78,2,0,0,0,0,1,0,0,0,4,195
CARDENAS,158,C1,41,45,101,2,0,0,0,0,0,0,1,0,6,196
CARDENAS,159,BA*,24,59,99,0,1,2,0,0,0,0,0,0,5,190
CARDENAS,159,C1,32,57,115,0,1,1,0,0,0,0,0,0,0,206
CARDENAS,160,BA*,62,92,110,4,0,0,0,0,1,1,0,0,12,282
CARDENAS,160,C1,66,88,120,2,1,0,0,0,1,0,0,0,7,285
CARDENAS,161,BA,18,159,153,4,1,0,0,1,1,0,0,0,7,344
CARDENAS,162,BA,55,70,92,33,0,0,0,0,0,0,1,0,9,260
CARDENAS,162,C1,37,88,68,28,1,0,1,0,0,0,1,0,7,231
CARDENAS,163,BA,32,140,182,4,0,0,1,0,2,0,0,0,3,364
CARDENAS,163,C1,34,132,153,20,0,0,0,1,1,0,0,0,12,353
CARDENAS,164,BA,32,95,82,33,2,0,1,0,0,1,0,0,7,253
CARDENAS,164,C1,20,123,74,17,1,0,1,0,0,2,0,0,16,254
CARDENAS,165,BA,56,73,102,13,2,0,0,0,1,0,1,0,0,248
CARDENAS,165,C1,51,105,81,9,2,0,0,0,0,0,1,0,4,253
CARDENAS,166,BA,23,86,82,5,0,2,0,0,1,0,0,0,7,206
CARDENAS,166,C1*,45,75,71,6,2,1,0,0,0,1,1,0,17,219
CARDENAS,167,BA,23,67,37,4,0,0,0,0,1,0,2,0,0,134
CARDENAS,66,EM,46,74,94,11,2,0,0,0,0,0,9,0,7,243
,,,,,,,,,,,,,,,,
CENTLA,168,BA*,112,88,16,1,0,0,0,0,1,0,0,0,9,227
CENTLA,168,C1*,131,103,15,1,2,0,0,0,1,1,0,0,12,266
CENTLA,169,BA*,140,153,20,1,1,1,1,0,0,0,0,0,14,331
CENTLA,169,C1*,150,139,19,2,2,0,0,0,0,0,1,0,9,322
CENTLA,170,BA*,139,79,7,0,0,0,0,0,0,0,0,0,19,244
CENTLA,170,C1*,127,80,17,0,0,0,0,1,0,0,1,0,16,242
CENTLA,171,BA*,163,106,22,1,0,2,0,1,0,0,2,0,9,306
CENTLA,171,C1*,147,109,20,0,0,3,0,0,2,0,1,0,22,304
CENTLA,172,BA*,242,149,12,0,0,3,0,0,0,0,1,0,25,432
CENTLA,173,BA*,230,116,19,2,0,3,0,0,0,0,2,0,14,386
CENTLA,174,BA*,272,136,20,0,1,4,1,0,0,0,1,0,16,451
CENTLA,175,BA*,120,125,18,2,2,3,0,0,0,0,2,1,12,285
CENTLA,175,C1*,147,101,12,2,1,0,0,0,0,0,0,0,13,276
CENTLA,176,BA*,145,109,27,1,0,1,0,0,0,0,5,0,10,298
CENTLA,176,C1*,159,125,22,2,0,0,0,0,0,0,0,0,18,326
CENTLA,177,BA*,167,120,35,1,1,0,0,0,1,2,0,0,17,344
CENTLA,177,C1*,190,124,33,3,1,0,0,1,0,1,0,0,14,367
CENTLA,178,BA*,129,88,11,2,0,0,0,0,0,0,0,0,5,235
CENTLA,178,C1*,119,68,32,0,0,0,0,0,0,0,0,0,7,226
CENTLA,179,BA*,108,94,35,2,0,0,0,1,0,0,0,0,25,265
CENTLA,179,C1*,82,126,33,0,2,0,0,0,0,0,5,0,18,266
CENTLA,179,C2*,108,84,32,0,0,0,0,0,1,0,2,0,12,239
CENTLA,180,BA*,150,119,25,0,0,1,0,0,0,0,0,0,20,315
CENTLA,180,C1*,146,101,26,2,0,0,0,0,0,0,2,0,14,291
CENTLA,181,BA*,125,77,23,0,0,0,0,0,0,0,1,0,10,236
CENTLA,181,C1*,127,82,30,1,0,2,0,0,1,0,0,0,8,251
CENTLA,182,BA*,77,113,22,2,0,0,0,1,0,0,0,0,8,223
CENTLA,183,BA*,87,174,48,2,1,0,0,0,1,2,1,0,16,332
CENTLA,184,BA*,128,229,30,0,2,0,0,0,0,0,0,0,24,413
CENTLA,185,BA*,40,66,23,3,0,0,0,0,1,0,0,0,4,137
CENTLA,186,BA*,129,107,13,0,0,0,0,0,0,0,0,0,16,265
CENTLA,187,BA*,52,51,6,0,0,0,0,0,0,0,0,0,2,111
CENTLA,188,BA*,18,71,10,0,0,0,0,0,0,0,0,0,3,102
CENTLA,189,BA*,101,95,29,0,2,0,0,0,0,0,0,0,23,250
CENTLA,189,C1*,101,92,24,0,0,0,0,0,1,0,0,0,20,238
CENTLA,190,BA*,130,166,53,1,1,0,0,1,1,0,0,0,11,364
CENTLA,191,BA*,59,139,13,0,0,0,0,0,0,0,0,0,8,219
CENTLA,192,BA*,136,143,57,2,1,0,0,0,1,0,1,0,13,354
CENTLA,192,C1*,131,149,67,2,2,0,1,2,1,0,0,0,12,367
CENTLA,193,BA*,102,100,5,1,0,0,0,0,1,0,0,0,6,215
CENTLA,194,BA*,57,141,53,1,1,0,0,0,0,0,0,0,12,265
CENTLA,195,BA*,74,173,75,0,0,0,0,0,0,0,0,0,9,331
CENTLA,196,BA*,85,193,131,5,1,0,1,1,1,0,0,0,24,442
CENTLA,196,C1*,86,215,105,2,2,0,1,1,0,0,0,0,22,434
CENTLA,197,BA*,32,98,157,0,1,0,0,0,1,0,0,0,20,309
CENTLA,197,C1*,47,100,129,1,2,1,0,1,2,0,0,0,17,300
CENTLA,198,BA*,27,250,202,1,0,0,0,0,1,0,0,0,14,495
CENTLA,199,BA*,91,225,25,3,1,0,0,0,0,0,0,0,7,352
