Municipio,Sección,Casilla,Lista Nominal,PAN,PRI-PVEM,PRD,PT,PC,PAS,PMP,FC,No Registrados,Nulos,Total
BALANCAN,18,BA,465,7,96,107,1,1,0,0,0,0,4,216
BALANCAN,18,C1,465,9,63,115,4,0,0,1,0,7,0,199
BALANCAN,19,BA,182,6,49,30,1,2,0,0,0,0,4,92
BALANCAN,20,BA,599,0,113,210,4,2,0,0,0,0,13,342
BALANCAN,21,BA,240,3,42,68,0,0,2,0,0,0,0,115
BALANCAN,22,BA,750,3,165,245,1,0,0,2,2,0,31,449
BALANCAN,23,BA,430,7,119,141,1,0,0,0,0,0,5,273
BALANCAN,23,EX,377,2,83,154,3,0,0,0,0,0,0,242
BALANCAN,24,BA,527,3,112,174,3,1,0,1,0,0,11,305
BALANCAN,24,C1,527,5,88,182,1,0,0,1,0,0,5,282
BALANCAN,24,C2,528,5,88,203,1,0,1,0,0,0,13,311
BALANCAN,25,BA,659,18,126,161,3,2,0,6,0,0,17,333
BALANCAN,26,BA,60,0,10,18,0,0,0,0,0,0,0,28
BALANCAN,27,BA,630,4,106,217,1,2,0,0,0,0,5,335
BALANCAN,28,BA,704,18,210,156,1,0,0,0,0,0,11,396
,,,,,,,,,,,,,,
BALANCAN,29,BA,526,2,145,211,0,0,0,1,0,0,6,365
BALANCAN,30,BA,442,5,82,148,0,1,0,2,1,0,7,246
BALANCAN,30,C1,443,3,118,138,0,0,0,0,0,0,0,259
BALANCAN,31,BA,219,1,84,33,1,0,0,0,0,0,4,123
BALANCAN,32,BA,226,0,80,44,2,0,0,0,0,0,4,130
BALANCAN,33,BA,360,3,151,58,0,0,0,0,0,0,6,218
BALANCAN,34,BA,360,2,94,71,7,0,0,2,0,0,3,179
BALANCAN,35,BA,564,3,161,198,2,0,0,0,0,0,40,404
BALANCAN,35,C1,564,3,188,173,9,0,0,0,0,0,32,405
BALANCAN,36,BA,573,4,213,150,1,1,0,0,0,0,24,393
BALANCAN,37,BA,556,3,140,220,2,0,0,0,1,0,6,372
BALANCAN,37,C1,557,3,152,219,2,0,0,0,0,0,2,378
BALANCAN,38,BA,367,7,106,128,1,2,0,1,0,0,4,249
BALANCAN,38,EX,286,4,80,102,1,0,0,0,0,0,2,189
BALANCAN,39,BA,384,1,96,73,5,0,1,1,1,0,5,183
BALANCAN,39,C1,384,2,117,63,3,1,0,1,0,0,7,194
BALANCAN,40,BA,706,7,187,251,0,3,1,2,0,0,16,467
BALANCAN,41,BA,405,6,103,112,2,0,0,2,0,0,2,227
BALANCAN,41,C1,406,2,78,108,4,0,0,0,1,0,6,199
BALANCAN,42,BA,732,21,141,247,3,2,0,0,0,0,12,426
BALANCAN,42,EX,407,5,89,150,3,0,0,0,0,0,10,257
BALANCAN,43,BA,472,4,163,65,0,0,0,0,0,0,0,232
BALANCAN,43,C1,473,4,105,85,0,1,0,0,0,0,0,195
BALANCAN,44,BA,424,4,92,145,1,0,0,0,0,0,2,244
BALANCAN,44,EX,272,14,35,87,0,0,0,0,0,0,2,138
BALANCAN,44,X2,321,0,56,122,1,0,1,0,1,0,8,189
BALANCAN,45,BA,467,8,102,134,6,0,1,1,0,0,5,257
BALANCAN,45,EX,401,6,133,110,3,0,0,0,0,0,3,255
BALANCAN,6,ES MR,,2,106,108,6,0,0,0,0,0,4,226
,,,,,,,,,,,,,,
CARDENAS,46,BA,653,4,116,154,1,1,1,0,1,1,14,293
CARDENAS,46,C1,653,3,96,175,1,1,0,2,0,0,4,282
CARDENAS,47,BA,604,6,123,117,0,2,0,1,0,0,4,253
CARDENAS,47,C1,605,6,100,127,2,2,0,0,0,0,2,239
CARDENAS,47,C2,605,0,111,142,0,2,0,0,0,0,9,264
CARDENAS,47,C3,605,5,110,135,0,2,0,0,0,0,0,252
CARDENAS,47,C4,605,5,118,124,0,3,0,0,0,0,6,256
CARDENAS,48,BA,515,1,92,124,4,6,0,0,0,0,2,229
CARDENAS,48,C1,515,7,73,144,1,3,0,0,0,0,0,228
CARDENAS,49,BA,739,5,151,206,3,2,0,1,0,0,6,374
CARDENAS,50,BA,650,3,67,200,0,0,0,0,0,0,0,270
CARDENAS,50,C1,650,7,92,172,0,4,1,0,0,0,6,282
CARDENAS,51,BA,585,4,95,153,2,4,1,1,0,0,3,263
CARDENAS,51,C1,585,3,84,153,7,2,0,0,0,0,0,249
CARDENAS,52,BA,562,7,133,141,0,1,0,0,0,0,0,282
CARDENAS,52,C1,563,2,100,134,1,0,0,0,0,0,5,242
CARDENAS,53,BA,712,4,103,171,1,2,0,0,0,0,5,286
CARDENAS,53,C1,713,8,99,161,2,2,0,0,0,0,0,272
CARDENAS,54,BA,582,10,88,131,2,0,0,0,0,0,2,233
CARDENAS,54,C1,583,7,96,125,2,1,0,0,0,0,6,237
CARDENAS,55,BA,684,3,70,180,0,6,0,0,0,0,7,266
CARDENAS,55,C1,685,6,87,183,1,0,0,0,0,0,5,282
CARDENAS,56,BA,533,5,72,129,4,1,0,1,0,0,2,214
CARDENAS,56,C1,533,5,78,161,0,1,0,1,0,0,5,251
CARDENAS,57,BA,388,3,55,104,1,0,0,0,0,0,5,168
CARDENAS,57,C1,389,2,50,72,0,1,0,0,0,0,0,125
CARDENAS,58,BA,457,6,81,128,1,1,0,0,0,0,2,219
CARDENAS,58,C1,458,3,104,110,1,2,1,0,0,0,0,221
CARDENAS,59,BA,511,5,84,147,1,3,0,0,0,0,2,242
CARDENAS,59,C1,511,5,75,159,1,0,1,0,0,0,5,246
CARDENAS,60,BA,487,2,62,161,1,1,0,0,0,0,0,227
CARDENAS,60,C1,487,8,63,156,0,0,0,0,0,0,2,229
CARDENAS,61,BA,411,4,77,98,0,0,0,0,0,0,3,182
CARDENAS,61,C1,412,6,77,73,1,1,0,0,0,0,0,158
CARDENAS,62,BA,447,5,84,129,0,1,0,0,0,0,2,221
CARDENAS,62,C1,448,4,81,135,1,2,0,0,0,0,3,226
CARDENAS,63,BA,689,3,95,214,0,5,1,0,1,0,2,321
CARDENAS,63,C1,689,7,101,237,0,3,0,0,2,0,3,353
CARDENAS,64,BA,654,7,112,167,1,9,0,0,0,0,2,298
CARDENAS,64,C1,654,10,82,178,3,7,0,0,0,0,3,283
CARDENAS,65,BA,578,5,105,154,4,2,0,0,0,0,7,277
CARDENAS,65,C1,578,8,118,167,2,0,0,0,0,0,1,296
CARDENAS,66,BA,420,5,103,101,1,2,0,0,0,0,3,215
CARDENAS,66,C1,420,4,88,107,0,2,0,0,0,0,3,204
CARDENAS,67,BA,740,12,149,184,1,1,0,0,0,0,1,348
,,,,,,,,,,,,,,
CARDENAS,68,BA,392,4,79,106,0,1,0,0,0,0,1,191
CARDENAS,68,C1,392,4,83,104,0,0,0,0,1,0,0,192
CARDENAS,69,BA,688,9,138,217,0,2,0,0,0,0,2,368
CARDENAS,70,BA,539,6,98,152,0,0,0,0,0,0,0,256
CARDENAS,70,C1,539,4,106,173,0,0,0,0,0,0,4,287
CARDENAS,71,BA,574,15,93,127,0,2,0,0,0,0,4,241
CARDENAS,71,C1,575,16,85,171,0,3,0,0,0,0,2,277
CARDENAS,71,C2,575,12,126,134,1,2,0,1,0,0,4,280
CARDENAS,72,BA,558,5,85,145,0,3,0,2,0,0,2,242
CARDENAS,72,C1,559,5,124,157,0,0,0,0,0,0,0,286
CARDENAS,73,BA,475,12,67,158,2,0,0,0,0,0,1,240
CARDENAS,73,C1,476,7,82,139,2,2,0,0,0,0,6,238
CARDENAS,74,BA,418,10,109,113,0,0,0,0,0,0,1,233
CARDENAS,74,C1,418,8,102,126,1,1,0,1,0,0,2,241
CARDENAS,75,BA,650,7,108,230,1,2,0,2,0,0,3,353
CARDENAS,75,C1,650,6,102,232,0,1,0,0,0,0,3,344
CARDENAS,76,BA,395,3,62,125,2,1,0,0,0,0,1,194
CARDENAS,76,C1,395,5,59,144,0,1,0,0,0,0,2,211
CARDENAS,77,BA,520,5,94,141,0,0,0,0,0,0,1,241
CARDENAS,77,C1,520,7,91,171,1,2,0,0,1,0,1,274
CARDENAS,78,BA,544,5,107,178,1,5,0,0,0,0,1,297
CARDENAS,78,C1,544,7,110,168,1,0,0,0,0,0,3,289
CARDENAS,79,BA,530,1,110,160,1,0,0,0,0,0,5,277
CARDENAS,79,C1,530,8,113,153,0,2,0,0,0,0,3,279
CARDENAS,80,BA,409,10,71,115,2,2,0,0,0,0,0,200
CARDENAS,80,C1,410,1,81,93,0,0,0,0,0,0,24,199
CARDENAS,81,BA,524,4,81,157,2,2,0,0,0,0,4,250
CARDENAS,81,C1,524,7,82,166,1,0,0,0,0,0,5,261
CARDENAS,81,C2,524,5,64,155,1,7,0,1,0,0,4,237
CARDENAS,82,BA,550,8,103,168,1,3,0,1,0,0,0,284
CARDENAS,82,C1,551,8,98,148,0,0,0,0,0,0,1,255
CARDENAS,83,BA,569,8,119,180,0,1,0,0,0,0,8,316
CARDENAS,83,C1,569,10,107,194,2,1,0,0,0,0,1,315
CARDENAS,84,BA,601,5,125,154,15,1,0,0,1,0,2,303
CARDENAS,84,C1,602,10,123,163,3,0,0,1,0,0,1,301
CARDENAS,85,BA,604,6,116,178,0,0,0,0,0,0,4,304
CARDENAS,85,C1,605,13,155,140,2,1,0,0,0,3,3,317
CARDENAS,86,BA,602,4,112,132,0,3,0,0,0,0,6,257
CARDENAS,86,C1,602,5,116,142,3,4,0,0,0,0,2,272
CARDENAS,86,C2,602,6,112,152,1,5,0,0,0,0,2,278
CARDENAS,86,C3,603,7,117,143,1,4,0,0,0,0,2,274
CARDENAS,87,BA,513,5,96,139,0,0,0,0,0,0,3,243
CARDENAS,87,C1,513,1,112,118,0,2,0,0,0,0,8,241
CARDENAS,87,C2,514,4,120,112,1,1,0,1,0,0,6,245
CARDENAS,88,BA,736,15,153,196,0,1,0,0,0,0,1,366
CARDENAS,,,,,,,,,,,,,,
CARDENAS,88,C1,736,17,134,194,1,2,0,0,1,0,3,352
CARDENAS,89,BA,741,3,158,157,0,0,0,0,2,0,2,322
CARDENAS,89,C1,742,5,121,165,1,2,0,1,0,0,7,302
CARDENAS,90,BA,456,9,124,122,0,0,1,0,0,0,9,265
CARDENAS,90,C1,457,0,102,110,1,0,0,0,0,0,14,227
CARDENAS,91,BA,432,5,110,177,3,0,0,0,0,0,3,298
CARDENAS,91,C1,433,6,113,175,0,0,0,0,0,0,8,302
CARDENAS,92,BA,719,21,96,235,0,0,0,1,0,0,4,357
CARDENAS,92,C1,719,33,119,182,2,0,0,0,2,0,0,338
CARDENAS,93,BA,633,24,127,155,1,0,0,0,0,0,8,315
CARDENAS,93,C1,633,14,148,145,2,0,0,0,1,0,5,315
CARDENAS,94,BA,483,13,129,63,0,0,0,0,1,0,6,212
CARDENAS,94,C1,483,14,101,86,0,0,0,1,2,0,1,205
CARDENAS,95,BA,611,18,100,129,0,0,0,0,0,0,10,257
CARDENAS,95,C1,612,12,117,124,0,0,0,1,0,0,6,260
CARDENAS,96,BA,509,3,153,127,1,1,0,1,0,0,5,291
CARDENAS,97,BA,669,2,202,239,0,1,1,1,0,0,9,455
CARDENAS,98,BA,521,7,141,166,1,0,1,1,0,0,11,328
CARDENAS,98,C1,522,9,133,172,2,0,0,1,0,0,4,321
CARDENAS,99,BA,489,13,142,115,2,0,1,0,0,0,10,283
CARDENAS,99,C1,490,10,116,160,1,1,0,0,0,0,4,292
CARDENAS,100,BA,700,6,214,174,0,0,0,0,0,0,12,406
CARDENAS,100,C1,701,1,236,173,1,1,0,1,0,0,5,418
CARDENAS,101,BA,447,9,95,112,0,0,1,1,0,0,11,229
CARDENAS,101,C1,448,11,78,122,0,0,1,0,0,0,6,218
CARDENAS,102,BA,697,23,141,156,1,1,1,2,0,0,11,336
CARDENAS,103,BA,437,1,127,136,0,1,1,2,2,0,7,277
CARDENAS,103,C1,438,3,146,124,0,0,0,1,0,0,4,278
CARDENAS,104,BA,668,24,193,195,5,0,0,0,0,0,11,428
CARDENAS,105,BA,588,4,150,217,5,0,1,3,0,0,3,383
CARDENAS,105,C1,588,11,139,186,8,1,0,0,0,0,6,351
CARDENAS,106,BA,680,0,193,210,1,0,1,4,0,0,6,415
CARDENAS,106,EX,138,0,65,24,0,0,1,2,1,0,4,97
CARDENAS,107,BA,532,44,91,120,2,0,0,1,0,0,9,267
CARDENAS,107,C1,533,41,84,109,0,0,0,0,0,0,13,247
CARDENAS,108,BA,522,5,200,101,1,0,0,0,0,0,8,315
CARDENAS,109,BA,413,9,102,151,0,0,0,0,0,0,9,271
CARDENAS,109,C1,414,11,113,126,1,0,0,0,2,0,2,255
CARDENAS,110,BA,559,25,126,136,0,0,0,4,0,0,11,302
CARDENAS,110,C1,559,23,124,153,2,1,1,2,1,0,16,323
CARDENAS,110,C2,559,15,124,126,2,0,0,0,0,0,3,270
CARDENAS,111,BA,442,0,172,192,0,0,0,1,1,0,3,369
CARDENAS,112,BA,425,12,80,104,0,0,2,0,0,0,7,205
CARDENAS,112,C1,425,7,93,115,1,0,0,0,0,0,8,224
CARDENAS,113,BA,383,11,80,106,1,0,0,0,0,0,1,199
,,,,,,,,,,,,,,
CARDENAS,113,C1,384,15,97,98,1,0,0,0,1,0,0,212
CARDENAS,114,BA,471,6,87,141,0,0,0,0,0,0,1,235
CARDENAS,114,C1,471,17,107,120,0,0,0,1,0,0,2,247
CARDENAS,115,BA,726,24,133,156,1,3,1,2,1,0,14,335
CARDENAS,116,BA,718,21,171,176,3,0,0,2,2,0,10,385
CARDENAS,117,BA,341,2,101,124,1,0,0,1,0,0,3,232
CARDENAS,118,BA,703,3,158,197,1,0,0,0,0,0,6,365
CARDENAS,119,BA,483,1,146,123,2,0,1,0,0,10,0,283
CARDENAS,119,C1,483,0,144,121,1,0,0,1,0,0,8,275
CARDENAS,120,BA,552,8,120,210,0,2,0,0,0,0,6,346
CARDENAS,120,C1,552,7,152,175,0,0,0,1,0,0,10,345
CARDENAS,121,BA,647,10,127,250,2,1,0,0,0,0,0,390
CARDENAS,121,C1,647,3,152,185,1,1,1,2,0,0,6,351
CARDENAS,122,BA,705,1,235,230,0,0,0,1,0,0,3,470
CARDENAS,122,C1,705,2,206,296,0,0,0,0,1,0,3,508
CARDENAS,123,BA,461,1,113,179,1,0,1,0,0,0,1,296
CARDENAS,123,C1,462,2,107,170,0,0,1,0,1,0,2,283
CARDENAS,124,BA,676,1,170,274,0,1,0,0,1,0,2,449
CARDENAS,125,BA,617,7,156,203,1,0,0,0,0,0,11,378
CARDENAS,125,C1,618,3,155,207,2,0,0,0,0,0,6,373
CARDENAS,126,BA,720,3,215,186,5,0,0,0,0,0,16,425
CARDENAS,127,BA,437,3,95,98,0,0,0,0,0,0,6,202
CARDENAS,127,C1,437,2,90,110,1,0,0,1,0,0,5,209
CARDENAS,128,BA,397,2,94,101,2,1,0,0,0,0,3,203
CARDENAS,128,C1,397,6,101,74,0,1,0,1,0,0,6,189
CARDENAS,129,BA,566,1,226,119,0,3,1,1,0,0,13,364
CARDENAS,129,C1,567,12,208,135,0,0,1,3,3,0,6,368
CARDENAS,130,BA,693,4,146,225,4,6,0,0,0,0,24,409
CARDENAS,130,C1,693,5,195,180,1,0,0,0,0,0,7,388
CARDENAS,131,BA,588,1,153,177,0,1,1,0,1,0,12,346
CARDENAS,131,C1,588,0,155,150,0,0,0,0,0,0,0,305
CARDENAS,132,BA,621,2,157,204,0,2,0,0,0,0,10,375
CARDENAS,132,C1,622,2,143,227,2,1,0,0,0,0,7,382
CARDENAS,133,BA,538,1,224,131,2,0,2,1,0,0,4,365
CARDENAS,133,C1,538,1,164,173,2,0,1,1,1,0,1,344
CARDENAS,134,BA,715,18,262,124,0,1,0,1,0,0,13,419
CARDENAS,134,C1,715,19,246,141,0,1,0,3,0,0,6,416
CARDENAS,135,BA,389,0,92,115,0,0,0,0,0,0,0,207
CARDENAS,136,BA,699,0,181,204,1,1,1,0,0,0,10,398
CARDENAS,137,BA,618,5,112,192,2,1,1,0,0,0,7,320
CARDENAS,137,C1,618,5,138,151,1,0,1,1,0,0,4,301
CARDENAS,138,BA,619,3,139,175,1,0,0,3,2,0,5,328
CARDENAS,138,C1,619,4,115,176,2,0,1,1,0,0,6,305
CARDENAS,139,BA,527,0,111,190,0,1,0,0,1,0,7,310
CARDENAS,139,C1,528,1,149,154,1,1,1,0,0,0,4,311
,,,,,,,,,,,,,,
CARDENAS,140,BA,626,3,90,220,1,1,0,1,0,0,3,319
CARDENAS,141,BA,429,5,103,102,1,0,0,0,1,0,6,218
CARDENAS,141,C1,429,4,105,98,2,0,0,3,1,0,3,216
CARDENAS,142,BA,396,7,55,132,0,0,2,0,0,0,8,204
CARDENAS,142,C1,397,4,77,106,1,1,1,0,0,0,7,197
CARDENAS,143,BA,558,0,139,205,1,0,0,0,0,0,6,351
CARDENAS,143,C1,558,1,200,155,0,0,1,0,1,0,1,359
CARDENAS,144,BA,741,28,196,197,2,3,0,2,0,0,23,451
CARDENAS,144,C1,742,19,159,239,1,1,4,0,1,0,14,438
CARDENAS,145,BA,551,2,155,152,0,0,0,0,2,0,0,311
CARDENAS,145,C1,551,7,126,188,0,0,0,0,0,3,0,324
CARDENAS,146,BA,732,3,179,213,0,0,0,0,0,0,6,401
CARDENAS,146,C1,732,2,160,211,1,0,0,0,0,0,9,383
CARDENAS,147,BA,540,1,132,159,0,0,0,0,0,0,2,294
CARDENAS,147,C1,541,1,133,164,0,2,0,1,0,0,2,303
CARDENAS,148,BA,541,0,102,167,0,0,0,0,0,0,0,269
CARDENAS,148,C1,541,0,116,194,1,1,0,3,2,0,3,320
CARDENAS,148,C2,542,3,101,204,0,1,0,0,1,0,5,315
CARDENAS,149,BA,558,17,118,145,0,13,1,0,0,0,18,312
CARDENAS,149,C1,559,17,166,123,0,3,1,0,0,0,6,316
CARDENAS,150,BA,425,2,63,76,0,0,2,0,0,0,19,162
CARDENAS,150,C1,425,1,43,98,1,0,0,1,0,0,8,152
CARDENAS,151,BA,545,10,70,147,2,2,1,0,0,0,3,235
CARDENAS,151,C1,546,8,69,157,1,0,0,0,0,0,6,241
CARDENAS,152,BA,576,3,81,168,2,2,0,3,1,0,5,265
CARDENAS,152,C1,576,3,72,161,1,7,0,0,0,0,2,246
CARDENAS,152,C2,577,3,97,135,1,2,0,0,1,0,7,246
CARDENAS,153,BA,325,0,42,81,2,0,0,0,0,0,2,127
CARDENAS,154,BA,746,0,160,181,1,0,0,0,0,0,0,342
CARDENAS,154,C1,746,3,131,206,1,0,0,0,0,0,7,348
CARDENAS,155,BA,563,5,126,185,0,2,0,0,1,0,2,321
CARDENAS,155,C1,563,9,156,174,3,1,0,1,0,0,7,351
CARDENAS,155,C2,563,6,139,151,2,3,0,0,0,0,9,310
CARDENAS,156,BA,512,9,118,146,1,0,0,1,1,0,5,281
CARDENAS,156,C1,513,15,85,160,1,2,1,0,0,0,2,266
CARDENAS,157,BA,693,4,134,260,0,1,0,2,0,0,6,407
CARDENAS,157,C1,693,1,184,215,0,0,0,2,0,0,1,403
CARDENAS,158,BA,465,31,160,360,3,3,1,0,1,0,3,562
CARDENAS,158,C1,465,3,62,124,1,8,1,0,0,0,0,199
CARDENAS,159,BA,482,3,64,141,0,0,0,0,0,0,5,213
CARDENAS,159,C1,483,2,70,145,0,1,0,0,0,0,3,221
CARDENAS,160,BA,662,1,142,134,1,0,0,0,1,0,8,287
CARDENAS,160,C1,663,11,108,143,1,4,0,0,0,0,12,279
CARDENAS,161,BA,629,3,166,198,0,0,0,0,0,0,4,371
CARDENAS,162,BA,640,8,124,154,0,1,0,0,0,0,6,293
,,,,,,,,,,,,,,
CARDENAS,162,C1,641,3,107,153,0,3,0,0,0,0,10,276
CARDENAS,163,BA,737,5,150,186,2,0,1,0,0,0,4,348
CARDENAS,163,C1,737,4,148,191,0,0,0,0,0,0,6,349
CARDENAS,164,BA,460,1,113,130,2,1,0,0,0,0,5,252
CARDENAS,164,C1,460,2,136,138,1,1,0,0,0,0,3,281
CARDENAS,165,BA,728,6,95,150,3,0,0,1,0,0,4,259
CARDENAS,165,C1,728,6,160,130,2,2,0,0,0,0,5,305
CARDENAS,166,BA,543,1,79,155,3,2,0,0,0,0,5,245
CARDENAS,166,C1,544,1,90,129,5,1,0,0,0,0,8,234
CARDENAS,167,BA,733,10,82,83,0,0,0,0,0,0,7,182
CARDENAS,47,ES MR,,1,26,31,0,0,0,0,0,0,2,60
CARDENAS,72,ES MR,,4,174,205,0,2,1,0,0,0,4,390
,,,,,,,,,,,,,,
CENTLA,168,BA,462,8,108,126,0,1,0,0,0,0,5,248
CENTLA,168,C1,462,11,139,108,0,3,0,0,0,0,3,264
CENTLA,169,BA,695,5,175,195,1,2,0,0,1,0,16,395
CENTLA,169,C1,695,6,168,208,0,2,0,0,1,0,8,393
CENTLA,170,BA,465,4,109,167,1,0,0,0,0,0,7,288
CENTLA,170,C1,465,4,86,169,1,0,0,0,0,0,2,262
CENTLA,171,BA,572,13,119,194,1,0,0,0,0,0,8,335
CENTLA,171,C1,573,9,142,179,1,0,0,0,1,0,0,332
CENTLA,172,BA,651,10,186,222,2,1,0,0,0,0,5,426
CENTLA,173,BA,702,12,130,221,0,10,1,0,0,0,3,377
CENTLA,174,BA,716,20,174,248,1,1,0,0,1,0,4,449
CENTLA,175,BA,455,4,118,155,1,2,1,0,0,0,7,288
CENTLA,175,C1,456,3,112,143,1,1,0,0,0,0,5,265
CENTLA,176,BA,571,7,149,185,3,1,0,0,1,0,10,356
CENTLA,176,C1,572,1,166,164,0,1,0,0,0,0,0,332
CENTLA,177,BA,725,11,158,184,2,1,0,0,0,0,0,356
CENTLA,177,C1,726,12,168,218,0,2,2,0,0,0,10,412
CENTLA,178,BA,438,9,102,137,0,2,0,0,0,0,5,255
CENTLA,178,C1,439,16,80,1,0,4,0,0,0,0,1,102
CENTLA,179,BA,594,5,152,101,1,2,1,0,0,0,18,280
CENTLA,179,C1,594,9,162,138,1,4,0,0,0,0,5,319
CENTLA,179,C2,595,2,120,111,0,1,1,0,0,0,4,239
CENTLA,180,BA,544,8,145,165,2,0,0,0,0,0,4,324
CENTLA,180,C1,545,9,148,154,0,4,0,0,0,0,1,316
CENTLA,181,BA,508,12,139,127,0,5,0,1,0,0,5,289
CENTLA,181,C1,508,8,146,131,1,3,0,0,0,0,5,294
CENTLA,182,BA,384,5,120,106,1,3,0,0,0,0,9,244
CENTLA,183,BA,569,0,177,211,1,5,0,0,0,0,12,406
CENTLA,184,BA,716,5,123,272,3,0,0,2,0,0,9,414
CENTLA,185,BA,280,5,75,80,2,0,1,0,0,0,15,178
CENTLA,186,BA,485,5,106,162,0,0,0,1,0,0,5,279
CENTLA,187,BA,217,4,63,65,1,0,0,0,0,0,1,134
CENTLA,188,BA,169,8,65,27,1,1,0,0,0,0,2,104
CENTLA,189,BA,469,4,77,171,2,0,0,0,0,0,6,260
CENTLA,189,C1,470,3,104,145,0,0,0,0,0,0,7,259
CENTLA,190,BA,599,0,179,173,1,0,0,1,0,0,6,360
CENTLA,191,BA,367,5,134,93,1,0,0,1,0,0,3,237
CENTLA,192,BA,707,11,166,205,1,2,1,0,0,0,11,397
CENTLA,192,C1,708,6,199,206,3,2,0,0,0,0,11,427
CENTLA,193,BA,387,2,158,73,2,0,1,1,1,0,9,247
CENTLA,194,BA,381,3,81,212,2,4,0,0,0,0,6,308
CENTLA,195,BA,438,1,160,171,2,3,0,0,0,0,2,339
CENTLA,196,BA,525,6,129,138,2,5,0,0,0,0,0,280
CENTLA,196,C1,525,0,176,125,3,1,1,0,0,0,7,313
CENTLA,196,C2,525,0,160,133,4,1,0,0,0,0,9,307
,,,,,,,,,,,,,,
CENTLA,197,BA,478,3,136,174,3,2,0,2,0,0,5,325
CENTLA,197,C1,478,3,124,179,8,1,2,1,1,0,5,324
CENTLA,198,BA,416,0,109,199,0,0,0,0,0,0,14,322
CENTLA,198,C1,417,1,134,187,0,0,0,0,0,0,0,322
CENTLA,199,BA,531,0,176,183,0,0,0,1,0,0,12,372
CENTLA,200,BA,529,3,172,206,1,1,0,0,0,0,0,383
CENTLA,200,C1,530,2,147,244,3,1,0,0,0,0,0,397
CENTLA,201,BA,597,6,152,215,2,4,0,0,0,0,10,389
CENTLA,201,C1,598,3,161,195,5,5,0,1,0,0,0,370
CENTLA,202,BA,607,6,104,231,5,1,1,3,0,0,18,369
CENTLA,202,C1,607,5,144,256,2,4,3,1,1,0,0,416
CENTLA,203,BA,642,6,187,280,1,0,0,0,0,0,3,477
CENTLA,203,C1,642,1,250,216,0,2,0,0,0,0,2,471
CENTLA,204,BA,517,2,151,208,1,0,0,1,0,0,10,373
CENTLA,204,C1,517,4,131,234,1,0,0,0,0,0,4,374
CENTLA,204,C2,518,0,129,227,0,0,0,0,0,0,16,372
CENTLA,205,BA,471,5,178,144,0,0,0,2,0,0,3,332
CENTLA,205,C1,472,2,165,136,2,0,0,2,0,0,3,310
CENTLA,206,BA,580,0,173,265,3,1,0,0,0,0,5,447
CENTLA,206,C1,580,4,150,272,11,0,0,1,0,0,9,447
CENTLA,207,BA,682,3,241,282,2,0,0,1,0,0,5,534
CENTLA,207,C1,683,1,256,271,1,0,0,0,0,0,8,537
CENTLA,208,BA,437,9,119,199,1,0,0,0,0,0,3,331
CENTLA,208,C1,438,5,157,162,3,0,1,0,1,0,1,330
CENTLA,209,BA,736,0,107,381,10,1,0,1,0,0,5,505
CENTLA,209,C1,737,5,146,375,6,0,0,3,0,0,6,541
CENTLA,210,BA,718,2,150,325,4,0,1,0,0,0,9,491
