MUNICIPIO,DISTRITO,SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,NO REGISTRADOS,NULOS,TOTAL,LISTA NOMINAL
OTHON P. BLANCO,I,383,383-B,123,287,31,10,5,0,11,467,728
OTHON P. BLANCO,I,411,411-B,10,161,108,6,4,0,9,298,438
OTHON P. BLANCO,I,412,412-B,11,176,50,8,2,0,37,284,449
OTHON P. BLANCO,I,426,426-B,40,104,65,18,0,0,9,236,394
OTHON P. BLANCO,I,426,426-C,52,110,52,12,4,0,15,245,394
OTHON P. BLANCO,I,427,427-B,40,148,75,15,2,0,11,291,469
OTHON P. BLANCO,I,427,427-C,38,134,61,8,4,0,54,299,470
OTHON P. BLANCO,I,428,428-B,38,210,97,14,0,0,49,408,724
,,,,,,,,,,,,
OTHON P. BLANCO,II,298,298-B,23,87,43,7,0,0,5,165,304
OTHON P. BLANCO,II,299,299-B,15,37,35,4,3,0,26,120,214
OTHON P. BLANCO,II,303,303-B,58,141,65,11,0,0,7,282,458
OTHON P. BLANCO,II,303,303-C,59,142,81,25,1,0,3,311,459
OTHON P. BLANCO,II,304,304-B,55,107,43,25,0,0,7,237,432
OTHON P. BLANCO,II,304,304-C,50,109,55,21,2,0,1,238,432
OTHON P. BLANCO,II,305,305-B,59,97,36,23,4,0,165,384,394
OTHON P. BLANCO,II,305,305-C,41,104,31,17,0,0,32,225,395
OTHON P. BLANCO,II,306,306-B,128,269,60,24,9,0,2,492,710
OTHON P. BLANCO,II,307,307-B,54,150,70,16,1,0,9,300,574
OTHON P. BLANCO,II,307,307-C1,42,119,76,23,2,0,39,301,574
OTHON P. BLANCO,II,307,307-C2,42,163,107,14,4,0,12,342,575
OTHON P. BLANCO,II,307,307-C3,42,164,94,20,2,0,7,329,575
OTHON P. BLANCO,II,315,315-B,92,194,55,2,3,0,4,350,571
OTHON P. BLANCO,II,315,315-C,105,180,64,11,5,0,5,370,572
OTHON P. BLANCO,II,315,315-ES,,,,,,,,,
OTHON P. BLANCO,II,316,316-B,3,17,8,0,2,0,1,31,124
OTHON P. BLANCO,II,317,317-B,95,173,70,13,6,0,11,368,606
OTHON P. BLANCO,II,318,318-B,68,124,53,25,2,0,7,279,475
OTHON P. BLANCO,II,318,318-C,62,146,50,12,1,0,20,291,475
OTHON P. BLANCO,II,320,320-B,163,228,49,15,2,0,6,463,741
OTHON P. BLANCO,II,329,329-B,46,117,44,6,1,0,,214,384
OTHON P. BLANCO,II,329,329-C,48,142,25,13,0,0,9,237,384
OTHON P. BLANCO,II,330,330-B,80,205,40,16,8,0,5,354,586
OTHON P. BLANCO,II,330,330-C,80,196,44,18,2,0,7,347,587
OTHON P. BLANCO,II,331,331-B,44,143,38,7,3,0,7,242,386
OTHON P. BLANCO,II,331,331-C,71,128,22,9,4,0,5,239,386
OTHON P. BLANCO,II,343,343-B,67,175,56,13,3,0,17,331,537
OTHON P. BLANCO,II,343,343-C,75,131,51,10,4,0,47,318,538
OTHON P. BLANCO,II,344,344-B,77,169,46,9,4,0,3,308,531
OTHON P. BLANCO,II,344,344-C,83,165,52,6,4,0,10,320,532
OTHON P. BLANCO,II,355,355-B,10,217,43,15,7,0,11,303,610
OTHON P. BLANCO,II,356,356-B,69,232,30,25,7,0,10,373,605
OTHON P. BLANCO,II,357,357-B,67,183,52,11,3,0,12,328,557
OTHON P. BLANCO,II,357,357-C,85,196,40,10,1,0,2,334,558
OTHON P. BLANCO,II,358,358-B,65,136,35,11,2,1,5,255,426
OTHON P. BLANCO,II,358,358-C,63,135,38,19,2,0,9,266,427
OTHON P. BLANCO,II,365,365-B,98,197,46,13,5,0,6,365,581
OTHON P. BLANCO,II,365,365-C,106,199,40,9,8,0,8,370,581
OTHON P. BLANCO,II,366,366-B,75,258,51,16,4,0,33,437,656
OTHON P. BLANCO,II,367,367-B,64,149,20,7,3,0,4,247,375
OTHON P. BLANCO,II,367,367-C,57,125,23,13,2,0,30,250,376
OTHON P. BLANCO,II,368,368-B,63,52,39,16,0,0,4,174,487
OTHON P. BLANCO,II,368,368-C,66,162,20,8,3,0,8,267,468
OTHON P. BLANCO,II,374,374-B,96,261,34,24,2,0,7,424,727
OTHON P. BLANCO,II,375,375-B,59,186,28,13,3,0,5,294,493
OTHON P. BLANCO,II,375,375-C,61,184,31,16,6,0,7,305,494
OTHON P. BLANCO,II,376,376-B,6,29,2,1,0,0,1,39,373
OTHON P. BLANCO,II,379,379-B,91,215,36,22,0,0,15,379,664
OTHON P. BLANCO,II,380,380-B,79,190,21,10,4,0,11,315,473
OTHON P. BLANCO,II,380,380-C,93,178,20,10,1,0,16,318,474
OTHON P. BLANCO,II,449,449-B,47,160,103,16,1,0,13,340,644
OTHON P. BLANCO,II,449,449-C,35,153,99,15,9,0,20,331,644
OTHON P. BLANCO,II,449,449-C,44,149,111,22,8,0,15,349,644
OTHON P. BLANCO,II,449,449-C,37,165,118,10,0,0,8,338,644
OTHON P. BLANCO,II,449,449-C,50,179,108,19,5,0,27,388,645
OTHON P. BLANCO,II,449,449-C,53,160,102,11,0,0,9,335,645
,,,,,,,,,,,,
OTHON P. BLANCO,III,319,319-B,134,224,46,17,2,0,1,424,664
OTHON P. BLANCO,III,321,321-B,59,180,75,12,3,0,11,340,582
OTHON P. BLANCO,III,322,322-B,70,132,62,10,1,0,7,282,460
OTHON P. BLANCO,III,323,323-B,113,219,58,8,2,0,5,405,658
OTHON P. BLANCO,III,332,332-B,74,147,27,11,7,0,5,271,436
OTHON P. BLANCO,III,332,332-C,85,160,23,8,1,0,1,278,436
OTHON P. BLANCO,III,333,333-B,110,200,41,14,4,0,3,372,519
OTHON P. BLANCO,III,333,333-C,104,195,46,17,5,0,4,371,520
OTHON P. BLANCO,III,334,334-B,103,148,37,14,0,0,4,306,451
OTHON P. BLANCO,III,334,334-C,96,165,24,6,0,0,3,294,452
OTHON P. BLANCO,III,335,335-B,46,126,81,15,1,0,2,271,470
OTHON P. BLANCO,III,335,335-C,70,125,43,17,3,0,12,270,471
OTHON P. BLANCO,III,336,336-B,63,115,64,27,1,0,10,280,508
OTHON P. BLANCO,III,337,337-B,84,184,70,28,0,0,10,376,667
OTHON P. BLANCO,III,338,338-B,68,219,93,22,2,0,14,418,675
OTHON P. BLANCO,III,339,339-B,97,206,98,23,1,0,13,438,698
OTHON P. BLANCO,III,340,340-B,63,140,34,14,0,0,4,255,360
OTHON P. BLANCO,III,341,341-B,93,153,42,8,2,0,7,305,515
OTHON P. BLANCO,III,342,342-B,64,145,28,4,1,0,6,248,422
OTHON P. BLANCO,III,342,342-C,64,166,45,9,1,0,3,288,423
OTHON P. BLANCO,III,359,359-B,84,152,36,16,1,0,7,296,459
OTHON P. BLANCO,III,359,359-C,52,157,55,12,2,0,3,281,459
OTHON P. BLANCO,III,360,360-B,114,165,45,23,4,0,1,352,600
OTHON P. BLANCO,III,361,361-B,66,148,57,11,5,0,12,299,475
OTHON P. BLANCO,III,361,361-C,65,169,42,19,0,0,3,298,475
OTHON P. BLANCO,III,362,362-B,92,224,84,16,1,0,8,425,140
OTHON P. BLANCO,III,363,363-B,78,161,52,14,3,0,9,317,528
OTHON P. BLANCO,III,363,363-C,68,154,49,11,4,0,6,292,528
OTHON P. BLANCO,III,364,364-B,162,207,29,9,3,0,3,413,604
OTHON P. BLANCO,III,377,377-B,172,215,21,7,4,0,5,424,684
OTHON P. BLANCO,III,377,377-C,147,236,28,4,3,0,5,423,684
OTHON P. BLANCO,III,378,378-B,71,133,29,7,3,0,7,250,432
OTHON P. BLANCO,III,378,378-C,70,132,38,10,2,2,5,259,433
OTHON P. BLANCO,III,413,413-B,23,166,80,25,4,0,16,314,600
OTHON P. BLANCO,III,413,413-C,21,180,62,26,2,0,29,320,601
OTHON P. BLANCO,III,414,414-B,15,111,79,3,1,0,3,212,472
OTHON P. BLANCO,III,414,414-C,10,97,86,3,0,0,31,227,475
OTHON P. BLANCO,III,415,415-B,8,185,145,14,0,0,13,365,645
OTHON P. BLANCO,III,415,415-C,7,172,150,11,1,0,19,360,646
OTHON P. BLANCO,III,416,416-B,80,176,82,3,2,0,14,357,488
OTHON P. BLANCO,III,417,417-B,5,153,92,8,2,0,9,269,409
OTHON P. BLANCO,III,417,417-C,8,139,107,4,1,0,6,265,409
OTHON P. BLANCO,III,418,418-B,36,146,91,6,0,0,10,289,489
OTHON P. BLANCO,III,418,418-C,19,176,84,7,2,0,14,302,490
OTHON P. BLANCO,III,419,419-B,15,150,89,7,1,0,12,274,562
OTHON P. BLANCO,III,419,419-C,10,194,96,10,2,0,6,318,563
OTHON P. BLANCO,III,420,420-B,18,153,31,4,0,0,10,216,437
OTHON P. BLANCO,III,420,420-C,38,133,47,13,0,0,16,247,468
OTHON P. BLANCO,III,421,421-B,17,99,59,14,2,0,4,195,386
OTHON P. BLANCO,III,421,421-C,25,103,55,15,2,0,2,202,386
OTHON P. BLANCO,III,424,424-B,43,220,94,24,2,0,19,402,617
OTHON P. BLANCO,III,425,425-B,39,128,73,7,0,0,4,251,498
OTHON P. BLANCO,III,425,425-C,54,131,66,10,1,0,246,508,498
OTHON P. BLANCO,III,425,425-ES,,,,,,,,,
OTHON P. BLANCO,III,448,448-B,32,116,48,8,0,0,6,210,384
OTHON P. BLANCO,III,448,448-C,26,125,42,14,0,0,12,219,385
,,,,,,,,,,,,
OTHON P. BLANCO,IV,422,422-B,12,138,117,19,1,0,3,290,487
OTHON P. BLANCO,IV,422,422-C,6,132,121,22,1,0,6,288,468
OTHON P. BLANCO,IV,423,423-B,11,150,129,15,1,0,10,316,530
OTHON P. BLANCO,IV,423,423-C,16,171,75,22,1,0,11,296,530
OTHON P. BLANCO,IV,429,429-B,3,241,122,16,2,0,12,396,658
OTHON P. BLANCO,IV,429,429-C,8,182,136,22,0,0,16,364,658
OTHON P. BLANCO,IV,430,430-B,2,131,99,22,2,0,4,260,413
OTHON P. BLANCO,IV,431,431-B,10,185,107,17,0,0,98,417,705
OTHON P. BLANCO,IV,432,432-B,10,213,68,75,1,0,23,390,627
OTHON P. BLANCO,IV,433,433-B,8,143,49,42,1,0,17,260,515
OTHON P. BLANCO,IV,433,433-C,7,150,76,47,1,0,11,292,515
OTHON P. BLANCO,IV,434,434-B,1,36,6,2,0,0,0,45,81
OTHON P. BLANCO,IV,435,435-B,8,123,58,16,0,0,13,218,.
OTHON P. BLANCO,IV,435,435-ES,,,,,,,,,
OTHON P. BLANCO,IV,436,436-B,15,107,83,14,1,0,17,237,532
OTHON P. BLANCO,IV,437,437-B,33,210,41,13,0,0,11,308,587
OTHON P. BLANCO,IV,437,437-C,20,208,41,13,3,0,22,307,588
OTHON P. BLANCO,IV,438,438-B,55,142,48,27,4,0,12,288,480
OTHON P. BLANCO,IV,438,438-C,43,110,61,20,0,0,10,244,481
OTHON P. BLANCO,IV,439,439-B,10,171,111,18,3,0,14,327,468
OTHON P. BLANCO,IV,439,439-C,8,194,94,15,0,0,16,327,467
OTHON P. BLANCO,IV,440,440-B,8,191,88,5,0,0,13,305,522
OTHON P. BLANCO,IV,441,441-B,9,139,140,22,0,0,15,325,522
OTHON P. BLANCO,IV,441,441-C,9,140,136,17,1,0,18,321,523
OTHON P. BLANCO,IV,442,442-B,6,81,25,2,0,0,5,119,186
OTHON P. BLANCO,IV,443,443-B,25,129,86,27,1,0,16,284,478
OTHON P. BLANCO,IV,444,444-B,2,75,14,2,0,0,5,98,251
OTHON P. BLANCO,IV,444,444-EX,0,41,64,4,0,0,7,116,237
OTHON P. BLANCO,IV,445,445-B,4,40,62,16,2,0,11,135,165
OTHON P. BLANCO,IV,446,446-B,29,121,64,5,1,0,9,229,404
OTHON P. BLANCO,IV,446,446-C,22,126,70,6,0,0,5,229,404
OTHON P. BLANCO,IV,447,447-B,23,69,25,7,0,0,10,134,247
OTHON P. BLANCO,IV,447,447-EX,10,26,11,4,0,0,5,56,107
OTHON P. BLANCO,IV,450,450-B,27,74,7,14,0,0,0,122,266
OTHON P. BLANCO,IV,450,450-EX,10,57,18,3,0,0,16,104,177
,,,,,,,,,,,,
OTHON P. BLANCO,V,384,384-B,59,217,61,8,2,0,29,376,597
OTHON P. BLANCO,V,385,385-B,49,290,39,36,0,0,23,437,747
OTHON P. BLANCO,V,386,386-B,3,167,22,2,0,0,3,197,352
OTHON P. BLANCO,V,387,387-B,25,177,52,13,2,0,37,306,469
OTHON P. BLANCO,V,388,388-B,33,109,46,3,1,0,27,219,299
OTHON P. BLANCO,V,389,389-B,22,185,69,23,2,0,12,313,461
OTHON P. BLANCO,V,390,390-B,12,178,60,2,0,0,5,257,402
OTHON P. BLANCO,V,391,391-B,110,89,17,13,0,0,6,235,398
OTHON P. BLANCO,V,392,392-B,60,114,32,6,0,0,25,237,511
OTHON P. BLANCO,V,392,392-C,84,121,33,6,2,0,17,263,511
OTHON P. BLANCO,V,393,393-B,0,0,0,0,0,0,0,0,39
OTHON P. BLANCO,V,394,394-B,26,236,45,7,5,0,13,332,485
OTHON P. BLANCO,V,395,395-B,27,71,98,4,0,0,7,207,352
OTHON P. BLANCO,V,396,396-B,14,250,52,13,5,5,30,369,552
OTHON P. BLANCO,V,397,397-B,12,149,66,47,2,0,17,293,440
OTHON P. BLANCO,V,398,398-B,53,90,42,10,2,0,5,202,265
OTHON P. BLANCO,V,399,399-B,0,29,23,0,0,0,2,54,107
OTHON P. BLANCO,V,400,400-B,13,235,18,4,1,0,11,282,437
OTHON P. BLANCO,V,401,401-B,8,78,80,1,0,0,3,170,342
OTHON P. BLANCO,V,402,402-B,85,123,113,8,0,0,21,350,471
OTHON P. BLANCO,V,403,403-B,8,102,121,21,0,0,7,259,438
OTHON P. BLANCO,V,403,403-C,6,111,139,14,4,0,8,282,438
OTHON P. BLANCO,V,404,404-B,22,170,171,18,1,0,16,398,654
OTHON P. BLANCO,V,405,405-B,23,141,128,3,1,0,4,300,553
OTHON P. BLANCO,V,405,405-C,19,125,126,3,4,0,12,289,554
OTHON P. BLANCO,V,406,406-B,16,109,67,4,0,0,9,205,383
OTHON P. BLANCO,V,406,406-C,13,134,63,3,1,0,5,219,384
OTHON P. BLANCO,V,407,407-B,14,127,110,5,0,0,8,264,481
OTHON P. BLANCO,V,407,407-C,15,147,95,2,1,0,4,264,482
OTHON P. BLANCO,V,408,408-B,20,174,107,14,5,0,12,332,533
OTHON P. BLANCO,V,408,408-C,28,165,121,6,3,0,12,335,573
OTHON P. BLANCO,V,409,409-B,56,244,103,7,2,0,12,424,632
OTHON P. BLANCO,V,409,409-ES,,,,,,,,,
OTHON P. BLANCO,V,410,410-B,3,52,3,0,0,0,0,58,151
OTHON P. BLANCO,V,410,410-EX,2,26,10,3,0,0,1,42,137
,,,,,,,,,,,,
JOSE MARIA MORELOS,VI,262,262-B,6,208,13,2,138,,25,392,539
JOSE MARIA MORELOS,VI,262,262-C,11,215,10,2,160,,25,423,539
JOSE MARIA MORELOS,VI,262,262-ES,,,,,,,,,
JOSE MARIA MORELOS,VI,263,263-B,10,152,15,3,99,,22,301,442
JOSE MARIA MORELOS,VI,263,263-C,3,155,12,6,99,,26,301,442
JOSE MARIA MORELOS,VI,264,264-B,10,197,5,2,119,,18,351,494
JOSE MARIA MORELOS,VI,264,264-C,9,175,11,7,133,,31,366,495
JOSE MARIA MORELOS,VI,265,265-B,14,227,16,4,126,,22,409,614
JOSE MARIA MORELOS,VI,265,265-C,14,248,8,6,127,,37,440,615
JOSE MARIA MORELOS,VI,266,266-B,3,257,34,2,102,,53,451,552
JOSE MARIA MORELOS,VI,267,267-B,6,176,85,6,43,,27,343,425
JOSE MARIA MORELOS,VI,268,268-B,3,189,60,3,188,,66,509,614
JOSE MARIA MORELOS,VI,268,268-C,4,184,54,3,193,,76,514,615
JOSE MARIA MORELOS,VI,269,269-B,2,285,10,2,111,,31,441,549
JOSE MARIA MORELOS,VI,270,270-B,2,218,6,4,81,,30,341,430
JOSE MARIA MORELOS,VI,270,270-C,1,221,1,,89,,26,338,430
JOSE MARIA MORELOS,VI,271,271-B,11,350,6,,178,,42,587,744
JOSE MARIA MORELOS,VI,272,272-B,1,139,14,2,76,,22,254,376
JOSE MARIA MORELOS,VI,273,273-B,69,301,21,2,,,34,427,720
JOSE MARIA MORELOS,VI,273,273-EX,2,143,14,1,28,,14,202,252
JOSE MARIA MORELOS,VI,274,274-B,20,159,11,2,91,,28,311,401
JOSE MARIA MORELOS,VI,274,274-EX,7,143,6,2,71,,33,262,346
JOSE MARIA MORELOS,VI,275,275-B,16,143,12,3,80,,27,281,358
JOSE MARIA MORELOS,VI,275,275-EX,1,114,14,3,58,,28,218,321
JOSE MARIA MORELOS,VI,276,276-B,3,297,7,8,169,,22,506,724
JOSE MARIA MORELOS,VI,277,277-B,1,79,6,,100,,32,218,296
JOSE MARIA MORELOS,VI,278,278-B,3,150,9,1,127,,44,334,446
JOSE MARIA MORELOS,VI,279,279-B,1,167,12,6,9,,23,218,340
JOSE MARIA MORELOS,VI,280,280-B,7,113,11,2,30,,6,169,233
JOSE MARIA MORELOS,VI,280,280-EX,1,27,2,,27,,3,60,69
JOSE MARIA MORELOS,VI,281,281-B,,67,4,,6,,7,84,132
JOSE MARIA MORELOS,VI,282,282-B,8,205,24,3,48,,23,311,465
JOSE MARIA MORELOS,VI,283,283-B,8,50,4,1,5,,8,76,108
JOSE MARIA MORELOS,VI,283,283-EX,1,158,6,2,27,,16,210,325
,,,,,,,,,,,,
FELIPE CARRILLO PUERTO,VII,215,215-B,159,213,77,3,0,0,36,488,709
FELIPE CARRILLO PUERTO,VII,216,216-B,95,154,72,6,1,0,13,341,496
FELIPE CARRILLO PUERTO,VII,217,217-B,109,153,54,5,6,0,18,345,510
FELIPE CARRILLO PUERTO,VII,218,218-B,175,127,37,7,1,0,13,360,546
FELIPE CARRILLO PUERTO,VII,218,218-C,171,151,37,1,1,0,9,370,546
FELIPE CARRILLO PUERTO,VII,218,218-ES,,,,,,,,,
FELIPE CARRILLO PUERTO,VII,219,219-B,105,122,58,0,0,0,9,294,426
FELIPE CARRILLO PUERTO,VII,220,220-B,207,178,60,2,2,0,12,461,672
FELIPE CARRILLO PUERTO,VII,221,221-B,162,97,15,9,0,0,4,287,411
FELIPE CARRILLO PUERTO,VII,221,221-C,166,74,21,3,4,0,7,275,412
FELIPE CARRILLO PUERTO,VII,222,222-B,180,151,41,7,2,0,11,392,629
FELIPE CARRILLO PUERTO,VII,222,222-C,229,144,24,9,0,0,14,420,630
FELIPE CARRILLO PUERTO,VII,223,223-B,184,185,72,1,0,0,10,452,720
FELIPE CARRILLO PUERTO,VII,224,224-B,170,181,45,7,1,0,13,417,606
FELIPE CARRILLO PUERTO,VII,225,225-B,106,108,43,3,2,0,9,271,458
FELIPE CARRILLO PUERTO,VII,225,225-C,133,126,31,2,0,0,10,302,458
FELIPE CARRILLO PUERTO,VII,226,226-B,167,198,71,9,1,0,16,462,691
FELIPE CARRILLO PUERTO,VII,227,227-B,17,266,116,2,2,0,34,437,576
FELIPE CARRILLO PUERTO,VII,227,227-C,19,288,103,0,0,0,49,459,576
FELIPE CARRILLO PUERTO,VII,228,228-B,11,199,83,0,0,0,29,322,419
FELIPE CARRILLO PUERTO,VII,228,228-C,21,180,89,4,1,0,29,324,420
FELIPE CARRILLO PUERTO,VII,229,229-B,16,238,95,3,0,0,16,368,532
FELIPE CARRILLO PUERTO,VII,229,229-C,11,184,137,5,0,0,18,355,532
FELIPE CARRILLO PUERTO,VII,230,230-B,6,120,45,1,0,0,12,184,242
FELIPE CARRILLO PUERTO,VII,230,230-EX,8,75,54,3,0,0,9,149,189
FELIPE CARRILLO PUERTO,VII,231,231-B,28,90,216,1,0,0,19,354,570
FELIPE CARRILLO PUERTO,VII,232,232-B,20,170,99,5,0,0,11,305,398
FELIPE CARRILLO PUERTO,VII,232,232-C,17,159,111,1,1,0,14,303,399
FELIPE CARRILLO PUERTO,VII,232,232-EX,31,50,46,5,1,0,9,142,180
FELIPE CARRILLO PUERTO,VII,233,233-B,12,148,95,0,0,0,7,262,330
FELIPE CARRILLO PUERTO,VII,233,233-EX,15,172,42,6,1,0,0,236,277
FELIPE CARRILLO PUERTO,VII,234,234-B,61,138,114,5,1,0,17,336,510
FELIPE CARRILLO PUERTO,VII,234,234-C1,40,164,123,2,0,0,14,343,510
FELIPE CARRILLO PUERTO,VII,234,234-C2,27,160,179,5,5,0,0,376,510
FELIPE CARRILLO PUERTO,VII,235,235-B,48,161,81,4,3,0,31,328,433
FELIPE CARRILLO PUERTO,VII,235,235-C,40,195,81,6,2,0,12,336,433
FELIPE CARRILLO PUERTO,VII,236,236-B,3,13,14,2,0,3,1,36,62
FELIPE CARRILLO PUERTO,VII,237,237-B,63,327,108,6,3,0,176,683,672
FELIPE CARRILLO PUERTO,VII,238,238-B,35,170,109,7,2,0,174,497,487
FELIPE CARRILLO PUERTO,VII,238,238-C,61,179,102,3,1,0,147,493,486
FELIPE CARRILLO PUERTO,VII,239,239-B,5,238,72,4,0,0,5,324,488
FELIPE CARRILLO PUERTO,VII,239,239-C,13,214,90,4,1,0,10,332,488
FELIPE CARRILLO PUERTO,VII,240,240-B,29,249,123,12,1,0,19,433,593
FELIPE CARRILLO PUERTO,VII,241,241-B,25,228,161,1,0,0,12,427,619
FELIPE CARRILLO PUERTO,VII,241,241-C,22,251,171,1,0,0,14,459,620
FELIPE CARRILLO PUERTO,VII,242,242-B,20,130,62,2,2,0,2,218,429
FELIPE CARRILLO PUERTO,VII,242,242-C,17,173,103,4,1,0,6,304,420
FELIPE CARRILLO PUERTO,VII,243,243-B,4,152,112,4,0,0,37,309,270
FELIPE CARRILLO PUERTO,VII,244,244-B,25,158,92,3,2,0,14,294,437
FELIPE CARRILLO PUERTO,VII,244,244-C,15,177,85,2,0,0,19,298,438
FELIPE CARRILLO PUERTO,VII,245,245-B,33,153,97,9,0,0,8,300,401
FELIPE CARRILLO PUERTO,VII,246,246-B,0,0,0,0,0,0,0,0,18
FELIPE CARRILLO PUERTO,VII,247,247-B,23,192,153,6,2,0,22,398,620
FELIPE CARRILLO PUERTO,VII,247,247-EX,58,184,209,3,0,0,31,485,604
FELIPE CARRILLO PUERTO,VII,248,248-B,57,79,7,1,0,0,7,151,229
FELIPE CARRILLO PUERTO,VII,249,249-B,63,247,31,3,0,0,22,366,591
FELIPE CARRILLO PUERTO,VII,249,249-C,70,247,26,3,3,0,0,349,592
FELIPE CARRILLO PUERTO,VII,250,250-B,24,156,136,3,3,0,20,342,520
FELIPE CARRILLO PUERTO,VII,251,251-B,15,175,227,7,0,0,42,466,664
FELIPE CARRILLO PUERTO,VII,251,251-EX,17,186,113,5,2,0,7,330,415
,,,,,,,,,,,,
COZUMEL,VIII,182,182-B,103,240,14,0,2,0,18,377,675
COZUMEL,VIII,182,182-C,122,252,21,2,2,0,5,404,676
COZUMEL,VIII,183,183-B,156,242,14,0,2,0,11,425,716
COZUMEL,VIII,183,183-C,157,231,17,0,0,0,8,413,717
COZUMEL,VIII,184,184-B,246,189,34,1,1,0,0,471,696
COZUMEL,VIII,184,184-C,235,208,20,0,0,0,12,475,696
COZUMEL,VIII,185,185-B,217,210,17,3,0,0,16,463,700
COZUMEL,VIII,185,185-C,204,206,18,1,1,0,16,446,700
COZUMEL,VIII,186,186-B,170,207,9,0,1,0,17,404,601
COZUMEL,VIII,187,187-B,142,123,24,1,3,0,16,309,483
COZUMEL,VIII,187,187-C,131,125,16,0,0,0,18,290,483
COZUMEL,VIII,188,188-B,129,193,31,1,1,0,14,369,662
COZUMEL,VIII,188,188-C,180,172,20,0,1,0,19,392,673
COZUMEL,VIII,189,189-B,216,175,23,2,2,0,25,443,682
COZUMEL,VIII,189,189-C,169,171,13,0,0,0,65,418,685
COZUMEL,VIII,190,190-B,131,178,14,0,2,0,54,379,650
COZUMEL,VIII,190,190-C,141,205,19,1,2,0,13,381,651
COZUMEL,VIII,191,191-B,87,190,9,0,1,0,4,291,481
